Fold,Image,GT_Class,GT_Box,Pred_Class,Pred_Box,IOU,Match,Class_Correct
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"534.0,437.0,663.0,565.0",0.0,"536.8,435.3,661.9,559.2",0.914,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1227.0,863.0,1362.0,991.0",0.0,"1229.0,862.2,1364.7,990.4",0.956,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"371.0,566.0,490.0,687.0",0.0,"377.8,565.8,490.0,683.7",0.915,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"774.0,1066.0,911.0,1196.0",0.0,"778.1,1066.3,910.6,1195.1",0.958,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"810.0,927.0,941.0,1065.0",0.0,"814.4,927.6,938.1,1063.2",0.928,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1119.0,327.0,1257.0,472.0",0.0,"1121.5,330.6,1257.4,469.3",0.936,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"601.0,16.0,743.0,143.0",0.0,"604.6,17.2,742.6,140.5",0.944,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"134.0,124.0,263.0,251.0",0.0,"142.9,125.8,260.7,247.6",0.875,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1319.0,1038.0,1463.0,1164.0",0.0,"1322.1,1037.5,1464.0,1162.5",0.956,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"376.0,286.0,516.0,418.0",0.0,"376.0,286.2,513.7,418.6",0.978,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1234.0,544.0,1372.0,686.0",0.0,"1236.8,541.8,1374.9,687.7",0.934,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1403.0,767.0,1545.0,901.0",0.0,"1405.8,768.8,1546.5,900.6",0.954,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1444.0,510.0,1556.0,646.0",0.0,"1452.0,517.2,1564.1,642.7",0.803,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1163.0,219.0,1300.0,346.0",0.0,"1160.4,212.8,1302.8,346.3",0.915,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1592.0,1028.0,1730.0,1166.0",0.0,"1597.1,1026.9,1727.8,1163.3",0.922,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1089.0,790.0,1234.0,924.0",0.0,"1085.0,793.8,1229.2,921.4",0.897,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"505.0,174.0,663.0,327.0",0.0,"510.3,172.9,662.6,323.9",0.938,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"125.0,1096.0,247.0,1211.0",0.0,"127.4,1095.7,242.4,1202.2",0.869,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"1630.0,706.0,1753.0,827.0",0.0,"1629.6,706.8,1758.4,828.0",0.941,Yes,Yes
1,010961af-b38c-49de-aca0-e3732d73d414.jpg,0,"535.0,308.0,665.0,444.0",0.0,"537.8,309.9,664.7,440.8",0.940,Yes,Yes
