epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6016,1.00155,2.67379,0.99895,0.83657,0.13703,0.14247,0.10791,0.93146,1.32985,0.95667,0.000297684,0.000297684,0.000297684
2,43.7353,0.89675,0.99563,0.92957,0.99049,0.13562,0.14729,0.11584,0.84559,0.9358,0.93308,0.000541216,0.000541216,0.000541216
3,52.9065,0.83215,0.77221,0.90645,0.91235,0.2011,0.26126,0.20458,0.79983,0.7268,0.90146,0.000724755,0.000724755,0.000724755
4,61.9583,0.79993,0.64608,0.89508,0.69114,0.42818,0.2886,0.22859,0.76698,0.56503,0.89522,0.000639027,0.000639027,0.000639027
5,70.9323,0.77718,0.57507,0.89595,0.53566,0.5274,0.29205,0.23004,0.76268,0.55457,0.89589,0.000549036,0.000549036,0.000549036
6,79.915,0.76625,0.54583,0.88728,0.36859,0.5508,0.29568,0.23258,0.80819,0.53958,0.90807,0.000459045,0.000459045,0.000459045
7,88.8884,0.75583,0.52529,0.88611,0.38344,0.5098,0.30219,0.2434,0.74576,0.49046,0.889,0.000369054,0.000369054,0.000369054
8,97.7791,0.74809,0.50522,0.88875,0.39128,0.64258,0.30403,0.24801,0.73012,0.46187,0.88494,0.000279063,0.000279063,0.000279063
9,106.739,0.74315,0.49369,0.88323,0.3943,0.5919,0.31517,0.25871,0.73306,0.44728,0.88467,0.000189072,0.000189072,0.000189072
10,115.82,0.73318,0.47691,0.88319,0.39886,0.51446,0.32168,0.26446,0.71353,0.4369,0.88063,9.9081e-05,9.9081e-05,9.9081e-05
