Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
2245.518,0.1831110567,0.0000000000,0.8545182943,0.0136722922,-0.0107425153,-1.0123599768,-0.1167027801,0.5319986343,-0.3952757418,-0.0009186910,0.0043874932,-0.0125808120,-0.0104417214,0.6368317604,0.7710888982,-0.0011871321,0.0000000000,-0.1831110567,0.3051851094,0.9199499488,0.0605487227,-0.3923459649,-0.3354594707,0.6303903461,-0.3393658400,0.0039154887,0.0102529824,0.0059553385,0.4736354947,-0.3815394938,-0.7441918850,-0.2766202092,0.3662221134,0.2441480756,-1.2817773819,0.1199987829,-0.9931944013,-0.1246375963,-0.3628040552,0.3220313191,-0.7372050881,-0.0293901861,-0.0118319392,-0.0020109937,-0.4093227684,0.3691761196,0.6521238089,-0.5207125545,0.2441480756,-0.6714072227,-0.3662221134,-0.9015167952,0.1534470618,-0.4387340844,-0.1922666132,0.4974516928,-0.3748893738,-0.0019165277,0.0173947215,-0.0234107971,0.3178551197,0.7469383478,0.3872826695,-0.4373859763,
2245.557,0.1220740378,0.0000000000,0.9155552983,0.0135502182,-0.0106204413,-1.0119937658,-0.1173131540,0.5319986343,-0.3901486397,-0.0010217363,0.0045146402,-0.0122144222,-0.0104359640,0.6368089914,0.7711078525,-0.0011954552,0.0000000000,-0.1831110567,0.3662221134,0.9179967642,0.0592059083,-0.3925901055,-0.3375347257,0.6299020648,-0.3308206499,0.0019715428,0.0089219697,0.0057338476,0.4736398160,-0.3815161586,-0.7442113757,-0.2765924037,0.3051851094,0.1220740378,-1.1597033739,0.1182897463,-0.9946592450,-0.1254921108,-0.3664662540,0.3206884861,-0.7387920618,-0.0312673971,-0.0133001208,-0.0030422956,-0.4094330966,0.3691240549,0.6520856023,-0.5207107067,0.3051851094,-0.6103702188,-0.3662221134,-0.9018830061,0.1539353579,-0.4377574921,-0.1942197978,0.5024567246,-0.3744010627,-0.0022606850,0.0178895444,-0.0224795938,0.3178541064,0.7469341755,0.3872617483,-0.4374126196,
2245.583,0.0610370189,0.0000000000,0.9155552983,0.0135502182,-0.0096438490,-1.0126041174,-0.1191442609,0.5345622301,-0.3834345639,-0.0010061450,0.0054770680,-0.0128243566,-0.0104254242,0.6367969513,0.7711179256,-0.0011951218,-0.0610370189,-0.1831110567,0.4272591472,0.9198278785,0.0610370189,-0.3919797242,-0.3374126554,0.6297799349,-0.3304544091,0.0038022399,0.0107724220,0.0063455701,0.4736461937,-0.3815133870,-0.7442132235,-0.2765802145,0.1220740378,0.2441480756,-1.0376293659,0.1182897463,-0.9942930341,-0.1247596666,-0.3684194386,0.3214209378,-0.7402569652,-0.0313186869,-0.0129349232,-0.0023654029,-0.4094759226,0.3691189289,0.6520671248,-0.5207036734,0.3051851094,-0.4882961512,-0.3662221134,-0.9016388655,0.1535691470,-0.4384899437,-0.1951963902,0.5018463731,-0.3741569221,-0.0020247102,0.0175373107,-0.0231899619,0.3178402185,0.7469415069,0.3872616291,-0.4374100864,
2245.596,0.1220740378,0.0610370189,0.9155552983,0.0129398480,-0.0091555528,-1.0137028694,-0.1209753752,0.5315103531,-0.3870967627,-0.0016157739,0.0059585245,-0.0139229894,-0.0104229357,0.6367796659,0.7711320519,-0.0011929541,-0.1220740378,-0.1831110567,0.4882961512,0.9195837379,0.0601825006,-0.3929563165,-0.3380230069,0.6333200932,-0.3277688026,0.0035558939,0.0099378116,0.0053664148,0.4736477137,-0.3815279007,-0.7442049384,-0.2765799463,0.1220740378,0.3051851094,-0.9765923023,0.1189001128,-0.9941709638,-0.1248817444,-0.3636585474,0.3198339939,-0.7392804027,-0.0307221487,-0.0128121376,-0.0025097132,-0.4095044434,0.3691355586,0.6520491838,-0.5206919312,0.3051851094,-0.4882961512,-0.3662221134,-0.8995636106,0.1534470618,-0.4393444657,-0.1947080940,0.5033112764,-0.3709830046,0.0000398755,0.0174167156,-0.0240209699,0.3178419471,0.7469405532,0.3872785568,-0.4373954237,
2245.609,0.1220740378,0.0000000000,0.9155552983,0.0130619220,-0.0111087374,-1.0134586096,-0.1167027801,0.5322428346,-0.3874630034,-0.0014829366,0.0040081963,-0.0136786103,-0.0104196901,0.6367778182,0.7711338997,-0.0011975088,-0.1220740378,-0.2441480756,0.4272591472,0.9205603004,0.0615253150,-0.3919797242,-0.3385113180,0.6308786273,-0.3353373706,0.0045327544,0.0112841427,0.0063442290,0.4736513495,-0.3815198541,-0.7442094684,-0.2765726447,0.1831110567,0.3051851094,-0.9155552983,0.1213415936,-0.9928281307,-0.1256141812,-0.3632923365,0.3192236125,-0.7330545783,-0.0282966420,-0.0114682913,-0.0032704026,-0.4095315635,0.3691463172,0.6520321965,-0.5206841826,0.3662221134,-0.5493331552,-0.3662221134,-0.9016388655,0.1541795135,-0.4403210580,-0.1923886836,0.5012360215,-0.3769646287,-0.0020414591,0.0181532502,-0.0249827802,0.3178286254,0.7469514608,0.3872673213,-0.4373966455,
2245.622,0.1220740378,0.0000000000,0.9155552983,0.0139164403,-0.0106204413,-1.0130923986,-0.1189001128,0.5311441422,-0.3857539594,-0.0006219391,0.0044969302,-0.0133122802,-0.0104173170,0.6367673874,0.7711423039,-0.0011998792,-0.0610370189,-0.2441480756,0.3662221134,0.9211707115,0.0623798333,-0.3917355835,-0.3411969244,0.6334421635,-0.3308206499,0.0051431656,0.0121325813,0.0065877140,0.4736519456,-0.3815139532,-0.7442123890,-0.2765721977,0.3051851094,0.0610370189,-0.7934812307,0.1247596666,-0.9927060604,-0.1253700405,-0.3650013804,0.3199560642,-0.7386699915,-0.0248850659,-0.0113416910,-0.0030704886,-0.4095493853,0.3691447079,0.6520161629,-0.5206913948,0.3662221134,-0.6103702188,-0.3662221134,-0.9001739621,0.1532029212,-0.4401989877,-0.1939756423,0.5005035400,-0.3765984178,-0.0005791783,0.0171844363,-0.0248527527,0.3178163469,0.7469593287,0.3872570693,-0.4374010265,
2245.635,0.1220740378,0.0000000000,0.9155552983,0.0147709586,-0.0101321451,-1.0124820471,-0.1201208532,0.5357829332,-0.3838007748,0.0002347548,0.0049832854,-0.0127018690,-0.0104158428,0.6367567778,0.7711512446,-0.0011999684,0.0000000000,-0.2441480756,0.3662221134,0.9209265709,0.0611590929,-0.3921018243,-0.3364360631,0.6300241351,-0.3328959048,0.0048997998,0.0109160431,0.0062236786,0.4736567736,-0.3815022409,-0.7442190647,-0.2765619159,0.3051851094,-0.2441480756,-0.7324442267,0.1258583367,-0.9923398495,-0.1259804070,-0.3664662540,0.3188574016,-0.7376934290,-0.0237813294,-0.0109705925,-0.0037137568,-0.4095449746,0.3691278994,0.6520130634,-0.5207106471,0.3662221134,-0.6714072227,-0.3662221134,-0.9007843137,0.1538132876,-0.4405651987,-0.1898251325,0.5001373291,-0.3754997551,-0.0011879802,0.0178000182,-0.0252206326,0.3178059161,0.7469662428,0.3872427046,-0.4374095500,
2245.648,0.1220740378,0.0000000000,0.8545182943,0.0144047365,-0.0106204413,-1.0128482580,-0.1196325570,0.5330973268,-0.3842890859,-0.0001276219,0.0044952910,-0.0130680203,-0.0104144337,0.6367414594,0.7711637020,-0.0012015143,-0.0610370189,-0.1831110567,0.3662221134,0.9201940894,0.0626239851,-0.3916135132,-0.3374126554,0.6292916536,-0.3325296938,0.0041638017,0.0123732761,0.0067029893,0.4736626744,-0.3814886808,-0.7442229986,-0.2765599787,0.3662221134,-0.4882961512,-0.7324442267,0.1230506301,-0.9927060604,-0.1268349290,-0.3657338321,0.3191015422,-0.7354961038,-0.0265649259,-0.0113288760,-0.0046011209,-0.4095234275,0.3691024482,0.6520150304,-0.5207433701,0.3051851094,-0.6714072227,-0.3662221134,-0.9004181027,0.1549119502,-0.4398327470,-0.1934873462,0.5013580918,-0.3797723353,-0.0008198619,0.0188937038,-0.0244938135,0.3177984357,0.7469747066,0.3872227073,-0.4374182224,
2245.661,0.1220740378,0.0000000000,0.9155552983,0.0147709586,-0.0098879971,-1.0130923986,-0.1202429309,0.5322428346,-0.3857539594,0.0002407879,0.0052245678,-0.0133121014,-0.0104125589,0.6367276907,0.7711752653,-0.0012011766,0.0000000000,-0.2441480756,0.3662221134,0.9198278785,0.0620136112,-0.3924680352,-0.3343607783,0.6324656010,-0.3280129433,0.0038000941,0.0117626041,0.0058541298,0.4736599922,-0.3814902902,-0.7442240119,-0.2765594423,0.3051851094,-0.6103702188,-0.7324442267,0.1198767051,-0.9936826825,-0.1264687032,-0.3629261255,0.3170262873,-0.7304910421,-0.0296962336,-0.0122967362,-0.0042554587,-0.4094891548,0.3690785766,0.6520203948,-0.5207802057,0.2441480756,-0.6103702188,-0.3662221134,-0.9004181027,0.1543015838,-0.4394665360,-0.1944639385,0.5033112764,-0.3746452332,-0.0008214116,0.0182767808,-0.0241264701,0.3178036511,0.7469729781,0.3872268200,-0.4374137521,
