Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1522.945,0.2441480756,-0.5493331552,-0.3662221134,-0.8401135206,0.1512497365,-0.5471358299,-0.3574327826,0.4858546853,-0.1362346262,-0.1091110110,-0.2491789460,0.0055936575,-0.4532484412,-0.6262749434,-0.6199901104,0.1349115223,0.2441480756,-0.5493331552,-0.3662221134,-0.8401135206,0.1512497365,-0.5471358299,-0.3574327826,0.4858546853,-0.1362346262,-0.1091110110,-0.2491789460,0.0055936575,-0.4532484412,-0.6262749434,-0.6199901104,0.1349115223,0.0610370189,-0.4272591472,-0.7324442267,-0.1522263288,0.9527878761,-0.2811365128,-0.4242072701,0.5129551291,0.0538346507,0.0324465930,0.0096200109,-0.0042217374,-0.2281376719,-0.1554923952,-0.7839149237,-0.5563234687,0.4272591472,-0.6714072227,-0.2441480756,-0.8415784240,0.1492965519,-0.5453047156,-0.3584093750,0.4801172018,-0.1358684003,-0.1098632216,-0.2498668134,0.0073968768,0.4531268477,0.6258116364,0.6204465628,-0.1353708208,
1523.061,0.4272591472,-0.6714072227,-0.2441480756,-0.8415784240,0.1492965519,-0.5453047156,-0.3584093750,0.4801172018,-0.1358684003,-0.1098632216,-0.2498668134,0.0073968768,-0.4531268477,-0.6258116364,-0.6204465628,0.1353708208,0.4272591472,-0.6714072227,-0.2441480756,-0.8415784240,0.1492965519,-0.5453047156,-0.3584093750,0.4801172018,-0.1358684003,-0.1098632216,-0.2498668134,0.0073968768,-0.4531268477,-0.6258116364,-0.6204465628,0.1353708208,0.1220740378,-0.0610370189,-0.8545182943,-0.1512497365,0.9543748498,-0.2805261314,-0.4239631295,0.5113681555,0.0504165776,0.0333945900,0.0112093091,-0.0035844147,-0.2281139642,-0.1554891467,-0.7839241624,-0.5563210845,0.3051851094,-0.5493331552,-0.3662221134,-0.8402355909,0.1510055810,-0.5475020409,-0.3551133871,0.4853663743,-0.1414838135,-0.1078258753,-0.2469010204,0.0051859617,0.4529931843,0.6253830194,0.6208730936,-0.1358424723,
1523.177,0.3051851094,-0.5493331552,-0.3662221134,-0.8402355909,0.1510055810,-0.5475020409,-0.3551133871,0.4853663743,-0.1414838135,-0.1078258753,-0.2469010204,0.0051859617,-0.4529931843,-0.6253830194,-0.6208730936,0.1358424723,0.3051851094,-0.5493331552,-0.3662221134,-0.8402355909,0.1510055810,-0.5475020409,-0.3551133871,0.4853663743,-0.1414838135,-0.1078258753,-0.2469010204,0.0051859617,-0.4529931843,-0.6253830194,-0.6208730936,0.1358424723,0.1831110567,-0.4272591472,-0.7324442267,-0.1502731442,0.9508346915,-0.2811365128,-0.4213995934,0.5138096213,0.0494399853,0.0343380123,0.0076722503,-0.0041620731,-0.2281115502,-0.1555210799,-0.7839282751,-0.5563073754,0.3051851094,-0.6714072227,-0.3051851094,-0.8406018019,0.1495406926,-0.5465254784,-0.3598742783,0.4839015007,-0.1375774443,-0.1074898243,-0.2471161783,0.0061296821,0.4528741241,0.6249275804,0.6213183403,-0.1362990290,
1523.293,0.3051851094,-0.6714072227,-0.3051851094,-0.8406018019,0.1495406926,-0.5465254784,-0.3598742783,0.4839015007,-0.1375774443,-0.1074898243,-0.2471161783,0.0061296821,-0.4528741241,-0.6249275804,-0.6213183403,0.1362990290,0.3051851094,-0.6714072227,-0.3051851094,-0.8406018019,0.1495406926,-0.5465254784,-0.3598742783,0.4839015007,-0.1375774443,-0.1074898243,-0.2471161783,0.0061296821,-0.4528741241,-0.6249275804,-0.6213183403,0.1362990290,0.0610370189,-0.2441480756,-0.8545182943,-0.1503952146,0.9532761574,-0.2805261314,-0.4229865372,0.5158848763,0.0531022064,0.0341931731,0.0101126432,-0.0035394728,-0.2281150073,-0.1555478126,-0.7839270234,-0.5563004613,0.3662221134,-0.6103702188,-0.3051851094,-0.8413342834,0.1501510739,-0.5457929969,-0.3574327826,0.4875636995,-0.1366008520,-0.1075285673,-0.2452580333,0.0068357587,0.4527489245,0.6244886518,0.6217488647,-0.1367626488,
1523.409,0.3662221134,-0.6103702188,-0.3051851094,-0.8413342834,0.1501510739,-0.5457929969,-0.3574327826,0.4875636995,-0.1366008520,-0.1075285673,-0.2452580333,0.0068357587,-0.4527489245,-0.6244886518,-0.6217488647,0.1367626488,0.3662221134,-0.6103702188,-0.3051851094,-0.8413342834,0.1501510739,-0.5457929969,-0.3574327826,0.4875636995,-0.1366008520,-0.1075285673,-0.2452580333,0.0068357587,-0.4527489245,-0.6244886518,-0.6217488647,0.1367626488,0.1220740378,-0.1220740378,-0.8545182943,-0.1507614404,0.9535202980,-0.2806482017,-0.4249397218,0.5133213401,0.0545670949,0.0337999165,0.0103596449,-0.0036347210,-0.2281073183,-0.1555657238,-0.7839317918,-0.5562915802,0.3051851094,-0.5493331552,-0.3662221134,-0.8399914503,0.1492965519,-0.5471358299,-0.3551133871,0.4851222336,-0.1391644031,-0.1055027246,-0.2448643744,0.0054772496,0.4526162446,0.6240623593,0.6221704483,-0.1372297257,
1523.525,0.3051851094,-0.5493331552,-0.3662221134,-0.8399914503,0.1492965519,-0.5471358299,-0.3551133871,0.4851222336,-0.1391644031,-0.1055027246,-0.2448643744,0.0054772496,-0.4526162446,-0.6240623593,-0.6221704483,0.1372297257,0.3051851094,-0.5493331552,-0.3662221134,-0.8399914503,0.1492965519,-0.5471358299,-0.3551133871,0.4851222336,-0.1391644031,-0.1055027246,-0.2448643744,0.0054772496,-0.4526162446,-0.6240623593,-0.6221704483,0.1372297257,0.1220740378,-0.5493331552,-0.6714072227,-0.1518601030,0.9531540871,-0.2799157798,-0.4227423966,0.5111240149,0.0437025055,0.0326707214,0.0099898577,-0.0028931797,-0.2280920744,-0.1555718631,-0.7839336991,-0.5562937260,0.3662221134,-0.6103702188,-0.3051851094,-0.8426770568,0.1495406926,-0.5457929969,-0.3552354574,0.4882961512,-0.1336710751,-0.1075009704,-0.2433796227,0.0067894459,0.4524923563,0.6236283183,0.6225931048,-0.1376932710,
1523.641,0.3662221134,-0.6103702188,-0.3051851094,-0.8426770568,0.1495406926,-0.5457929969,-0.3552354574,0.4882961512,-0.1336710751,-0.1075009704,-0.2433796227,0.0067894459,-0.4524923563,-0.6236283183,-0.6225931048,0.1376932710,0.3662221134,-0.6103702188,-0.3051851094,-0.8426770568,0.1495406926,-0.5457929969,-0.3552354574,0.4882961512,-0.1336710751,-0.1075009704,-0.2433796227,0.0067894459,-0.4524923563,-0.6236283183,-0.6225931048,0.1376932710,0.1831110567,-0.0610370189,-0.8545182943,-0.1503952146,0.9530320168,-0.2805261314,-0.4261604548,0.5153965950,0.0532242805,0.0341044962,0.0098733306,-0.0034647882,-0.2280753404,-0.1555832475,-0.7839435935,-0.5562831759,0.3051851094,-0.5493331552,-0.3662221134,-0.8409680724,0.1490523964,-0.5467696190,-0.3570665717,0.4832911193,-0.1413617432,-0.1051153541,-0.2426289469,0.0057920218,0.4523617625,0.6232067943,0.6230068207,-0.1381593943,
1523.757,0.3051851094,-0.5493331552,-0.3662221134,-0.8409680724,0.1490523964,-0.5467696190,-0.3570665717,0.4832911193,-0.1413617432,-0.1051153541,-0.2426289469,0.0057920218,-0.4523617625,-0.6232067943,-0.6230068207,0.1381593943,0.3051851094,-0.5493331552,-0.3662221134,-0.8409680724,0.1490523964,-0.5467696190,-0.3570665717,0.4832911193,-0.1413617432,-0.1051153541,-0.2426289469,0.0057920218,-0.4523617625,-0.6232067943,-0.6230068207,0.1381593943,0.1220740378,-0.3662221134,-0.7934812307,-0.1522263288,0.9525437355,-0.2808923721,-0.4242072701,0.5125888586,0.0477309488,0.0322564244,0.0093873143,-0.0038111210,-0.2280648500,-0.1555873901,-0.7839493752,-0.5562785268,0.3662221134,-0.6714072227,-0.3051851094,-0.8417004943,0.1514938772,-0.5466475487,-0.3590197563,0.4857325852,-0.1380657405,-0.1051706672,-0.2389658391,0.0058763623,0.4522420466,0.6227801442,0.6234180331,-0.1386188567,
1523.873,0.3662221134,-0.6714072227,-0.3051851094,-0.8417004943,0.1514938772,-0.5466475487,-0.3590197563,0.4857325852,-0.1380657405,-0.1051706672,-0.2389658391,0.0058763623,-0.4522420466,-0.6227801442,-0.6234180331,0.1386188567,0.3662221134,-0.6714072227,-0.3051851094,-0.8417004943,0.1514938772,-0.5466475487,-0.3590197563,0.4857325852,-0.1380657405,-0.1051706672,-0.2389658391,0.0058763623,-0.4522420466,-0.6227801442,-0.6234180331,0.1386188567,0.1220740378,-0.2441480756,-0.8545182943,-0.1507614404,0.9538865089,-0.2806482017,-0.4253059626,0.5129551291,0.0500503555,0.0337004364,0.0107326508,-0.0035451353,-0.2280515432,-0.1555910856,-0.7839553952,-0.5562741756,0.2441480756,-0.5493331552,-0.4272591472,-0.8402355909,0.1499069184,-0.5481124520,-0.3563341200,0.4839015007,-0.1375774443,-0.1030400991,-0.2393257171,0.0043896437,0.4521147013,0.6223529577,0.6238358617,-0.1390728205,
