Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
973.453,0.4882961512,-0.6103702188,-0.3051851094,-0.5893734694,0.6645710468,-0.5177159905,-0.0683614612,0.4658345282,-0.1464888453,0.1813949347,0.1896911860,-0.0926457047,-0.4658016562,-0.7406885028,-0.4051652253,0.2655064464,0.4882961512,-0.6103702188,-0.3051851094,-0.5893734694,0.6645710468,-0.5177159905,-0.0683614612,0.4658345282,-0.1464888453,0.1813946962,0.1896911263,-0.0926453173,-0.4658015072,-0.7406886220,-0.4051651657,0.2655063570,0.1831110567,-0.2441480756,-0.7934812307,-0.0979033783,0.9685354233,-0.2491531074,-0.5310220718,0.4876857698,0.0393078402,0.0204802528,0.3167188168,0.5000081062,-0.1547088921,-0.2516707480,-0.9008251429,-0.3185663819,0.3662221134,-0.6714072227,-0.3051851094,-0.5881527066,0.6665242314,-0.5185705423,-0.0673848689,0.4671773314,-0.1532029212,0.1818397641,0.1907578111,-0.0930858254,0.4658582807,0.7409731150,0.4049004316,-0.2650164068,
973.569,0.3662221134,-0.6714072227,-0.3051851094,-0.5881527066,0.6665242314,-0.5185705423,-0.0673848689,0.4671773314,-0.1532029212,0.1818397641,0.1907577813,-0.0930856466,-0.4658582807,-0.7409731150,-0.4049006104,0.2650162578,0.3662221134,-0.6714072227,-0.3051851094,-0.5881527066,0.6665242314,-0.5185705423,-0.0673848689,0.4671773314,-0.1532029212,0.1818395257,0.1907578111,-0.0930852592,-0.4658581316,-0.7409732342,-0.4049005508,0.2650161684,0.1831110567,-0.2441480756,-0.7324442267,-0.1009552330,0.9684133530,-0.2501296997,-0.5321207047,0.4873195589,0.0391857661,0.0175551027,0.3145118952,0.4971928596,-0.1552267969,-0.2517389357,-0.9002954960,-0.3197551370,0.3662221134,-0.6103702188,-0.3051851094,-0.5899838209,0.6655476689,-0.5162510872,-0.0678731650,0.4679097831,-0.1470992118,0.1792391539,0.1889037490,-0.0903569758,0.4659260809,0.7412368059,0.4046704769,-0.2645105422,
973.685,0.3662221134,-0.6103702188,-0.3051851094,-0.5899838209,0.6655476689,-0.5162510872,-0.0678731650,0.4679097831,-0.1470992118,0.1792390943,0.1889037490,-0.0903568268,-0.4659260809,-0.7412368059,-0.4046706557,0.2645103931,0.3662221134,-0.6103702188,-0.3051851094,-0.5899838209,0.6655476689,-0.5162510872,-0.0678731650,0.4679097831,-0.1470992118,0.1792387962,0.1889037490,-0.0903564095,-0.4659259319,-0.7412369251,-0.4046705961,0.2645103037,0.1220740378,-0.1831110567,-0.7324442267,-0.0987579003,0.9674367309,-0.2518387437,-0.5300454497,0.4854884446,0.0417493209,0.0198587701,0.3114604354,0.4936470389,-0.1557339877,-0.2518078387,-0.8997660875,-0.3209424317,0.3051851094,-0.4882961512,-0.3662221134,-0.5908383727,0.6661580205,-0.5168614984,-0.0654316843,0.4659565985,-0.1566209942,0.1776141524,0.1886462271,-0.0905491710,0.4659734666,0.7415243983,0.4044018686,-0.2640314102,
973.801,0.3051851094,-0.4882961512,-0.3662221134,-0.5908383727,0.6661580205,-0.5168614984,-0.0654316843,0.4659565985,-0.1566209942,0.1776140332,0.1886462569,-0.0905490220,-0.4659734368,-0.7415243387,-0.4044020176,0.2640312612,0.3051851094,-0.4882961512,-0.3662221134,-0.5908383727,0.6661580205,-0.5168614984,-0.0654316843,0.4659565985,-0.1566209942,0.1776138544,0.1886462271,-0.0905486941,-0.4659733176,-0.7415245175,-0.4044019878,0.2640311718,0.1220740378,-0.3662221134,-0.9765923023,-0.0992461964,0.9680471420,-0.2496414036,-0.5283364654,0.4895168841,0.0367442854,0.0195306167,0.3100079894,0.4939991832,-0.1562639922,-0.2518630028,-0.8992378712,-0.3221199512,0.2441480756,-0.7324442267,-0.3051851094,-0.5885189176,0.6654255986,-0.5182042718,-0.0616473891,0.4681539237,-0.1501510739,0.1791724563,0.1870369911,-0.0915040672,0.4660407305,0.7417929769,0.4041490555,-0.2635449469,
973.917,0.2441480756,-0.7324442267,-0.3051851094,-0.5885189176,0.6654255986,-0.5182042718,-0.0616473891,0.4681539237,-0.1501510739,0.1791723371,0.1870370507,-0.0915038586,-0.4660407007,-0.7417929173,-0.4041492045,0.2635447979,0.2441480756,-0.7324442267,-0.3051851094,-0.5885189176,0.6654255986,-0.5182042718,-0.0616473891,0.4681539237,-0.1501510739,0.1791722178,0.1870369911,-0.0915035605,-0.4660405815,-0.7417930961,-0.4041491747,0.2635447085,0.1831110567,-0.2441480756,-0.6103702188,-0.1021759734,0.9680471420,-0.2498855591,-0.5278481245,0.4880520105,0.0426038392,0.0167158768,0.3079616427,0.4919214249,-0.1567786187,-0.2519457042,-0.8987047076,-0.3232908845,0.3051851094,-0.4882961512,-0.3051851094,-0.5898617506,0.6675008535,-0.5161290169,-0.0661641285,0.4636372030,-0.1506393701,0.1770559549,0.1882385612,-0.0890184045,0.4661012888,0.7420647144,0.4039039910,-0.2630480826,
974.033,0.3051851094,-0.4882961512,-0.3051851094,-0.5898617506,0.6675008535,-0.5161290169,-0.0661641285,0.4636372030,-0.1506393701,0.1770558357,0.1882386208,-0.0890181959,-0.4661012590,-0.7420646548,-0.4039041400,0.2630479336,0.3051851094,-0.4882961512,-0.3051851094,-0.5898617506,0.6675008535,-0.5161290169,-0.0661641285,0.4636372030,-0.1506393701,0.1770557165,0.1882385612,-0.0890179276,-0.4661011398,-0.7420648336,-0.4039041102,0.2630478442,0.1220740378,-0.2441480756,-0.8545182943,-0.0960722715,0.9682912827,-0.2504959404,-0.5298013091,0.4895168841,0.0488296151,0.0229312479,0.3061680198,0.4894753397,-0.1572883129,-0.2520194352,-0.8981732726,-0.3244606853,0.3051851094,-0.5493331552,-0.3051851094,-0.5872982144,0.6650593877,-0.5173497796,-0.0679952428,0.4643696547,-0.1572313607,0.1788483262,0.1849319935,-0.0898270607,0.4661491811,0.7423506975,0.4036334753,-0.2625710964,
974.149,0.3051851094,-0.5493331552,-0.3051851094,-0.5872982144,0.6650593877,-0.5173497796,-0.0679952428,0.4643696547,-0.1572313607,0.1788481474,0.1849320531,-0.0898268819,-0.4661491513,-0.7423506379,-0.4036336243,0.2625709474,0.3051851094,-0.5493331552,-0.3051851094,-0.5872982144,0.6650593877,-0.5173497796,-0.0679952428,0.4643696547,-0.1572313607,0.1788479686,0.1849319935,-0.0898265541,-0.4661490321,-0.7423508167,-0.4036335945,0.2625708580,0.1220740378,-0.1831110567,-0.7934812307,-0.1015655994,0.9680471420,-0.2500076294,-0.5304117203,0.4911038578,0.0382091738,0.0175608397,0.3039004207,0.4881288409,-0.1577953398,-0.2520724237,-0.8976475000,-0.3256261647,0.3051851094,-0.6103702188,-0.3662221134,-0.5904721022,0.6655476689,-0.5169835687,-0.0667745024,0.4676656425,-0.1571092904,0.1749230623,0.1845735312,-0.0890672803,0.4662001431,0.7426264286,0.4033699036,-0.2621054947,
974.265,0.3051851094,-0.6103702188,-0.3662221134,-0.5904721022,0.6655476689,-0.5169835687,-0.0667745024,0.4676656425,-0.1571092904,0.1749229431,0.1845735312,-0.0890671015,-0.4662001133,-0.7426263690,-0.4033700526,0.2621053457,0.3051851094,-0.6103702188,-0.3662221134,-0.5904721022,0.6655476689,-0.5169835687,-0.0667745024,0.4676656425,-0.1571092904,0.1749228239,0.1845734715,-0.0890667737,-0.4661999941,-0.7426265478,-0.4033700526,0.2621052563,0.1831110567,-0.4882961512,-0.8545182943,-0.0993682668,0.9687795639,-0.2487868965,-0.5317544937,0.4900051951,0.0351573229,0.0199157670,0.3026261926,0.4875142872,-0.1583162099,-0.2521179020,-0.8971235156,-0.3267803490,0.3051851094,-0.7324442267,-0.3051851094,-0.5893734694,0.6678670645,-0.5157628059,-0.0607928708,0.4660786688,-0.1521042585,0.1752726436,0.1860311329,-0.0874772370,0.4662651420,0.7428939342,0.4031061232,-0.2616372406,
974.381,0.3051851094,-0.7324442267,-0.3051851094,-0.5893734694,0.6678670645,-0.5157628059,-0.0607928708,0.4660786688,-0.1521042585,0.1752724648,0.1860311627,-0.0874770880,-0.4662651122,-0.7428938746,-0.4031062722,0.2616370916,0.3051851094,-0.7324442267,-0.3051851094,-0.5893734694,0.6678670645,-0.5157628059,-0.0607928708,0.4660786688,-0.1521042585,0.1752723455,0.1860311329,-0.0874767601,-0.4662649930,-0.7428940535,-0.4031062722,0.2616370022,0.1220740378,0.2441480756,-0.7934812307,-0.0974150822,0.9664601684,-0.2517166734,-0.5309000015,0.4890286028,0.0383312479,0.0219139978,0.2983140349,0.4827699065,-0.1587716937,-0.2521501482,-0.8966085315,-0.3279455304,0.2441480756,-0.3051851094,-0.4272591472,-0.5886409879,0.6643269062,-0.5189367533,-0.0662862062,0.4644917250,-0.1525925547,0.1752358079,0.1816599369,-0.0902145803,0.4663084149,0.7431626320,0.4028815925,-0.2611424625,
