Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
4703.085,0.3662221134,-0.9765923023,-0.0610370189,-0.7315897346,0.5113681555,-0.4870754182,-0.1516159624,0.4907376468,-0.1547898799,0.0078947544,0.0217257142,-0.0248260796,-0.4718711376,-0.7252740264,-0.4531506002,0.2149719447,0.3662221134,-0.9765923023,-0.0610370189,-0.7315897346,0.5113681555,-0.4870754182,-0.1516159624,0.4907376468,-0.1547898799,0.0078947544,0.0217257142,-0.0248260796,-0.4718711376,-0.7252740264,-0.4531506002,0.2149719447,-1.0376293659,0.4272591472,-4.2115545273,-0.7362285256,0.2293771207,-0.6515091658,-0.7060762644,0.3974730670,-0.0946073830,0.0258398652,-0.0391377509,-0.0621439815,-0.4520915747,-0.2390092164,-0.8589530587,-0.0305061936,-0.1831110567,-0.7324442267,-0.7934812307,-0.7389141321,0.5172277093,-0.4847559929,-0.1460005492,0.4876857698,-0.1478316635,0.0006098151,0.0275942385,-0.0225602984,0.4719028473,0.7252285480,0.4531937540,-0.2149647325,
4703.201,-0.1831110567,-0.7324442267,-0.7934812307,-0.7389141321,0.5172277093,-0.4847559929,-0.1460005492,0.4876857698,-0.1478316635,0.0006098151,0.0275942385,-0.0225602984,-0.4719028473,-0.7252285480,-0.4531937540,0.2149647325,-0.1831110567,-0.7324442267,-0.7934812307,-0.7389141321,0.5172277093,-0.4847559929,-0.1460005492,0.4876857698,-0.1478316635,0.0006098151,0.0275942385,-0.0225602984,-0.4719028473,-0.7252285480,-0.4531937540,0.2149647325,-0.7934812307,0.1831110567,-2.4414808750,-0.7442854047,0.2342600822,-0.6506546140,-0.7087618709,0.3922238946,-0.0859401226,0.0177406073,-0.0338252187,-0.0610392690,-0.4519690275,-0.2390412837,-0.8590168953,-0.0302711129,-0.4882961512,-0.0610370189,-0.8545182943,-0.7337870598,0.5152745247,-0.4867091775,-0.1453901827,0.4889065325,-0.1564989239,0.0057158470,0.0256331861,-0.0244879127,0.4719064534,0.7252130508,0.4532328546,-0.2149271220,
4703.317,-0.4882961512,-0.0610370189,-0.8545182943,-0.7337870598,0.5152745247,-0.4867091775,-0.1453901827,0.4889065325,-0.1564989239,0.0057158470,0.0256331861,-0.0244879127,-0.4719064534,-0.7252130508,-0.4532328546,0.2149271220,-0.4882961512,-0.0610370189,-0.8545182943,-0.7337870598,0.5152745247,-0.4867091775,-0.1453901827,0.4889065325,-0.1564989239,0.0057158470,0.0256331861,-0.0244879127,-0.4719064534,-0.7252130508,-0.4532328546,0.2149271220,-0.6103702188,0.1831110567,-0.9765923023,-0.7486800551,0.2410962284,-0.6581011415,-0.7066866159,0.3932004869,-0.0931424946,0.0132222176,-0.0267601907,-0.0682219863,-0.4518357217,-0.2392161340,-0.8590450287,-0.0300820246,0.0000000000,-0.3051851094,-0.3051851094,-0.7320780158,0.5136875510,-0.4846339226,-0.1521042585,0.4900051951,-0.1532029212,0.0073785186,0.0240074396,-0.0223798156,0.4719100595,0.7252126336,0.4532512724,-0.2148810029,
4703.433,0.0000000000,-0.3051851094,-0.3051851094,-0.7320780158,0.5136875510,-0.4846339226,-0.1521042585,0.4900051951,-0.1532029212,0.0073785186,0.0240074396,-0.0223798156,-0.4719100595,-0.7252126336,-0.4532512724,0.2148810029,0.0000000000,-0.3051851094,-0.3051851094,-0.7320780158,0.5136875510,-0.4846339226,-0.1521042585,0.4900051951,-0.1532029212,0.0073785186,0.0240074396,-0.0223798156,-0.4719100595,-0.7252126336,-0.4532512724,0.2148810029,0.3662221134,-2.5635547638,0.5493331552,-0.7434309125,0.2380443811,-0.6517533064,-0.7070528269,0.3947874308,-0.0827661976,0.0185647011,-0.0296816528,-0.0619355440,-0.4518866837,-0.2395405620,-0.8589367867,-0.0298250522,0.3051851094,-0.6714072227,-0.1220740378,-0.7373272181,0.5172277093,-0.4857325852,-0.1485641003,0.4897610545,-0.1516159624,0.0021017194,0.0275075436,-0.0234763622,0.4719158709,0.7252240181,0.4532347322,-0.2148657590,
4703.549,0.3051851094,-0.6714072227,-0.1220740378,-0.7373272181,0.5172277093,-0.4857325852,-0.1485641003,0.4897610545,-0.1516159624,0.0021017194,0.0275075436,-0.0234763622,-0.4719158709,-0.7252240181,-0.4532347322,0.2148657590,0.3051851094,-0.6714072227,-0.1220740378,-0.7373272181,0.5172277093,-0.4857325852,-0.1485641003,0.4897610545,-0.1516159624,0.0021017194,0.0275075436,-0.0234763622,-0.4719158709,-0.7252240181,-0.4532347322,0.2148657590,0.0610370189,-1.2207404375,-0.6103702188,-0.7539292574,0.2413403690,-0.6469923854,-0.7072969675,0.3955198824,-0.0820337534,0.0081045628,-0.0261421502,-0.0571135283,-0.4518693686,-0.2397594452,-0.8588934541,-0.0295744613,0.4882961512,-0.6714072227,-0.2441480756,-0.7330545783,0.5178380609,-0.4878078699,-0.1521042585,0.4922025204,-0.1512497365,0.0063425303,0.0281011760,-0.0255188346,0.4719074070,0.7252355218,0.4532339871,-0.2148461789,
4703.665,0.4882961512,-0.6714072227,-0.2441480756,-0.7330545783,0.5178380609,-0.4878078699,-0.1521042585,0.4922025204,-0.1512497365,0.0063425303,0.0281011760,-0.0255188346,-0.4719074070,-0.7252355218,-0.4532339871,0.2148461789,0.4882961512,-0.6714072227,-0.2441480756,-0.7330545783,0.5178380609,-0.4878078699,-0.1521042585,0.4922025204,-0.1512497365,0.0063425303,0.0281011760,-0.0255188346,-0.4719074070,-0.7252355218,-0.4532339871,0.2148461789,-0.9765923023,0.8545182943,0.6103702188,-0.7519760728,0.2446363717,-0.6463820338,-0.7070528269,0.3953978121,-0.0883816034,0.0098189116,-0.0228902549,-0.0562148690,-0.4517148435,-0.2400357276,-0.8589002490,-0.0294977278,0.4272591472,-0.5493331552,-0.0610370189,-0.7297586203,0.5160069466,-0.4873195589,-0.1486861855,0.4885402918,-0.1473433673,0.0095781088,0.0262248516,-0.0249817371,0.4719015956,0.7252511382,0.4532361627,-0.2148021609,
4703.781,0.4272591472,-0.5493331552,-0.0610370189,-0.7297586203,0.5160069466,-0.4873195589,-0.1486861855,0.4885402918,-0.1473433673,0.0095781088,0.0262248516,-0.0249817371,-0.4719015956,-0.7252511382,-0.4532361627,0.2148021609,0.4272591472,-0.5493331552,-0.0610370189,-0.7297586203,0.5160069466,-0.4873195589,-0.1486861855,0.4885402918,-0.1473433673,0.0095781088,0.0262248516,-0.0249817371,-0.4719015956,-0.7252511382,-0.4532361627,0.2148021609,-1.3428144455,0.0610370189,-0.7934812307,-0.7489241958,0.2447584420,-0.6490676403,-0.7134006619,0.3947874308,-0.0864284188,0.0127678514,-0.0226646215,-0.0587209463,-0.4516224563,-0.2401737124,-0.8589138985,-0.0293902475,0.1831110567,-0.6103702188,-0.3662221134,-0.7328104377,0.5153965950,-0.4826807380,-0.1469771415,0.4895168841,-0.1449018866,0.0065127015,0.0255917907,-0.0203453004,0.4719181955,0.7252311707,0.4532666504,-0.2147684395,
4703.897,0.1831110567,-0.6103702188,-0.3662221134,-0.7328104377,0.5153965950,-0.4826807380,-0.1469771415,0.4895168841,-0.1449018866,0.0065127015,0.0255917907,-0.0203453004,-0.4719181955,-0.7252311707,-0.4532666504,0.2147684395,0.1831110567,-0.6103702188,-0.3662221134,-0.7328104377,0.5153965950,-0.4826807380,-0.1469771415,0.4895168841,-0.1449018866,0.0065127015,0.0255917907,-0.0203453004,-0.4719181955,-0.7252311707,-0.4532666504,0.2147684395,-1.0376293659,0.8545182943,0.0000000000,-0.7374492884,0.2434156388,-0.6508987546,-0.7109591961,0.3928342462,-0.0911893100,0.0239940882,-0.0239813775,-0.0602195263,-0.4514435828,-0.2403897792,-0.8589502573,-0.0293102972,0.1831110567,-0.3662221134,0.0000000000,-0.7356181741,0.5171056390,-0.4860988259,-0.1478316635,0.4895168841,-0.1485641003,0.0036385059,0.0272336602,-0.0237281621,0.4719244838,0.7252414823,0.4532698095,-0.2147136182,
4704.013,0.1831110567,-0.3662221134,0.0000000000,-0.7356181741,0.5171056390,-0.4860988259,-0.1478316635,0.4895168841,-0.1485641003,0.0036385059,0.0272336602,-0.0237281621,-0.4719244838,-0.7252414823,-0.4532698095,0.2147136182,0.1831110567,-0.3662221134,0.0000000000,-0.7356181741,0.5171056390,-0.4860988259,-0.1478316635,0.4895168841,-0.1485641003,0.0036385059,0.0272336602,-0.0237281621,-0.4719244838,-0.7252414823,-0.4532698095,0.2147136182,-1.6479995251,0.6103702188,0.7324442267,-0.7499008179,0.2537919283,-0.6510208249,-0.7099826336,0.3930784166,-0.0842310861,0.0113025904,-0.0137755573,-0.0601097345,-0.4513146579,-0.2406333089,-0.8589495420,-0.0293176714,0.2441480756,-0.3662221134,0.0000000000,-0.7306131124,0.5205237269,-0.4864650369,-0.1489303261,0.4904934764,-0.1491744816,0.0085590482,0.0305686593,-0.0240476131,0.4719291329,0.7252590060,0.4532671571,-0.2146489620,
