Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
5750.449,0.0610370189,-0.4272591472,-0.3662221134,-0.7986083627,0.3565782607,-0.5276039839,-0.2451246679,0.4976958632,-0.1419721097,0.0029130578,0.0264152586,-0.0288057625,-0.4442845881,-0.6615684032,-0.5585424304,0.2306774706,0.0610370189,-0.4272591472,-0.3662221134,-0.7986083627,0.3565782607,-0.5276039839,-0.2451246679,0.4976958632,-0.1419721097,0.0029130578,0.0264152586,-0.0288057625,-0.4442845881,-0.6615684032,-0.5585424304,0.2306774706,0.1220740378,0.3051851094,-1.0376293659,-0.0969267860,0.9562059641,-0.2978606522,-0.4511856437,0.5100253224,0.0489516892,0.0277523175,0.0093107224,-0.0008987486,-0.1876749545,-0.1530338526,-0.7907621264,-0.5624030232,0.0610370189,-0.5493331552,-0.4272591472,-0.7990966439,0.3512070179,-0.5202795267,-0.2469557822,0.4940336347,-0.1441694349,0.0024235249,0.0210311115,-0.0214879513,0.4442907274,0.6615671515,0.5585408211,-0.2306728363,
5750.565,0.0610370189,-0.5493331552,-0.4272591472,-0.7990966439,0.3512070179,-0.5202795267,-0.2469557822,0.4940336347,-0.1441694349,0.0024235249,0.0210311115,-0.0214879513,-0.4442907274,-0.6615671515,-0.5585408211,0.2306728363,0.0610370189,-0.5493331552,-0.4272591472,-0.7990966439,0.3512070179,-0.5202795267,-0.2469557822,0.4940336347,-0.1441694349,0.0024235249,0.0210311115,-0.0214879513,-0.4442907274,-0.6615671515,-0.5585408211,0.2306728363,0.0000000000,-0.5493331552,-0.4272591472,-0.0959501937,0.9548631310,-0.2937101424,-0.4575335085,0.5129551291,0.0521256141,0.0286819413,0.0079509020,0.0032173693,-0.1876818240,-0.1530754119,-0.7907432318,-0.5624160171,0.3662221134,-0.6103702188,-0.3051851094,-0.7987304330,0.3510849476,-0.5212561488,-0.2446363717,0.4950102270,-0.1445356607,0.0027844310,0.0209065378,-0.0224577188,0.4442802966,0.6615893841,0.5585175753,-0.2306855172,
5750.681,0.3662221134,-0.6103702188,-0.3051851094,-0.7987304330,0.3510849476,-0.5212561488,-0.2446363717,0.4950102270,-0.1445356607,0.0027844310,0.0209065378,-0.0224577188,-0.4442802966,-0.6615893841,-0.5585175753,0.2306855172,0.3662221134,-0.6103702188,-0.3051851094,-0.7987304330,0.3510849476,-0.5212561488,-0.2446363717,0.4950102270,-0.1445356607,0.0027844310,0.0209065378,-0.0224577188,-0.4442802966,-0.6615893841,-0.5585175753,0.2306855172,0.1220740378,-1.4648884535,-0.5493331552,-0.0937528610,0.9515671134,-0.2854090929,-0.4561906755,0.5139316916,0.0489516892,0.0308920294,0.0046355128,0.0114514828,-0.1877513826,-0.1531483084,-0.7907079458,-0.5624225736,0.6714072227,-0.7324442267,-0.3051851094,-0.7999511957,0.3509628475,-0.5207678676,-0.2448805273,0.4950102270,-0.1450239569,0.0015723705,0.0208102465,-0.0219662786,0.4442590773,0.6616205573,0.5584821105,-0.2307229638,
5750.797,0.6714072227,-0.7324442267,-0.3051851094,-0.7999511957,0.3509628475,-0.5207678676,-0.2448805273,0.4950102270,-0.1450239569,0.0015723705,0.0208102465,-0.0219662786,-0.4442590773,-0.6616205573,-0.5584821105,0.2307229638,0.6714072227,-0.7324442267,-0.3051851094,-0.7999511957,0.3509628475,-0.5207678676,-0.2448805273,0.4950102270,-0.1450239569,0.0015723705,0.0208102465,-0.0219662786,-0.4442590773,-0.6616205573,-0.5584821105,0.2307229638,0.1831110567,0.0610370189,-0.6103702188,-0.0902127177,0.9536423683,-0.2918790281,-0.4541154206,0.5130771995,0.0506607257,0.0343565196,0.0067020655,0.0049855411,-0.1877133846,-0.1531589180,-0.7907071710,-0.5624334812,0.3051851094,-0.5493331552,-0.3662221134,-0.7981200814,0.3526718915,-0.5238196850,-0.2459791899,0.4907376468,-0.1447798163,0.0033882856,0.0225143135,-0.0249969959,0.4442465603,0.6616395712,0.5584689975,-0.2307242006,
5750.913,0.3051851094,-0.5493331552,-0.3662221134,-0.7981200814,0.3526718915,-0.5238196850,-0.2459791899,0.4907376468,-0.1447798163,0.0033882856,0.0225143135,-0.0249969959,-0.4442465603,-0.6616395712,-0.5584689975,0.2307242006,0.3051851094,-0.5493331552,-0.3662221134,-0.7981200814,0.3526718915,-0.5238196850,-0.2459791899,0.4907376468,-0.1447798163,0.0033882856,0.0225143135,-0.0249969959,-0.4442465603,-0.6616395712,-0.5584689975,0.2307242006,0.1831110567,-0.3051851094,-0.6714072227,-0.0950956792,0.9537644386,-0.2918790281,-0.4555803239,0.5107578039,0.0467543565,0.0294514000,0.0068196058,0.0049804747,-0.1876982898,-0.1531551331,-0.7907063365,-0.5624407530,0.3662221134,-0.6103702188,-0.2441480756,-0.7993407845,0.3507187068,-0.5217444301,-0.2473220080,0.4952543676,-0.1383098811,0.0021594763,0.0205528140,-0.0229142308,0.4442469776,0.6616390944,0.5584729314,-0.2307152301,
5751.029,0.3662221134,-0.6103702188,-0.2441480756,-0.7993407845,0.3507187068,-0.5217444301,-0.2473220080,0.4952543676,-0.1383098811,0.0021594763,0.0205528140,-0.0229142308,-0.4442469776,-0.6616390944,-0.5584729314,0.2307152301,0.3662221134,-0.6103702188,-0.2441480756,-0.7993407845,0.3507187068,-0.5217444301,-0.2473220080,0.4952543676,-0.1383098811,0.0021594763,0.0205528140,-0.0229142308,-0.4442469776,-0.6616390944,-0.5584729314,0.2307152301,0.6103702188,-0.1831110567,-1.0986663103,-0.0987579003,0.9580370784,-0.2954191864,-0.4491103888,0.5129551291,0.0465102084,0.0258469656,0.0111242533,0.0015181601,-0.1877058893,-0.1531341374,-0.7907350063,-0.5624036193,0.1220740378,-0.4882961512,-0.4882961512,-0.8009277582,0.3512070179,-0.5205237269,-0.2407300025,0.4915921390,-0.1412396580,0.0005725026,0.0210446715,-0.0216911137,0.4442449212,0.6616399288,0.5584730506,-0.2307166010,
5751.145,0.1220740378,-0.4882961512,-0.4882961512,-0.8009277582,0.3512070179,-0.5205237269,-0.2407300025,0.4915921390,-0.1412396580,0.0005725026,0.0210446715,-0.0216911137,-0.4442449212,-0.6616399288,-0.5584730506,0.2307166010,0.1220740378,-0.4882961512,-0.4882961512,-0.8009277582,0.3512070179,-0.5205237269,-0.2407300025,0.4915921390,-0.1412396580,0.0005725026,0.0210446715,-0.0216911137,-0.4442449212,-0.6616399288,-0.5584730506,0.2307166010,-0.1831110567,-0.3662221134,-0.7324442267,-0.0898464918,0.9519333243,-0.2962736785,-0.4555803239,0.5127109885,0.0458998382,0.0347235948,0.0050022602,0.0006199777,-0.1876901239,-0.1531317085,-0.7907216549,-0.5624282956,0.4882961512,-0.7934812307,-0.3051851094,-0.7966551781,0.3508407772,-0.5225989819,-0.2482986003,0.4937894940,-0.1375774443,0.0048497915,0.0206858516,-0.0237690210,0.4442452490,0.6616358161,0.5584767461,-0.2307188362,
5751.261,0.4882961512,-0.7934812307,-0.3051851094,-0.7966551781,0.3508407772,-0.5225989819,-0.2482986003,0.4937894940,-0.1375774443,0.0048497915,0.0206858516,-0.0237690210,-0.4442452490,-0.6616358161,-0.5584767461,0.2307188362,0.4882961512,-0.7934812307,-0.3051851094,-0.7966551781,0.3508407772,-0.5225989819,-0.2482986003,0.4937894940,-0.1375774443,0.0048497915,0.0206858516,-0.0237690210,-0.4442452490,-0.6616358161,-0.5584767461,0.2307188362,-0.1220740378,-0.9765923023,-0.7934812307,-0.1130405590,0.9558396935,-0.2871181369,-0.4581438601,0.5124667883,0.0511490218,0.0116503462,0.0088937879,0.0096775293,-0.1877785027,-0.1531342119,-0.7906901836,-0.5624423623,0.1220740378,-0.4272591472,-0.3662221134,-0.8049561977,0.3502304256,-0.5160069466,-0.2453688234,0.4974516928,-0.1390423328,-0.0034466386,0.0200679600,-0.0171896815,0.4442572296,0.6616208553,0.5584884882,-0.2307095230,
5751.377,0.1220740378,-0.4272591472,-0.3662221134,-0.8049561977,0.3502304256,-0.5160069466,-0.2453688234,0.4974516928,-0.1390423328,-0.0034466386,0.0200679600,-0.0171896815,-0.4442572296,-0.6616208553,-0.5584884882,0.2307095230,0.1220740378,-0.4272591472,-0.3662221134,-0.8049561977,0.3502304256,-0.5160069466,-0.2453688234,0.4974516928,-0.1390423328,-0.0034466386,0.0200679600,-0.0171896815,-0.4442572296,-0.6616208553,-0.5584884882,0.2307095230,-0.0610370189,-1.0376293659,-1.6479995251,-0.0960722715,0.9501022100,-0.2898037732,-0.4569231272,0.5124667883,0.0517593920,0.0288020223,0.0031598806,0.0069263279,-0.1878810674,-0.1531113237,-0.7906739116,-0.5624372363,0.3051851094,-0.7324442267,-0.4272591472,-0.7981200814,0.3481551707,-0.5233314037,-0.2425611168,0.4973296225,-0.1350138932,0.0034009218,0.0180154145,-0.0245170295,0.4442572594,0.6616071463,0.5585038662,-0.2307126075,
