Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1525.214,0.0610370189,-0.1220740378,0.9765923023,0.0738547966,0.0076906644,-1.0095522404,-0.1423383355,-0.0487075411,-0.4321421087,0.0029312894,0.0079234391,-0.0120698810,0.0352175944,0.1180709153,-0.9924936295,0.0043068901,0.0610370189,0.0000000000,0.8545182943,-0.5090487599,0.8506119251,-0.2856532633,-0.3508407772,0.4226203263,-0.1416058838,-0.0325080752,0.0186237097,-0.0009562075,-0.2262947559,0.1055847779,-0.7946342230,-0.5535721779,0.0610370189,0.0000000000,0.8545182943,-0.5090487599,0.8506119251,-0.2856532633,-0.3508407772,0.4226203263,-0.1416058838,-0.0325080752,0.0186237097,-0.0009562075,-0.2262947559,0.1055847779,-0.7946342230,-0.5535721779,0.2441480756,-0.4882961512,-1.7090365887,-0.8399914503,-0.1254921108,-0.3364360631,-0.9922177792,0.2923673093,-0.2413403690,0.0670727491,0.0617175549,0.0410418808,0.3630453944,0.5080791116,0.6563822031,-0.4236260951,
1525.227,0.0610370189,-0.1831110567,0.9155552983,0.0721457601,0.0076906644,-1.0094301701,-0.1416058838,-0.0499282815,-0.4334849119,0.0012523234,0.0079062413,-0.0119457245,0.0352035016,0.1181048751,-0.9924901128,0.0042977696,0.0610370189,0.7934812307,0.7324442267,-0.4981841445,0.8502456546,-0.2873622775,-0.3486434519,0.4207892120,-0.1390423328,-0.0217448771,0.0182163119,-0.0026157498,-0.2261634022,0.1056742296,-0.7946378589,-0.5536035299,0.0610370189,0.7934812307,0.7324442267,-0.4981841445,0.8502456546,-0.2873622775,-0.3486434519,0.4207892120,-0.1390423328,-0.0217448771,0.0182163119,-0.0026157498,-0.2261634022,0.1056742296,-0.7946378589,-0.5536035299,0.0000000000,0.0000000000,-0.7324442267,-0.8227789998,-0.1250038147,-0.3369243443,-0.9941709638,0.2866298556,-0.2497634888,0.0843147635,0.0620833337,0.0405436754,0.3632909358,0.5077905655,0.6566018462,-0.4234214127,
1525.240,0.1220740378,-0.1220740378,0.8545182943,0.0744651631,0.0048829615,-1.0093080997,-0.1398968548,-0.0487075411,-0.4329966009,0.0035795867,0.0051051779,-0.0118230581,0.0351990759,0.1181343347,-0.9924867749,0.0043016467,0.1831110567,-0.7324442267,0.1831110567,-0.5033112764,0.8501235843,-0.2890713215,-0.3487655222,0.4178594351,-0.1368449926,-0.0267989039,0.0181168318,-0.0043805242,-0.2261886299,0.1057102755,-0.7946156859,-0.5536183715,0.1831110567,-0.7324442267,0.1831110567,-0.5033112764,0.8501235843,-0.2890713215,-0.3487655222,0.4178594351,-0.1368449926,-0.0267989039,0.0181168318,-0.0043805242,-0.2261886299,0.1057102755,-0.7946156859,-0.5536183715,0.0610370189,-0.3662221134,-0.7324442267,-0.8222907186,-0.1254921108,-0.3750114441,-0.9999084473,0.2890713215,-0.2412182987,0.0847830176,0.0614691228,0.0025668144,0.3635168672,0.5074949265,0.6568722129,-0.4231623411,
1525.253,0.1220740378,-0.1220740378,0.8545182943,0.0731223524,0.0095217749,-1.0112613440,-0.1413617432,-0.0480971709,-0.4358043075,0.0022518784,0.0097277490,-0.0137751698,0.0351924561,0.1181495339,-0.9924852252,0.0042932215,0.2441480756,0.0610370189,-0.1220740378,-0.5022125840,0.8496353030,-0.2915128171,-0.3466902673,0.4203009009,-0.1387981772,-0.0256277025,0.0176813006,-0.0067899525,-0.2261577100,0.1058225706,-0.7946106195,-0.5536165237,0.2441480756,0.0610370189,-0.1220740378,-0.5022125840,0.8496353030,-0.2915128171,-0.3466902673,0.4203009009,-0.1387981772,-0.0256277025,0.0176813006,-0.0067899525,-0.2261577100,0.1058225706,-0.7946106195,-0.5536165237,0.0000000000,-0.7324442267,-0.9765923023,-0.8144779801,-0.1258583367,-0.3359477520,-0.9979552627,0.2921231687,-0.2487868965,0.0926586986,0.0610311925,0.0415150225,0.3637869954,0.5071654320,0.6570827365,-0.4229983985,
1525.266,0.1220740378,-0.1831110567,0.7934812307,0.0749534592,0.0052491836,-1.0107730627,-0.1408734471,-0.0461439863,-0.4298226833,0.0040994883,0.0054593096,-0.0132858157,0.0351840183,0.1181467697,-0.9924858212,0.0042942087,0.3051851094,0.3662221134,-0.3051851094,-0.5048982501,0.8484145403,-0.2894375324,-0.3469344079,0.4211554229,-0.1357463300,-0.0282156765,0.0165354609,-0.0046586394,-0.2261685878,0.1058976725,-0.7946184278,-0.5535867810,0.3051851094,0.3662221134,-0.3051851094,-0.5048982501,0.8484145403,-0.2894375324,-0.3469344079,0.4211554229,-0.1357463300,-0.0282156765,0.0165354609,-0.0046586394,-0.2261685878,0.1058976725,-0.7946184278,-0.5535867810,0.0000000000,-0.9765923023,-0.9765923023,-0.8359630108,-0.1276894510,-0.3366802037,-1.0000305176,0.2968840599,-0.2451246679,0.0712691545,0.0591230989,0.0405912399,0.3640885353,0.5068157315,0.6572797894,-0.4228520095,
1525.279,0.1220740378,-0.1831110567,0.8545182943,0.0736106485,0.0021973327,-1.0119937658,-0.1413617432,-0.0449232459,-0.4255501032,0.0027801022,0.0024274187,-0.0145047903,0.0351712927,0.1181212962,-0.9924893975,0.0043018311,0.4882961512,0.4272591472,-0.6714072227,-0.4946440160,0.8471938372,-0.2882167995,-0.3475447893,0.4210333526,-0.1339152157,-0.0178495347,0.0154100060,-0.0033474863,-0.2262033224,0.1059507355,-0.7946397066,-0.5535317659,0.4882961512,0.4272591472,-0.6714072227,-0.4946440160,0.8471938372,-0.2882167995,-0.3475447893,0.4210333526,-0.1339152157,-0.0178495347,0.0154100060,-0.0033474863,-0.2262033224,0.1059507355,-0.7946397066,-0.5535317659,0.0000000000,-1.2817773819,-1.9531846046,-0.8164311647,-0.1251258850,-0.3361918926,-1.0000305176,0.2923673093,-0.2468337119,0.0908693075,0.0617648661,0.0408763885,0.3643579185,0.5064072609,0.6575172544,-0.4227400422,
1525.292,0.0610370189,-0.1831110567,0.9155552983,0.0740989447,0.0163579211,-1.0100406408,-0.1407513618,-0.0433362834,-0.4316537976,0.0032886490,0.0165280253,-0.0125502944,0.0351649895,0.1180705950,-0.9924957156,0.0042690393,0.4272591472,0.9155552983,-0.6103702188,-0.5002593994,0.8420667052,-0.2930997610,-0.3462019861,0.4217658043,-0.1409955174,-0.0233586729,0.0103937387,-0.0080847740,-0.2261188477,0.1061670408,-0.7946566939,-0.5535004735,0.4272591472,0.9155552983,-0.6103702188,-0.5002593994,0.8420667052,-0.2930997610,-0.3462019861,0.4217658043,-0.1409955174,-0.0233586729,0.0103937387,-0.0080847740,-0.2261188477,0.1061670408,-0.7946566939,-0.5535004735,0.1220740378,-0.9155552983,-1.8311105967,-0.8323007822,-0.1295205504,-0.3383892477,-0.9980773330,0.2981047928,-0.2496414036,0.0750540495,0.0574484617,0.0385096073,0.3645966053,0.5060352683,0.6577392220,-0.4226344526,
1525.305,0.0610370189,-0.2441480756,0.8545182943,0.0764183477,0.0118411817,-1.0106509924,-0.1427045465,-0.0435804315,-0.4331187010,0.0056276172,0.0119731966,-0.0131591558,0.0351577140,0.1180217192,-0.9925019741,0.0042472268,0.3051851094,0.7324442267,-0.4882961512,-0.4865871072,0.8508560658,-0.2847987413,-0.3475447893,0.4233527780,-0.1440473646,-0.0096525848,0.0192278624,0.0002899766,-0.2259830534,0.1063910648,-0.7946498394,-0.5535226464,0.3051851094,0.7324442267,-0.4882961512,-0.4865871072,0.8508560658,-0.2847987413,-0.3475447893,0.4233527780,-0.1440473646,-0.0096525848,0.0192278624,0.0002899766,-0.2259830534,0.1063910648,-0.7946498394,-0.5535226464,-0.7324442267,-1.4648884535,-1.5869624615,-0.8135014176,-0.1254921108,-0.3372905552,-0.9995422363,0.2902920544,-0.2456129640,0.0939398408,0.0614519864,0.0394126475,0.3649175465,0.5056185722,0.6579852700,-0.4224731624,
1525.318,0.1220740378,-0.1831110567,0.7934812307,0.0778832361,0.0041505173,-1.0088198185,-0.1434369981,-0.0437025055,-0.4386120141,0.0070934892,0.0042924313,-0.0113279223,0.0351568386,0.1179759130,-0.9925072789,0.0042504645,0.2441480756,-1.7700735331,-0.0610370189,-0.4881740808,0.8565935493,-0.2819910347,-0.3473006487,0.4244514406,-0.1386761069,-0.0111464560,0.0249621272,0.0029332936,-0.2260827571,0.1063440666,-0.7946045995,-0.5535561442,0.2441480756,-1.7700735331,-0.0610370189,-0.4881740808,0.8565935493,-0.2819910347,-0.3473006487,0.4244514406,-0.1386761069,-0.0111464560,0.0249621272,0.0029332936,-0.2260827571,0.1063440666,-0.7946045995,-0.5535561442,-0.6103702188,-0.9765923023,-1.4648884535,-0.8130130768,-0.1250038147,-0.3376567960,-0.9991760254,0.2930997610,-0.2473220080,0.0944852829,0.0619016886,0.0389280915,0.3652021587,0.5052424073,0.6582291722,-0.4222972393,
