Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1776.387,0.1220740378,-0.0610370189,0.9765923023,0.0717795342,0.0080568865,-1.0102847815,-0.1441694349,-0.0501724295,-0.4228644669,0.0017255545,0.0067183217,-0.0127419233,0.0348781720,0.1180185005,-0.9925151467,0.0034729822,0.1831110567,-1.5259255171,-0.1220740378,-0.9262977839,-0.2271797806,-0.3059175313,-0.5387127399,0.2591631711,-0.0925321206,0.0004019737,-0.0037910193,-0.0031566322,-0.3906230330,-0.4633151293,-0.6610315442,0.4427563846,0.1831110567,-1.5259255171,-0.1220740378,-0.9262977839,-0.2271797806,-0.3059175313,-0.5387127399,0.2591631711,-0.0925321206,0.0004019737,-0.0037910193,-0.0031566322,-0.3906230330,-0.4633151293,-0.6610315442,0.4427563846,0.2441480756,-0.7324442267,-0.9765923023,-0.5235755444,-0.5626392365,-0.0157475509,-0.9984435439,0.3750114441,-0.4528946877,0.1316850781,0.1930494308,-0.0086094774,0.1214000210,0.3656471968,0.6083701849,-0.6940410733,
1776.400,0.1220740378,-0.0610370189,0.9155552983,0.0719016120,0.0085451826,-1.0101627111,-0.1429487020,-0.0529801324,-0.4248176515,0.0018533245,0.0072035762,-0.0126194358,0.0348752365,0.1181004196,-0.9925054908,0.0034740129,0.2441480756,-1.7700735331,-0.0610370189,-0.9262977839,-0.2280343026,-0.3048188686,-0.5357829332,0.2581865788,-0.0957060456,0.0004855394,-0.0046006590,-0.0023468435,-0.3907209039,-0.4632218182,-0.6609877348,0.4428331256,0.2441480756,-1.7700735331,-0.0610370189,-0.9262977839,-0.2280343026,-0.3048188686,-0.5357829332,0.2581865788,-0.0957060456,0.0004855394,-0.0046006590,-0.0023468435,-0.3907209039,-0.4632218182,-0.6609877348,0.4428331256,0.2441480756,-0.7324442267,-0.9155552983,-0.5239417553,-0.5625171661,-0.0156254768,-0.9975890517,0.3796502650,-0.4472792745,0.1313338280,0.1931590438,-0.0085393190,0.1213480532,0.3656979203,0.6083183885,-0.6940688491,
1776.413,0.1220740378,-0.0610370189,0.9155552983,0.0700704977,0.0081789605,-1.0106509924,-0.1457564086,-0.0509048738,-0.4279915690,0.0000370368,0.0068361489,-0.0131066442,0.0348677821,0.1181429327,-0.9925006628,0.0034740292,0.1220740378,-1.8921475410,0.0610370189,-0.9317911267,-0.2292550504,-0.3060396016,-0.5334635377,0.2564775646,-0.0909451619,-0.0049126148,-0.0058034360,-0.0038724840,-0.3908478320,-0.4631089270,-0.6609514356,0.4428932369,0.1220740378,-1.8921475410,0.0610370189,-0.9317911267,-0.2292550504,-0.3060396016,-0.5334635377,0.2564775646,-0.0909451619,-0.0049126148,-0.0058034360,-0.0038724840,-0.3908478320,-0.4631089270,-0.6609514356,0.4428932369,0.2441480756,-0.7324442267,-0.9765923023,-0.5236976147,-0.5645924211,-0.0166020691,-0.9971007705,0.3752555847,-0.4604632854,0.1315770149,0.1910852194,-0.0095614493,0.1212675795,0.3657616675,0.6082614660,-0.6940993071,
1776.426,0.1220740378,-0.0610370189,0.9155552983,0.0695822015,0.0095217749,-1.0093080997,-0.1463667750,-0.0504165776,-0.4246955812,-0.0004345626,0.0081710666,-0.0117626190,0.0348598249,0.1181775406,-0.9924968481,0.0034703328,0.0610370189,-1.7090365887,0.0000000000,-0.9341105223,-0.2299874872,-0.3056733906,-0.5346843004,0.2631916404,-0.0909451619,-0.0071479082,-0.0065101832,-0.0037829578,-0.3909614682,-0.4630021453,-0.6609216332,0.4429491162,0.0610370189,-1.7090365887,0.0000000000,-0.9341105223,-0.2299874872,-0.3056733906,-0.5346843004,0.2631916404,-0.0909451619,-0.0071479082,-0.0065101832,-0.0037829578,-0.3909614682,-0.4630021453,-0.6609216332,0.4429491162,0.2441480756,-0.8545182943,-0.9765923023,-0.5169835687,-0.5625171661,-0.0157475509,-0.9820856452,0.3789178133,-0.4506973624,0.1382727027,0.1931768656,-0.0087706484,0.1211942583,0.3658027649,0.6082104445,-0.6941350698,
1776.439,0.1220740378,-0.0610370189,0.9155552983,0.0717795342,0.0097659230,-1.0101627111,-0.1467330009,-0.0526139103,-0.4287240207,0.0017688647,0.0084061977,-0.0126167536,0.0348571129,0.1182380989,-0.9924897552,0.0034676183,0.0000000000,-1.2817773819,-0.0610370189,-0.9347209334,-0.2312082350,-0.3075045049,-0.5339518189,0.2609942853,-0.0910672322,-0.0077030659,-0.0076942146,-0.0058108866,-0.3910464942,-0.4629068077,-0.6609140038,0.4429851472,0.0000000000,-1.2817773819,-0.0610370189,-0.9347209334,-0.2312082350,-0.3075045049,-0.5339518189,0.2609942853,-0.0910672322,-0.0077030659,-0.0076942146,-0.0058108866,-0.3910464942,-0.4629068077,-0.6609140038,0.4429851472,0.0000000000,-0.8545182943,-0.9765923023,-0.5234534740,-0.5630054474,-0.0161137730,-0.9804986715,0.3792840242,-0.4509415030,0.1318064332,0.1926857233,-0.0091663748,0.1211380437,0.3658510447,0.6081692576,-0.6941555142,
1776.452,0.1220740378,-0.0610370189,0.9155552983,0.0709250197,0.0083010346,-1.0095522404,-0.1419721097,-0.0515152439,-0.4256721735,0.0009244159,0.0069395434,-0.0120056272,0.0348519869,0.1183035076,-0.9924821258,0.0034684420,0.0000000000,-0.6103702188,0.0610370189,-0.9295938015,-0.2305978537,-0.3057954609,-0.5328531861,0.2623371184,-0.0975371599,-0.0025521517,-0.0070639849,-0.0041894019,-0.3910766244,-0.4628733397,-0.6609043479,0.4430079460,0.0000000000,-0.6103702188,0.0610370189,-0.9295938015,-0.2305978537,-0.3057954609,-0.5328531861,0.2623371184,-0.0975371599,-0.0025521517,-0.0070639849,-0.0041894019,-0.3910766244,-0.4628733397,-0.6609043479,0.4430079460,0.0000000000,-0.9765923023,-1.7090365887,-0.5239417553,-0.5639820695,-0.0157475509,-0.9975890517,0.3754997551,-0.2500076294,0.1312237978,0.1917914748,-0.0088462867,0.1213607639,0.3655738235,0.6083170772,-0.6941332221,
1776.465,0.1220740378,0.0000000000,0.9155552983,0.0712912381,0.0084231086,-1.0094301701,-0.1423383355,-0.0513931699,-0.4287240207,0.0012881681,0.0070592528,-0.0118837357,0.0348531380,0.1183647215,-0.9924747944,0.0034695631,0.0000000000,-0.6103702188,0.1220740378,-0.9261757135,-0.2276680768,-0.3045747280,-0.5304117203,0.2583086789,-0.0930204168,0.0008940101,-0.0041342080,-0.0030553341,-0.3911245763,-0.4628271163,-0.6609038115,0.4430145323,0.0000000000,-0.6103702188,0.1220740378,-0.9261757135,-0.2276680768,-0.3045747280,-0.5304117203,0.2583086789,-0.0930204168,0.0008940101,-0.0041342080,-0.0030553341,-0.3911245763,-0.4628271163,-0.6609038115,0.4430145323,-0.2441480756,-0.9765923023,-1.7700735331,-0.5166173577,-0.5628833771,-0.0166020691,-0.9995422363,0.3764763474,-0.4524063766,0.1384233832,0.1929984093,-0.0097079575,0.1212646365,0.3655566573,0.6083244681,-0.6941525936,
1776.478,0.1220740378,0.0000000000,0.9155552983,0.0720236823,0.0079348125,-1.0093080997,-0.1424604058,-0.0512710959,-0.4260383844,0.0020145103,0.0065710130,-0.0117621422,0.0348559618,0.1184241921,-0.9924675822,0.0034720425,-0.0610370189,-0.7324442267,0.3051851094,-0.9262977839,-0.2254707515,-0.3033539951,-0.5333414674,0.2619708776,-0.0875270888,0.0008176565,-0.0019798875,-0.0019433200,-0.3912086189,-0.4627642035,-0.6609067321,0.4430016875,-0.0610370189,-0.7324442267,0.3051851094,-0.9262977839,-0.2254707515,-0.3033539951,-0.5333414674,0.2619708776,-0.0875270888,0.0008176565,-0.0019798875,-0.0019433200,-0.3912086189,-0.4627642035,-0.6609067321,0.4430016875,0.0000000000,-0.8545182943,-1.7090365887,-0.5168614984,-0.5628833771,-0.0168462172,-0.9999084473,0.3762321770,-0.4488662481,0.1380637288,0.1930986047,-0.0099757686,0.1211639494,0.3655488491,0.6083193421,-0.6941787004,
1776.491,0.1220740378,0.0000000000,0.9155552983,0.0723899081,0.0086672567,-1.0107730627,-0.1444135904,-0.0507827997,-0.4244514406,0.0023733750,0.0072999569,-0.0132275820,0.0348596685,0.1184697226,-0.9924620390,0.0034723398,-0.0610370189,-0.9765923023,0.5493331552,-0.9206823707,-0.2202215642,-0.3045747280,-0.5340738893,0.2580645084,-0.0963164195,0.0065007210,0.0031674653,-0.0032965243,-0.3912957311,-0.4627456367,-0.6608696580,0.4429994822,-0.0610370189,-0.9765923023,0.5493331552,-0.9206823707,-0.2202215642,-0.3045747280,-0.5340738893,0.2580645084,-0.0963164195,0.0065007210,0.0031674653,-0.0032965243,-0.3912957311,-0.4627456367,-0.6608696580,0.4429994822,0.0000000000,-0.7324442267,-0.9765923023,-0.5236976147,-0.5482345223,-0.0100100711,-0.9996643066,0.3796502650,-0.4511856437,0.1312838793,0.2076991200,-0.0031935051,0.1211367846,0.3656108975,0.6082599163,-0.6942028403,
1776.504,0.1220740378,0.0610370189,0.9155552983,0.0714133158,0.0087893307,-1.0106509924,-0.1442915201,-0.0489516892,-0.4306772053,0.0013836101,0.0074179391,-0.0131064057,0.0348663963,0.1184898466,-0.9924593568,0.0034717976,-0.0610370189,-1.2207404375,0.6714072227,-0.9247108102,-0.2209540159,-0.3034760654,-0.5351725817,0.2614825964,-0.0917996764,0.0025610328,0.0023136884,-0.0023803115,-0.3914158344,-0.4627064764,-0.6608282328,0.4429963529,-0.0610370189,-1.2207404375,0.6714072227,-0.9247108102,-0.2209540159,-0.3034760654,-0.5351725817,0.2614825964,-0.0917996764,0.0025610328,0.0023136884,-0.0023803115,-0.3914158344,-0.4627064764,-0.6608282328,0.4429963529,0.3051851094,-0.7324442267,-0.9765923023,-0.5166173577,-0.5470137596,-0.0118411817,-0.9979552627,0.3789178133,-0.2482986003,0.1383985877,0.2088909149,-0.0051059760,0.1214007363,0.3653965890,0.6083552837,-0.6941860318,
