Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
10452.865,0.0610370189,-0.1220740378,0.9155552983,0.0781273842,0.0085451826,-1.0102847815,-0.1575975865,-0.0412610248,-0.4152958691,0.0027780831,0.0061439923,-0.0131297708,0.0376047976,0.1083955839,-0.9935145378,0.0028943701,0.0610370189,-0.7934812307,-0.2441480756,-0.9735404253,-0.1486861855,0.1357463300,-0.4561906755,0.3089693785,-0.0572527237,0.0211548805,-0.0594691187,0.0797529519,-0.4806398749,-0.4727192521,-0.4987815320,0.5449605584,0.0610370189,-0.7934812307,-0.2441480756,-0.9735404253,-0.1486861855,0.1357463300,-0.4561906755,0.3089693785,-0.0572527237,0.0211548805,-0.0594691187,0.0797529519,-0.4806398749,-0.4727192521,-0.4987815320,0.5449605584,0.0610370189,-0.7934812307,-0.2441480756,-0.9735404253,-0.1486861855,0.1357463300,-0.4561906755,0.3089693785,-0.0572527237,0.0211548805,-0.0594691187,0.0797529519,0.4806398749,0.4727192521,0.4987815320,-0.5449605584,
10452.981,0.1831110567,0.0610370189,0.9765923023,0.0754417554,0.0133060701,-1.0093080997,-0.1514938772,-0.0424817652,-0.4174932241,0.0000854954,0.0108958595,-0.0121536255,0.0376088768,0.1083535850,-0.9935189486,0.0028886730,-0.4882961512,-0.3662221134,-1.1597033739,-0.9784234166,-0.1444135904,0.1204870790,-0.4568010569,0.3086031675,-0.0650654659,0.0162065625,-0.0547101200,0.0641102642,-0.4803321660,-0.4727396667,-0.4985699058,0.5454075933,-0.4882961512,-0.3662221134,-1.1597033739,-0.9784234166,-0.1444135904,0.1204870790,-0.4568010569,0.3086031675,-0.0650654659,0.0162065625,-0.0547101200,0.0641102642,-0.4803321660,-0.4727396667,-0.4985699058,0.5454075933,-0.4882961512,-0.3662221134,-1.1597033739,-0.9784234166,-0.1444135904,0.1204870790,-0.4568010569,0.3086031675,-0.0650654659,0.0162065625,-0.0547101200,0.0641102642,0.4803321660,0.4727396667,0.4985699058,-0.5454075933,
10453.097,0.1220740378,-0.0610370189,0.9765923023,0.0788598284,0.0081789605,-1.0118716955,-0.1492965519,-0.0455336161,-0.4152958691,0.0035020486,0.0057746009,-0.0147173405,0.0376093015,0.1083580628,-0.9935185313,0.0028918346,1.4038513899,0.4882961512,1.1597033739,-0.9662160277,-0.1497848481,0.1319620311,-0.4563127458,0.3022553325,-0.0534684286,0.0283865333,-0.0599835962,0.0752580464,-0.4800626040,-0.4729220271,-0.4982327819,0.5457947254,1.4038513899,0.4882961512,1.1597033739,-0.9662160277,-0.1497848481,0.1319620311,-0.4563127458,0.3022553325,-0.0534684286,0.0283865333,-0.0599835962,0.0752580464,-0.4800626040,-0.4729220271,-0.4982327819,0.5457947254,1.4038513899,0.4882961512,1.1597033739,-0.9662160277,-0.1497848481,0.1319620311,-0.4563127458,0.3022553325,-0.0534684286,0.0283865333,-0.0599835962,0.0752580464,0.4800626040,0.4729220271,0.4982327819,-0.5457947254,
10453.213,0.1220740378,0.0000000000,0.9765923023,0.0758079812,0.0100100711,-1.0094301701,-0.1532029212,-0.0460219122,-0.4189580977,0.0004521683,0.0076023820,-0.0122756362,0.0376085155,0.1083552986,-0.9935187101,0.0028899682,0.6103702188,-0.6714072227,0.3662221134,-0.9815973639,-0.1440473646,0.1302530020,-0.4541154206,0.3056733906,-0.0524918362,0.0129584670,-0.0540429801,0.0730527490,-0.4798520207,-0.4729895294,-0.4979195297,0.5462070704,0.6103702188,-0.6714072227,0.3662221134,-0.9815973639,-0.1440473646,0.1302530020,-0.4541154206,0.3056733906,-0.0524918362,0.0129584670,-0.0540429801,0.0730527490,-0.4798520207,-0.4729895294,-0.4979195297,0.5462070704,0.6103702188,-0.6714072227,0.3662221134,-0.9815973639,-0.1440473646,0.1302530020,-0.4541154206,0.3056733906,-0.0524918362,0.0129584670,-0.0540429801,0.0730527490,0.4798520207,0.4729895294,0.4979195297,-0.5462070704,
10453.329,0.1831110567,0.0000000000,0.9765923023,0.0762962773,0.0095217749,-1.0097965002,-0.1479537338,-0.0483413190,-0.4211554229,0.0009401143,0.0071238298,-0.0126420259,0.0376080275,0.1083995998,-0.9935140014,0.0028965091,0.1220740378,-0.3662221134,-1.1597033739,-0.9698782563,-0.1503952146,0.1300088465,-0.4552140832,0.3060396016,-0.0581072420,0.0246058106,-0.0598790944,0.0723694265,-0.4795460701,-0.4729915261,-0.4976969957,0.5466765761,0.1220740378,-0.3662221134,-1.1597033739,-0.9698782563,-0.1503952146,0.1300088465,-0.4552140832,0.3060396016,-0.0581072420,0.0246058106,-0.0598790944,0.0723694265,-0.4795460701,-0.4729915261,-0.4976969957,0.5466765761,0.1220740378,-0.3662221134,-1.1597033739,-0.9698782563,-0.1503952146,0.1300088465,-0.4552140832,0.3060396016,-0.0581072420,0.0246058106,-0.0598790944,0.0723694265,0.4795460701,0.4729915261,0.4976969957,-0.5466765761,
10453.445,0.0610370189,0.0000000000,0.9155552983,0.0767845735,0.0098879971,-1.0097965002,-0.1492965519,-0.0499282815,-0.4244514406,0.0014257133,0.0074758865,-0.0126422644,0.0376099572,0.1084632874,-0.9935069680,0.0028920223,0.2441480756,-0.3662221134,-0.1831110567,-0.9713431001,-0.1499069184,0.1346476674,-0.4587542415,0.3027436137,-0.0595721304,0.0230839252,-0.0590562075,0.0765469670,-0.4792795181,-0.4730448723,-0.4974146783,0.5471211076,0.2441480756,-0.3662221134,-0.1831110567,-0.9713431001,-0.1499069184,0.1346476674,-0.4587542415,0.3027436137,-0.0595721304,0.0230839252,-0.0590562075,0.0765469670,-0.4792795181,-0.4730448723,-0.4974146783,0.5471211076,0.2441480756,-0.3662221134,-0.1831110567,-0.9713431001,-0.1499069184,0.1346476674,-0.4587542415,0.3027436137,-0.0595721304,0.0230839252,-0.0590562075,0.0765469670,0.4792795181,0.4730448723,0.4974146783,-0.5471211076,
10453.561,0.1220740378,-0.0610370189,0.9765923023,0.0761741996,0.0097659230,-1.0097965002,-0.1521042585,-0.0432142094,-0.4231086075,0.0008262321,0.0073517440,-0.0126414299,0.0376047455,0.1084269062,-0.9935111403,0.0028890229,0.0610370189,-0.6103702188,-0.6714072227,-0.9693899155,-0.1503952146,0.1303750724,-0.4547258019,0.3062837720,-0.0609149449,0.0249702930,-0.0591208935,0.0717961043,-0.4790013731,-0.4730627239,-0.4971572161,0.5475830436,0.0610370189,-0.6103702188,-0.6714072227,-0.9693899155,-0.1503952146,0.1303750724,-0.4547258019,0.3062837720,-0.0609149449,0.0249702930,-0.0591208935,0.0717961043,-0.4790013731,-0.4730627239,-0.4971572161,0.5475830436,0.0610370189,-0.6103702188,-0.6714072227,-0.9693899155,-0.1503952146,0.1303750724,-0.4547258019,0.3062837720,-0.0609149449,0.0249702930,-0.0591208935,0.0717961043,0.4790013731,0.4730627239,0.4971572161,-0.5475830436,
10453.677,0.1220740378,0.0000000000,0.9765923023,0.0765404254,0.0107425153,-1.0108951330,-0.1505172849,-0.0429700613,-0.4289681613,0.0011913106,0.0083215106,-0.0137401819,0.0376057960,0.1083913743,-0.9935149550,0.0028843465,0.1220740378,-0.6103702188,-0.4272591472,-0.9720755816,-0.1534470618,0.1341593713,-0.4557023942,0.3060396016,-0.0474868007,0.0222194195,-0.0617814064,0.0750868767,-0.4787824154,-0.4730416834,-0.4969289005,0.5479996800,0.1220740378,-0.6103702188,-0.4272591472,-0.9720755816,-0.1534470618,0.1341593713,-0.4557023942,0.3060396016,-0.0474868007,0.0222194195,-0.0617814064,0.0750868767,-0.4787824154,-0.4730416834,-0.4969289005,0.5479996800,0.1220740378,-0.6103702188,-0.4272591472,-0.9720755816,-0.1534470618,0.1341593713,-0.4557023942,0.3060396016,-0.0474868007,0.0222194195,-0.0617814064,0.0750868767,0.4787824154,0.4730416834,0.4969289005,-0.5479996800,
10453.793,0.1220740378,-0.0610370189,0.9155552983,0.0767845735,0.0102542192,-1.0106509924,-0.1505172849,-0.0451673940,-0.4215216637,0.0014436543,0.0078280196,-0.0134954453,0.0376019925,0.1083911285,-0.9935151339,0.0028813076,-0.1220740378,-0.4272591472,0.1831110567,-0.9718314409,-0.1546678096,0.1348918080,-0.4554582238,0.3038422763,-0.0513931699,0.0224095583,-0.0627100021,0.0753598809,-0.4785778821,-0.4730585814,-0.4966818988,0.5483877659,-0.1220740378,-0.4272591472,0.1831110567,-0.9718314409,-0.1546678096,0.1348918080,-0.4554582238,0.3038422763,-0.0513931699,0.0224095583,-0.0627100021,0.0753598809,-0.4785778821,-0.4730585814,-0.4966818988,0.5483877659,-0.1220740378,-0.4272591472,0.1831110567,-0.9718314409,-0.1546678096,0.1348918080,-0.4554582238,0.3038422763,-0.0513931699,0.0224095583,-0.0627100021,0.0753598809,0.4785778821,0.4730585814,0.4966818988,-0.5483877659,
10453.909,0.1220740378,0.0000000000,0.9765923023,0.0772728696,0.0100100711,-1.0104068518,-0.1533249915,-0.0460219122,-0.4276253581,0.0019269735,0.0075806994,-0.0132516623,0.0376046598,0.1083861068,-0.9935156107,0.0028798108,-0.8545182943,0.0000000000,-0.2441480756,-0.9708548188,-0.1523483992,0.1333048493,-0.4574114084,0.3079927862,-0.0515152439,0.0233306885,-0.0600287914,0.0734092742,-0.4783685505,-0.4730491340,-0.4965076149,0.5487360954,-0.8545182943,0.0000000000,-0.2441480756,-0.9708548188,-0.1523483992,0.1333048493,-0.4574114084,0.3079927862,-0.0515152439,0.0233306885,-0.0600287914,0.0734092742,-0.4783685505,-0.4730491340,-0.4965076149,0.5487360954,-0.8545182943,0.0000000000,-0.2441480756,-0.9708548188,-0.1523483992,0.1333048493,-0.4574114084,0.3079927862,-0.0515152439,0.0233306885,-0.0600287914,0.0734092742,0.4783685505,0.4730491340,0.4965076149,-0.5487360954,
10454.025,0.1220740378,0.0000000000,0.9155552983,0.0769066438,0.0103762932,-1.0101627111,-0.1535691470,-0.0458998382,-0.4249397218,0.0015575141,0.0079411417,-0.0130078197,0.0376065858,0.1083847135,-0.9935157895,0.0028770585,-0.0610370189,0.3662221134,0.8545182943,-0.9658498168,-0.1558885425,0.1336710751,-0.4542374909,0.3029877543,-0.0578630939,0.0282998681,-0.0633863062,0.0734592378,-0.4781318009,-0.4731562138,-0.4962464273,0.5490863919,-0.0610370189,0.3662221134,0.8545182943,-0.9658498168,-0.1558885425,0.1336710751,-0.4542374909,0.3029877543,-0.0578630939,0.0282998681,-0.0633863062,0.0734592378,-0.4781318009,-0.4731562138,-0.4962464273,0.5490863919,-0.0610370189,0.3662221134,0.8545182943,-0.9658498168,-0.1558885425,0.1336710751,-0.4542374909,0.3029877543,-0.0578630939,0.0282998681,-0.0633863062,0.0734592378,0.4781318009,0.4731562138,0.4962464273,-0.5490863919,
10454.141,0.1831110567,-0.0610370189,0.9765923023,0.0758079812,0.0106204413,-1.0100406408,-0.1519821733,-0.0487075411,-0.4239631295,0.0004716143,0.0081897536,-0.0128847361,0.0375998914,0.1084191427,-0.9935120940,0.0028798885,0.0000000000,-0.0610370189,-0.1220740378,-0.9713431001,-0.1544236541,0.1335490048,-0.4599749744,0.2995696962,-0.0527359843,0.0227515101,-0.0615825355,0.0729518235,-0.4778819382,-0.4731931090,-0.4960169196,0.5494792461,0.0000000000,-0.0610370189,-0.1220740378,-0.9713431001,-0.1544236541,0.1335490048,-0.4599749744,0.2995696962,-0.0527359843,0.0227515101,-0.0615825355,0.0729518235,-0.4778819382,-0.4731931090,-0.4960169196,0.5494792461,0.0000000000,-0.0610370189,-0.1220740378,-0.9713431001,-0.1544236541,0.1335490048,-0.4599749744,0.2995696962,-0.0527359843,0.0227515101,-0.0615825355,0.0729518235,0.4778819382,0.4731931090,0.4960169196,-0.5494792461,
10454.257,0.1220740378,-0.0610370189,0.9155552983,0.0769066438,0.0085451826,-1.0104068518,-0.1550340354,-0.0462660603,-0.4231086075,0.0015777051,0.0061177714,-0.0132504106,0.0375960134,0.1084177792,-0.9935125113,0.0028810615,-1.4038513899,-0.0610370189,-2.0752587318,-0.9664601684,-0.1568651348,0.1383098811,-0.4525284469,0.3066499829,-0.0490737632,0.0275444388,-0.0633175224,0.0773251504,-0.4776196480,-0.4730572999,-0.4959509969,0.5498834848,-1.4038513899,-0.0610370189,-2.0752587318,-0.9664601684,-0.1568651348,0.1383098811,-0.4525284469,0.3066499829,-0.0490737632,0.0275444388,-0.0633175224,0.0773251504,-0.4776196480,-0.4730572999,-0.4959509969,0.5498834848,-1.4038513899,-0.0610370189,-2.0752587318,-0.9664601684,-0.1568651348,0.1383098811,-0.4525284469,0.3066499829,-0.0490737632,0.0275444388,-0.0633175224,0.0773251504,0.4776196480,0.4730572999,0.4959509969,-0.5498834848,
10454.373,0.1220740378,-0.0610370189,0.9765923023,0.0761741996,0.0104983672,-1.0102847815,-0.1518601030,-0.0509048738,-0.4251838624,0.0008562133,0.0080653708,-0.0131274462,0.0375906862,0.1084795892,-0.9935058951,0.0028800273,-2.7466659546,-1.1597033739,-0.7324442267,-0.9670705199,-0.1629688442,0.1352580339,-0.4527726173,0.3032319248,-0.0499282815,0.0268527865,-0.0689069033,0.0737350732,-0.4775079489,-0.4728736281,-0.4958550334,0.5502250791,-2.7466659546,-1.1597033739,-0.7324442267,-0.9670705199,-0.1629688442,0.1352580339,-0.4527726173,0.3032319248,-0.0499282815,0.0268527865,-0.0689069033,0.0737350732,-0.4775079489,-0.4728736281,-0.4958550334,0.5502250791,-2.7466659546,-1.1597033739,-0.7324442267,-0.9670705199,-0.1629688442,0.1352580339,-0.4527726173,0.3032319248,-0.0499282815,0.0268527865,-0.0689069033,0.0737350732,0.4775079489,0.4728736281,0.4958550334,-0.5502250791,
10454.489,0.1220740378,0.0000000000,0.9765923023,0.0753196850,0.0092776269,-1.0097965002,-0.1517380327,-0.0511490218,-0.4217658043,0.0000059605,0.0068450733,-0.0126389265,0.0375883467,0.1085453331,-0.9934988022,0.0028825023,-4.3946652412,-0.5493331552,0.3662221134,-0.9697561860,-0.1669972837,0.1373332888,-0.4522843063,0.2990813851,-0.0500503555,0.0241079926,-0.0725787878,0.0754001886,-0.4774834812,-0.4726964533,-0.4958172441,0.5504326224,-4.3946652412,-0.5493331552,0.3662221134,-0.9697561860,-0.1669972837,0.1373332888,-0.4522843063,0.2990813851,-0.0500503555,0.0241079926,-0.0725787878,0.0754001886,-0.4774834812,-0.4726964533,-0.4958172441,0.5504326224,-4.3946652412,-0.5493331552,0.3662221134,-0.9697561860,-0.1669972837,0.1373332888,-0.4522843063,0.2990813851,-0.0500503555,0.0241079926,-0.0725787878,0.0754001886,0.4774834812,0.4726964533,0.4958172441,-0.5504326224,
10454.605,0.1220740378,0.0000000000,0.9155552983,0.0769066438,0.0106204413,-1.0096743107,-0.1535691470,-0.0444349498,-0.4265266955,0.0015893579,0.0081808874,-0.0125169754,0.0375905633,0.1085243747,-0.9935010076,0.0028784222,-6.2257757187,-1.1597033739,0.5493331552,-0.9765923023,-0.1678518057,0.1356242597,-0.4542374909,0.2956633270,-0.0526139103,0.0172100067,-0.0730916858,0.0732210577,-0.4775534868,-0.4724383354,-0.4958261549,0.5505853891,-6.2257757187,-1.1597033739,0.5493331552,-0.9765923023,-0.1678518057,0.1356242597,-0.4542374909,0.2956633270,-0.0526139103,0.0172100067,-0.0730916858,0.0732210577,-0.4775534868,-0.4724383354,-0.4958261549,0.5505853891,-6.2257757187,-1.1597033739,0.5493331552,-0.9765923023,-0.1678518057,0.1356242597,-0.4542374909,0.2956633270,-0.0526139103,0.0172100067,-0.0730916858,0.0732210577,0.4775534868,0.4724383354,0.4958261549,-0.5505853891,
10454.721,0.1220740378,-0.1220740378,0.9155552983,0.0775170177,0.0092776269,-1.0110172033,-0.1549119502,-0.0504165776,-0.4233527780,0.0022149384,0.0068378071,-0.0138587356,0.0375828594,0.1085746586,-0.9934958220,0.0028793642,-7.9348125458,-0.4272591472,-0.3662221134,-0.9676808715,-0.1689504683,0.1329386234,-0.4564348161,0.2890713215,-0.0504165776,0.0260515213,-0.0736593902,0.0702308416,-0.4776141047,-0.4721028209,-0.4959920943,0.5506711006,-7.9348125458,-0.4272591472,-0.3662221134,-0.9676808715,-0.1689504683,0.1329386234,-0.4564348161,0.2890713215,-0.0504165776,0.0260515213,-0.0736593902,0.0702308416,-0.4776141047,-0.4721028209,-0.4959920943,0.5506711006,-7.9348125458,-0.4272591472,-0.3662221134,-0.9676808715,-0.1689504683,0.1329386234,-0.4564348161,0.2890713215,-0.0504165776,0.0260515213,-0.0736593902,0.0702308416,0.4776141047,0.4721028209,0.4959920943,-0.5506711006,
10454.837,0.0610370189,-0.0610370189,0.9155552983,0.0743430927,0.0096438490,-1.0106509924,-0.1516159624,-0.0456556901,-0.4253059626,-0.0009390339,0.0071912999,-0.0134910345,0.0375736132,0.1085753068,-0.9934961200,0.0028719713,-9.0334787369,-0.7324442267,0.5493331552,-0.9627979398,-0.1707815826,0.1346476674,-0.4559465349,0.2855311632,-0.0454115421,0.0308745503,-0.0750953853,0.0715911388,-0.4777919948,-0.4717271328,-0.4961737990,0.5506750941,-9.0334787369,-0.7324442267,0.5493331552,-0.9627979398,-0.1707815826,0.1346476674,-0.4559465349,0.2855311632,-0.0454115421,0.0308745503,-0.0750953853,0.0715911388,-0.4777919948,-0.4717271328,-0.4961737990,0.5506750941,-9.0334787369,-0.7324442267,0.5493331552,-0.9627979398,-0.1707815826,0.1346476674,-0.4559465349,0.2855311632,-0.0454115421,0.0308745503,-0.0750953853,0.0715911388,0.4777919948,0.4717271328,0.4961737990,-0.5506750941,
10454.953,0.1220740378,0.0000000000,0.9155552983,0.0754417554,0.0111087374,-1.0091860294,-0.1512497365,-0.0502945036,-0.4224982560,0.0001629144,0.0086468430,-0.0120258331,0.0375723056,0.1086369976,-0.9934894443,0.0028694770,-11.6580705643,-0.0610370189,1.4648884535,-0.9627979398,-0.1755424738,0.1306192279,-0.4560686052,0.2834559083,-0.0548112430,0.0308362842,-0.0795687437,0.0673973560,-0.4780416489,-0.4713498652,-0.4964488745,0.5505334735,-11.6580705643,-0.0610370189,1.4648884535,-0.9627979398,-0.1755424738,0.1306192279,-0.4560686052,0.2834559083,-0.0548112430,0.0308362842,-0.0795687437,0.0673973560,-0.4780416489,-0.4713498652,-0.4964488745,0.5505334735,-11.6580705643,-0.0610370189,1.4648884535,-0.9627979398,-0.1755424738,0.1306192279,-0.4560686052,0.2834559083,-0.0548112430,0.0308362842,-0.0795687437,0.0673973560,0.4780416489,0.4713498652,0.4964488745,-0.5505334735,
10455.069,0.1220740378,0.0000000000,0.9155552983,0.0759300515,0.0111087374,-1.0106509924,-0.1511276662,-0.0479750969,-0.4179815054,0.0006526187,0.0086376220,-0.0134907365,0.0375720076,0.1086705327,-0.9934858084,0.0028660824,-15.3202915192,0.7934812307,3.0518510342,-0.9678030014,-0.1773735732,0.1273232251,-0.4521622360,0.2777184248,-0.0571306497,0.0258301497,-0.0813436061,0.0641665608,-0.4784595072,-0.4709481001,-0.4968629777,0.5501407385,-15.3202915192,0.7934812307,3.0518510342,-0.9678030014,-0.1773735732,0.1273232251,-0.4521622360,0.2777184248,-0.0571306497,0.0258301497,-0.0813436061,0.0641665608,-0.4784595072,-0.4709481001,-0.4968629777,0.5501407385,-15.3202915192,0.7934812307,3.0518510342,-0.9678030014,-0.1773735732,0.1273232251,-0.4521622360,0.2777184248,-0.0571306497,0.0258301497,-0.0813436061,0.0641665608,0.4784595072,0.4709481001,0.4968629777,-0.5501407385,
10455.185,0.1220740378,0.0000000000,0.9765923023,0.0758079812,0.0096438490,-1.0097965002,-0.1550340354,-0.0500503555,-0.4217658043,0.0005322173,0.0071715512,-0.0126361251,0.0375711285,0.1087104380,-0.9934814572,0.0028669131,-17.3955497742,1.8921475410,3.4180731773,-0.9702444673,-0.1717581749,0.1082796752,-0.4566789865,0.2730796337,-0.0467543565,0.0234144330,-0.0757418871,0.0455093682,-0.4789521992,-0.4705289900,-0.4974541962,0.5495361090,-17.3955497742,1.8921475410,3.4180731773,-0.9702444673,-0.1717581749,0.1082796752,-0.4566789865,0.2730796337,-0.0467543565,0.0234144330,-0.0757418871,0.0455093682,-0.4789521992,-0.4705289900,-0.4974541962,0.5495361090,-17.3955497742,1.8921475410,3.4180731773,-0.9702444673,-0.1717581749,0.1082796752,-0.4566789865,0.2730796337,-0.0467543565,0.0234144330,-0.0757418871,0.0455093682,0.4789521992,0.4705289900,0.4974541962,-0.5495361090,
10455.301,0.1220740378,0.0000000000,0.9155552983,0.0753196850,0.0096438490,-1.0111392736,-0.1521042585,-0.0489516892,-0.4193243086,0.0000484809,0.0071696336,-0.0139785409,0.0375688374,0.1087522581,-0.9934769869,0.0028672914,-18.1890316010,1.5259255171,2.9908139706,-0.9715872407,-0.1754203886,0.1003448591,-0.4587542415,0.2646565139,-0.0550553910,0.0220869184,-0.0793186575,0.0379496440,-0.4794143736,-0.4700858593,-0.4980612695,0.5489621758,-18.1890316010,1.5259255171,2.9908139706,-0.9715872407,-0.1754203886,0.1003448591,-0.4587542415,0.2646565139,-0.0550553910,0.0220869184,-0.0793186575,0.0379496440,-0.4794143736,-0.4700858593,-0.4980612695,0.5489621758,-18.1890316010,1.5259255171,2.9908139706,-0.9715872407,-0.1754203886,0.1003448591,-0.4587542415,0.2646565139,-0.0550553910,0.0220869184,-0.0793186575,0.0379496440,0.4794143736,0.4700858593,0.4980612695,-0.5489621758,
10455.417,0.1220740378,0.0610370189,0.9155552983,0.0759300515,0.0108645894,-1.0107730627,-0.1543015838,-0.0511490218,-0.4251838624,0.0006496459,0.0083824247,-0.0136131048,0.0375736803,0.1088125110,-0.9934701920,0.0028661196,-18.2500686646,1.2207404375,2.1973326206,-0.9847712517,-0.1777397990,0.0865504965,-0.4591204524,0.2533036172,-0.0573747978,0.0089060664,-0.0814152062,0.0245519504,-0.4798127115,-0.4696314335,-0.4986886382,0.5484332442,-18.2500686646,1.2207404375,2.1973326206,-0.9847712517,-0.1777397990,0.0865504965,-0.4591204524,0.2533036172,-0.0573747978,0.0089060664,-0.0814152062,0.0245519504,-0.4798127115,-0.4696314335,-0.4986886382,0.5484332442,-18.2500686646,1.2207404375,2.1973326206,-0.9847712517,-0.1777397990,0.0865504965,-0.4591204524,0.2533036172,-0.0573747978,0.0089060664,-0.0814152062,0.0245519504,0.4798127115,0.4696314335,0.4986886382,-0.5484332442,
