Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1159.602,0.1220740378,0.0000000000,0.9155552983,0.0664082766,0.0009765923,-1.0108951330,-0.1508835107,-0.0395519882,-0.3894161880,0.0040104575,0.0069811088,-0.0128613114,0.0308155995,0.0896049887,-0.9956058860,0.0057889270,-4.0284433365,-0.4272591472,5.3102207184,-0.8879665732,0.3608508706,0.2534257174,-0.5644703507,0.3209326565,-0.3918576539,0.0510835648,0.1167207956,0.0101349950,0.2875150144,0.6109572053,0.0730015934,-0.7341529131,-4.0284433365,-0.4272591472,5.3102207184,-0.8879665732,0.3608508706,0.2534257174,-0.5644703507,0.3209326565,-0.3918576539,0.0510835648,0.1167207956,0.0101349950,0.2875150144,0.6109572053,0.0730015934,-0.7341529131,-1.4038513899,-0.9155552983,0.0000000000,-0.8945585489,-0.1447798163,-0.4238410592,-0.4672994316,0.3139744401,-0.3671987057,0.0795360208,-0.1383324713,-0.1969616413,0.2433443218,0.7188390493,0.3113733828,-0.5721396804,
1159.615,0.1220740378,-0.1220740378,0.9155552983,0.0683614612,0.0008545183,-1.0108951330,-0.1502731442,-0.0358897671,-0.3939329088,0.0059604831,0.0068560429,-0.0128615499,0.0308176167,0.0895523056,-0.9956105351,0.0057859481,-5.9816279411,-3.0518510342,5.3102207184,-0.8624531031,0.3525498211,0.2735679150,-0.5630054474,0.3189794719,-0.3949095011,0.0760294199,0.1071969867,0.0293187499,0.2880541384,0.6106272936,0.0724766776,-0.7342679501,-5.9816279411,-3.0518510342,5.3102207184,-0.8624531031,0.3525498211,0.2735679150,-0.5630054474,0.3189794719,-0.3949095011,0.0760294199,0.1071969867,0.0293187499,0.2880541384,0.6106272936,0.0724766776,-0.7342679501,-1.4038513899,-0.9765923023,0.0000000000,-0.8955351710,-0.1484420300,-0.4259163141,-0.4687643051,0.3134861290,-0.3671987057,0.0783533454,-0.1413417757,-0.1981744170,0.2431668937,0.7189048529,0.3119134009,-0.5718382001,
1159.628,0.1831110567,-0.1220740378,0.9155552983,0.0671407208,0.0013428144,-1.0106509924,-0.1480758041,-0.0417493209,-0.3979613781,0.0047425106,0.0073495875,-0.0126172900,0.0308158062,0.0895858631,-0.9956075549,0.0057894769,-7.0192570686,-5.0660724640,5.3712577820,-0.8689230084,0.3541367948,0.2840662897,-0.5584887266,0.3192236125,-0.3916135132,0.0688953996,0.1076122522,0.0384474695,0.2886706889,0.6101261377,0.0719725341,-0.7344921231,-7.0192570686,-5.0660724640,5.3712577820,-0.8689230084,0.3541367948,0.2840662897,-0.5584887266,0.3192236125,-0.3916135132,0.0688953996,0.1076122522,0.0384474695,0.2886706889,0.6101261377,0.0719725341,-0.7344921231,-1.2207404375,-0.9765923023,-1.2817773819,-0.8984649181,-0.1494186223,-0.4218878746,-0.4840235710,0.3144627213,-0.3745231628,0.0752211213,-0.1414396465,-0.1933114529,0.2429113090,0.7189346552,0.3125131428,-0.5715819001,
1159.641,0.1831110567,-0.0610370189,0.9155552983,0.0666524246,0.0009765923,-1.0102847815,-0.1506393701,-0.0383312479,-0.4004028440,0.0042486079,0.0069903936,-0.0122514367,0.0308184102,0.0895642340,-0.9956095219,0.0057925601,-7.6296272278,-6.4699239731,5.6154055595,-0.8827173710,0.3574327826,0.2822351754,-0.5627613068,0.3193456829,-0.3913693726,0.0543749332,0.1097389162,0.0350261033,0.2893277705,0.6095341444,0.0714616477,-0.7347747684,-7.6296272278,-6.4699239731,5.6154055595,-0.8827173710,0.3574327826,0.2822351754,-0.5627613068,0.3193456829,-0.3913693726,0.0543749332,0.1097389162,0.0350261033,0.2893277705,0.6095341444,0.0714616477,-0.7347747684,-1.7700735331,-1.2207404375,-1.9531846046,-0.8991973400,-0.1486861855,-0.4218878746,-0.4891506732,0.3142185807,-0.3671987057,0.0742948055,-0.1397449225,-0.1925230622,0.2426910102,0.7189081311,0.3132042587,-0.5713306069,
1159.654,0.1220740378,-0.1220740378,0.9155552983,0.0653096139,0.0012207404,-1.0095522404,-0.1485641003,-0.0393078402,-0.4040650725,0.0029172525,0.0072296886,-0.0115181804,0.0308129378,0.0895608589,-0.9956099391,0.0057895235,-7.6296272278,-5.4322948456,6.2257757187,-0.8993194103,0.3662221134,0.2701498568,-0.5620288849,0.3238624334,-0.3928342462,0.0370821953,0.1172505617,0.0216079056,0.2900173068,0.6090467572,0.0709543079,-0.7349564433,-7.6296272278,-5.4322948456,6.2257757187,-0.8993194103,0.3662221134,0.2701498568,-0.5620288849,0.3238624334,-0.3928342462,0.0370821953,0.1172505617,0.0216079056,0.2900173068,0.6090467572,0.0709543079,-0.7349564433,0.1220740378,-1.9531846046,-1.9531846046,-0.8988311291,-0.1446577311,-0.4238410592,-0.4834131896,0.3145847917,-0.3744010627,0.0744936466,-0.1347031891,-0.1938093305,0.2423587143,0.7189009190,0.3137526512,-0.5711798072,
1159.667,0.1220740378,-0.1220740378,0.9155552983,0.0639667958,0.0021973327,-1.0105289221,-0.1510055810,-0.0417493209,-0.3956419528,0.0015927441,0.0081966296,-0.0124936700,0.0308040958,0.0895858780,-0.9956079125,0.0057846676,-7.2634053230,-4.0284433365,6.3478498459,-0.8998077512,0.3697622716,0.2601397634,-0.5631275177,0.3195898235,-0.3896603286,0.0359659791,0.1194668114,0.0105648637,0.2906679511,0.6086822748,0.0704396144,-0.7350507379,-7.2634053230,-4.0284433365,6.3478498459,-0.8998077512,0.3697622716,0.2601397634,-0.5631275177,0.3195898235,-0.3896603286,0.0359659791,0.1194668114,0.0105648637,0.2906679511,0.6086822748,0.0704396144,-0.7350507379,-1.9531846046,-1.9531846046,-1.9531846046,-0.8984649181,-0.1407513618,-0.4221320152,-0.4843897820,0.3232520521,-0.3735465705,0.0746933222,-0.1298904121,-0.1914390326,0.2421893626,0.7188367844,0.3144255280,-0.5709621906,
1159.680,0.1831110567,-0.0610370189,0.9155552983,0.0638447255,0.0020752586,-1.0100406408,-0.1492965519,-0.0374767296,-0.4016235769,0.0014786832,0.0080761844,-0.0120048523,0.0308001973,0.0895561129,-0.9956108332,0.0057841968,-6.9582200050,-2.2583696842,6.2257757187,-0.8882107139,0.3678090870,0.2614825964,-0.5636158586,0.3227637708,-0.3925901055,0.0470095873,0.1161946952,0.0111600161,0.2912891209,0.6084308028,0.0699563697,-0.7350591421,-6.9582200050,-2.2583696842,6.2257757187,-0.8882107139,0.3678090870,0.2614825964,-0.5636158586,0.3227637708,-0.3925901055,0.0470095873,0.1161946952,0.0111600161,0.2912891209,0.6084308028,0.0699563697,-0.7350591421,-1.8311105967,-0.8545182943,-1.7090365887,-0.8948026896,-0.1456343234,-0.4218878746,-0.4683980942,0.3125095367,-0.3691518903,0.0781432986,-0.1338819861,-0.1903452873,0.2419652343,0.7188454866,0.3150805533,-0.5706851482,
1159.693,0.1831110567,-0.0610370189,0.9155552983,0.0625019073,0.0004882962,-1.0097965002,-0.1495406926,-0.0423596911,-0.4027222395,0.0001504011,0.0064986860,-0.0117598772,0.0307923201,0.0895920470,-0.9956077337,0.0057893703,-7.0802941322,-2.0142216682,5.6764426231,-0.8584246635,0.3597521782,0.2860194743,-0.5647144914,0.3197118938,-0.3930784166,0.0762339234,0.1069189012,0.0348279774,0.2918860912,0.6081265211,0.0694950223,-0.7351178527,-7.0802941322,-2.0142216682,5.6764426231,-0.8584246635,0.3597521782,0.2860194743,-0.5647144914,0.3197118938,-0.3930784166,0.0762339234,0.1069189012,0.0348279774,0.2918860912,0.6081265211,0.0694950223,-0.7351178527,-1.2207404375,-0.9765923023,-1.4648884535,-0.8912625313,-0.1416058838,-0.4218878746,-0.4801172018,0.3126316071,-0.3684194386,0.0814741850,-0.1290010214,-0.1895138621,0.2417367101,0.7188646793,0.3156957030,-0.5704177022,
1159.706,0.1831110567,-0.0610370189,0.9155552983,0.0617694631,0.0013428144,-1.0093080997,-0.1479537338,-0.0396740623,-0.4006469846,-0.0005641319,0.0073583885,-0.0112703443,0.0307831299,0.0895965025,-0.9956076145,0.0057912855,-7.4465165138,-3.3570361137,5.6154055595,-0.8639179468,0.3604846299,0.2960295379,-0.5650807023,0.3203222752,-0.3895382583,0.0701155066,0.1064777672,0.0436979234,0.2925074399,0.6077104807,0.0690320581,-0.7352585793,-7.4465165138,-3.3570361137,5.6154055595,-0.8639179468,0.3604846299,0.2960295379,-0.5650807023,0.3203222752,-0.3895382583,0.0701155066,0.1064777672,0.0436979234,0.2925074399,0.6077104807,0.0690320581,-0.7352585793,-0.9765923023,-0.9765923023,-1.4038513899,-0.8916288018,-0.1491744816,-0.4257942438,-0.4842677116,0.3144627213,-0.3735465705,0.0808944702,-0.1356860995,-0.1925787330,0.2414768487,0.7188925743,0.3162979782,-0.5701588988,
