Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
382.163,0.1831110567,0.0000000000,0.9765923023,0.0636005774,0.0003662221,-1.0112613440,-0.1475875080,-0.0444349498,-0.3950316012,-0.0002317205,0.0057918020,-0.0133149624,0.0314958654,0.1001911759,-0.9945743084,0.0059004114,-2.5025177002,-11.3528852463,2.1362955570,-0.4581438601,-0.8514664173,-0.2684408128,-0.3811151385,0.1204870790,-0.4712058008,-0.0329906046,0.0135037899,-0.0011815131,-0.1123155579,0.4776853919,0.6369375587,-0.5947735310,-2.5025177002,-11.3528852463,2.1362955570,-0.4581438601,-0.8514664173,-0.2684408128,-0.3811151385,0.1204870790,-0.4712058008,-0.0329906046,0.0135037899,-0.0011815131,-0.1123155579,0.4776853919,0.6369375587,-0.5947735310,0.0000000000,-0.9765923023,-1.4038513899,-0.9239783883,0.0612811670,-0.0079348125,-0.5000152588,0.2844325006,-0.3658559024,0.0758970380,0.0446860716,-0.0296282806,0.2205268592,0.6689273119,0.2047747225,-0.6798636913,
382.176,0.1831110567,0.0610370189,0.9765923023,0.0648213178,0.0010986663,-1.0107730627,-0.1457564086,-0.0448011719,-0.3966185451,0.0009784624,0.0065344861,-0.0128273964,0.0315004587,0.1002171561,-0.9945715070,0.0059068617,-1.8311105967,-8.9724416733,3.6011841297,-0.4478896558,-0.8535416722,-0.2631916404,-0.3848994374,0.1187780425,-0.4721823931,-0.0216562748,0.0110237598,0.0036575198,-0.1115100384,0.4774707854,0.6369376183,-0.5950974226,-1.8311105967,-8.9724416733,3.6011841297,-0.4478896558,-0.8535416722,-0.2631916404,-0.3848994374,0.1187780425,-0.4721823931,-0.0216562748,0.0110237598,0.0036575198,-0.1115100384,0.4774707854,0.6369376183,-0.5950974226,0.4882961512,-0.6103702188,-1.4648884535,-0.9238563180,0.0620136112,-0.0068361461,-0.4995269775,0.2868739963,-0.3691518903,0.0760199428,0.0454195291,-0.0284897983,0.2205276191,0.6689391732,0.2047845423,-0.6798487902,
382.189,0.1831110567,0.0000000000,0.9765923023,0.0654316843,0.0013428144,-1.0110172033,-0.1450239569,-0.0419934690,-0.4034546912,0.0015860274,0.0067876228,-0.0130717754,0.0315014757,0.1002048105,-0.9945728183,0.0059110839,-1.0376293659,-6.8971829414,4.5167393684,-0.4596087635,-0.8493911624,-0.2570879161,-0.3859981000,0.1184118167,-0.4776757061,-0.0322011709,0.0147196054,0.0093558729,-0.1107950062,0.4774251282,0.6368127465,-0.5954011679,-1.0376293659,-6.8971829414,4.5167393684,-0.4596087635,-0.8493911624,-0.2570879161,-0.3859981000,0.1184118167,-0.4776757061,-0.0322011709,0.0147196054,0.0093558729,-0.1107950062,0.4774251282,0.6368127465,-0.5954011679,0.4882961512,-0.9765923023,-0.9765923023,-0.9239783883,0.0622577593,-0.0078127384,-0.8164311647,0.2851649523,-0.3586535156,0.0758960247,0.0455782041,-0.0294854641,0.2205510885,0.6689437032,0.2047464252,-0.6798481941,
382.202,0.1831110567,0.0610370189,0.9765923023,0.0649433881,0.0014648885,-1.0111392736,-0.1473433673,-0.0411389507,-0.3984496593,0.0010867864,0.0069180350,-0.0131946206,0.0315066949,0.1001747027,-0.9945755005,0.0059148320,-0.4882961512,-6.0426650047,5.6154055595,-0.4575335085,-0.8485366106,-0.2537919283,-0.3858760297,0.1186559647,-0.4725486040,-0.0288372934,0.0150703788,0.0122147799,-0.1100929081,0.4774671495,0.6366094947,-0.5957148671,-0.4882961512,-6.0426650047,5.6154055595,-0.4575335085,-0.8485366106,-0.2537919283,-0.3858760297,0.1186559647,-0.4725486040,-0.0288372934,0.0150703788,0.0122147799,-0.1100929081,0.4774671495,0.6366094947,-0.5957148671,0.4882961512,-0.9765923023,-0.9155552983,-0.9223914146,0.0595721304,0.0000000000,-0.8159428835,0.2816247940,-0.3593859673,0.0774805546,0.0428108573,-0.0217340589,0.2205656916,0.6689372063,0.2046931982,-0.6798660159,
382.215,0.1831110567,-0.0610370189,0.9765923023,0.0650654659,0.0012207404,-1.0099185705,-0.1494186223,-0.0390636921,-0.4017456472,0.0012182146,0.0066833855,-0.0119733214,0.0315019451,0.1001093164,-0.9945823550,0.0059170169,-0.1831110567,-5.7985167503,6.6530351639,-0.4596087635,-0.8404797316,-0.2493972629,-0.3875850737,0.1204870790,-0.4736472666,-0.0294592083,0.0225515366,0.0161320716,-0.1093548238,0.4775789678,0.6363382339,-0.5960510373,-0.1831110567,-5.7985167503,6.6530351639,-0.4596087635,-0.8404797316,-0.2493972629,-0.3875850737,0.1204870790,-0.4736472666,-0.0294592083,0.0225515366,0.0161320716,-0.1093548238,0.4775789678,0.6363382339,-0.5960510373,0.7324442267,-0.9155552983,-0.9765923023,-0.9254432917,0.0788598284,-0.0001220740,-0.8139896989,0.2821131051,-0.3548692167,0.0744245052,0.0619244203,-0.0219048895,0.2206062675,0.6689454317,0.2046063244,-0.6798707843,
382.228,0.1831110567,-0.0610370189,0.9765923023,0.0648213178,0.0014648885,-1.0104068518,-0.1457564086,-0.0439466536,-0.4017456472,0.0009847656,0.0069357790,-0.0124609470,0.0314961299,0.1001223549,-0.9945810437,0.0059209974,0.6103702188,-5.3712577820,9.1555528641,-0.4799951315,-0.8247321844,-0.2493972629,-0.3866084814,0.1195104867,-0.4742576480,-0.0479295850,0.0375129580,0.0155745894,-0.1084999964,0.4778799117,0.6358929276,-0.5964409709,0.6103702188,-5.3712577820,9.1555528641,-0.4799951315,-0.8247321844,-0.2493972629,-0.3866084814,0.1195104867,-0.4742576480,-0.0479295850,0.0375129580,0.0155745894,-0.1084999964,0.4778799117,0.6358929276,-0.5964409709,0.0000000000,-0.9765923023,-1.5869624615,-0.9223914146,0.0815454572,0.0000000000,-0.8139896989,0.2818689644,-0.3584093750,0.0774736404,0.0645302981,-0.0218449235,0.2206507623,0.6689291596,0.2045836151,-0.6798791885,
382.241,0.1831110567,-0.1220740378,0.9765923023,0.0643330216,0.0020752586,-1.0104068518,-0.1442915201,-0.0415051728,-0.4024780989,0.0005201027,0.0075513367,-0.0124595165,0.0314841866,0.1001062915,-0.9945832491,0.0059218816,1.5259255171,-3.0518510342,10.4373302460,-0.4909817874,-0.8207037449,-0.2548905909,-0.3889278769,0.1174352244,-0.4751121700,-0.0568775833,0.0406693220,0.0095861256,-0.1077240482,0.4783794284,0.6353225708,-0.5967890620,1.5259255171,-3.0518510342,10.4373302460,-0.4909817874,-0.8207037449,-0.2548905909,-0.3889278769,0.1174352244,-0.4751121700,-0.0568775833,0.0406693220,0.0095861256,-0.1077240482,0.4783794284,0.6353225708,-0.5967890620,0.9765923023,-0.6103702188,-1.4648884535,-0.9084749818,0.0834986418,0.0000000000,-0.4997711182,0.2813806534,-0.3593859673,0.0913881660,0.0663617700,-0.0218399763,0.2206714153,0.6689493656,0.2045235783,-0.6798706651,
382.254,0.1220740378,-0.1220740378,1.0376293659,0.0659199804,0.0003662221,-1.0108951330,-0.1429487020,-0.0434583575,-0.4077273011,0.0021230355,0.0058459491,-0.0129467845,0.0314759985,0.1001147702,-0.9945824742,0.0059231645,3.1128878593,2.0142216682,11.3528852463,-0.4907376468,-0.8270515800,-0.2645344436,-0.3891720474,0.1178014502,-0.4763329029,-0.0547244847,0.0334517956,-0.0003669560,-0.1072579324,0.4791807234,0.6345965862,-0.5970025063,3.1128878593,2.0142216682,11.3528852463,-0.4907376468,-0.8270515800,-0.2645344436,-0.3891720474,0.1178014502,-0.4763329029,-0.0547244847,0.0334517956,-0.0003669560,-0.1072579324,0.4791807234,0.6345965862,-0.5970025063,1.4648884535,-0.7324442267,0.0610370189,-0.9260536432,0.0798364207,-0.0019531846,-0.8183843493,0.2812585831,-0.3588976860,0.0738030672,0.0623385832,-0.0237974524,0.2207148224,0.6690087914,0.2043238431,-0.6798581481,
382.267,0.1831110567,-0.1220740378,1.0376293659,0.0657979101,-0.0002441481,-1.0106509924,-0.1449018866,-0.0423596911,-0.4039430022,0.0020173416,0.0052528549,-0.0127016902,0.0314670429,0.1001027152,-0.9945840240,0.0059305578,6.2257757187,14.3436994553,12.0242929459,-0.4669331908,-0.8518326283,-0.2730796337,-0.3919797242,0.1170690060,-0.4764549732,-0.0296404660,0.0079627633,-0.0087217689,-0.1076306328,0.4805882573,0.6336065531,-0.5968557000,6.2257757187,14.3436994553,12.0242929459,-0.4669331908,-0.8518326283,-0.2730796337,-0.3919797242,0.1170690060,-0.4764549732,-0.0296404660,0.0079627633,-0.0087217689,-0.1076306328,0.4805882573,0.6336065531,-0.5968557000,0.4882961512,-0.9765923023,0.1220740378,-0.9220252037,0.0576189458,0.0000000000,-0.4995269775,0.2813806534,-0.3591418266,0.0778260231,0.0398727357,-0.0219045877,0.2208156288,0.6690106988,0.2042441666,-0.6798475981,
