Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
5400.371,0.1220740378,-0.2441480756,0.9155552983,0.0649433881,0.0034180731,-1.0111392736,-0.1563768387,-0.0466322824,-0.4282357395,0.0014596432,0.0065824105,-0.0131609440,0.0314196981,0.1034622565,-0.9942474365,0.0048608840,0.0610370189,-0.0610370189,0.2441480756,-0.3300881982,-0.8918729424,-0.2960295379,-0.3499862552,0.1084017456,-0.4748679996,0.0102597475,-0.0006539822,0.0043571889,-0.1545905769,0.4746525288,0.6520287395,-0.5708838701,0.0610370189,-0.0610370189,0.2441480756,-0.3300881982,-0.8918729424,-0.2960295379,-0.3499862552,0.1084017456,-0.4748679996,0.0102597475,-0.0006539822,0.0043571889,-0.1545905769,0.4746525288,0.6520287395,-0.5708838701,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4983062148,0.3193456829,-0.3593859673,0.9919995070,-0.1259343922,-0.0239864588,0.2284126133,0.6850098968,0.1378816962,-0.6781009436,
5400.384,0.1220740378,-0.2441480756,0.9155552983,0.0654316843,0.0025635548,-1.0102847815,-0.1547898799,-0.0462660603,-0.4221320152,0.0019852370,0.0057308315,-0.0123040676,0.0314009227,0.1034725383,-0.9942469597,0.0048607355,0.0000000000,-0.1831110567,0.1831110567,-0.3309427202,-0.8918729424,-0.2951750159,-0.3486434519,0.1080355272,-0.4764549732,0.0094047487,-0.0006428361,0.0051797032,-0.1545817703,0.4746296704,0.6520332694,-0.5709002614,0.0000000000,-0.1831110567,0.1831110567,-0.3309427202,-0.8918729424,-0.2951750159,-0.3486434519,0.1080355272,-0.4764549732,0.0094047487,-0.0006428361,0.0051797032,-0.1545817703,0.4746296704,0.6520332694,-0.5709002614,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.8093508482,0.3183690906,-0.3593859673,0.9919994473,-0.1259347647,-0.0239866376,0.2283951491,0.6850134134,0.1378637552,-0.6781069040,
5400.397,0.0610370189,-0.2441480756,0.9155552983,0.0642109439,0.0047608875,-1.0111392736,-0.1550340354,-0.0441908017,-0.4288460910,0.0008078739,0.0079096053,-0.0131557584,0.0313803703,0.1034535915,-0.9942496419,0.0048486525,-0.0610370189,-0.3051851094,0.1831110567,-0.3302102685,-0.8911404610,-0.2946867347,-0.3479110003,0.1001007110,-0.4715720117,0.0101410151,0.0000981688,0.0056378841,-0.1545605212,0.4745963812,0.6520457864,-0.5709192157,-0.0610370189,-0.3051851094,0.1831110567,-0.3302102685,-0.8911404610,-0.2946867347,-0.3479110003,0.1001007110,-0.4715720117,0.0101410151,0.0000981688,0.0056378841,-0.1545605212,0.4745963812,0.6520457864,-0.5709192157,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4987945259,0.3159276247,-0.3593859673,0.9919996262,-0.1259352416,-0.0239870548,0.2285123765,0.6849896312,0.1379818022,-0.6780675650,
5400.410,0.1220740378,-0.1831110567,0.9155552983,0.0648213178,0.0050050355,-1.0107730627,-0.1510055810,-0.0454115421,-0.4290902317,0.0014476702,0.0081447028,-0.0127876401,0.0313661434,0.1034636199,-0.9942490458,0.0048429403,-0.0610370189,-0.3662221134,0.0610370189,-0.3320413828,-0.8902859688,-0.2944425941,-0.3476668596,0.1054719687,-0.4765770435,0.0083076060,0.0009652376,0.0058472753,-0.1545448303,0.4745632112,0.6520566344,-0.5709386468,-0.0610370189,-0.3662221134,0.0610370189,-0.3320413828,-0.8902859688,-0.2944425941,-0.3476668596,0.1054719687,-0.4765770435,0.0083076060,0.0009652376,0.0058472753,-0.1545448303,0.4745632112,0.6520566344,-0.5709386468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4975737929,0.3208105862,-0.3711050749,0.9919993877,-0.1259356737,-0.0239871740,0.2286202163,0.6849675775,0.1380903870,-0.6780312657,
5400.423,0.1220740378,-0.1220740378,0.8545182943,0.0629902035,0.0037842952,-1.0107730627,-0.1527146250,-0.0426038392,-0.4278694987,-0.0003558546,0.0069203051,-0.0127859116,0.0313527174,0.1034368500,-0.9942523837,0.0048388429,-0.0610370189,-0.3051851094,0.1220740378,-0.3314310014,-0.8912625313,-0.2940763533,-0.3480330706,0.1085238233,-0.4798730314,0.0089180171,0.0000000596,0.0061799586,-0.1545351446,0.4745390117,0.6520613432,-0.5709559917,-0.0610370189,-0.3051851094,0.1220740378,-0.3314310014,-0.8912625313,-0.2940763533,-0.3480330706,0.1085238233,-0.4798730314,0.0089180171,0.0000000596,0.0061799586,-0.1545351446,0.4745390117,0.6520613432,-0.5709559917,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4987945259,0.3242286444,-0.3691518903,0.9919993877,-0.1259361207,-0.0239875913,0.2287413031,0.6849429011,0.1382123530,-0.6779905558,
5400.436,0.0610370189,-0.2441480756,0.9155552983,0.0637226477,0.0037842952,-1.0121158361,-0.1552781761,-0.0441908017,-0.4270149767,0.0004221946,0.0069067241,-0.0141257644,0.0313308053,0.1034179702,-0.9942548871,0.0048291269,-0.0610370189,-0.2441480756,0.1220740378,-0.3328959048,-0.8919950128,-0.2926114798,-0.3462019861,0.1082796752,-0.4760887623,0.0074560344,-0.0007206798,0.0076066256,-0.1545258015,0.4745155573,0.6520637870,-0.5709752440,-0.0610370189,-0.2441480756,0.1220740378,-0.3328959048,-0.8919950128,-0.2926114798,-0.3462019861,0.1082796752,-0.4760887623,0.0074560344,-0.0007206798,0.0076066256,-0.1545258015,0.4745155573,0.6520637870,-0.5709752440,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4970854819,0.3208105862,-0.3691518903,0.9919993281,-0.1259365529,-0.0239878893,0.2288522124,0.6849202514,0.1383240372,-0.6779532433,
5400.449,0.1220740378,-0.1831110567,0.9155552983,0.0627460554,0.0045167394,-1.0101627111,-0.1533249915,-0.0466322824,-0.4307992756,-0.0005155057,0.0076326318,-0.0121700764,0.0313116796,0.1034364402,-0.9942538142,0.0048244372,0.0000000000,-0.2441480756,0.1831110567,-0.3297219872,-0.8895534873,-0.2951750159,-0.3466902673,0.1071810052,-0.4748679996,0.0106306076,0.0017310977,0.0050121546,-0.1545157880,0.4744925201,0.6520687342,-0.5709915161,0.0000000000,-0.2441480756,0.1831110567,-0.3297219872,-0.8895534873,-0.2951750159,-0.3466902673,0.1071810052,-0.4748679996,0.0106306076,0.0017310977,0.0050121546,-0.1545157880,0.4744925201,0.6520687342,-0.5709915161,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4983062148,0.3232520521,-0.3593859673,0.9919993281,-0.1259370595,-0.0239880681,0.2289897949,0.6848921776,0.1384626627,-0.6779068708,
5400.462,0.1220740378,-0.1220740378,0.9155552983,0.0649433881,0.0026856288,-1.0095522404,-0.1523483992,-0.0451673940,-0.4301889241,0.0016989410,0.0058040535,-0.0115585327,0.0313030221,0.1034388989,-0.9942536354,0.0048248880,0.0000000000,-0.1831110567,0.2441480756,-0.3310647905,-0.8900418282,-0.2952970862,-0.3503524959,0.1070589349,-0.4747459292,0.0092999041,0.0012475848,0.0048621297,-0.1544968784,0.4744688869,0.6520752311,-0.5710088611,0.0000000000,-0.1831110567,0.2441480756,-0.3310647905,-0.8900418282,-0.2952970862,-0.3503524959,0.1070589349,-0.4747459292,0.0092999041,0.0012475848,0.0048621297,-0.1544968784,0.4744688869,0.6520752311,-0.5710088611,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4965972006,0.3247169554,-0.3730582595,0.9919992089,-0.1259375215,-0.0239883065,0.2291034460,0.6848689318,0.1385771185,-0.6778685451,
5400.475,0.1220740378,-0.1220740378,0.9155552983,0.0632343516,0.0024414808,-1.0101627111,-0.1550340354,-0.0440687276,-0.4277474284,0.0000154898,0.0055636340,-0.0121673942,0.0312901773,0.1034192666,-0.9942561984,0.0048247967,0.0000000000,-0.2441480756,0.2441480756,-0.3313089311,-0.8891872764,-0.2955412567,-0.3510849476,0.1095004156,-0.4768211842,0.0090732574,0.0021052957,0.0045886934,-0.1544744074,0.4744445980,0.6520816684,-0.5710277557,0.0000000000,-0.2441480756,0.2441480756,-0.3313089311,-0.8891872764,-0.2955412567,-0.3510849476,0.1095004156,-0.4768211842,0.0090732574,0.0021052957,0.0045886934,-0.1544744074,0.4744445980,0.6520816684,-0.5710277557,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.4985503852,0.3256935477,-0.3691518903,0.9919991493,-0.1259379834,-0.0239885449,0.2292265892,0.6848437190,0.1387011707,-0.6778270006,
