Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
2195.052,0.1220740378,-0.0610370189,0.9155552983,0.0626239851,0.0135502182,-1.0108951330,-0.1331827790,-0.0555436872,-0.4110232890,0.0015767552,0.0068796352,-0.0127820969,0.0306895077,0.1497973055,-0.9883624911,0.0012767726,-0.0610370189,-0.3051851094,-0.6103702188,0.7247535586,-0.4466688931,-0.5448164344,-0.2431714833,0.3542588651,-0.3380230069,0.0008772016,-0.0226976573,-0.0003231168,0.4748830497,-0.3668026924,-0.7987149954,0.0473225676,-0.0610370189,-0.3051851094,-0.6103702188,0.7247535586,-0.4466688931,-0.5448164344,-0.2431714833,0.3542588651,-0.3380230069,0.0008772016,-0.0226976573,-0.0003231168,0.4748830497,-0.3668026924,-0.7987149954,0.0473225676,0.0610370189,-1.4648884535,-1.1597033739,-0.9458296299,-0.1884823143,-0.0390636921,-0.9824518561,0.1372112185,-0.3122653961,0.0246797204,0.0080288649,0.1020475030,-0.2891293168,-0.5983646512,-0.4612573087,0.5880889893,
2195.065,0.1220740378,-0.0610370189,0.9155552983,0.0629902035,0.0142826624,-1.0108951330,-0.1351359636,-0.0511490218,-0.4126102626,0.0019468404,0.0076059420,-0.0127818584,0.0306880772,0.1497783065,-0.9883654118,0.0012728575,0.0000000000,-0.3051851094,-0.7324442267,0.7259743214,-0.4469130635,-0.5454267859,-0.2387768179,0.3554795980,-0.3392437398,0.0021045804,-0.0229454637,-0.0009219050,0.4748782218,-0.3668248355,-0.7987084389,0.0473097228,0.0000000000,-0.3051851094,-0.7324442267,0.7259743214,-0.4469130635,-0.5454267859,-0.2387768179,0.3554795980,-0.3392437398,0.0021045804,-0.0229454637,-0.0009219050,0.4748782218,-0.3668248355,-0.7987084389,0.0473097228,0.0000000000,-1.3428144455,-1.0986663103,-0.9453413486,-0.1887264699,-0.0468764305,-0.9798883200,0.1416058838,-0.2932218313,0.0252306461,0.0079699308,0.0935461521,-0.2892275453,-0.5981193185,-0.4612024426,0.5883333683,
2195.078,0.1220740378,0.0000000000,0.9155552983,0.0623798333,0.0140385143,-1.0105289221,-0.1357463300,-0.0542008728,-0.4109012187,0.0013325624,0.0073568653,-0.0124159455,0.0306903515,0.1497989446,-0.9883623123,0.0012713532,0.0610370189,-0.2441480756,-0.7934812307,0.7284157872,-0.4485000074,-0.5460371971,-0.2402417064,0.3543809354,-0.3424176872,0.0045401454,-0.0245361626,-0.0015373230,0.4748815298,-0.3668299317,-0.7987045050,0.0473030657,0.0610370189,-0.2441480756,-0.7934812307,0.7284157872,-0.4485000074,-0.5460371971,-0.2402417064,0.3543809354,-0.3424176872,0.0045401454,-0.0245361626,-0.0015373230,0.4748815298,-0.3668299317,-0.7987045050,0.0473030657,0.0000000000,0.0000000000,-0.7324442267,-0.9457075596,-0.1876277924,-0.0443128757,-0.9795221090,0.1398968548,-0.2929776907,0.0249089599,0.0091853142,0.0956388861,-0.2892899513,-0.5979599357,-0.4611539543,0.5885027051,
2195.091,0.1220740378,0.0000000000,0.9155552983,0.0634784997,0.0137943663,-1.0110172033,-0.1347697377,-0.0549333170,-0.4063844681,0.0024221055,0.0071090590,-0.0129048228,0.0306950994,0.1498351693,-0.9883565903,0.0012713546,0.1220740378,-0.2441480756,-0.7324442267,0.7258522511,-0.4486220777,-0.5460371971,-0.2362132668,0.3563341200,-0.3443708718,0.0019814372,-0.0246438682,-0.0015420318,0.4748844802,-0.3668515682,-0.7986930609,0.0472984985,0.1220740378,-0.2441480756,-0.7324442267,0.7258522511,-0.4486220777,-0.5460371971,-0.2362132668,0.3563341200,-0.3443708718,0.0019814372,-0.0246438682,-0.0015420318,0.4748844802,-0.3668515682,-0.7986930609,0.0472984985,0.0000000000,0.2441480756,-0.6103702188,-0.9463179708,-0.1879940182,-0.0434583575,-0.9802545309,0.1875057220,-0.2949308753,0.0243410468,0.0089158863,0.0960619301,-0.2894096076,-0.5977696180,-0.4611666501,0.5886271596,
2195.104,0.1220740378,0.0000000000,0.9155552983,0.0622577593,0.0128177740,-1.0104068518,-0.1367229223,-0.0532242805,-0.4134647548,0.0011980943,0.0061336062,-0.0122946501,0.0306966305,0.1498369128,-0.9883562922,0.0012722178,0.1220740378,-0.1831110567,-0.7324442267,0.7268288136,-0.4502090514,-0.5456709266,-0.2396313399,0.3557237387,-0.3442488015,0.0029561520,-0.0262112916,-0.0011932850,0.4748935401,-0.3668639958,-0.7986820340,0.0472998619,0.1220740378,-0.1831110567,-0.7324442267,0.7268288136,-0.4502090514,-0.5456709266,-0.2396313399,0.3557237387,-0.3442488015,0.0029561520,-0.0262112916,-0.0011932850,0.4748935401,-0.3668639958,-0.7986820340,0.0472998619,0.2441480756,0.2441480756,0.0000000000,-0.9448530674,-0.1562547684,-0.0430921353,-0.9939268231,0.1877498776,-0.2968840599,0.0259010792,0.0404962003,0.0959904790,-0.2896044552,-0.5976412296,-0.4610958099,0.5887172222,
2195.117,0.1220740378,0.0000000000,0.9155552983,0.0640888736,0.0131839961,-1.0101627111,-0.1381878108,-0.0576189458,-0.4039430022,0.0030168630,0.0064991452,-0.0120512843,0.0307027195,0.1498928666,-0.9883475900,0.0012745449,0.0000000000,-0.1831110567,-0.7324442267,0.7253639102,-0.4488662481,-0.5445722938,-0.2404858619,0.3556016684,-0.3432722092,0.0014890432,-0.0248624682,-0.0001023412,0.4748983085,-0.3668797314,-0.7986723185,0.0472926423,0.0000000000,-0.1831110567,-0.7324442267,0.7253639102,-0.4488662481,-0.5445722938,-0.2404858619,0.3556016684,-0.3432722092,0.0014890432,-0.0248624682,-0.0001023412,0.4748983085,-0.3668797314,-0.7986723185,0.0472926423,0.1831110567,0.2441480756,0.0610370189,-0.9382610321,-0.1743217260,-0.0449232459,-0.9839167595,0.1882381737,-0.2900479138,0.0325689316,0.0223559886,0.0937355161,-0.2897834778,-0.5974862576,-0.4610671401,0.5888090730,
2195.130,0.1220740378,0.0000000000,0.9155552983,0.0632343516,0.0135502182,-1.0104068518,-0.1375774443,-0.0573747978,-0.4010132253,0.0021543317,0.0068628923,-0.0122959614,0.0307067949,0.1499489546,-0.9883390665,0.0012756643,0.0000000000,-0.1831110567,-0.6714072227,0.7262184620,-0.4482558668,-0.5455488563,-0.2378002256,0.3551133871,-0.3380230069,0.0023447871,-0.0242433250,-0.0010840893,0.4749024212,-0.3669098914,-0.7986568213,0.0472792201,0.0000000000,-0.1831110567,-0.6714072227,0.7262184620,-0.4482558668,-0.5455488563,-0.2378002256,0.3551133871,-0.3380230069,0.0023447871,-0.0242433250,-0.0010840893,0.4749024212,-0.3669098914,-0.7986568213,0.0472792201,0.0000000000,0.2441480756,0.0610370189,-0.9385052323,-0.1886043847,-0.0429700613,-0.9804986715,0.1875057220,-0.2962736785,0.0323862433,0.0080677867,0.0952631235,-0.2899230719,-0.5973294377,-0.4610391259,0.5889210701,
2195.143,0.1220740378,-0.0610370189,0.9155552983,0.0633564293,0.0136722922,-1.0108951330,-0.1376995146,-0.0555436872,-0.4056520164,0.0022786446,0.0069819358,-0.0127841234,0.0307058804,0.1499785334,-0.9883345366,0.0012749173,0.0000000000,-0.2441480756,-0.6714072227,0.7257301807,-0.4474013448,-0.5459151268,-0.2373119295,0.3564561903,-0.3414410949,0.0018640161,-0.0233832002,-0.0014447570,0.4749007523,-0.3669404685,-0.7986445427,0.0472660549,0.0000000000,-0.2441480756,-0.6714072227,0.7257301807,-0.4474013448,-0.5459151268,-0.2373119295,0.3564561903,-0.3414410949,0.0018640161,-0.0233832002,-0.0014447570,0.4749007523,-0.3669404685,-0.7986445427,0.0472660549,0.0610370189,-0.7324442267,0.0000000000,-0.9458296299,-0.1886043847,-0.0440687276,-0.9842829704,0.1408734471,-0.2890713215,0.0251462460,0.0080666840,0.0935764611,-0.2900561988,-0.5971569419,-0.4609442651,0.5891050696,
2195.156,0.1220740378,-0.0610370189,0.8545182943,0.0636005774,0.0140385143,-1.0110172033,-0.1347697377,-0.0556657612,-0.4082155824,0.0025239177,0.0073426925,-0.0129060745,0.0307056699,0.1500287950,-0.9883269072,0.0012736913,0.0610370189,-0.1831110567,-0.6714072227,0.7262184620,-0.4487441778,-0.5465254784,-0.2337717861,0.3532822728,-0.3459578156,0.0023561120,-0.0247107148,-0.0020620227,0.4749049842,-0.3669645190,-0.7986313105,0.0472601727,0.0610370189,-0.1831110567,-0.6714072227,0.7262184620,-0.4487441778,-0.5465254784,-0.2337717861,0.3532822728,-0.3459578156,0.0023561120,-0.0247107148,-0.0020620227,0.4749049842,-0.3669645190,-0.7986313105,0.0472601727,0.1831110567,-0.9765923023,0.0000000000,-0.9375286102,-0.1875057220,-0.0478530228,-0.9834284782,0.1416058838,-0.3125095367,0.0335324407,0.0091691017,0.0891836584,-0.2901042402,-0.5970457196,-0.4607579410,0.5893396139,
