Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
402.222,0.1220740378,0.0000000000,0.9155552983,0.0627460554,0.0106204413,-1.0102847815,-0.1483199596,-0.0505386516,-0.4090701044,0.0028108247,0.0062595550,-0.0120916367,0.0299904738,0.1385637075,-0.9900201559,0.0019950583,0.1220740378,-0.2441480756,-0.9155552983,0.8385265470,-0.2546464503,-0.5081942081,-0.2821131051,0.3929563165,-0.3205664158,0.0067469478,-0.0265522599,-0.0018783212,0.4915132523,-0.3492483199,-0.7946236134,-0.0725036189,0.1220740378,-0.2441480756,-0.9155552983,0.8385265470,-0.2546464503,-0.5081942081,-0.2821131051,0.3929563165,-0.3205664158,0.0067469478,-0.0265522599,-0.0018783212,0.4915132523,-0.3492483199,-0.7946236134,-0.0725036189,0.0000000000,-0.9765923023,0.1220740378,-0.0235602893,-0.0385753959,-0.0292977691,-0.6714072227,0.2232734114,-0.3642689288,0.4432691932,0.6748895645,0.4934546351,0.0659938306,0.3747892380,0.7881322503,-0.4840130210,
402.235,0.1220740378,-0.0610370189,0.9155552983,0.0623798333,0.0109866634,-1.0108951330,-0.1469771415,-0.0509048738,-0.4162724614,0.0024462678,0.0066241859,-0.0127018094,0.0299898162,0.1385345161,-0.9900242686,0.0019932706,0.0610370189,-0.2441480756,-0.8545182943,0.8390148878,-0.2547685206,-0.5079500675,-0.2801599205,0.3916135132,-0.3249610960,0.0072400570,-0.0266760737,-0.0016254783,0.4915098548,-0.3492389321,-0.7946304679,-0.0724967793,0.0610370189,-0.2441480756,-0.8545182943,0.8390148878,-0.2547685206,-0.5079500675,-0.2801599205,0.3916135132,-0.3249610960,0.0072400570,-0.0266760737,-0.0016254783,0.4915098548,-0.3492389321,-0.7946304679,-0.0724967793,0.1220740378,-0.9155552983,0.0000000000,-0.0238044374,-0.0316171758,-0.0292977691,-0.6555376053,0.2265694141,-0.3661000431,0.4432052672,0.6815214157,0.4937388897,0.0661263466,0.3748809993,0.7881788015,-0.4838480949,
402.248,0.1220740378,-0.0610370189,0.9155552983,0.0611590929,0.0106204413,-1.0108951330,-0.1488082558,-0.0539567247,-0.4084597230,0.0012332015,0.0062581887,-0.0127013922,0.0299859885,0.1385393292,-0.9900236726,0.0019929954,0.0610370189,-0.1831110567,-0.8545182943,0.8388928175,-0.2556230426,-0.5080721378,-0.2789391875,0.3890499473,-0.3144627213,0.0071185827,-0.0275282860,-0.0017476082,0.4915096760,-0.3492432833,-0.7946285605,-0.0724981204,0.0610370189,-0.1831110567,-0.8545182943,0.8388928175,-0.2556230426,-0.5080721378,-0.2789391875,0.3890499473,-0.3144627213,0.0071185827,-0.0275282860,-0.0017476082,0.4915096760,-0.3492432833,-0.7946285605,-0.0724981204,0.0000000000,-0.4882961512,0.1831110567,-0.0244148076,-0.0317392498,-0.0236823633,-0.6562700272,0.2207098603,-0.3669545650,0.4429579079,0.6812386513,0.4992491603,0.0663002208,0.3749589324,0.7881083488,-0.4838786125,
402.261,0.1220740378,0.0000000000,0.9155552983,0.0632343516,0.0124515519,-1.0105289221,-0.1488082558,-0.0506607257,-0.4073610604,0.0032951124,0.0080804601,-0.0123360157,0.0299932919,0.1385014653,-0.9900288582,0.0019883954,0.0610370189,-0.1831110567,-0.7934812307,0.8392590284,-0.2555009723,-0.5089266896,-0.2823572457,0.3883175254,-0.3192236125,0.0074889064,-0.0273965299,-0.0025997758,0.4915100634,-0.3492358625,-0.7946326137,-0.0724872351,0.0610370189,-0.1831110567,-0.7934812307,0.8392590284,-0.2555009723,-0.5089266896,-0.2823572457,0.3883175254,-0.3192236125,0.0074889064,-0.0273965299,-0.0025997758,0.4915100634,-0.3492358625,-0.7946326137,-0.0724872351,0.0000000000,-0.2441480756,0.0000000000,-0.0175786614,-0.0319833979,-0.0219733268,-0.6543168426,0.2187566757,-0.3691518903,0.4495489001,0.6811923981,0.5009072423,0.0661580041,0.3749001324,0.7881200910,-0.4839243889,
402.274,0.1220740378,0.0000000000,0.9155552983,0.0623798333,0.0120853297,-1.0101627111,-0.1489303261,-0.0512710959,-0.4106570780,0.0024314411,0.0077072321,-0.0119704008,0.0299983807,0.1384706646,-0.9900328517,0.0019846279,0.1831110567,-0.2441480756,-0.7934812307,0.8384044766,-0.2548905909,-0.5084383488,-0.2832117677,0.3921018243,-0.3209326565,0.0066435337,-0.0267673731,-0.0021047592,0.4915091693,-0.3492288888,-0.7946377993,-0.0724702477,0.1831110567,-0.2441480756,-0.7934812307,0.8384044766,-0.2548905909,-0.5084383488,-0.2832117677,0.3921018243,-0.3209326565,0.0066435337,-0.0267673731,-0.0021047592,0.4915091693,-0.3492288888,-0.7946377993,-0.0724702477,0.6103702188,-0.4272591472,0.0000000000,-0.0156254768,-0.0314951017,-0.0201422162,-0.6562700272,0.2240058631,-0.3742789924,0.4511482120,0.6820784211,0.5025121570,0.0659274459,0.3747982979,0.7880969644,-0.4840727150,
402.287,0.1220740378,0.0000000000,0.9155552983,0.0629902035,0.0120853297,-1.0102847815,-0.1473433673,-0.0535905026,-0.4137089252,0.0030297004,0.0077002700,-0.0120932460,0.0300048534,0.1384762973,-0.9900320172,0.0019821897,0.1220740378,-0.1831110567,-0.8545182943,0.8384044766,-0.2553789020,-0.5081942081,-0.2807703018,0.3891720474,-0.3154393137,0.0066448450,-0.0272488892,-0.0018615127,0.4915104508,-0.3492261469,-0.7946386933,-0.0724647343,0.1220740378,-0.1831110567,-0.8545182943,0.8384044766,-0.2553789020,-0.5081942081,-0.2807703018,0.3891720474,-0.3154393137,0.0066448450,-0.0272488892,-0.0018615127,0.4915104508,-0.3492261469,-0.7946386933,-0.0724647343,0.0000000000,-0.4882961512,0.1220740378,-0.0216071047,-0.0419934690,-0.0195318460,-0.6562700272,0.2197332680,-0.3711050749,0.4450462461,0.6721711159,0.5024222136,0.0657856539,0.3746294081,0.7879549265,-0.4844535291,
402.300,0.1831110567,0.0000000000,0.9155552983,0.0628681332,0.0112308115,-1.0108951330,-0.1540574431,-0.0526139103,-0.4122440219,0.0028963834,0.0068537183,-0.0127041936,0.0300099459,0.1384426504,-0.9900365472,0.0019858964,0.1831110567,-0.1831110567,-0.8545182943,0.8385265470,-0.2539139986,-0.5063630939,-0.2791833282,0.3924680352,-0.3147068620,0.0067629218,-0.0257775486,-0.0000399351,0.4915150702,-0.3492312431,-0.7946334481,-0.0724663585,0.1831110567,-0.1831110567,-0.8545182943,0.8385265470,-0.2539139986,-0.5063630939,-0.2791833282,0.3924680352,-0.3147068620,0.0067629218,-0.0257775486,-0.0000399351,0.4915150702,-0.3492312431,-0.7946334481,-0.0724663585,0.3662221134,-0.4882961512,0.1831110567,-0.0195318460,-0.0317392498,-0.0207525864,-0.6733604074,0.2213202268,-0.3735465705,0.4471488297,0.6825983524,0.5009403825,0.0657684729,0.3745881915,0.7878916860,-0.4845905900,
402.313,0.1831110567,0.0000000000,0.9155552983,0.0618915372,0.0117191076,-1.0112613440,-0.1483199596,-0.0517593920,-0.4148075879,0.0019135214,0.0073475502,-0.0130708218,0.0300127156,0.1384203434,-0.9900395274,0.0019883972,0.1220740378,-0.1831110567,-0.8545182943,0.8386486173,-0.2541581392,-0.5072176456,-0.2818689644,0.3953978121,-0.3199560642,0.0068827868,-0.0260202587,-0.0008987188,0.4915170074,-0.3492334783,-0.7946310639,-0.0724679083,0.1220740378,-0.1831110567,-0.8545182943,0.8386486173,-0.2541581392,-0.5072176456,-0.2818689644,0.3953978121,-0.3199560642,0.0068827868,-0.0260202587,-0.0008987188,0.4915170074,-0.3492334783,-0.7946310639,-0.0724679083,0.1220740378,-0.7324442267,0.2441480756,-0.0156254768,-0.0422376171,-0.0201422162,-0.6549271941,0.2231513411,-0.3679311574,0.4504676461,0.6729005575,0.5009791851,0.0654028207,0.3743176460,0.7878389359,-0.4849348366,
402.326,0.1831110567,0.0000000000,0.9155552983,0.0634784997,0.0107425153,-1.0104068518,-0.1480758041,-0.0496841334,-0.4123660922,0.0034861565,0.0063812481,-0.0122171044,0.0300191995,0.1383722126,-0.9900461435,0.0019930277,0.0610370189,-0.1831110567,-0.9155552983,0.8382824063,-0.2539139986,-0.5073397160,-0.2818689644,0.3955198824,-0.3175145686,0.0065125227,-0.0257897526,-0.0010213852,0.4915156066,-0.3492385745,-0.7946286798,-0.0724792406,0.0610370189,-0.1831110567,-0.9155552983,0.8382824063,-0.2539139986,-0.5073397160,-0.2818689644,0.3955198824,-0.3175145686,0.0065125227,-0.0257897526,-0.0010213852,0.4915156066,-0.3492385745,-0.7946286798,-0.0724792406,0.1220740378,-0.9765923023,0.2441480756,-0.0206305124,-0.0410168767,-0.0239265114,-0.6552934647,0.2231513411,-0.3671987057,0.4452610910,0.6745241284,0.4968220592,0.0652657375,0.3741770387,0.7877873778,-0.4851454496,
402.339,0.1220740378,0.0000000000,0.9155552983,0.0632343516,0.0118411817,-1.0110172033,-0.1480758041,-0.0478530228,-0.4144413471,0.0032291636,0.0074741254,-0.0128282905,0.0300261155,0.1382995695,-0.9900560379,0.0019888477,0.0000000000,-0.1831110567,-0.9155552983,0.8386486173,-0.2529374063,-0.5067293048,-0.2773522139,0.3961302638,-0.3247169554,0.0068719387,-0.0248366594,-0.0004114509,0.4915134907,-0.3492420912,-0.7946269512,-0.0724954456,0.0000000000,-0.1831110567,-0.9155552983,0.8386486173,-0.2529374063,-0.5067293048,-0.2773522139,0.3961302638,-0.3247169554,0.0068719387,-0.0248366594,-0.0004114509,0.4915134907,-0.3492420912,-0.7946269512,-0.0724954456,0.1831110567,-0.9765923023,0.3051851094,-0.0216071047,-0.0400402844,-0.0234382153,-0.6559038162,0.2265694141,-0.3730582595,0.4442059398,0.6758460999,0.4969060421,0.0651771650,0.3740811944,0.7877045870,-0.4853656590,
402.352,0.1220740378,-0.0610370189,0.9155552983,0.0634784997,0.0107425153,-1.0101627111,-0.1481978893,-0.0533463545,-0.4095583856,0.0034696944,0.0063750823,-0.0119739771,0.0300279353,0.1382998526,-0.9900559187,0.0019889206,0.0000000000,-0.1831110567,-0.9155552983,0.8403576612,-0.2537919283,-0.5064851642,-0.2766197622,0.3911252320,-0.3247169554,0.0085719824,-0.0257122517,-0.0001727939,0.4915149808,-0.3492336571,-0.7946289778,-0.0725039318,0.0000000000,-0.1831110567,-0.9155552983,0.8403576612,-0.2537919283,-0.5064851642,-0.2766197622,0.3911252320,-0.3247169554,0.0085719824,-0.0257122517,-0.0001727939,0.4915149808,-0.3492336571,-0.7946289778,-0.0725039318,0.0610370189,-0.9765923023,0.3051851094,-0.0234382153,-0.0390636921,-0.0240485854,-0.6562700272,0.2266914845,-0.3750114441,0.4424543977,0.6770252585,0.4959458411,0.0651756376,0.3740388751,0.7876136899,-0.4855459929,
