Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
4626.962,0.1220740378,-0.0610370189,0.9155552983,0.0633564293,0.0141605884,-1.0100406408,-0.1440473646,-0.0518814661,-0.4030884802,0.0041408241,0.0073352931,-0.0118182898,0.0297957677,0.1486015618,-0.9885706306,0.0010267852,0.5493331552,-0.4272591472,-1.0986663103,0.7501449585,-0.4295785427,-0.5263832808,-0.2331614196,0.3526718915,-0.3397320509,0.0025030375,-0.0205059946,-0.0030066371,0.4870234728,-0.3655065000,-0.7926768064,0.0334638730,0.5493331552,-0.4272591472,-1.0986663103,0.7501449585,-0.4295785427,-0.5263832808,-0.2331614196,0.3526718915,-0.3397320509,0.0025030375,-0.0205059946,-0.0030066371,0.4870234728,-0.3655065000,-0.7926768064,0.0334638730,-1.9531846046,0.4882961512,0.3051851094,-0.7822504640,-0.2818689644,-0.0643330216,-0.9687795639,0.1875057220,-0.3515732288,0.1328374743,0.1149470508,0.0105064511,-0.2224021107,-0.5403526425,-0.4956630468,0.6427422166,
4626.975,0.1220740378,-0.0610370189,0.8545182943,0.0634784997,0.0133060701,-1.0101627111,-0.1445356607,-0.0542008728,-0.4073610604,0.0042550191,0.0064792666,-0.0119408369,0.0297997836,0.1485973001,-0.9885711670,0.0010264972,0.5493331552,-0.3662221134,-0.9765923023,0.7508773804,-0.4295785427,-0.5254066586,-0.2318186015,0.3537705541,-0.3441267014,0.0032271743,-0.0205057561,-0.0020421147,0.4870285988,-0.3654769957,-0.7926865816,0.0334793627,0.5493331552,-0.3662221134,-0.9765923023,0.7508773804,-0.4295785427,-0.5254066586,-0.2318186015,0.3537705541,-0.3441267014,0.0032271743,-0.0205057561,-0.0020421147,0.4870285988,-0.3654769957,-0.7926865816,0.0334793627,-1.9531846046,2.4414808750,0.0000000000,-0.7539292574,-0.2685628831,-0.0645771697,-0.9687795639,0.1883602440,-0.3632923365,0.1612578034,0.1279197037,0.0108148381,-0.2225013822,-0.5405353308,-0.4957426786,0.6424928904,
4626.988,0.1831110567,0.0000000000,0.8545182943,0.0622577593,0.0142826624,-1.0091860294,-0.1440473646,-0.0549333170,-0.4047975242,0.0030215159,0.0074600978,-0.0109649301,0.0298057757,0.1486055851,-0.9885697365,0.0010297934,0.4882961512,-0.3051851094,-0.9765923023,0.7518540025,-0.4299447536,-0.5236976147,-0.2292550504,0.3510849476,-0.3394879103,0.0041850209,-0.0208754838,-0.0003570914,0.4870404899,-0.3654536009,-0.7926898003,0.0334858969,0.4882961512,-0.3051851094,-0.9765923023,0.7518540025,-0.4299447536,-0.5236976147,-0.2292550504,0.3510849476,-0.3394879103,0.0041850209,-0.0208754838,-0.0003570914,0.4870404899,-0.3654536009,-0.7926898003,0.0334858969,-1.7090365887,3.5401470661,0.2441480756,-0.7540513277,-0.2675862908,-0.0655537620,-0.9662160277,0.1268349290,-0.3632923365,0.1612378955,0.1285228133,0.0105532631,-0.2224856913,-0.5408510566,-0.4957586527,0.6422200799,
4627.001,0.1220740378,-0.0610370189,0.9155552983,0.0616473891,0.0137943663,-1.0104068518,-0.1446577311,-0.0565202795,-0.4046754241,0.0024123937,0.0069685113,-0.0121856928,0.0298053827,0.1486264169,-0.9885666370,0.0010287012,0.3051851094,-0.3051851094,-0.9765923023,0.7513657212,-0.4298226833,-0.5236976147,-0.2297433466,0.3541367948,-0.3396099806,0.0036789179,-0.0207734108,-0.0003669262,0.4870462120,-0.3654453754,-0.7926905155,0.0334756784,0.3051851094,-0.3051851094,-0.9765923023,0.7513657212,-0.4298226833,-0.5236976147,-0.2297433466,0.3541367948,-0.3396099806,0.0036789179,-0.0207734108,-0.0003669262,0.4870462120,-0.3654453754,-0.7926905155,0.0334756784,-1.7090365887,2.9297769070,0.0000000000,-0.7500228882,-0.2663655579,-0.0625019073,-0.9599902630,0.1296426356,-0.3554795980,0.1653599143,0.1294124126,0.0142014623,-0.2225030512,-0.5411016941,-0.4957862198,0.6419818401,
4627.014,0.1220740378,-0.0610370189,0.9155552983,0.0617694631,0.0135502182,-1.0097965002,-0.1441694349,-0.0587176122,-0.4112674296,0.0025349185,0.0067222565,-0.0115753412,0.0298052635,0.1486767679,-0.9885590672,0.0010291437,0.1831110567,-0.3051851094,-0.9155552983,0.7530747652,-0.4287240207,-0.5267494917,-0.2313303053,0.3562120497,-0.3365581334,0.0053752065,-0.0197083056,-0.0034108162,0.4870437980,-0.3654513657,-0.7926902175,0.0334519409,0.1831110567,-0.3051851094,-0.9155552983,0.7530747652,-0.4287240207,-0.5267494917,-0.2313303053,0.3562120497,-0.3365581334,0.0053752065,-0.0197083056,-0.0034108162,0.4870437980,-0.3654513657,-0.7926902175,0.0334519409,-1.7090365887,1.9531846046,0.2441480756,-0.7528305650,-0.2732017040,-0.0637226477,-0.9678030014,0.1330607086,-0.3642689288,0.1626605392,0.1222385764,0.0134237036,-0.2225535661,-0.5413079858,-0.4957840741,0.6417918205,
4627.027,0.1831110567,-0.0610370189,0.8545182943,0.0623798333,0.0145268105,-1.0094301701,-0.1419721097,-0.0579851680,-0.4056520164,0.0031426921,0.0077019064,-0.0112091303,0.0298062600,0.1487343609,-0.9885503650,0.0010325859,0.2441480756,-0.3662221134,-0.8545182943,0.7542954683,-0.4276253581,-0.5273598433,-0.2279122323,0.3540147245,-0.3413190246,0.0065896511,-0.0186364949,-0.0040088892,0.4870385528,-0.3654534221,-0.7926933169,0.0334360451,0.2441480756,-0.3662221134,-0.8545182943,0.7542954683,-0.4276253581,-0.5273598433,-0.2279122323,0.3540147245,-0.3413190246,0.0065896511,-0.0186364949,-0.0040088892,0.4870385528,-0.3654534221,-0.7926933169,0.0334360451,-1.3428144455,1.4648884535,0.1220740378,-0.7530747652,-0.2812585831,-0.0625019073,-0.9687795639,0.1250038147,-0.3588976860,0.1625050902,0.1139132380,0.0149717331,-0.2225901335,-0.5414717197,-0.4957708418,0.6416516304,
4627.040,0.1831110567,-0.0610370189,0.9155552983,0.0617694631,0.0136722922,-1.0105289221,-0.1423383355,-0.0593279824,-0.4044312835,0.0025330037,0.0068553598,-0.0123077631,0.0298052561,0.1488023847,-0.9885401726,0.0010385283,0.3662221134,-0.4272591472,-0.7324442267,0.7536851168,-0.4286019504,-0.5277260542,-0.2303537130,0.3534043431,-0.3396099806,0.0059913993,-0.0196083784,-0.0043618083,0.4870313704,-0.3654546142,-0.7926967740,0.0334414393,0.3662221134,-0.4272591472,-0.7324442267,0.7536851168,-0.4286019504,-0.5277260542,-0.2303537130,0.3534043431,-0.3396099806,0.0059913993,-0.0196083784,-0.0043618083,0.4870313704,-0.3654546142,-0.7926967740,0.0334414393,-1.3428144455,2.2583696842,0.0000000000,-0.7853022814,-0.2736899853,-0.0927762687,-0.9687795639,0.1289101839,-0.3585314453,0.1303765774,0.1211286783,-0.0146816075,-0.2226086855,-0.5417359471,-0.4957949221,0.6414031982,
4627.053,0.1220740378,0.0000000000,0.9155552983,0.0628681332,0.0139164403,-1.0104068518,-0.1441694349,-0.0531022064,-0.4074831307,0.0036162771,0.0070955893,-0.0121866465,0.0298131965,0.1487789005,-0.9885434508,0.0010370299,0.6714072227,-0.4882961512,-0.3051851094,0.7539292574,-0.4292123318,-0.5268715620,-0.2251045257,0.3547471464,-0.3405865729,0.0062820315,-0.0201272666,-0.0035123825,0.4870312810,-0.3654869497,-0.7926803231,0.0334800258,0.6714072227,-0.4882961512,-0.3051851094,0.7539292574,-0.4292123318,-0.5268715620,-0.2251045257,0.3547471464,-0.3405865729,0.0062820315,-0.0201272666,-0.0035123825,0.4870312810,-0.3654869497,-0.7926803231,0.0334800258,-1.1597033739,2.9908139706,-1.8921475410,-0.7859126329,-0.2816247940,-0.0625019073,-0.9673146605,0.1279335916,-0.3548692167,0.1297208071,0.1131918430,0.0161327720,-0.2224956304,-0.5419005752,-0.4958874285,0.6412318945,
4627.066,0.1831110567,0.0000000000,0.8545182943,0.0621356852,0.0135502182,-1.0105289221,-0.1412396580,-0.0538346507,-0.4078493714,0.0028722212,0.0067372918,-0.0123093128,0.0298183467,0.1487838030,-0.9885425568,0.0010419621,0.7934812307,-0.5493331552,-0.2441480756,0.7536851168,-0.4281136394,-0.5278481245,-0.2224189043,0.3537705541,-0.3396099806,0.0060949326,-0.0189235806,-0.0044894814,0.4870283902,-0.3655225337,-0.7926637530,0.0335264169,0.7934812307,-0.5493331552,-0.2441480756,0.7536851168,-0.4281136394,-0.5278481245,-0.2224189043,0.3537705541,-0.3396099806,0.0060949326,-0.0189235806,-0.0044894814,0.4870283902,-0.3655225337,-0.7926637530,0.0335264169,-0.9765923023,3.0518510342,-1.9531846046,-0.7813959122,-0.2837000787,-0.0850856081,-0.9681692123,0.1270790696,-0.3579210937,0.1341683865,0.1111421287,-0.0057803169,-0.2223380357,-0.5421028733,-0.4960043132,0.6410250664,
