Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
5991.637,0.1831110567,-0.1220740378,0.9155552983,0.0592059083,0.0141605884,-1.0086977482,-0.1392864734,-0.0545670949,-0.4022339582,-0.0024535209,0.0074086403,-0.0106228590,0.0310020428,0.1470922977,-0.9887590408,0.0011976506,0.7934812307,-0.0610370189,-2.1362955570,0.7530747652,-0.3972289264,-0.5495772958,-0.2264473438,0.3525498211,-0.3358256817,0.0063101053,-0.0277151465,0.0036128759,0.4724004865,-0.3646411002,-0.8024182916,0.0155782215,0.7934812307,-0.0610370189,-2.1362955570,0.7530747652,-0.3972289264,-0.5495772958,-0.2264473438,0.3525498211,-0.3358256817,0.0063101053,-0.0277151465,0.0036128759,0.4724004865,-0.3646411002,-0.8024182916,0.0155782215,-1.4038513899,-1.9531846046,0.3051851094,-0.9072542787,-0.2697836161,-0.0294198431,-0.9521775246,0.1270790696,-0.3088473082,0.0353640914,0.0602217615,0.0255975090,-0.2614870965,-0.5427944660,-0.4828314185,0.6357010603,
5991.650,0.1831110567,-0.0610370189,0.9155552983,0.0578630939,0.0145268105,-1.0095522404,-0.1418500394,-0.0533463545,-0.4050416648,-0.0037645772,0.0077785412,-0.0114753842,0.0309860464,0.1470870972,-0.9887604117,0.0011969664,0.5493331552,-0.3051851094,-2.3194067478,0.7541733980,-0.3966185451,-0.5486007333,-0.2264473438,0.3513290882,-0.3360698223,0.0072997808,-0.0272438228,0.0045354962,0.4724301398,-0.3645273447,-0.8024533391,0.0155444024,0.5493331552,-0.3051851094,-2.3194067478,0.7541733980,-0.3966185451,-0.5486007333,-0.2264473438,0.3513290882,-0.3360698223,0.0072997808,-0.0272438228,0.0045354962,0.4724301398,-0.3645273447,-0.8024533391,0.0155444024,0.0610370189,-0.7934812307,0.4882961512,-0.8946806192,-0.2658772469,-0.0333262123,-0.9560838938,0.1881160885,-0.2968840599,0.0480575562,0.0638234615,0.0214598142,-0.2616134584,-0.5428212881,-0.4826810956,0.6357400417,
5991.663,0.1220740378,-0.0610370189,0.9765923023,0.0571306497,0.0133060701,-1.0075991154,-0.1468550712,-0.0550553910,-0.4019898176,-0.0044624060,0.0065573892,-0.0095201135,0.0309689492,0.1470773220,-0.9887623191,0.0011939063,0.3662221134,-0.3662221134,-2.3194067478,0.7561265826,-0.3993041813,-0.5465254784,-0.2286446691,0.3483993113,-0.3371684849,0.0091462135,-0.0300750434,0.0065635443,0.4724562168,-0.3644070029,-0.8024930954,0.0155119337,0.3662221134,-0.3662221134,-2.3194067478,0.7561265826,-0.3993041813,-0.5465254784,-0.2286446691,0.3483993113,-0.3371684849,0.0091462135,-0.0300750434,0.0065635443,0.4724562168,-0.3644070029,-0.8024930954,0.0155119337,0.0000000000,0.0610370189,0.3662221134,-0.8970000148,-0.2583086789,-0.0312509537,-0.9525437355,0.1328165531,-0.2966399193,0.0458571315,0.0710687339,0.0234374404,-0.2616412640,-0.5429518819,-0.4824838936,0.6357669830,
5991.676,0.1831110567,0.1220740378,0.9155552983,0.0588396862,0.0145268105,-1.0090639591,-0.1425824761,-0.0520035401,-0.3990600407,-0.0027587824,0.0077817524,-0.0109852552,0.0309713949,0.1470521390,-0.9887660146,0.0011953089,0.1220740378,-0.3662221134,-2.0142216682,0.7585680485,-0.3997924626,-0.5455488563,-0.2301095575,0.3493759036,-0.3400982618,0.0114939809,-0.0306921899,0.0074998736,0.4724786878,-0.3643127084,-0.8025235534,0.0154763563,0.1220740378,-0.3662221134,-2.0142216682,0.7585680485,-0.3997924626,-0.5455488563,-0.2301095575,0.3493759036,-0.3400982618,0.0114939809,-0.0306921899,0.0074998736,0.4724786878,-0.3643127084,-0.8025235534,0.0154763563,0.4272591472,0.0000000000,0.0000000000,-0.9062776566,-0.2502517700,-0.0079348125,-0.9531540871,0.1269569993,-0.2968840599,0.0367013216,0.0788185000,0.0464976393,-0.2616572380,-0.5430600643,-0.4822291434,0.6358610392,
5991.689,0.1831110567,0.1220740378,0.9765923023,0.0594500564,0.0128177740,-1.0096743107,-0.1428266317,-0.0512710959,-0.4021118879,-0.0021567121,0.0060854750,-0.0115960240,0.0309746154,0.1470102370,-0.9887721539,0.0012009195,-0.6103702188,-0.1831110567,-0.6103702188,0.7625964880,-0.3990600407,-0.5450605750,-0.2257148921,0.3523056805,-0.3404645026,0.0154917240,-0.0299843252,0.0079627633,0.4724937677,-0.3643616438,-0.8024932146,0.0154260071,-0.6103702188,-0.1831110567,-0.6103702188,0.7625964880,-0.3990600407,-0.5450605750,-0.2257148921,0.3523056805,-0.3404645026,0.0154917240,-0.0299843252,0.0079627633,0.4724937677,-0.3643616438,-0.8024932146,0.0154260071,0.4882961512,-3.7842950821,0.0000000000,-0.9188512564,-0.2514725327,-0.0002441481,-0.9531540871,0.1328165531,-0.2915128171,0.0242909193,0.0772826076,0.0532659218,-0.2618609965,-0.5429345369,-0.4818924665,0.6361397505,
5991.702,0.1831110567,0.1220740378,0.9155552983,0.0618915372,0.0129398480,-1.0104068518,-0.1409955174,-0.0513931699,-0.4035767615,0.0002647825,0.0062190406,-0.0123297572,0.0309837013,0.1469830424,-0.9887758493,0.0012072254,-1.0986663103,-0.0610370189,0.3051851094,0.7623523474,-0.3986938000,-0.5461592674,-0.2260811180,0.3507187068,-0.3328959048,0.0152660012,-0.0295723677,0.0068587661,0.4724983573,-0.3644998372,-0.8024289608,0.0153722474,-1.0986663103,-0.0610370189,0.3051851094,0.7623523474,-0.3986938000,-0.5461592674,-0.2260811180,0.3507187068,-0.3328959048,0.0152660012,-0.0295723677,0.0068587661,0.4724983573,-0.3644998372,-0.8024289608,0.0153722474,2.1362955570,-4.3336281776,-1.7090365887,-0.8872340918,-0.2506180108,-0.0024414808,-0.9492477179,0.1269569993,-0.2966399193,0.0559622049,0.0781581998,0.0499778241,-0.2618705928,-0.5427593589,-0.4815237224,0.6365643144,
5991.715,0.1831110567,0.1220740378,0.9155552983,0.0625019073,0.0137943663,-1.0097965002,-0.1423383355,-0.0535905026,-0.4076052010,0.0008520596,0.0070807361,-0.0117207766,0.0309946109,0.1469786912,-0.9887762666,0.0012123390,-1.5869624615,0.0000000000,1.2207404375,0.7614978552,-0.3952757418,-0.5475020409,-0.2242500037,0.3476668596,-0.3346049488,0.0144832134,-0.0260513425,0.0055440068,0.4724853039,-0.3647134900,-0.8023405075,0.0153182251,-1.5869624615,0.0000000000,1.2207404375,0.7614978552,-0.3952757418,-0.5475020409,-0.2242500037,0.3476668596,-0.3346049488,0.0144832134,-0.0260513425,0.0055440068,0.4724853039,-0.3647134900,-0.8023405075,0.0153182251,2.6245918274,-7.8127384186,-1.4648884535,-0.9028595686,-0.2509842217,-0.2196111977,-0.9509567618,0.1250038147,-0.2967619896,0.0403835177,0.0777457356,-0.1677456200,-0.2618594766,-0.5427112579,-0.4812902808,0.6367863417,
5991.728,0.1831110567,0.0610370189,0.9765923023,0.0637226477,0.0120853297,-1.0104068518,-0.1447798163,-0.0498062074,-0.4056520164,0.0020545833,0.0053879903,-0.0123321414,0.0310025215,0.1469083577,-0.9887863994,0.0012195354,-2.6245918274,0.1220740378,2.3194067478,0.7567369342,-0.3855098188,-0.5544602871,-0.2253486812,0.3505966365,-0.3364360631,0.0098639727,-0.0161818564,-0.0012922883,0.4724240303,-0.3650470376,-0.8022267222,0.0152163813,-2.6245918274,0.1220740378,2.3194067478,0.7567369342,-0.3855098188,-0.5544602871,-0.2253486812,0.3505966365,-0.3364360631,0.0098639727,-0.0161818564,-0.0012922883,0.4724240303,-0.3650470376,-0.8022267222,0.0152163813,2.0142216682,-7.3244423866,-1.3428144455,-0.9023712873,-0.2747886479,-0.1964171231,-0.9521775246,0.1254921108,-0.2957853973,0.0408881903,0.0539831817,-0.1451106369,-0.2618437707,-0.5426209569,-0.4811019301,0.6370122433,
5991.741,0.1831110567,0.1220740378,0.9765923023,0.0644550920,0.0128177740,-1.0101627111,-0.1418500394,-0.0529801324,-0.4067507088,0.0027545914,0.0061330181,-0.0120899677,0.0310176816,0.1468929946,-0.9887881279,0.0012276665,-2.9297769070,0.0000000000,2.3194067478,0.7516098619,-0.3816034496,-0.5577563047,-0.2266914845,0.3532822728,-0.3350932300,0.0049021244,-0.0122147501,-0.0044058561,0.4723314643,-0.3653990030,-0.8021234274,0.0150910588,-2.9297769070,0.0000000000,2.3194067478,0.7516098619,-0.3816034496,-0.5577563047,-0.2266914845,0.3532822728,-0.3350932300,0.0049021244,-0.0122147501,-0.0044058561,0.4723314643,-0.3653990030,-0.8021234274,0.0150910588,2.0142216682,-5.8595538139,-0.9765923023,-0.9103060961,-0.2563554943,-0.2032532692,-0.9521775246,0.1291543394,-0.3095797598,0.0330090523,0.0722999275,-0.1522295475,-0.2617836595,-0.5426844358,-0.4808830321,0.6371479034,
