Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
7138.900,0.1831110567,0.0000000000,0.9155552983,0.0633564293,0.0131839961,-1.0105289221,-0.1401409954,-0.0509048738,-0.3983275890,0.0031179786,0.0068556713,-0.0123645067,0.0302697234,0.1451173872,-0.9890734553,0.0012420723,0.1220740378,-0.3051851094,-0.7324442267,0.8069093823,-0.2847987413,-0.5427411795,-0.2420728207,0.3686636090,-0.3197118938,0.0111585259,-0.0180945694,0.0011993051,0.4755376279,-0.3540251553,-0.8042882681,-0.0435169674,0.1220740378,-0.3051851094,-0.7324442267,0.8069093823,-0.2847987413,-0.5427411795,-0.2420728207,0.3686636090,-0.3197118938,0.0111585259,-0.0180945694,0.0011993051,0.4755376279,-0.3540251553,-0.8042882681,-0.0435169674,0.0610370189,-0.6714072227,0.2441480756,-0.8369396329,-0.0655537620,-0.0468764305,-0.7343974113,0.2227851152,-0.3125095367,0.1570673585,0.0312109217,0.0083141327,-0.2813165784,-0.6309518218,-0.3601918519,0.6271089911,
7138.913,0.1220740378,0.0000000000,0.9155552983,0.0620136112,0.0123294778,-1.0102847815,-0.1416058838,-0.0493179113,-0.4032105505,0.0017690174,0.0060027810,-0.0121207833,0.0302727073,0.1450689137,-0.9890804887,0.0012418405,0.1220740378,-0.3051851094,-0.7324442267,0.8069093823,-0.2849208117,-0.5429853201,-0.2412182987,0.3646351397,-0.3181249499,0.0111501813,-0.0182343721,0.0009515882,0.4755377471,-0.3540381491,-0.8042814136,-0.0435361117,0.1220740378,-0.3051851094,-0.7324442267,0.8069093823,-0.2849208117,-0.5429853201,-0.2412182987,0.3646351397,-0.3181249499,0.0111501813,-0.0182343721,0.0009515882,0.4755377471,-0.3540381491,-0.8042814136,-0.0435361117,0.0000000000,-0.7324442267,0.0610370189,-0.8362071514,-0.0781273842,-0.0493179113,-0.7334208488,0.2231513411,-0.3120212555,0.1578091979,0.0186066926,0.0057618469,-0.2811614871,-0.6310286522,-0.3599805832,0.6272227168,
7138.926,0.1831110567,0.0000000000,0.9155552983,0.0622577593,0.0133060701,-1.0093080997,-0.1387981772,-0.0502945036,-0.4038209319,0.0020055585,0.0069867419,-0.0111444592,0.0302759688,0.1450463682,-0.9890837073,0.0012453499,0.1831110567,-0.3051851094,-0.7934812307,0.8064211011,-0.2843104303,-0.5437177420,-0.2402417064,0.3691518903,-0.3226416707,0.0106522441,-0.0176470876,0.0002166629,0.4755370319,-0.3540513813,-0.8042749763,-0.0435583256,0.1831110567,-0.3051851094,-0.7934812307,0.8064211011,-0.2843104303,-0.5437177420,-0.2402417064,0.3691518903,-0.3226416707,0.0106522441,-0.0176470876,0.0002166629,0.4755370319,-0.3540513813,-0.8042749763,-0.0435583256,0.0000000000,-0.7324442267,0.2441480756,-0.8369396329,-0.0802026466,-0.0490737632,-0.7168187499,0.2188787460,-0.3359477520,0.1570876241,0.0164810047,0.0058944747,-0.2809299827,-0.6311559677,-0.3596795201,0.6273708940,
7138.939,0.1831110567,0.0000000000,0.9155552983,0.0622577593,0.0134281442,-1.0099185705,-0.1403851509,-0.0489516892,-0.4006469846,0.0019981824,0.0071155853,-0.0117553473,0.0302791912,0.1449990571,-0.9890905023,0.0012477877,0.1220740378,-0.3051851094,-0.7934812307,0.8059328198,-0.2849208117,-0.5445722938,-0.2425611168,0.3695181012,-0.3230079114,0.0101582408,-0.0182837248,-0.0006335974,0.4755327702,-0.3540639281,-0.8042705655,-0.0435804278,0.1220740378,-0.3051851094,-0.7934812307,0.8059328198,-0.2849208117,-0.5445722938,-0.2425611168,0.3695181012,-0.3230079114,0.0101582408,-0.0182837248,-0.0006335974,0.4755327702,-0.3540639281,-0.8042705655,-0.0435804278,0.0000000000,-0.7324442267,0.0610370189,-0.8359630108,-0.0781273842,-0.0489516892,-0.7187719345,0.2226630449,-0.3125095367,0.1580734849,0.0185261965,0.0059049092,-0.2807675898,-0.6312363148,-0.3594610095,0.6274880767,
7138.952,0.1831110567,0.0000000000,0.8545182943,0.0632343516,0.0144047365,-1.0091860294,-0.1401409954,-0.0524918362,-0.3985717297,0.0029624477,0.0080933971,-0.0110235214,0.0302851945,0.1450070590,-0.9890892506,0.0012495304,0.1220740378,-0.3051851094,-0.7934812307,0.8060548902,-0.2856532633,-0.5437177420,-0.2426831871,0.3684194386,-0.3217871785,0.0102729797,-0.0190382898,0.0002210736,0.4755308330,-0.3540755212,-0.8042656779,-0.0436004326,0.1220740378,-0.3051851094,-0.7934812307,0.8060548902,-0.2856532633,-0.5437177420,-0.2426831871,0.3684194386,-0.3217871785,0.0102729797,-0.0190382898,0.0002210736,0.4755308330,-0.3540755212,-0.8042656779,-0.0436004326,0.0000000000,-0.6714072227,0.0610370189,-0.8360850811,-0.0784936100,-0.0489516892,-0.7173070312,0.2209540159,-0.3397320509,0.1579595208,0.0181321353,0.0058046542,-0.2805246115,-0.6313641071,-0.3591664732,0.6276366711,
7138.965,0.1220740378,-0.0610370189,0.8545182943,0.0633564293,0.0135502182,-1.0099185705,-0.1391644031,-0.0496841334,-0.3980834484,0.0030825585,0.0072337352,-0.0117562413,0.0302865822,0.1449807882,-0.9890928864,0.0012463249,0.1220740378,-0.3051851094,-0.7934812307,0.8064211011,-0.2866298556,-0.5426191092,-0.2387768179,0.3692739606,-0.3227637708,0.0106300712,-0.0200320780,0.0013147593,0.4755312800,-0.3540959358,-0.8042550683,-0.0436239652,0.1220740378,-0.3051851094,-0.7934812307,0.8064211011,-0.2866298556,-0.5426191092,-0.2387768179,0.3692739606,-0.3227637708,0.0106300712,-0.0200320780,0.0013147593,0.4755312800,-0.3540959358,-0.8042550683,-0.0436239652,0.0000000000,-0.6714072227,0.0610370189,-0.8362071514,-0.0781273842,-0.0471205786,-0.7343974113,0.1877498776,-0.3115329444,0.1578466892,0.0184685588,0.0075246021,-0.2802750170,-0.6314941645,-0.3588606715,0.6277924180,
7138.978,0.1220740378,0.0000000000,0.9155552983,0.0636005774,0.0128177740,-1.0100406408,-0.1408734471,-0.0485854670,-0.4018677473,0.0033128411,0.0065004425,-0.0118791461,0.0302935764,0.1449262351,-0.9891008139,0.0012452400,0.1220740378,-0.3051851094,-0.7324442267,0.8070314527,-0.2856532633,-0.5429853201,-0.2373119295,0.3684194386,-0.3171483576,0.0112328529,-0.0190694630,0.0009443164,0.4755308628,-0.3541292846,-0.8042390347,-0.0436530858,0.1220740378,-0.3051851094,-0.7324442267,0.8070314527,-0.2856532633,-0.5429853201,-0.2373119295,0.3684194386,-0.3171483576,0.0112328529,-0.0190694630,0.0009443164,0.4755308628,-0.3541292846,-0.8042390347,-0.0436530858,0.0000000000,-0.6714072227,0.2441480756,-0.8359630108,-0.0781273842,-0.0474868007,-0.7168187499,0.2204657197,-0.3430280387,0.1581026316,0.0184071958,0.0070504956,-0.2800359726,-0.6316298246,-0.3585464358,0.6279420257,
7138.991,0.1220740378,-0.0610370189,0.9155552983,0.0625019073,0.0134281442,-1.0102847815,-0.1397747695,-0.0528580584,-0.4002807736,0.0022165179,0.0071069673,-0.0121231675,0.0302926823,0.1449353844,-0.9890994430,0.0012434472,0.1220740378,-0.2441480756,-0.7934812307,0.8053224087,-0.2855311632,-0.5435956717,-0.2414624542,0.3678090870,-0.3183690906,0.0095118284,-0.0189689398,0.0003270507,0.4755322039,-0.3541469276,-0.8042290807,-0.0436780527,0.1220740378,-0.2441480756,-0.7934812307,0.8053224087,-0.2855311632,-0.5435956717,-0.2414624542,0.3678090870,-0.3183690906,0.0095118284,-0.0189689398,0.0003270507,0.4755322039,-0.3541469276,-0.8042290807,-0.0436780527,0.0000000000,-0.6714072227,0.2441480756,-0.8316904306,-0.0781273842,-0.0473647267,-0.7179174423,0.2207098603,-0.3418073058,0.1623867750,0.0183485448,0.0070658177,-0.2798010111,-0.6317623258,-0.3582384288,0.6280892491,
7139.004,0.1220740378,-0.0610370189,0.9155552983,0.0627460554,0.0134281442,-1.0094301701,-0.1418500394,-0.0528580584,-0.4018677473,0.0024615303,0.0071030846,-0.0112685561,0.0302925371,0.1449348181,-0.9890995622,0.0012414459,0.1220740378,-0.3051851094,-0.7934812307,0.8059328198,-0.2857753336,-0.5428632498,-0.2419507504,0.3663441837,-0.3165379763,0.0101137757,-0.0192335546,0.0010570288,0.4755314887,-0.3541622758,-0.8042215705,-0.0436999239,0.1220740378,-0.3051851094,-0.7934812307,0.8059328198,-0.2857753336,-0.5428632498,-0.2419507504,0.3663441837,-0.3165379763,0.0101137757,-0.0192335546,0.0010570288,0.4755314887,-0.3541622758,-0.8042215705,-0.0436999239,0.0000000000,-0.7324442267,0.2441480756,-0.8359630108,-0.0791039765,-0.0488296151,-0.7187719345,0.2196111977,-0.3398541212,0.1581255794,0.0173169971,0.0054913163,-0.2795689106,-0.6318910718,-0.3579347432,0.6282362342,
