Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
6965.012,0.1220740378,-0.0610370189,0.9155552983,0.0622577593,0.0130619220,-1.0099185705,-0.1402630657,-0.0512710959,-0.3939329088,0.0014066659,0.0067332578,-0.0117913485,0.0305812676,0.1383692175,-0.9900307655,0.0010779200,0.1831110567,-0.3051851094,-0.7324442267,0.8192388415,-0.2602618635,-0.5366374850,-0.2464674860,0.3740348518,-0.3226416707,0.0095998645,-0.0213815868,-0.0003106594,0.4772991538,-0.3566406667,-0.8007584214,-0.0634200647,0.1831110567,-0.3051851094,-0.7324442267,0.8192388415,-0.2602618635,-0.5366374850,-0.2464674860,0.3740348518,-0.3226416707,0.0095998645,-0.0213815868,-0.0003106594,0.4772991538,-0.3566406667,-0.8007584214,-0.0634200647,0.0000000000,-0.7324442267,0.2441480756,-0.9557176232,-0.0351573229,-0.0341807306,-0.6855677962,0.2231513411,-0.3117770851,0.0394408703,0.0439792573,0.0278930962,-0.3165326118,-0.6176127195,-0.3870847821,0.6072645187,
6965.025,0.1831110567,-0.0610370189,0.9155552983,0.0632343516,0.0125736259,-1.0102847815,-0.1397747695,-0.0496841334,-0.3888058066,0.0023848154,0.0062561221,-0.0121573210,0.0305797253,0.1383690834,-0.9900307655,0.0010833368,0.1220740378,-0.3051851094,-0.7934812307,0.8194830418,-0.2597735524,-0.5361492038,-0.2430494130,0.3734244704,-0.3248390257,0.0098420382,-0.0209061354,0.0001804829,0.4772979021,-0.3566258550,-0.8007660508,-0.0634180978,0.1220740378,-0.3051851094,-0.7934812307,0.8194830418,-0.2597735524,-0.5361492038,-0.2430494130,0.3734244704,-0.3248390257,0.0098420382,-0.0209061354,0.0001804829,0.4772979021,-0.3566258550,-0.8007660508,-0.0634180978,0.0000000000,-0.7324442267,0.0610370189,-0.9551072717,-0.0314951017,-0.0347911008,-0.6792199612,0.2265694141,-0.3086031675,0.0400863290,0.0473996624,0.0270268433,-0.3163078129,-0.6178034544,-0.3866147995,0.6074869633,
6965.038,0.1220740378,0.0000000000,0.8545182943,0.0627460554,0.0137943663,-1.0105289221,-0.1406292915,-0.0513931699,-0.3934446275,0.0018899739,0.0074706650,-0.0124019384,0.0305833742,0.1383928806,-0.9900273085,0.0010814556,0.1220740378,-0.2441480756,-0.7324442267,0.8198492527,-0.2598956227,-0.5368816257,-0.2456129640,0.3720816672,-0.3244727850,0.0102046132,-0.0210327804,-0.0005556345,0.4773008525,-0.3566072583,-0.8007729650,-0.0634106323,0.1220740378,-0.2441480756,-0.7324442267,0.8198492527,-0.2598956227,-0.5368816257,-0.2456129640,0.3720816672,-0.3244727850,0.0102046132,-0.0210327804,-0.0005556345,0.4773008525,-0.3566072583,-0.8007729650,-0.0634106323,0.0000000000,-0.9155552983,0.2441480756,-0.9533982277,-0.0332041383,-0.0312509537,-0.6771447062,0.2226630449,-0.3112888038,0.0418351889,0.0454275012,0.0302622914,-0.3160805404,-0.6179947257,-0.3861117661,0.6077305675,
6965.051,0.1220740378,0.0000000000,0.8545182943,0.0629902035,0.0131839961,-1.0093080997,-0.1420941800,-0.0479750969,-0.3958860934,0.0021260157,0.0068570655,-0.0111816525,0.0305876452,0.1383631825,-0.9900314212,0.0010794998,0.1220740378,-0.3051851094,-0.7324442267,0.8197271824,-0.2595294118,-0.5356608629,-0.2465895563,0.3761101067,-0.3231299818,0.0100814104,-0.0206717253,0.0006659031,0.4773006737,-0.3565996885,-0.8007767200,-0.0634089634,0.1220740378,-0.3051851094,-0.7324442267,0.8197271824,-0.2595294118,-0.5356608629,-0.2465895563,0.3761101067,-0.3231299818,0.0100814104,-0.0206717253,0.0006659031,0.4773006737,-0.3565996885,-0.8007767200,-0.0634089634,0.0000000000,-0.9155552983,0.0610370189,-0.9557176232,-0.0332041383,-0.0336924344,-0.6797082424,0.2190008312,-0.3105563521,0.0395520329,0.0451969802,0.0275300592,-0.3158346415,-0.6181871891,-0.3856150806,0.6079779863,
6965.064,0.1220740378,0.0000000000,0.8545182943,0.0625019073,0.0125736259,-1.0105289221,-0.1417279541,-0.0471205786,-0.3991821110,0.0016324520,0.0062465766,-0.0124027729,0.0305903107,0.1383228451,-0.9900369048,0.0010785600,0.1220740378,-0.3051851094,-0.7934812307,0.8199713230,-0.2609942853,-0.5363933444,-0.2451246679,0.3752555847,-0.3215430081,0.0103248358,-0.0221444368,-0.0000644326,0.4772995412,-0.3565925360,-0.8007804155,-0.0634088069,0.1220740378,-0.3051851094,-0.7934812307,0.8199713230,-0.2609942853,-0.5363933444,-0.2451246679,0.3752555847,-0.3215430081,0.0103248358,-0.0221444368,-0.0000644326,0.4772995412,-0.3565925360,-0.8007804155,-0.0634088069,0.0000000000,-0.7324442267,0.2441480756,-0.9555955529,-0.0332041383,-0.0312509537,-0.6776329875,0.2231513411,-0.3120212555,0.0397112966,0.0449359119,0.0297012329,-0.3156007528,-0.6183871031,-0.3851190209,0.6082105637,
6965.077,0.1220740378,-0.0610370189,0.8545182943,0.0621356852,0.0133060701,-1.0107730627,-0.1398968548,-0.0487075411,-0.3973509967,0.0012735054,0.0069752997,-0.0126464963,0.0305869747,0.1383125782,-0.9900383949,0.0010758961,0.1220740378,-0.3051851094,-0.7324442267,0.8198492527,-0.2598956227,-0.5356608629,-0.2429273427,0.3742789924,-0.3223975301,0.0102019310,-0.0210493356,0.0006684661,0.4772993922,-0.3565886021,-0.8007823229,-0.0634084716,0.1220740378,-0.3051851094,-0.7324442267,0.8198492527,-0.2598956227,-0.5356608629,-0.2429273427,0.3742789924,-0.3223975301,0.0102019310,-0.0210493356,0.0006684661,0.4772993922,-0.3565886021,-0.8007823229,-0.0634084716,0.0610370189,-0.7324442267,0.2441480756,-0.9562059641,-0.0312509537,-0.0313730277,-0.6755577326,0.2187566757,-0.3104342818,0.0391385555,0.0466196835,0.0293098651,-0.3153585196,-0.6185951829,-0.3846097589,0.6084468365,
6965.090,0.1831110567,-0.0610370189,0.9155552983,0.0614032410,0.0140385143,-1.0112613440,-0.1400189251,-0.0433362834,-0.4027222395,0.0005519763,0.0077117337,-0.0131341219,0.0305813849,0.1382213980,-0.9900513291,0.0010742993,0.1220740378,-0.3051851094,-0.7324442267,0.8197271824,-0.2612384558,-0.5365154147,-0.2467116266,0.3761101067,-0.3194677532,0.0100823641,-0.0223899782,-0.0001832843,0.4772981405,-0.3565890193,-0.8007830381,-0.0634067357,0.1220740378,-0.3051851094,-0.7324442267,0.8197271824,-0.2612384558,-0.5365154147,-0.2467116266,0.3761101067,-0.3194677532,0.0100823641,-0.0223899782,-0.0001832843,0.4772981405,-0.3565890193,-0.8007830381,-0.0634067357,0.0000000000,-0.6714072227,0.2441480756,-0.9551072717,-0.0317392498,-0.0312509537,-0.6755577326,0.2237617075,-0.3125095367,0.0402737260,0.0458654910,0.0291750431,-0.3151244521,-0.6187984943,-0.3841153681,0.6086736321,
6965.103,0.1220740378,0.0000000000,0.8545182943,0.0625019073,0.0131839961,-1.0107730627,-0.1433149278,-0.0455336161,-0.3990600407,0.0016453825,0.0068540927,-0.0126461387,0.0305842832,0.1381537616,-0.9900606871,0.0010710271,0.1220740378,-0.3051851094,-0.7934812307,0.8207037449,-0.2603839338,-0.5360270739,-0.2491531074,0.3737907112,-0.3181249499,0.0110554099,-0.0215464979,0.0003046393,0.4772986174,-0.3565749228,-0.8007891774,-0.0634049550,0.1220740378,-0.3051851094,-0.7934812307,0.8207037449,-0.2603839338,-0.5360270739,-0.2491531074,0.3737907112,-0.3181249499,0.0110554099,-0.0215464979,0.0003046393,0.4772986174,-0.3565749228,-0.8007891774,-0.0634049550,0.0000000000,-0.7324442267,0.2441480756,-0.9560838938,-0.0312509537,-0.0314951017,-0.6797082424,0.2187566757,-0.3110446632,0.0393339396,0.0460864305,0.0286657736,-0.3148852289,-0.6190035939,-0.3836120367,0.6089062691,
6965.116,0.1831110567,-0.0610370189,0.8545182943,0.0616473891,0.0123294778,-1.0101627111,-0.1420941800,-0.0445570238,-0.3972289264,0.0008002929,0.0060112849,-0.0120351911,0.0305788815,0.1380781978,-0.9900713563,0.0010738421,0.1220740378,-0.3051851094,-0.7934812307,0.8192388415,-0.2600176930,-0.5356608629,-0.2437818497,0.3765984178,-0.3184911609,0.0095883608,-0.0211912245,0.0006724596,0.4772966802,-0.3565785289,-0.8007880449,-0.0634131730,0.1220740378,-0.3051851094,-0.7934812307,0.8192388415,-0.2600176930,-0.5356608629,-0.2437818497,0.3765984178,-0.3184911609,0.0095883608,-0.0211912245,0.0006724596,0.4772966802,-0.3565785289,-0.8007880449,-0.0634131730,0.0000000000,-0.6714072227,0.2441480756,-0.9551072717,-0.0324716941,-0.0312509537,-0.6787316799,0.2209540159,-0.3099459708,0.0403460860,0.0446061715,0.0286556482,-0.3146505654,-0.6192042828,-0.3831221163,0.6091319323,
