Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
560.913,0.1220740378,0.1220740378,0.9155552983,0.0566423535,0.0089114048,-1.0097965002,-0.1449018866,-0.0581072420,-0.4135868549,0.0025986321,0.0067206142,-0.0112600327,0.0268762801,0.1534769386,-0.9879049659,0.0030665842,-0.6103702188,-0.3051851094,-0.3662221134,-0.7530747652,-0.3607287705,-0.5875423551,-0.4255501032,0.0987579003,-0.3508407772,-0.0193204880,0.0150880516,-0.0213468671,0.1772129983,0.5749694705,0.6728677154,-0.4306945801,-0.6103702188,-0.3051851094,-0.3662221134,-0.7530747652,-0.3607287705,-0.5875423551,-0.4255501032,0.0987579003,-0.3508407772,-0.0193204880,0.0150880516,-0.0213468671,0.1772129983,0.5749694705,0.6728677154,-0.4306945801,-0.2441480756,-0.0610370189,-0.3662221134,-0.8084963560,0.5959654450,-0.1870174259,-0.4209112823,0.3501083553,-0.4984282851,-0.0209540129,0.0070417523,-0.0044150203,0.2223471254,0.7376891971,-0.2176215500,-0.5993834734,
560.926,0.1831110567,0.0610370189,0.9155552983,0.0572527237,0.0089114048,-1.0113834143,-0.1457564086,-0.0581072420,-0.4102908373,0.0031856224,0.0067281346,-0.0128481388,0.0268872753,0.1534731984,-0.9879053235,0.0030719959,-0.2441480756,-0.3051851094,-0.5493331552,-0.7535630465,-0.3607287705,-0.5863215923,-0.4306772053,0.0998565629,-0.3504745662,-0.0197893381,0.0150229931,-0.0201079249,0.1772449315,0.5749716759,0.6728727221,-0.4306708872,-0.2441480756,-0.3051851094,-0.5493331552,-0.7535630465,-0.3607287705,-0.5863215923,-0.4306772053,0.0998565629,-0.3504745662,-0.0197893381,0.0150229931,-0.0201079249,0.1772449315,0.5749716759,0.6728727221,-0.4306708872,-0.1831110567,-0.0610370189,0.0000000000,-0.8049561977,0.5918149352,-0.1882381737,-0.4183477163,0.3537705541,-0.4959868193,-0.0173895359,0.0029193759,-0.0056499541,0.2223653346,0.7376988530,-0.2175724357,-0.5993826389,
560.939,0.1220740378,0.0610370189,0.9155552983,0.0576189458,0.0087893307,-1.0110172033,-0.1433149278,-0.0584734641,-0.4101687670,0.0035266913,0.0066034971,-0.0124832988,0.0268998742,0.1534854770,-0.9879029989,0.0030729973,-0.1831110567,-0.1831110567,-0.6103702188,-0.7527084947,-0.3593859673,-0.5859553814,-0.4267708361,0.0998565629,-0.3488875926,-0.0189313293,0.0163103938,-0.0197097063,0.1772610992,0.5749834776,0.6728742719,-0.4306456745,-0.1831110567,-0.1831110567,-0.6103702188,-0.7527084947,-0.3593859673,-0.5859553814,-0.4267708361,0.0998565629,-0.3488875926,-0.0189313293,0.0163103938,-0.0197097063,0.1772610992,0.5749834776,0.6728742719,-0.4306456745,-0.1220740378,-0.1831110567,0.0610370189,-0.8028809428,0.5897396803,-0.1890926808,-0.4165166318,0.3508407772,-0.4970854819,-0.0152922273,0.0008680820,-0.0065224022,0.2223734707,0.7377024889,-0.2175394446,-0.5993871093,
560.952,0.1220740378,0.0610370189,0.9155552983,0.0581072420,0.0089114048,-1.0105289221,-0.1417279541,-0.0570085756,-0.4128544033,0.0039874092,0.0067224018,-0.0119965076,0.0269137565,0.1534850746,-0.9879027009,0.0030735398,-0.1831110567,-0.0610370189,-0.6714072227,-0.7516098619,-0.3596301079,-0.5859553814,-0.4279915690,0.1013214514,-0.3541367948,-0.0178475380,0.0160217881,-0.0196607113,0.1772544682,0.5750141740,0.6728666425,-0.4306198955,-0.1831110567,-0.0610370189,-0.6714072227,-0.7516098619,-0.3596301079,-0.5859553814,-0.4279915690,0.1013214514,-0.3541367948,-0.0178475380,0.0160217881,-0.0196607113,0.1772544682,0.5750141740,0.6728666425,-0.4306198955,0.0000000000,-0.3051851094,0.2441480756,-0.8033692241,0.5908383727,-0.1876277924,-0.4203009009,0.3516952991,-0.4980620742,-0.0157740116,0.0019661784,-0.0050875545,0.2223770320,0.7376936674,-0.2175347954,-0.5993983150,
560.965,0.1831110567,0.0000000000,0.9155552983,0.0567644276,0.0089114048,-1.0123599768,-0.1464888453,-0.0632343516,-0.4113894999,0.0026349276,0.0067299688,-0.0138280392,0.0269177761,0.1535438299,-0.9878934026,0.0030796241,0.0000000000,0.0000000000,-0.9765923023,-0.7499008179,-0.3607287705,-0.5871761441,-0.4260383844,0.0986358225,-0.3496200442,-0.0161877871,0.0149412453,-0.0208299756,0.1772264391,0.5750193000,0.6728810668,-0.4306015670,0.0000000000,0.0000000000,-0.9765923023,-0.7499008179,-0.3607287705,-0.5871761441,-0.4260383844,0.0986358225,-0.3496200442,-0.0161877871,0.0149412453,-0.0208299756,0.1772264391,0.5750193000,0.6728810668,-0.4306015670,0.0000000000,-0.3051851094,0.6714072227,-0.8075197339,0.5941343307,-0.1859187633,-0.4220099449,0.3488875926,-0.4958647490,-0.0199606419,0.0052005649,-0.0034212023,0.2223930359,0.7376683950,-0.2175714970,-0.5994101763,
560.978,0.1831110567,0.0000000000,0.9155552983,0.0583513901,0.0078127384,-1.0119937658,-0.1478316635,-0.0606707968,-0.4126102626,0.0042043366,0.0056442409,-0.0134627819,0.0269253999,0.1535626352,-0.9878903627,0.0030878799,0.1831110567,-0.0610370189,-1.1597033739,-0.7485579848,-0.3601184189,-0.5880306363,-0.4244514406,0.0983916745,-0.3462019861,-0.0149034262,0.0156098306,-0.0216471553,0.1771908104,0.5750059485,0.6729065180,-0.4305945635,0.1831110567,-0.0610370189,-1.1597033739,-0.7485579848,-0.3601184189,-0.5880306363,-0.4244514406,0.0983916745,-0.3462019861,-0.0149034262,0.0156098306,-0.0216471553,0.1771908104,0.5750059485,0.6729065180,-0.4305945635,-0.0610370189,-0.2441480756,0.7934812307,-0.8070314527,0.5949888825,-0.1854304671,-0.4182256460,0.3505966365,-0.4941557050,-0.0195254087,0.0059711337,-0.0029755831,0.2224366814,0.7376468182,-0.2175952643,-0.5994117856,
560.991,0.1831110567,-0.0610370189,0.9155552983,0.0571306497,0.0084231086,-1.0115054846,-0.1474654377,-0.0595721304,-0.4124881625,0.0029826835,0.0062644552,-0.0129745603,0.0269250814,0.1535688341,-0.9878892303,0.0030929851,0.3051851094,-0.2441480756,-1.1597033739,-0.7477034926,-0.3608508706,-0.5877864957,-0.4277474284,0.0997344926,-0.3466902673,-0.0140917897,0.0149516463,-0.0213969350,0.1771642268,0.5749766827,0.6729336381,-0.4306019843,0.3051851094,-0.2441480756,-1.1597033739,-0.7477034926,-0.3608508706,-0.5877864957,-0.4277474284,0.0997344926,-0.3466902673,-0.0140917897,0.0149516463,-0.0213969350,0.1771642268,0.5749766827,0.6729336381,-0.4306019843,0.0000000000,-0.1831110567,0.8545182943,-0.8053224087,0.5947447419,-0.1865291297,-0.4176152945,0.3509628475,-0.4995269775,-0.0178804994,0.0056342483,-0.0040958822,0.2224818170,0.7376306057,-0.2176259011,-0.5994040370,
561.004,0.1220740378,-0.0610370189,0.9765923023,0.0570085756,0.0081789605,-1.0115054846,-0.1453901827,-0.0563982055,-0.4161503911,0.0028602444,0.0060212431,-0.0129745603,0.0269252863,0.1535367519,-0.9878943563,0.0030926000,0.2441480756,-0.4882961512,-0.7934812307,-0.7458723783,-0.3639027178,-0.5844904780,-0.4244514406,0.0992461964,-0.3524277508,-0.0122563839,0.0119395554,-0.0181327462,0.1771405339,0.5749908090,0.6729099154,-0.4306301773,0.2441480756,-0.4882961512,-0.7934812307,-0.7458723783,-0.3639027178,-0.5844904780,-0.4244514406,0.0992461964,-0.3524277508,-0.0122563839,0.0119395554,-0.0181327462,0.1771405339,0.5749908090,0.6729099154,-0.4306301773,-0.0610370189,0.0000000000,0.3662221134,-0.7983642220,0.5881527066,-0.1909237951,-0.4182256460,0.3505966365,-0.4981841445,-0.0109431148,-0.0009766221,-0.0084630102,0.2225000411,0.7376408577,-0.2176220119,-0.5993857980,
561.017,0.1220740378,-0.1220740378,0.9155552983,0.0555436872,0.0084231086,-1.0108951330,-0.1451460272,-0.0550553910,-0.4094363153,0.0014127232,0.0062645106,-0.0123632550,0.0269168969,0.1534948498,-0.9879010320,0.0030896880,0.0000000000,-0.5493331552,-0.4882961512,-0.7473372817,-0.3643909991,-0.5826593637,-0.4260383844,0.0988799706,-0.3510849476,-0.0136848092,0.0114295185,-0.0163344145,0.1771538705,0.5750037432,0.6728864908,-0.4306437671,0.0000000000,-0.5493331552,-0.4882961512,-0.7473372817,-0.3643909991,-0.5826593637,-0.4260383844,0.0988799706,-0.3510849476,-0.0136848092,0.0114295185,-0.0163344145,0.1771538705,0.5750037432,0.6728864908,-0.4306437671,-0.0610370189,0.0610370189,-0.1831110567,-0.7979980111,0.5860774517,-0.1922666132,-0.4213995934,0.3515732288,-0.4951322973,-0.0105393529,-0.0029889345,-0.0097628534,0.2224837244,0.7376668453,-0.2175842673,-0.5993739367,
