Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1633.569,0.1220740378,0.0000000000,0.9765923023,0.0809350908,0.0063478500,-1.0099185705,-0.1480758041,-0.0499282815,-0.4270149767,0.0023907050,0.0069606397,-0.0130073428,0.0389809310,0.1191443577,-0.9922214150,0.0049895649,0.0610370189,-0.2441480756,-0.9155552983,0.8523209095,-0.5018463731,-0.1954405308,-0.2506180108,0.5373699069,-0.2211981565,-0.0065804720,-0.0295817852,0.0036672354,0.6246348023,-0.4770511091,-0.6100977063,-0.1013779193,0.0610370189,-0.2441480756,-0.9155552983,0.8523209095,-0.5018463731,-0.1954405308,-0.2506180108,0.5373699069,-0.2211981565,-0.0065804720,-0.0295817852,0.0036672354,0.6246348023,-0.4770511091,-0.6100977063,-0.1013779193,0.3662221134,-0.7934812307,0.0000000000,-0.7824946046,-0.2221747488,-0.3203222752,-0.4917142391,0.2774742842,-0.2470778525,0.1257061958,0.0378653854,0.0081246197,0.2968092263,0.5581195354,0.5941123366,-0.4976754189,
1633.582,0.1220740378,0.0000000000,0.9765923023,0.0798364207,0.0057374798,-1.0096743107,-0.1492965519,-0.0543229468,-0.4190801680,0.0012907088,0.0063535245,-0.0127632022,0.0389811844,0.1191854402,-0.9922165871,0.0049928739,0.1220740378,-0.1831110567,-0.9155552983,0.8517105579,-0.5018463731,-0.1964171231,-0.2454908937,0.5350505114,-0.2220526785,-0.0071936250,-0.0295850039,0.0026871115,0.6246342659,-0.4770594835,-0.6100898981,-0.1013899893,0.1220740378,-0.1831110567,-0.9155552983,0.8517105579,-0.5018463731,-0.1964171231,-0.2454908937,0.5350505114,-0.2220526785,-0.0071936250,-0.0295850039,0.0026871115,0.6246342659,-0.4770594835,-0.6100898981,-0.1013899893,0.0000000000,-0.8545182943,0.2441480756,-0.7815179825,-0.2230292708,-0.3203222752,-0.4961088896,0.2745445073,-0.2495193332,0.1266796589,0.0369495302,0.0081809461,0.2967765033,0.5581919551,0.5940676332,-0.4976666570,
1633.595,0.1220740378,0.0000000000,0.9155552983,0.0799584985,0.0063478500,-1.0091860294,-0.1467330009,-0.0499282815,-0.4243293703,0.0014107004,0.0069632642,-0.0122750998,0.0389822721,0.1191836298,-0.9922167063,0.0049926150,0.1220740378,-0.1831110567,-0.9155552983,0.8525651097,-0.5008697510,-0.1959288269,-0.2481765151,0.5313882828,-0.2191229016,-0.0063450933,-0.0286170244,0.0031695813,0.6246347427,-0.4770625532,-0.6100849509,-0.1014014184,0.1220740378,-0.1831110567,-0.9155552983,0.8525651097,-0.5008697510,-0.1959288269,-0.2481765151,0.5313882828,-0.2191229016,-0.0063450933,-0.0286170244,0.0031695813,0.6246347427,-0.4770625532,-0.6100849509,-0.1014014184,0.3662221134,-0.7934812307,0.2441480756,-0.7832270265,-0.2192449719,-0.3203222752,-0.4997711182,0.2767418325,-0.2497634888,0.1249715090,0.0406715125,0.0082283914,0.2967360318,0.5582756400,0.5940091610,-0.4976669550,
1633.608,0.1220740378,0.0000000000,0.9765923023,0.0800805688,0.0057374798,-1.0097965002,-0.1483199596,-0.0504165776,-0.4245735109,0.0015303344,0.0063561387,-0.0128858089,0.0389833264,0.1191770658,-0.9922174215,0.0049941149,0.0610370189,-0.1831110567,-0.8545182943,0.8530533910,-0.5023346543,-0.1954405308,-0.2522049546,0.5388348103,-0.2246162295,-0.0058560371,-0.0300786495,0.0036535412,0.6246359944,-0.4770663083,-0.6100803018,-0.1014043316,0.0610370189,-0.1831110567,-0.8545182943,0.8530533910,-0.5023346543,-0.1954405308,-0.2522049546,0.5388348103,-0.2246162295,-0.0058560371,-0.0300786495,0.0036535412,0.6246359944,-0.4770663083,-0.6100803018,-0.1014043316,0.3662221134,-0.7934812307,0.0000000000,-0.7813959122,-0.2190008312,-0.3212988675,-0.4922025204,0.2504959404,-0.2421948910,0.1267888546,0.0408928543,0.0073077381,0.2966832221,0.5583470464,0.5939655304,-0.4976703525,
1633.621,0.1220740378,0.0000000000,0.9765923023,0.0788598284,0.0064699240,-1.0099185705,-0.1445356607,-0.0528580584,-0.4217658043,0.0003131926,0.0070881955,-0.0130075812,0.0389813557,0.1192165017,-0.9922127724,0.0049952557,0.1220740378,-0.1831110567,-0.8545182943,0.8530533910,-0.5006256104,-0.1959288269,-0.2470778525,0.5365154147,-0.2160710543,-0.0058582425,-0.0283710361,0.0031591058,0.6246340871,-0.4770895541,-0.6100596189,-0.1014312208,0.1220740378,-0.1831110567,-0.8545182943,0.8530533910,-0.5006256104,-0.1959288269,-0.2470778525,0.5365154147,-0.2160710543,-0.0058582425,-0.0283710361,0.0031591058,0.6246340871,-0.4770895541,-0.6100596189,-0.1014312208,0.3662221134,-0.8545182943,0.0000000000,-0.7812738419,-0.2224189043,-0.3223975301,-0.4933011830,0.2502517700,-0.2421948910,0.1268942356,0.0374700129,0.0062588453,0.2966275811,0.5584107637,0.5939266086,-0.4976784885,
1633.634,0.1220740378,0.0000000000,0.9765923023,0.0789819062,0.0069582202,-1.0091860294,-0.1467330009,-0.0490737632,-0.4253059626,0.0004379824,0.0075736679,-0.0122748613,0.0389802679,0.1191980541,-0.9922150373,0.0049929661,0.1220740378,-0.2441480756,-0.9155552983,0.8529313207,-0.5013580918,-0.1960509121,-0.2491531074,0.5315103531,-0.2260811180,-0.0059836507,-0.0291109979,0.0030403435,0.6246343851,-0.4770755768,-0.6100718975,-0.1014212519,0.1220740378,-0.2441480756,-0.9155552983,0.8529313207,-0.5013580918,-0.1960509121,-0.2491531074,0.5315103531,-0.2260811180,-0.0059836507,-0.0291109979,0.0030403435,0.6246343851,-0.4770755768,-0.6100718975,-0.1014212519,0.3662221134,-0.8545182943,0.3051851094,-0.7827387452,-0.2226630449,-0.3209326565,-0.4941557050,0.2812585831,-0.2391430438,0.1254302859,0.0371728539,0.0077630281,0.2966112494,0.5584603548,0.5938965082,-0.4976684749,
1633.647,0.1220740378,-0.0610370189,0.9765923023,0.0799584985,0.0063478500,-1.0100406408,-0.1468550712,-0.0522476882,-0.4271370471,0.0014234334,0.0069635352,-0.0131287575,0.0389757417,0.1192193180,-0.9922126532,0.0049933889,0.1220740378,-0.2441480756,-0.9155552983,0.8529313207,-0.5014801621,-0.1964171231,-0.2482986003,0.5355387926,-0.2211981565,-0.0059864521,-0.0292403102,0.0026791990,0.6246307492,-0.4770817459,-0.6100691557,-0.1014311165,0.1220740378,-0.2441480756,-0.9155552983,0.8529313207,-0.5014801621,-0.1964171231,-0.2482986003,0.5355387926,-0.2211981565,-0.0059864521,-0.0292403102,0.0026791990,0.6246307492,-0.4770817459,-0.6100691557,-0.1014311165,0.3662221134,-0.8545182943,0.0000000000,-0.7834711671,-0.2227851152,-0.3205664158,-0.4954985082,0.2797937095,-0.2497634888,0.1246861219,0.0370462239,0.0081651211,0.2965545356,0.5585268140,0.5938490629,-0.4976842701,
1633.660,0.0610370189,0.0000000000,0.9765923023,0.0795922726,0.0065919980,-1.0099185705,-0.1467330009,-0.0523697622,-0.4256721735,0.0010571554,0.0071960837,-0.0130066276,0.0389763452,0.1192427129,-0.9922097921,0.0049885497,0.1220740378,-0.2441480756,-0.8545182943,0.8526871800,-0.5016022325,-0.1966612786,-0.2490310371,0.5326090455,-0.2247382998,-0.0062276125,-0.0293595195,0.0024412721,0.6246296763,-0.4770772755,-0.6100752354,-0.1014223471,0.1220740378,-0.2441480756,-0.8545182943,0.8526871800,-0.5016022325,-0.1966612786,-0.2490310371,0.5326090455,-0.2247382998,-0.0062276125,-0.0293595195,0.0024412721,0.6246296763,-0.4770772755,-0.6100752354,-0.1014223471,0.3662221134,-0.7934812307,0.3051851094,-0.7827387452,-0.2197332680,-0.3209326565,-0.4998931885,0.2702719271,-0.2421948910,0.1254200339,0.0400297940,0.0078489482,0.2965343297,0.5585898757,0.5938109756,-0.4976711571,
1633.673,0.1220740378,0.0000000000,0.9765923023,0.0799584985,0.0065919980,-1.0090639591,-0.1453901827,-0.0516373180,-0.4221320152,0.0014211833,0.0071951393,-0.0121521950,0.0389773920,0.1192629039,-0.9922073483,0.0049890052,0.0610370189,-0.1831110567,-0.9155552983,0.8525651097,-0.5027008653,-0.1954405308,-0.2463454157,0.5337076783,-0.2192449719,-0.0063523650,-0.0304616392,0.0036580414,0.6246283054,-0.4770912528,-0.6100625992,-0.1014405340,0.0610370189,-0.1831110567,-0.9155552983,0.8525651097,-0.5027008653,-0.1954405308,-0.2463454157,0.5337076783,-0.2192449719,-0.0063523650,-0.0304616392,0.0036580414,0.6246283054,-0.4770912528,-0.6100625992,-0.1014405340,0.0000000000,-0.8545182943,0.2441480756,-0.7822504640,-0.2193670422,-0.3210547268,-0.4915921390,0.2775963545,-0.2485427409,0.1259101033,0.0403151661,0.0077855885,0.2965089381,0.5586661100,0.5937638283,-0.4976567924,
