Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1236.497,0.1831110567,0.0000000000,0.9765923023,0.0797143504,0.0068361461,-1.0104068518,-0.1411175877,-0.0440687276,-0.4281136394,0.0017980710,0.0069318665,-0.0134462118,0.0386983231,0.1193469539,-0.9922095537,0.0047030258,-0.7324442267,-0.6714072227,0.8545182943,0.8364512920,-0.5079500675,-0.2408520728,-0.2384105921,0.5218665004,-0.2165593505,-0.0102962255,-0.0349132419,0.0033248514,0.6079178452,-0.4828245938,-0.6238686442,-0.0913642049,-0.7324442267,-0.6714072227,0.8545182943,0.8364512920,-0.5079500675,-0.2408520728,-0.2384105921,0.5218665004,-0.2165593505,-0.0102962255,-0.0349132419,0.0033248514,0.6079178452,-0.4828245938,-0.6238686442,-0.0913642049,-7.7517013550,7.8737754822,-11.5359964371,-0.5041657686,-0.2563554943,-0.0625019073,-0.9354533553,0.2656331062,-0.5000152588,0.3761280775,0.1799613833,0.1248633862,0.2498430312,0.5011067390,0.5855065584,-0.5864263177,
1236.510,0.1831110567,0.0000000000,0.9155552983,0.0795922726,0.0058595538,-1.0102847815,-0.1378215849,-0.0471205786,-0.4268929064,0.0016728789,0.0059702126,-0.0133244395,0.0386989973,0.1193428785,-0.9922100902,0.0047104731,-0.7324442267,-0.6103702188,0.7324442267,0.8369396329,-0.5079500675,-0.2423169613,-0.2398754805,0.5249183774,-0.2191229016,-0.0096402764,-0.0346813798,0.0019917935,0.6078773141,-0.4829477370,-0.6238261461,-0.0912732109,-0.7324442267,-0.6103702188,0.7324442267,0.8369396329,-0.5079500675,-0.2423169613,-0.2398754805,0.5249183774,-0.2191229016,-0.0096402764,-0.0346813798,0.0019917935,0.6078773141,-0.4829477370,-0.6238261461,-0.0912732109,-7.5685901642,7.8127384186,-10.7425155640,-0.5078279972,-0.2578203678,-0.0625019073,-0.9354533553,0.2500076294,-0.4998931885,0.3714352846,0.1799734533,0.1262497902,0.2489740998,0.5009921193,0.5861961246,-0.5862047672,
1236.523,0.1220740378,-0.0610370189,0.9765923023,0.0808130130,0.0076906644,-1.0111392736,-0.1411175877,-0.0487075411,-0.4249397218,0.0028955191,0.0077973902,-0.0141787529,0.0386982895,0.1193429977,-0.9922100306,0.0047084112,-0.7934812307,-0.5493331552,0.6103702188,0.8376720548,-0.5068514347,-0.2430494130,-0.2404858619,0.5223547816,-0.2182683796,-0.0087560415,-0.0333789289,0.0013899356,0.6078355312,-0.4830615819,-0.6237902641,-0.0911936834,-0.7934812307,-0.5493331552,0.6103702188,0.8376720548,-0.5068514347,-0.2430494130,-0.2404858619,0.5223547816,-0.2182683796,-0.0087560415,-0.0333789289,0.0013899356,0.6078355312,-0.4830615819,-0.6237902641,-0.0911936834,-7.3854794502,3.0518510342,-11.5359964371,-0.5097811818,-0.2597735524,-0.0625019073,-0.9375286102,0.2500076294,-0.3388775289,0.3685465455,0.1796208024,0.1268841624,0.2486097664,0.5002879500,0.5870674253,-0.5860888362,
1236.536,0.1220740378,-0.0610370189,0.9155552983,0.0805688649,0.0070802942,-1.0105289221,-0.1424604058,-0.0449232459,-0.4233527780,0.0026542172,0.0071852626,-0.0135681629,0.0386972167,0.1192937940,-0.9922159314,0.0047054496,-0.9155552983,-0.5493331552,0.7934812307,0.8402355909,-0.5073397160,-0.2441480756,-0.2437818497,0.5236976147,-0.2193670422,-0.0060281754,-0.0336467028,0.0004333407,0.6077900529,-0.4831847250,-0.6237519979,-0.0911072865,-0.9155552983,-0.5493331552,0.7934812307,0.8402355909,-0.5073397160,-0.2441480756,-0.2437818497,0.5236976147,-0.2193670422,-0.0060281754,-0.0336467028,0.0004333407,0.6077900529,-0.4831847250,-0.6237519979,-0.0911072865,-7.8127384186,2.3194067478,-11.5970335007,-0.5090487599,-0.2617267370,-0.0625019073,-0.9305703640,0.2502517700,-0.4998931885,0.3683565259,0.1792692542,0.1274365783,0.2479879558,0.4998387694,0.5876850486,-0.5861166716,
1236.549,0.1220740378,-0.0610370189,0.9765923023,0.0804467946,0.0076906644,-1.0108951330,-0.1417279541,-0.0458998382,-0.4270149767,0.0025356635,0.0077917157,-0.0139340758,0.0386958756,0.1192541867,-0.9922209978,0.0047017457,-1.0376293659,-0.5493331552,0.8545182943,0.8401135206,-0.5051423907,-0.2430494130,-0.2425611168,0.5235755444,-0.2179021537,-0.0059864521,-0.0312338769,0.0016801953,0.6077402234,-0.4833187759,-0.6237072349,-0.0910330936,-1.0376293659,-0.5493331552,0.8545182943,0.8401135206,-0.5051423907,-0.2430494130,-0.2425611168,0.5235755444,-0.2179021537,-0.0059864521,-0.0312338769,0.0016801953,0.6077402234,-0.4833187759,-0.6237072349,-0.0910330936,-7.8127384186,2.3194067478,-11.4749593735,-0.5012360215,-0.2618488073,-0.0625019073,-0.9350871444,0.2658772469,-0.4998931885,0.3752415776,0.1807479262,0.1279945970,0.2473785281,0.4993756115,0.5883157849,-0.5861361623,
1236.562,0.1220740378,-0.0610370189,0.9155552983,0.0794702023,0.0067140721,-1.0101627111,-0.1398968548,-0.0465102084,-0.4224982560,0.0015671477,0.0068151886,-0.0132009983,0.0386919491,0.1192358658,-0.9922232032,0.0047005815,-1.0376293659,-0.6103702188,1.0986663103,0.8380382657,-0.5057527423,-0.2437818497,-0.2395092696,0.5232093334,-0.2185125351,-0.0078713894,-0.0315872431,0.0011088103,0.6076874733,-0.4834715724,-0.6236537099,-0.0909428820,-1.0376293659,-0.6103702188,1.0986663103,0.8380382657,-0.5057527423,-0.2437818497,-0.2395092696,0.5232093334,-0.2185125351,-0.0078713894,-0.0315872431,0.0011088103,0.6076874733,-0.4834715724,-0.6236537099,-0.0909428820,-7.8127384186,2.9297769070,-11.2308111191,-0.5001373291,-0.2578203678,-0.0761741996,-0.9292275906,0.2519608140,-0.3427838981,0.3754040003,0.1862940490,0.1150931716,0.2470265329,0.4987068176,0.5892100334,-0.5859557986,
1236.575,0.1220740378,0.0000000000,0.9155552983,0.0784936100,0.0075685903,-1.0099185705,-0.1429487020,-0.0499282815,-0.4288460910,0.0005926415,0.0076655392,-0.0129567385,0.0386910960,0.1192500293,-0.9922215343,0.0046989396,-1.0986663103,-0.6103702188,1.0376293659,0.8364512920,-0.5070955753,-0.2434156388,-0.2388988882,0.5225989819,-0.2170476466,-0.0092688203,-0.0326778889,0.0016400963,0.6076321602,-0.4836283922,-0.6235979795,-0.0908587053,-1.0986663103,-0.6103702188,1.0376293659,0.8364512920,-0.5070955753,-0.2434156388,-0.2388988882,0.5225989819,-0.2170476466,-0.0092688203,-0.0326778889,0.0016400963,0.6076321602,-0.4836283922,-0.6235979795,-0.0908587053,-7.8127384186,2.9297769070,-11.2308111191,-0.5005035400,-0.2587969601,-0.0625019073,-0.9319131970,0.2514725327,-0.3425397575,0.3741205335,0.1868408620,0.1294163465,0.2466957271,0.4980104268,0.5900744796,-0.5858174562,
1236.588,0.1220740378,-0.0610370189,0.9155552983,0.0804467946,0.0064699240,-1.0094301701,-0.1419721097,-0.0500503555,-0.4218878746,0.0025487393,0.0065681450,-0.0124680996,0.0386894681,0.1192713156,-0.9922190309,0.0047002262,-1.0986663103,-0.6103702188,0.9765923023,0.8354747295,-0.5068514347,-0.2432935536,-0.2386547476,0.5216223598,-0.2132633477,-0.0100612640,-0.0321902931,0.0019264519,0.6075756550,-0.4837888479,-0.6235395670,-0.0907845572,-1.0986663103,-0.6103702188,0.9765923023,0.8354747295,-0.5068514347,-0.2432935536,-0.2386547476,0.5216223598,-0.2132633477,-0.0100612640,-0.0321902931,0.0019264519,0.6075756550,-0.4837888479,-0.6235395670,-0.0907845572,-7.5685901642,2.1362955570,-11.2918481827,-0.5041657686,-0.2500076294,-0.0625019073,-0.9365520477,0.2558671832,-0.4990386665,0.3696028590,0.1970866323,0.1299251914,0.2461389750,0.4975853860,0.5906485319,-0.5858345032,
1236.601,0.1220740378,-0.0610370189,0.9155552983,0.0791039765,0.0068361461,-1.0105289221,-0.1411175877,-0.0495620593,-0.4207892120,0.0012158379,0.0069338521,-0.0135660768,0.0386844799,0.1192896441,-0.9922170043,0.0047000917,-1.0376293659,-0.6103702188,0.9155552983,0.8362071514,-0.5070955753,-0.2457350343,-0.2420728207,0.5223547816,-0.2181463093,-0.0091485381,-0.0322010517,-0.0003458261,0.6075194478,-0.4839274287,-0.6234997511,-0.0906945914,-1.0376293659,-0.6103702188,0.9155552983,0.8362071514,-0.5070955753,-0.2457350343,-0.2420728207,0.5223547816,-0.2181463093,-0.0091485381,-0.0322010517,-0.0003458261,0.6075194478,-0.4839274287,-0.6234997511,-0.0906945914,-7.8127384186,1.9531846046,-10.7425155640,-0.5005035400,-0.2539139986,-0.0625019073,-0.9370403290,0.2500076294,-0.4992828071,0.3724390864,0.1945754886,0.1304259300,0.2456142306,0.4971677065,0.5912119150,-0.5858410597,
