Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
4161.770,0.1220740378,-0.0610370189,0.9765923023,0.0786156803,0.0073244423,-1.0095522404,-0.1346476674,-0.0523697622,-0.4101687670,0.0016286895,0.0074274903,-0.0125194192,0.0382022746,0.1262545586,-0.9913724661,0.0049171583,0.1831110567,-0.2441480756,-0.7934812307,0.8941923380,-0.4316537976,-0.1640675068,-0.2463454157,0.5522629619,-0.2260811180,-0.0045632124,-0.0265029371,0.0047385842,0.6259747148,-0.4717664123,-0.6017330289,-0.1541188508,0.1831110567,-0.2441480756,-0.7934812307,0.8941923380,-0.4316537976,-0.1640675068,-0.2463454157,0.5522629619,-0.2260811180,-0.0045632124,-0.0265029371,0.0047385842,0.6259747148,-0.4717664123,-0.6017330289,-0.1541188508,0.4272591472,-0.7324442267,0.0000000000,-0.7827387452,-0.2519608140,-0.2724692523,-0.8742942810,0.2744224370,-0.4297006130,0.1090044379,0.0478921533,0.0669474602,0.2937707007,0.5334557295,0.6207870245,-0.4939538836,
4161.783,0.1220740378,-0.0610370189,0.9155552983,0.0793481246,0.0061037019,-1.0091860294,-0.1386761069,-0.0517593920,-0.4116336703,0.0023647770,0.0062096464,-0.0121529102,0.0382001512,0.1262807995,-0.9913691878,0.0049193758,0.1220740378,-0.3051851094,-0.7934812307,0.8935819864,-0.4320200086,-0.1640675068,-0.2461012602,0.5515304804,-0.2253486812,-0.0051707625,-0.0268675089,0.0047493279,0.6259658337,-0.4717890322,-0.6017197371,-0.1541375071,0.1220740378,-0.3051851094,-0.7934812307,0.8935819864,-0.4320200086,-0.1640675068,-0.2461012602,0.5515304804,-0.2253486812,-0.0051707625,-0.0268675089,0.0047493279,0.6259658337,-0.4717890322,-0.6017197371,-0.1541375071,0.3662221134,-0.7324442267,0.0000000000,-0.7851802111,-0.2529374063,-0.3128757477,-0.8750267029,0.2735679150,-0.4365367591,0.1065995097,0.0468718708,0.0264832079,0.2936573923,0.5336377025,0.6206072569,-0.4940504730,
4161.796,0.1220740378,-0.0610370189,0.9155552983,0.0780053139,0.0067140721,-1.0093080997,-0.1376995146,-0.0469985045,-0.4130985439,0.0010322183,0.0068198787,-0.0122742057,0.0381952301,0.1262461692,-0.9913738966,0.0049173222,0.1831110567,-0.2441480756,-0.8545182943,0.8956572413,-0.4317758679,-0.1634571403,-0.2443922311,0.5504318476,-0.2298654169,-0.0031018853,-0.0266343355,0.0053520799,0.6259657145,-0.4717914760,-0.6017146707,-0.1541503221,0.1831110567,-0.2441480756,-0.8545182943,0.8956572413,-0.4317758679,-0.1634571403,-0.2443922311,0.5504318476,-0.2298654169,-0.0031018853,-0.0266343355,0.0053520799,0.6259657145,-0.4717914760,-0.6017146707,-0.1541503221,0.3662221134,-0.7324442267,0.0000000000,-0.7842036486,-0.2525711954,-0.2710043788,-0.8740501404,0.2735679150,-0.4287240207,0.1076850295,0.0472176075,0.0680866539,0.2936063111,0.5337589383,0.6203950644,-0.4942163825,
4161.809,0.1220740378,-0.0610370189,0.9765923023,0.0782494619,0.0064699240,-1.0094301701,-0.1397747695,-0.0505386516,-0.4132206142,0.0012854487,0.0065776268,-0.0123955607,0.0381905995,0.1262460649,-0.9913740158,0.0049176840,0.1220740378,-0.2441480756,-0.8545182943,0.8952909708,-0.4322641790,-0.1640675068,-0.2432935536,0.5527512431,-0.2251045257,-0.0034729242,-0.0271327198,0.0047414601,0.6259581447,-0.4718145728,-0.6016966105,-0.1541814655,0.1220740378,-0.2441480756,-0.8545182943,0.8952909708,-0.4322641790,-0.1640675068,-0.2432935536,0.5527512431,-0.2251045257,-0.0034729242,-0.0271327198,0.0047414601,0.6259581447,-0.4718145728,-0.6016966105,-0.1541814655,0.3662221134,-0.7324442267,0.0000000000,-0.7844477892,-0.2530594766,-0.3125095367,-0.8701437712,0.2717368007,-0.4316537976,0.1074764729,0.0466878712,0.0265246332,0.2934972942,0.5339336991,0.6202217937,-0.4943098724,
4161.822,0.1220740378,-0.0610370189,0.9155552983,0.0792260543,0.0069582202,-1.0093080997,-0.1353801042,-0.0476088747,-0.4068727791,0.0022662282,0.0070645716,-0.0122731924,0.0381886810,0.1262307763,-0.9913759828,0.0049161594,0.1220740378,-0.2441480756,-0.8545182943,0.8948026896,-0.4323862493,-0.1641895771,-0.2480544448,0.5531174541,-0.2233954966,-0.0039647818,-0.0272637308,0.0046204031,0.6259504557,-0.4718373418,-0.6016789079,-0.1542110592,0.1220740378,-0.2441480756,-0.8545182943,0.8948026896,-0.4323862493,-0.1641895771,-0.2480544448,0.5531174541,-0.2233954966,-0.0039647818,-0.0272637308,0.0046204031,0.6259504557,-0.4718373418,-0.6016789079,-0.1542110592,0.3662221134,-0.7324442267,0.0000000000,-0.7812738419,-0.2534257174,-0.3125095367,-0.8747825623,0.2734458447,-0.4355601668,0.1106814146,0.0462868512,0.0264736712,0.2933816612,0.5341109633,0.6200485229,-0.4944042861,
4161.835,0.1220740378,-0.0610370189,0.9155552983,0.0794702023,0.0073244423,-1.0089418888,-0.1346476674,-0.0478530228,-0.4123660922,0.0025131926,0.0074276263,-0.0119067430,0.0381875336,0.1262201965,-0.9913774133,0.0049140016,0.1831110567,-0.2441480756,-0.8545182943,0.8941923380,-0.4321421087,-0.1633350700,-0.2464674860,0.5504318476,-0.2220526785,-0.0045796037,-0.0270259380,0.0054675192,0.6259465814,-0.4718571901,-0.6016604900,-0.1542386860,0.1831110567,-0.2441480756,-0.8545182943,0.8941923380,-0.4321421087,-0.1633350700,-0.2464674860,0.5504318476,-0.2220526785,-0.0045796037,-0.0270259380,0.0054675192,0.6259465814,-0.4718571901,-0.6016604900,-0.1542386860,0.3662221134,-0.7324442267,0.2441480756,-0.7812738419,-0.2500076294,-0.2707602084,-0.8711203337,0.2749107480,-0.4325083196,0.1108033061,0.0496379137,0.0679617524,0.2933339775,0.5342587829,0.6198158860,-0.4945646524,
4161.848,0.1220740378,-0.0610370189,0.9765923023,0.0775170177,0.0068361461,-1.0086977482,-0.1378215849,-0.0472426526,-0.4181035757,0.0005723089,0.0069393972,-0.0116617084,0.0381816030,0.1261820495,-0.9913825393,0.0049117855,0.1220740378,-0.2441480756,-0.8545182943,0.8951689005,-0.4322641790,-0.1632129848,-0.2470778525,0.5504318476,-0.2291329652,-0.0036081076,-0.0271576047,0.0055854172,0.6259450316,-0.4718620181,-0.6016549468,-0.1542518437,0.1220740378,-0.2441480756,-0.8545182943,0.8951689005,-0.4322641790,-0.1632129848,-0.2470778525,0.5504318476,-0.2291329652,-0.0036081076,-0.0271576047,0.0055854172,0.6259450316,-0.4718620181,-0.6016549468,-0.1542518437,0.3662221134,-0.7324442267,0.0000000000,-0.7837153077,-0.2525711954,-0.2714926600,-0.8711203337,0.2504959404,-0.4294564724,0.1084675193,0.0470550954,0.0669679642,0.2932694256,0.5343942642,0.6195935607,-0.4947350323,
4161.861,0.1220740378,0.0000000000,0.9155552983,0.0782494619,0.0080568865,-1.0093080997,-0.1342814416,-0.0504165776,-0.4137089252,0.0013030097,0.0081533752,-0.0122721791,0.0381827690,0.1262081116,-0.9913792014,0.0049095438,0.1220740378,-0.3051851094,-0.8545182943,0.8960234523,-0.4327524602,-0.1632129848,-0.2470778525,0.5505539179,-0.2345042229,-0.0027565956,-0.0276549757,0.0055901855,0.6259437203,-0.4718551636,-0.6016621590,-0.1542494297,0.1220740378,-0.3051851094,-0.8545182943,0.8960234523,-0.4327524602,-0.1632129848,-0.2470778525,0.5505539179,-0.2345042229,-0.0027565956,-0.0276549757,0.0055901855,0.6259437203,-0.4718551636,-0.6016621590,-0.1542494297,0.3051851094,-0.7324442267,0.0000000000,-0.7843257189,-0.2524491251,-0.3125095367,-0.8705099821,0.2686849535,-0.4277474284,0.1078920364,0.0471299291,0.0259011388,0.2931714356,0.5345577002,0.6194325089,-0.4948183298,
4161.874,0.1220740378,0.0000000000,0.9765923023,0.0788598284,0.0063478500,-1.0099185705,-0.1378215849,-0.0479750969,-0.4093142450,0.0019088760,0.0064468943,-0.0128829479,0.0381849706,0.1261825264,-0.9913823605,0.0049101119,0.1831110567,-0.2441480756,-0.7934812307,0.8951689005,-0.4317758679,-0.1635792106,-0.2500076294,0.5490890145,-0.2347483784,-0.0036126375,-0.0266785026,0.0052172691,0.6259493232,-0.4718413651,-0.6016703844,-0.1542374641,0.1831110567,-0.2441480756,-0.7934812307,0.8951689005,-0.4317758679,-0.1635792106,-0.2500076294,0.5490890145,-0.2347483784,-0.0036126375,-0.0266785026,0.0052172691,0.6259493232,-0.4718413651,-0.6016703844,-0.1542374641,0.3662221134,-0.7324442267,0.0000000000,-0.7812738419,-0.2530594766,-0.3129978478,-0.8706320524,0.2734458447,-0.4277474284,0.1109729409,0.0464833677,0.0253677666,0.2930679321,0.5347192883,0.6192746162,-0.4949024022,
