Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
5478.319,0.1220740378,0.0000000000,0.9765923023,0.0791039765,0.0069582202,-1.0096743107,-0.1334269196,-0.0494399853,-0.4067507088,0.0024006441,0.0070461454,-0.0126196742,0.0380650386,0.1256870329,-0.9914501309,0.0048698811,0.1831110567,-0.2441480756,-0.8545182943,0.8965117335,-0.4261604548,-0.1722464710,-0.2548905909,0.5498214960,-0.2358470410,-0.0038157105,-0.0274613500,0.0033960193,0.6241005063,-0.4663128555,-0.6087829471,-0.1505898386,0.1831110567,-0.2441480756,-0.8545182943,0.8965117335,-0.4261604548,-0.1722464710,-0.2548905909,0.5498214960,-0.2358470410,-0.0038157105,-0.0274613500,0.0033960193,0.6241005063,-0.4663128555,-0.6087829471,-0.1505898386,0.0000000000,-0.7324442267,0.3051851094,-0.7892086506,-0.2346263081,-0.3125095367,-0.8744163513,0.2514725327,-0.4370250702,0.1084104776,0.0642849654,0.0119295120,0.2663303018,0.5685312748,0.5824388266,-0.5165739655,
5478.332,0.1831110567,0.0000000000,0.9765923023,0.0780053139,0.0078127384,-1.0096743107,-0.1335490048,-0.0506607257,-0.4104129076,0.0013003722,0.0079066008,-0.0126197338,0.0380653106,0.1257184297,-0.9914460778,0.0048741354,0.1220740378,-0.2441480756,-0.8545182943,0.8968779445,-0.4270149767,-0.1722464710,-0.2546464503,0.5510421991,-0.2391430438,-0.0034508109,-0.0283210278,0.0034020096,0.6240973473,-0.4663145542,-0.6087842584,-0.1505930722,0.1220740378,-0.2441480756,-0.8545182943,0.8968779445,-0.4270149767,-0.1722464710,-0.2546464503,0.5510421991,-0.2391430438,-0.0034508109,-0.0283210278,0.0034020096,0.6240973473,-0.4663145542,-0.6087842584,-0.1505930722,0.0000000000,-0.6714072227,0.3051851094,-0.7822504640,-0.2348704487,-0.3134861290,-0.8728293777,0.2508621514,-0.4353160262,0.1154111028,0.0638422519,0.0110179484,0.2663685679,0.5686118007,0.5823879838,-0.5165227652,
5478.345,0.1220740378,0.0000000000,0.9155552983,0.0797143504,0.0072023682,-1.0108951330,-0.1376995146,-0.0509048738,-0.4105349779,0.0029998571,0.0072937571,-0.0138413310,0.0380700976,0.1257407963,-0.9914431572,0.0048743682,0.1831110567,-0.2441480756,-0.8545182943,0.8960234523,-0.4272591472,-0.1724906117,-0.2533036172,0.5510421991,-0.2337717861,-0.0043049455,-0.0285660028,0.0031614304,0.6240927577,-0.4663279355,-0.6087754369,-0.1506061405,0.1831110567,-0.2441480756,-0.8545182943,0.8960234523,-0.4272591472,-0.1724906117,-0.2533036172,0.5510421991,-0.2337717861,-0.0043049455,-0.0285660028,0.0031614304,0.6240927577,-0.4663279355,-0.6087754369,-0.1506061405,0.0000000000,-0.6714072227,0.3051851094,-0.7832270265,-0.2370677888,-0.3125095367,-0.8750267029,0.2587969601,-0.4587542415,0.1144762635,0.0614580214,0.0120510459,0.2663612664,0.5687368512,0.5822901726,-0.5164991617,
5478.358,0.1220740378,0.0000000000,0.9765923023,0.0793481246,0.0076906644,-1.0093080997,-0.1342814416,-0.0488296151,-0.4090701044,0.0026253611,0.0077779423,-0.0122549534,0.0380744599,0.1257438064,-0.9914424419,0.0048729675,0.1831110567,-0.2441480756,-0.8545182943,0.8961455226,-0.4264046252,-0.1707815826,-0.2502517700,0.5476241112,-0.2430494130,-0.0041853786,-0.0277154148,0.0048660040,0.6240966320,-0.4663153589,-0.6087831855,-0.1505975276,0.1831110567,-0.2441480756,-0.8545182943,0.8961455226,-0.4264046252,-0.1707815826,-0.2502517700,0.5476241112,-0.2430494130,-0.0041853786,-0.0277154148,0.0048660040,0.6240966320,-0.4663153589,-0.6087831855,-0.1505975276,0.0000000000,-0.6714072227,0.0000000000,-0.7843257189,-0.2346263081,-0.3125095367,-0.8750267029,0.2578203678,-0.4370250702,0.1134081483,0.0637471527,0.0121066570,0.2663907409,0.5687981248,0.5822542310,-0.5164570212,
5478.371,0.1220740378,0.0000000000,0.9765923023,0.0784936100,0.0074465163,-1.0108951330,-0.1336710751,-0.0504165776,-0.4084597230,0.0017673746,0.0075309677,-0.0138422251,0.0380762219,0.1257714331,-0.9914389849,0.0048728432,0.1220740378,-0.2441480756,-0.8545182943,0.8966338038,-0.4271370471,-0.1712698787,-0.2536698580,0.5539720058,-0.2348704487,-0.0036985874,-0.0284517109,0.0043791831,0.6240914464,-0.4663317800,-0.6087712049,-0.1506165415,0.1220740378,-0.2441480756,-0.8545182943,0.8966338038,-0.4271370471,-0.1712698787,-0.2536698580,0.5539720058,-0.2348704487,-0.0036985874,-0.0284517109,0.0043791831,0.6240914464,-0.4663317800,-0.6087712049,-0.1506165415,0.3662221134,-0.7324442267,0.3051851094,-0.7844477892,-0.2359691113,-0.3129978478,-0.8701437712,0.2580645084,-0.4333628416,0.1133330464,0.0622322410,0.0116465986,0.2664192915,0.5688753724,0.5821908712,-0.5164286494,
5478.384,0.1220740378,0.0000000000,0.9765923023,0.0798364207,0.0065919980,-1.0089418888,-0.1341593713,-0.0479750969,-0.4028443396,0.0030994192,0.0066777943,-0.0118898153,0.0380815230,0.1257648319,-0.9914395809,0.0048739375,0.1220740378,-0.2441480756,-0.8545182943,0.8957793117,-0.4273812175,-0.1713919491,-0.2513504326,0.5526291728,-0.2391430438,-0.0045532584,-0.0286970735,0.0042596310,0.6240884662,-0.4663398266,-0.6087661982,-0.1506247222,0.1220740378,-0.2441480756,-0.8545182943,0.8957793117,-0.4273812175,-0.1713919491,-0.2513504326,0.5526291728,-0.2391430438,-0.0045532584,-0.0286970735,0.0042596310,0.6240884662,-0.4663398266,-0.6087661982,-0.1506247222,0.3662221134,-0.7324442267,0.0000000000,-0.7893307209,-0.2345042229,-0.3182470202,-0.9079867005,0.2607501447,-0.4375133514,0.1084799767,0.0635568202,0.0064436793,0.2664627433,0.5689137578,0.5821732283,-0.5163838267,
5478.397,0.1220740378,0.0000000000,0.9765923023,0.0778832361,0.0067140721,-1.0097965002,-0.1370891482,-0.0502945036,-0.4060182571,0.0011454150,0.0068006273,-0.0127444267,0.0380818173,0.1257772893,-0.9914380908,0.0048748436,0.1220740378,-0.2441480756,-0.8545182943,0.8963896632,-0.4278694987,-0.1707815826,-0.2559892535,0.5500656366,-0.2404858619,-0.0039429069,-0.0291856229,0.0048691928,0.6240898371,-0.4663350582,-0.6087693572,-0.1506203115,0.1220740378,-0.2441480756,-0.8545182943,0.8963896632,-0.4278694987,-0.1707815826,-0.2559892535,0.5500656366,-0.2404858619,-0.0039429069,-0.0291856229,0.0048691928,0.6240898371,-0.4663350582,-0.6087693572,-0.1506203115,0.3662221134,-0.6714072227,0.0000000000,-0.7832270265,-0.2343821526,-0.3132419884,-0.8740501404,0.2522049546,-0.4326303899,0.1146114469,0.0635493398,0.0114905536,0.2664780319,0.5689772367,0.5821291208,-0.5163556933,
5478.410,0.1220740378,-0.0610370189,0.9765923023,0.0780053139,0.0076906644,-1.0100406408,-0.1331827790,-0.0477309488,-0.4045533538,0.0012768432,0.0077731609,-0.0129878521,0.0380774662,0.1257707775,-0.9914389253,0.0048719901,0.1220740378,-0.2441480756,-0.8545182943,0.8965117335,-0.4273812175,-0.1706595123,-0.2568437755,0.5487228036,-0.2325510383,-0.0038223863,-0.0286995769,0.0049896240,0.6240875125,-0.4663451314,-0.6087611318,-0.1506327391,0.1220740378,-0.2441480756,-0.8545182943,0.8965117335,-0.4273812175,-0.1706595123,-0.2568437755,0.5487228036,-0.2325510383,-0.0038223863,-0.0286995769,0.0049896240,0.6240875125,-0.4663451314,-0.6087611318,-0.1506327391,0.3662221134,-0.6714072227,0.0000000000,-0.7840815187,-0.2358470410,-0.3138523400,-0.8740501404,0.2578203678,-0.4375133514,0.1137824655,0.0619618148,0.0109223425,0.2664829195,0.5690479875,0.5820780993,-0.5163327456,
5478.423,0.1220740378,0.0000000000,0.9155552983,0.0777611658,0.0081789605,-1.0100406408,-0.1353801042,-0.0473647267,-0.4079714417,0.0010325164,0.0082541844,-0.0129879117,0.0380780846,0.1257548034,-0.9914410710,0.0048677772,0.1831110567,-0.2441480756,-0.8545182943,0.8955351710,-0.4262825549,-0.1716361046,-0.2561113238,0.5477461815,-0.2334055603,-0.0048003197,-0.0276045203,0.0040132850,0.6240857244,-0.4663494825,-0.6087577343,-0.1506396383,0.1831110567,-0.2441480756,-0.8545182943,0.8955351710,-0.4262825549,-0.1716361046,-0.2561113238,0.5477461815,-0.2334055603,-0.0048003197,-0.0276045203,0.0040132850,0.6240857244,-0.4663494825,-0.6087577343,-0.1506396383,0.0000000000,-0.7324442267,0.0000000000,-0.7893307209,-0.2353587449,-0.3126316071,-0.8706320524,0.2597735524,-0.4287240207,0.1085705757,0.0622980595,0.0121791363,0.2665326893,0.5690876245,0.5820548534,-0.5162895918,
