Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1598.989,0.1220740378,-0.0610370189,0.9765923023,0.0773949400,0.0058595538,-1.0084536076,-0.1420941800,-0.0521256141,-0.4160283208,-0.0003751740,0.0065197013,-0.0114817619,0.0385869555,0.1203278229,-0.9920938611,0.0050127902,0.1220740378,-0.1831110567,-0.5493331552,0.8911404610,0.1578417271,-0.4480117261,-0.3639027178,0.4727927446,-0.3839228451,0.0177328587,-0.0180198550,0.0064081252,0.4524124265,-0.2719750404,-0.8083828688,-0.2609848380,0.1220740378,-0.1831110567,-0.5493331552,0.8911404610,0.1578417271,-0.4480117261,-0.3639027178,0.4727927446,-0.3839228451,0.0177328587,-0.0180198550,0.0064081252,0.4524124265,-0.2719750404,-0.8083828688,-0.2609848380,0.0000000000,-0.8545182943,0.0610370189,-0.5625171661,-0.8642842174,-0.0083010346,-0.4294564724,0.1132847071,-0.9482711554,0.0025678277,-0.0390030146,0.0001860708,0.1826329976,-0.5395613909,-0.4619093239,0.6800011992,
1599.002,0.1220740378,-0.0610370189,0.9765923023,0.0772728696,0.0064699240,-1.0084536076,-0.1452681124,-0.0493179113,-0.4224982560,-0.0004796907,0.0071292939,-0.0114803910,0.0385783352,0.1203138530,-0.9920960069,0.0050107986,0.2441480756,-0.1831110567,-0.5493331552,0.8908963203,0.1563768387,-0.4474013448,-0.3615832925,0.4697408974,-0.3897823989,0.0174707770,-0.0194456279,0.0069990158,0.4524369240,-0.2719602883,-0.8083816767,-0.2609610260,0.2441480756,-0.1831110567,-0.5493331552,0.8908963203,0.1563768387,-0.4474013448,-0.3615832925,0.4697408974,-0.3897823989,0.0174707770,-0.0194456279,0.0069990158,0.4524369240,-0.2719602883,-0.8083816767,-0.2609610260,0.1220740378,-0.9765923023,0.1220740378,-0.5625171661,-0.8652607799,-0.0080568865,-0.4297006130,0.1253700405,-0.9531540871,0.0024892092,-0.0399244428,0.0003122613,0.1826764047,-0.5395076275,-0.4619083107,0.6800329089,
1599.015,0.0610370189,0.0000000000,0.9765923023,0.0782494619,0.0065919980,-1.0088198185,-0.1460005492,-0.0532242805,-0.4116336703,0.0004991144,0.0072393809,-0.0118464231,0.0385777727,0.1203506514,-0.9920915365,0.0050061424,0.2441480756,-0.1831110567,-0.6103702188,0.8922391534,0.1568651348,-0.4492324591,-0.3646351397,0.4712058008,-0.3873409331,0.0187998414,-0.0189286023,0.0051527023,0.4524559975,-0.2719473541,-0.8083814979,-0.2609424889,0.2441480756,-0.1831110567,-0.6103702188,0.8922391534,0.1568651348,-0.4492324591,-0.3646351397,0.4712058008,-0.3873409331,0.0187998414,-0.0189286023,0.0051527023,0.4524559975,-0.2719473541,-0.8083814979,-0.2609424889,0.1220740378,-0.9765923023,0.0610370189,-0.5653248429,-0.8606219888,-0.0087893307,-0.4287240207,0.1251258850,-0.9492477179,-0.0003859401,-0.0352382660,-0.0005339086,0.1827135384,-0.5394572616,-0.4619056284,0.6800647378,
1599.028,0.1220740378,0.0610370189,0.9155552983,0.0776390880,0.0062257759,-1.0090639591,-0.1478316635,-0.0543229468,-0.4190801680,-0.0001166165,0.0068728421,-0.0120910406,0.0385802165,0.1203975379,-0.9920857549,0.0050081317,0.2441480756,-0.1831110567,-0.6103702188,0.8921170831,0.1550340354,-0.4481337965,-0.3640247881,0.4745017886,-0.3816034496,0.0186610222,-0.0207227170,0.0062332451,0.4524722695,-0.2719543576,-0.8083733320,-0.2609316409,0.2441480756,-0.1831110567,-0.6103702188,0.8921170831,0.1550340354,-0.4481337965,-0.3640247881,0.4745017886,-0.3816034496,0.0186610222,-0.0207227170,0.0062332451,0.4524722695,-0.2719543576,-0.8083733320,-0.2609316409,0.0610370189,-0.6714072227,0.0000000000,-0.5664235353,-0.8603778481,-0.0079348125,-0.4281136394,0.1250038147,-0.5000152588,-0.0015568137,-0.0349439979,0.0002421103,0.1822851449,-0.5390996337,-0.4622803926,0.6802085638,
1599.041,0.1220740378,0.1220740378,0.9765923023,0.0784936100,0.0062257759,-1.0090639591,-0.1450239569,-0.0482192449,-0.4104129076,0.0007177740,0.0068733571,-0.0120925903,0.0385903232,0.1203731745,-0.9920883179,0.0050086570,0.2441480756,-0.2441480756,-0.5493331552,0.8923612237,0.1535691470,-0.4495986700,-0.3626819551,0.4710837007,-0.3856318891,0.0188927054,-0.0221338570,0.0047653317,0.4524892271,-0.2719555199,-0.8083720207,-0.2609051764,0.2441480756,-0.2441480756,-0.5493331552,0.8923612237,0.1535691470,-0.4495986700,-0.3626819551,0.4710837007,-0.3856318891,0.0188927054,-0.0221338570,0.0047653317,0.4524892271,-0.2719555199,-0.8083720207,-0.2609051764,0.0000000000,-0.6714072227,0.0610370189,-0.5948668122,-0.8594012260,-0.0080568865,-0.4276253581,0.1132847071,-0.9453413486,-0.0299671888,-0.0339891911,0.0000508949,0.1822982579,-0.5391040444,-0.4622378945,0.6802304387,
1599.054,0.1220740378,0.1220740378,0.9155552983,0.0800805688,0.0065919980,-1.0093080997,-0.1447798163,-0.0527359843,-0.4204230011,0.0022770017,0.0072374670,-0.0123388171,0.0386040583,0.1204108074,-0.9920831323,0.0050107497,0.1220740378,-0.3051851094,-0.5493331552,0.8933377862,0.1513718069,-0.4489883184,-0.3658559024,0.4741355777,-0.3845332265,0.0198578238,-0.0242763609,0.0053746998,0.4525007308,-0.2719718516,-0.8083662391,-0.2608861327,0.1220740378,-0.3051851094,-0.5493331552,0.8933377862,0.1513718069,-0.4489883184,-0.3658559024,0.4741355777,-0.3845332265,0.0198578238,-0.0242763609,0.0053746998,0.4525007308,-0.2719718516,-0.8083662391,-0.2608861327,0.0000000000,-0.9155552983,0.0000000000,-0.5937681198,-0.8594012260,-0.0019531846,-0.4286019504,0.1142612994,-0.9491256475,-0.0288475752,-0.0340023041,0.0060325861,0.1823097318,-0.5390830040,-0.4621964395,0.6802722216,
1599.067,0.1220740378,0.0610370189,0.9765923023,0.0813013092,0.0103762932,-1.0102847815,-0.1478316635,-0.0545670949,-0.4189580977,0.0034751594,0.0110018505,-0.0133172870,0.0386162661,0.1204555184,-0.9920772910,0.0050039659,0.0000000000,-0.3662221134,-0.5493331552,0.8924832940,0.1529587656,-0.4493545294,-0.3642689288,0.4732810557,-0.3801385462,0.0189993382,-0.0226526409,0.0050154328,0.4524997175,-0.2720001638,-0.8083590269,-0.2608812451,0.0000000000,-0.3662221134,-0.5493331552,0.8924832940,0.1529587656,-0.4493545294,-0.3642689288,0.4732810557,-0.3801385462,0.0189993382,-0.0226526409,0.0050154328,0.4524997175,-0.2720001638,-0.8083590269,-0.2608812451,0.0610370189,-0.9765923023,0.1220740378,-0.5958433747,-0.8681905866,-0.0059816279,-0.4292123318,0.1152378917,-0.9486373663,-0.0308973789,-0.0428078771,0.0018869601,0.1823160499,-0.5390626192,-0.4621568322,0.6803135872,
1599.080,0.1831110567,0.0610370189,0.9155552983,0.0839869380,0.0115970336,-1.0090639591,-0.1449018866,-0.0523697622,-0.4143192768,0.0061246306,0.0122064957,-0.0120993257,0.0386350453,0.1204901263,-0.9920724034,0.0049995068,0.1220740378,-0.3662221134,-0.6103702188,0.8907742500,0.1594287008,-0.4510635734,-0.3646351397,0.4731589854,-0.3816034496,0.0172990561,-0.0161773711,0.0033249557,0.4524909556,-0.2720083296,-0.8083618283,-0.2608786523,0.1220740378,-0.3662221134,-0.6103702188,0.8907742500,0.1594287008,-0.4510635734,-0.3646351397,0.4731589854,-0.3816034496,0.0172990561,-0.0161773711,0.0033249557,0.4524909556,-0.2720083296,-0.8083618283,-0.2608786523,0.0000000000,-0.9155552983,0.2441480756,-0.5951109529,-0.8672139645,-0.0059816279,-0.4287240207,0.1252479702,-0.9433881640,-0.0301222801,-0.0418594480,0.0017852150,0.1823034137,-0.5390440822,-0.4621233940,0.6803543568,
1599.093,0.1831110567,0.1220740378,0.8545182943,0.0848414600,0.0083010346,-1.0095522404,-0.1445356607,-0.0518814661,-0.4216437340,0.0069285631,0.0089099631,-0.0125915408,0.0386600792,0.1205223724,-0.9920674562,0.0050035599,1.3428144455,0.0000000000,-1.4648884535,0.8857692480,0.1560106277,-0.4587542415,-0.3669545650,0.4704733491,-0.3868526220,0.0123178363,-0.0196077824,-0.0043246150,0.4525085688,-0.2718895972,-0.8084146380,-0.2608087063,1.3428144455,0.0000000000,-1.4648884535,0.8857692480,0.1560106277,-0.4587542415,-0.3669545650,0.4704733491,-0.3868526220,0.0123178363,-0.0196077824,-0.0043246150,0.4525085688,-0.2718895972,-0.8084146380,-0.2608087063,0.0000000000,-0.9765923023,0.1831110567,-0.5937681198,-0.8681905866,-0.0097659230,-0.4255501032,0.1259804070,-0.9453413486,-0.0287524462,-0.0428537726,-0.0020883679,0.1822977215,-0.5390257239,-0.4620965123,0.6803886890,
