Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
7598.242,0.1831110567,-0.1220740378,0.9155552983,0.0800805688,0.0075685903,-1.0077211857,-0.1357463300,-0.0488296151,-0.3942991495,0.0041215196,0.0094541823,-0.0106112957,0.0375628546,0.1289723516,-0.9910420179,0.0058396775,0.2441480756,-0.3051851094,-0.7934812307,0.9133579731,0.0959501937,-0.4181035757,-0.3233741224,0.4571672678,-0.3734244704,0.0177853107,-0.0215188488,0.0113472641,0.4750652313,-0.2853548527,-0.7959529757,-0.2441057414,0.2441480756,-0.3051851094,-0.7934812307,0.9133579731,0.0959501937,-0.4181035757,-0.3233741224,0.4571672678,-0.3734244704,0.0177853107,-0.0215188488,0.0113472641,0.4750652313,-0.2853548527,-0.7959529757,-0.2441057414,0.0610370189,-0.7324442267,0.3051851094,-0.5822931528,-0.8594012260,-0.0158696249,-0.2734458447,0.0957060456,-0.4839015007,0.0005260706,-0.0482696295,0.0374927446,0.1137390733,-0.5152011514,-0.5113629699,0.6785147190,
7598.255,0.1220740378,-0.1220740378,0.9155552983,0.0783715323,0.0073244423,-1.0090639591,-0.1378215849,-0.0518814661,-0.3997924626,0.0024266392,0.0091978144,-0.0119529963,0.0375565290,0.1289863735,-0.9910404682,0.0058332295,0.3051851094,-0.3662221134,-0.8545182943,0.9121372104,0.0965605676,-0.4178594351,-0.3254493773,0.4559465349,-0.3735465705,0.0165597200,-0.0209117532,0.0115807950,0.4750738144,-0.2853378952,-0.7959558964,-0.2440998703,0.3051851094,-0.3662221134,-0.8545182943,0.9121372104,0.0965605676,-0.4178594351,-0.3254493773,0.4559465349,-0.3735465705,0.0165597200,-0.0209117532,0.0115807950,0.4750738144,-0.2853378952,-0.7959558964,-0.2440998703,0.0000000000,-0.7324442267,0.2441480756,-0.5861995220,-0.8595232964,-0.0157475509,-0.2690511942,0.0954618976,-0.4804834127,-0.0034313798,-0.0483374000,0.0373484455,0.1139038503,-0.5152106881,-0.5112231374,0.6785852313,
7598.268,0.1831110567,-0.1220740378,0.8545182943,0.0780053139,0.0065919980,-1.0079653263,-0.1351359636,-0.0504165776,-0.3956419528,0.0020758584,0.0084666088,-0.0108532310,0.0375487059,0.1289983243,-0.9910392165,0.0058332966,0.3662221134,-0.3662221134,-0.8545182943,0.9132359028,0.0942411572,-0.4195684791,-0.3255714476,0.4547258019,-0.3695181012,0.0176552534,-0.0232176632,0.0098683238,0.4750820994,-0.2853273153,-0.7959583998,-0.2440872639,0.3662221134,-0.3662221134,-0.8545182943,0.9132359028,0.0942411572,-0.4195684791,-0.3255714476,0.4547258019,-0.3695181012,0.0176552534,-0.0232176632,0.0098683238,0.4750820994,-0.2853273153,-0.7959583998,-0.2440872639,0.0000000000,-0.7324442267,0.0000000000,-0.5874202847,-0.8600115776,-0.0141605884,-0.2728354633,0.1021759734,-0.4860988259,-0.0047343969,-0.0487485528,0.0386625379,0.1140718758,-0.5152009726,-0.5110995770,0.6786575317,
7598.281,0.1831110567,-0.1220740378,0.8545182943,0.0794702023,0.0086672567,-1.0078432560,-0.1308633685,-0.0529801324,-0.3933225572,0.0035488680,0.0105328308,-0.0107305050,0.0375448652,0.1290653199,-0.9910306334,0.0058308258,0.3051851094,-0.3051851094,-0.9155552983,0.9129917026,0.0908230841,-0.4190801680,-0.3263038993,0.4596087635,-0.3733024001,0.0174013972,-0.0266198814,0.0103414059,0.4750947356,-0.2853202522,-0.7959563136,-0.2440782636,0.3051851094,-0.3051851094,-0.9155552983,0.9129917026,0.0908230841,-0.4190801680,-0.3263038993,0.4596087635,-0.3733024001,0.0174013972,-0.0266198814,0.0103414059,0.4750947356,-0.2853202522,-0.7959563136,-0.2440782636,0.2441480756,-0.4882961512,0.2441480756,-0.5869320035,-0.8594012260,-0.0139164403,-0.2624591887,0.1064485610,-0.4951322973,-0.0042961240,-0.0480842590,0.0386247560,0.1142764464,-0.5152361989,-0.5109258294,0.6787269711,
7598.294,0.1831110567,-0.1220740378,0.8545182943,0.0792260543,0.0086672567,-1.0091860294,-0.1337931454,-0.0512710959,-0.3972289264,0.0033145100,0.0105238911,-0.0120725036,0.0375404097,0.1290940344,-0.9910270572,0.0058268439,0.3051851094,-0.3051851094,-0.9155552983,0.9123813510,0.0915555283,-0.4192022383,-0.3254493773,0.4563127458,-0.3762321770,0.0167831779,-0.0258754566,0.0102058053,0.4751096070,-0.2853001654,-0.7959591746,-0.2440631837,0.3051851094,-0.3051851094,-0.9155552983,0.9123813510,0.0915555283,-0.4192022383,-0.3254493773,0.4563127458,-0.3762321770,0.0167831779,-0.0258754566,0.0102058053,0.4751096070,-0.2853001654,-0.7959591746,-0.2440631837,0.0000000000,-0.4882961512,0.0000000000,-0.5891293287,-0.8517105579,-0.0141605884,-0.2705160677,0.1090121195,-0.4824365973,-0.0065533519,-0.0403339863,0.0381352156,0.1144325063,-0.5152401328,-0.5108023286,0.6787910461,
7598.307,0.1831110567,-0.1220740378,0.9155552983,0.0794702023,0.0083010346,-1.0089418888,-0.1304971427,-0.0496841334,-0.3939329088,0.0035671219,0.0101513825,-0.0118277073,0.0375365131,0.1291104108,-0.9910250902,0.0058237966,0.3051851094,-0.3051851094,-0.9765923023,0.9136021137,0.0919217542,-0.4188360274,-0.3247169554,0.4528946877,-0.3775750101,0.0179954171,-0.0255081877,0.0105546415,0.4751273692,-0.2852658927,-0.7959660292,-0.2440463603,0.3051851094,-0.3051851094,-0.9765923023,0.9136021137,0.0919217542,-0.4188360274,-0.3247169554,0.4528946877,-0.3775750101,0.0179954171,-0.0255081877,0.0105546415,0.4751273692,-0.2852658927,-0.7959660292,-0.2440463603,0.0000000000,-0.3662221134,0.0000000000,-0.5874202847,-0.8596453667,-0.0117191076,-0.2732017040,0.1019318253,-0.4879299402,-0.0049282312,-0.0481933355,0.0403338671,0.1146170348,-0.5152509212,-0.5106722116,0.6788493395,
7598.320,0.1831110567,-0.1220740378,0.8545182943,0.0795922726,0.0063478500,-1.0089418888,-0.1368449926,-0.0488296151,-0.4000366330,0.0036970004,0.0082007851,-0.0118271112,0.0375325792,0.1290916800,-0.9910276532,0.0058238651,0.3051851094,-0.3051851094,-0.9765923023,0.9132359028,0.0924100503,-0.4189580977,-0.3289895356,0.4553361535,-0.3761101067,0.0176216364,-0.0250214115,0.0104164183,0.4751425087,-0.2852364480,-0.7959715128,-0.2440334857,0.3051851094,-0.3051851094,-0.9765923023,0.9132359028,0.0924100503,-0.4189580977,-0.3289895356,0.4553361535,-0.3761101067,0.0176216364,-0.0250214115,0.0104164183,0.4751425087,-0.2852364480,-0.7959715128,-0.2440334857,0.0000000000,-0.3662221134,0.1220740378,-0.5868098736,-0.8595232964,-0.0137943663,-0.2724692523,0.1015655994,-0.4829249084,-0.0043859482,-0.0480074286,0.0380265079,0.1147881076,-0.5152649283,-0.5105444789,0.6789059043,
7598.333,0.2441480756,-0.1220740378,0.8545182943,0.0803247169,0.0063478500,-1.0085756779,-0.1381878108,-0.0501724295,-0.3989379704,0.0044334605,0.0082139755,-0.0114606023,0.0375297591,0.1290866137,-0.9910284877,0.0058299559,0.1831110567,-0.3662221134,-0.9155552983,0.9139683247,0.0935087129,-0.4181035757,-0.3285012245,0.4563127458,-0.3714712858,0.0183480382,-0.0239291564,0.0112567246,0.4751492143,-0.2852275670,-0.7959702611,-0.2440349907,0.1831110567,-0.3662221134,-0.9155552983,0.9139683247,0.0935087129,-0.4181035757,-0.3285012245,0.4563127458,-0.3714712858,0.0183480382,-0.0239291564,0.0112567246,0.4751492143,-0.2852275670,-0.7959702611,-0.2440349907,0.3662221134,-0.3662221134,0.1220740378,-0.5625171661,-0.8496353030,-0.0166020691,-0.2761314809,0.0000000000,-0.4912259281,0.0197806358,-0.0380120277,0.0349516571,0.1151594073,-0.5153819919,-0.5102952123,0.6789414287,
7598.346,0.2441480756,-0.1831110567,0.9155552983,0.0797143504,0.0036622211,-1.0072329044,-0.1372112185,-0.0496841334,-0.3939329088,0.0038402379,0.0055555347,-0.0101165771,0.0375195555,0.1290748864,-0.9910302758,0.0058418890,0.1831110567,-0.3662221134,-0.9155552983,0.9143345356,0.0933866426,-0.4183477163,-0.3232520521,0.4563127458,-0.3703726232,0.0187084079,-0.0240567997,0.0109988153,0.4751541018,-0.2852247357,-0.7959669232,-0.2440395653,0.1831110567,-0.3662221134,-0.9155552983,0.9143345356,0.0933866426,-0.4183477163,-0.3232520521,0.4563127458,-0.3703726232,0.0187084079,-0.0240567997,0.0109988153,0.4751541018,-0.2852247357,-0.7959669232,-0.2440395653,0.3662221134,-0.3662221134,0.1220740378,-0.5626392365,-0.8517105579,-0.0167241432,-0.2812585831,0.0001220740,-0.4941557050,0.0195289850,-0.0399771929,0.0345638059,0.1155223697,-0.5154910684,-0.5100550056,0.6789776087,
