Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
8330.792,0.1831110567,0.0000000000,0.9155552983,0.0786156803,0.0050050355,-1.0095522404,-0.1386761069,-0.0493179113,-0.3973509967,0.0019353852,0.0065400098,-0.0124969482,0.0379994139,0.1189877838,-0.9922766089,0.0053301197,0.1220740378,-0.3051851094,-0.7324442267,0.9007843137,0.1015655994,-0.4458144009,-0.3371684849,0.4632709622,-0.3764763474,0.0181140304,-0.0194716752,0.0086176693,0.4642975628,-0.2839762866,-0.8042491674,-0.2391897291,0.1220740378,-0.3051851094,-0.7324442267,0.9007843137,0.1015655994,-0.4458144009,-0.3371684849,0.4632709622,-0.3764763474,0.0181140304,-0.0194716752,0.0086176693,0.4642975628,-0.2839762866,-0.8042491674,-0.2391897291,0.0000000000,-0.7324442267,0.3051851094,-0.5805841088,-0.8672139645,-0.0313730277,-0.4018677473,0.1113315225,-0.4945219159,-0.1521836519,0.0346260667,0.0287492834,-0.1407189518,0.4408334196,0.5796293616,-0.6709225178,
8330.805,0.1220740378,15.5644397736,0.9155552983,0.0769066438,0.0057374798,-1.0084536076,-0.1348918080,-0.0480971709,-0.3983275890,-0.0024791062,0.0072698556,-0.0116100311,0.0393454507,0.1190054491,-0.9922211170,0.0054912264,0.2441480756,-0.3051851094,-0.7324442267,0.9011505246,0.1022980437,-0.4461806118,-0.3343607783,0.4620502293,-0.3790398836,0.0184732080,-0.0187344626,0.0082390606,0.4643052816,-0.2839720249,-0.8042467833,-0.2391877323,0.2441480756,-0.3051851094,-0.7324442267,0.9011505246,0.1022980437,-0.4461806118,-0.3343607783,0.4620502293,-0.3790398836,0.0184732080,-0.0187344626,0.0082390606,0.4643052816,-0.2839720249,-0.8042467833,-0.2391877323,0.0000000000,-0.7324442267,0.3051851094,-0.5781426430,-0.8598895073,-0.0334482864,-0.4021118879,0.0986358225,-0.4997711182,-0.1490133405,0.0416166782,0.0264821574,-0.1404544860,0.4410179555,0.5794061422,-0.6710494161,
8330.818,0.1220740378,0.0000000000,0.9155552983,0.0783715323,0.0057374798,-1.0086977482,-0.1380657405,-0.0471205786,-0.3986938000,-0.0010043457,0.0072677759,-0.0118533969,0.0393406935,0.1190005466,-0.9922218323,0.0054894094,0.1831110567,-0.3051851094,-0.7324442267,0.8993194103,0.1007110849,-0.4461806118,-0.3339945674,0.4637592733,-0.3711050749,0.0166361332,-0.0203145370,0.0082293153,0.4643053412,-0.2839916945,-0.8042368293,-0.2391977906,0.1831110567,-0.3051851094,-0.7324442267,0.8993194103,0.1007110849,-0.4461806118,-0.3339945674,0.4637592733,-0.3711050749,0.0166361332,-0.0203145370,0.0082293153,0.4643053412,-0.2839916945,-0.8042368293,-0.2391977906,0.0000000000,-0.7324442267,0.2441480756,-0.5796075463,-0.8613544106,-0.0336924344,-0.4023560286,0.0958281234,-0.4997711182,-0.1497612000,0.0398227572,0.0260478109,-0.1401961148,0.4412007928,0.5791848302,-0.6711742878,
8330.831,0.1220740378,-0.0610370189,0.8545182943,0.0787377581,0.0063478500,-1.0086977482,-0.1374553740,-0.0461439863,-0.3955198824,-0.0006195083,0.0078722117,-0.0118518472,0.0393318385,0.1189909875,-0.9922233820,0.0054849698,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.1019318253,-0.4466688931,-0.3324075937,0.4624164701,-0.3726920485,0.0179781318,-0.0190922469,0.0077398419,0.4643019140,-0.2840063274,-0.8042312860,-0.2392057180,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.1019318253,-0.4466688931,-0.3324075937,0.4624164701,-0.3726920485,0.0179781318,-0.0190922469,0.0077398419,0.4643019140,-0.2840063274,-0.8042312860,-0.2392057180,0.0000000000,-0.7324442267,0.3051851094,-0.5794854760,-0.8662374020,-0.0334482864,-0.4011352956,0.1098666340,-0.5000152588,-0.1489283144,0.0346133113,0.0261005089,-0.1399323344,0.4413747489,0.5789697170,-0.6713006496,
8330.844,0.1220740378,0.0000000000,0.8545182943,0.0787377581,0.0051271096,-1.0089418888,-0.1385540366,-0.0463881344,-0.3985717297,-0.0006115288,0.0066516064,-0.0120953918,0.0393279195,0.1189797297,-0.9922249913,0.0054841130,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.1009552330,-0.4466688931,-0.3366802037,0.4659565985,-0.3789178133,0.0179767013,-0.0200625509,0.0077388585,0.4643016458,-0.2840143144,-0.8042281866,-0.2392072380,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.1009552330,-0.4466688931,-0.3366802037,0.4659565985,-0.3789178133,0.0179767013,-0.0200625509,0.0077388585,0.4643016458,-0.2840143144,-0.8042281866,-0.2392072380,0.0000000000,-0.7324442267,0.3051851094,-0.5810724497,-0.8598895073,-0.0332041383,-0.4057741165,0.1093783379,-0.5000152588,-0.1497876346,0.0406254530,0.0261539817,-0.1396536082,0.4415469766,0.5787558556,-0.6714296937,
8330.857,0.1220740378,0.0000000000,0.8545182943,0.0780053139,0.0050050355,-1.0084536076,-0.1364787817,-0.0471205786,-0.3984496593,-0.0013325810,0.0065302569,-0.0116062164,0.0393221788,0.1189863160,-0.9922242761,0.0054840543,0.1220740378,-0.3662221134,-0.7324442267,0.8995636106,0.1014435291,-0.4467909932,-0.3325296938,0.4640034139,-0.3798944056,0.0168784261,-0.0195755959,0.0076169670,0.4642991424,-0.2840211987,-0.8042258024,-0.2392118871,0.1220740378,-0.3662221134,-0.7324442267,0.8995636106,0.1014435291,-0.4467909932,-0.3325296938,0.4640034139,-0.3798944056,0.0168784261,-0.0195755959,0.0076169670,0.4642991424,-0.2840211987,-0.8042258024,-0.2392118871,0.0000000000,-0.7324442267,0.3051851094,-0.5805841088,-0.8662374020,-0.0332041383,-0.4051637352,0.1001007110,-0.4990386665,-0.1485922337,0.0339514613,0.0259627700,-0.1393899620,0.4417190254,0.5785421133,-0.6715556383,
8330.870,0.1220740378,0.0000000000,0.9155552983,0.0782494619,0.0057374798,-1.0088198185,-0.1362346262,-0.0460219122,-0.4030884802,-0.0010781810,0.0072606523,-0.0119715929,0.0393172763,0.1189720109,-0.9922263026,0.0054818559,0.1831110567,-0.3662221134,-0.7324442267,0.9004181027,0.1018097475,-0.4467909932,-0.3317972422,0.4643696547,-0.3783074319,0.0177325606,-0.0192073509,0.0076167583,0.4642973244,-0.2840294242,-0.8042227626,-0.2392156273,0.1831110567,-0.3662221134,-0.7324442267,0.9004181027,0.1018097475,-0.4467909932,-0.3317972422,0.4643696547,-0.3783074319,0.0177325606,-0.0192073509,0.0076167583,0.4642973244,-0.2840294242,-0.8042227626,-0.2392156273,0.0000000000,-0.7324442267,0.2441480756,-0.5814386606,-0.8594012260,-0.0332041383,-0.4052858055,0.1093783379,-0.4997711182,-0.1487339735,0.0404573679,0.0257738233,-0.1391174197,0.4418878257,0.5783312917,-0.6716824770,
8330.883,0.1220740378,-0.0610370189,0.9155552983,0.0770287216,0.0065919980,-1.0083315372,-0.1341593713,-0.0457777642,-0.4035767615,-0.0022722706,0.0081088860,-0.0114811659,0.0393044427,0.1189621538,-0.9922279716,0.0054767509,0.1831110567,-0.3662221134,-0.7934812307,0.9013947248,0.1005890071,-0.4469130635,-0.3354594707,0.4633930624,-0.3772087693,0.0187086463,-0.0204290450,0.0074934065,0.4642967582,-0.2840323448,-0.8042213321,-0.2392181158,0.1831110567,-0.3662221134,-0.7934812307,0.9013947248,0.1005890071,-0.4469130635,-0.3354594707,0.4633930624,-0.3772087693,0.0187086463,-0.0204290450,0.0074934065,0.4642967582,-0.2840323448,-0.8042213321,-0.2392181158,0.0610370189,-0.7324442267,0.2441480756,-0.5805841088,-0.8596453667,-0.0313730277,-0.4019898176,0.0979033783,-0.4902493358,-0.1471735835,0.0398872495,0.0273980461,-0.1388499886,0.4420515597,0.5781168342,-0.6718147993,
8330.896,0.1220740378,0.0000000000,0.8545182943,0.0786156803,0.0051271096,-1.0090639591,-0.1367229223,-0.0469985045,-0.4044312835,-0.0006769523,0.0066441651,-0.0122129321,0.0393002629,0.1189644411,-0.9922278523,0.0054764254,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.0996124148,-0.4471572042,-0.3344828784,0.4629047513,-0.3812372088,0.0179750323,-0.0213926136,0.0072505176,0.4642996192,-0.2840327322,-0.8042216301,-0.2392111868,0.1831110567,-0.3662221134,-0.7324442267,0.9006622434,0.0996124148,-0.4471572042,-0.3344828784,0.4629047513,-0.3812372088,0.0179750323,-0.0213926136,0.0072505176,0.4642996192,-0.2840327322,-0.8042216301,-0.2392111868,0.0000000000,-0.7324442267,0.3051851094,-0.5781426430,-0.8596453667,-0.0322275460,-0.4023560286,0.1097445637,-0.4961088896,-0.1440293789,0.0395609140,0.0263515413,-0.1385811716,0.4422165155,0.5779076219,-0.6719417572,
