Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
9589.049,0.1220740378,0.0000000000,0.9155552983,0.0792260543,0.0052491836,-1.0089418888,-0.1468550712,-0.0429700613,-0.4210333526,0.0021512136,0.0074182423,-0.0119181871,0.0381844677,0.1142655611,-0.9928234220,0.0054870774,0.1220740378,-0.3051851094,-0.7934812307,0.8940702677,0.1101107821,-0.4603411853,-0.3348490894,0.4610736370,-0.3835566342,0.0185874104,-0.0199043527,0.0053688586,0.4573540986,-0.2832370102,-0.8080069423,-0.2407741398,0.1220740378,-0.3051851094,-0.7934812307,0.8940702677,0.1101107821,-0.4603411853,-0.3348490894,0.4610736370,-0.3835566342,0.0185874104,-0.0199043527,0.0053688586,0.4573540986,-0.2832370102,-0.8080069423,-0.2407741398,0.0000000000,-0.7324442267,0.3051851094,-0.5827814341,-0.8637958765,-0.0158696249,-0.4056520164,0.1250038147,-0.4950102270,-0.0551311970,-0.0145998597,0.0145124719,0.1128979027,-0.4727679491,-0.5403006673,0.6870684028,
9589.062,0.1220740378,0.0000000000,0.9155552983,0.0783715323,0.0040284432,-1.0089418888,-0.1462447047,-0.0452894680,-0.4135868549,0.0012951866,0.0062003257,-0.0119183064,0.0381852724,0.1142264009,-0.9928278923,0.0054870616,0.1220740378,-0.3051851094,-0.7934812307,0.8935819864,0.1096224859,-0.4607074261,-0.3352153003,0.4646137953,-0.3840449154,0.0180995464,-0.0203967616,0.0050018728,0.4573558569,-0.2832283080,-0.8080095649,-0.2407715917,0.1220740378,-0.3051851094,-0.7934812307,0.8935819864,0.1096224859,-0.4607074261,-0.3352153003,0.4646137953,-0.3840449154,0.0180995464,-0.0203967616,0.0050018728,0.4573558569,-0.2832283080,-0.8080095649,-0.2407715917,0.0000000000,-0.7324442267,0.3051851094,-0.5820490122,-0.8618426919,-0.0178228095,-0.3980834484,0.1015655994,-0.4998931885,-0.0541858673,-0.0127742887,0.0124247596,0.1128165200,-0.4728009999,-0.5402092934,0.6871307492,
9589.075,0.1831110567,0.0000000000,0.9155552983,0.0788598284,0.0048829615,-1.0095522404,-0.1463667750,-0.0472426526,-0.4176152945,0.0017798170,0.0070640696,-0.0125290155,0.0381866507,0.1142117456,-0.9928295016,0.0054912935,0.1220740378,-0.3051851094,-0.7324442267,0.8929715753,0.1091341898,-0.4607074261,-0.3337504268,0.4622943699,-0.3818475902,0.0174880028,-0.0208777562,0.0050021708,0.4573587477,-0.2832250297,-0.8080109358,-0.2407658398,0.1220740378,-0.3051851094,-0.7324442267,0.8929715753,0.1091341898,-0.4607074261,-0.3337504268,0.4622943699,-0.3818475902,0.0174880028,-0.0208777562,0.0050021708,0.4573587477,-0.2832250297,-0.8080109358,-0.2407658398,0.0610370189,-0.7324442267,0.2441480756,-0.5824152231,-0.8637958765,-0.0177007355,-0.4033326209,0.1027863398,-0.4975737929,-0.0543524623,-0.0148465037,0.0124028884,0.1127283871,-0.4728176892,-0.5401281118,0.6871975660,
9589.088,0.1220740378,0.0000000000,0.9155552983,0.0789819062,0.0052491836,-1.0093080997,-0.1481978893,-0.0466322824,-0.4130985439,0.0018975511,0.0074270330,-0.0122851729,0.0381891504,0.1141841635,-0.9928326011,0.0054888618,0.1831110567,-0.3051851094,-0.7934812307,0.8929715753,0.1102328598,-0.4613177776,-0.3338724971,0.4646137953,-0.3863643408,0.0174905062,-0.0197814107,0.0043956339,0.4573609829,-0.2832099497,-0.8080173135,-0.2407575995,0.1831110567,-0.3051851094,-0.7934812307,0.8929715753,0.1102328598,-0.4613177776,-0.3338724971,0.4646137953,-0.3863643408,0.0174905062,-0.0197814107,0.0043956339,0.4573609829,-0.2832099497,-0.8080173135,-0.2407575995,0.0000000000,-0.7324442267,0.3051851094,-0.5822931528,-0.8624531031,-0.0156254768,-0.4038209319,0.1052278206,-0.4958647490,-0.0540198684,-0.0136293173,0.0143339634,0.1126276925,-0.4728313982,-0.5400495529,0.6872665286,
9589.101,0.1220740378,-0.0610370189,0.9155552983,0.0792260543,0.0054933317,-1.0088198185,-0.1469771415,-0.0461439863,-0.4160283208,0.0021466166,0.0076667201,-0.0117965341,0.0381871276,0.1141536161,-0.9928362370,0.0054851873,0.1220740378,-0.3051851094,-0.7324442267,0.8933377862,0.1097445637,-0.4613177776,-0.3335062861,0.4642475545,-0.3811151385,0.0178570151,-0.0202650577,0.0043974817,0.4573608935,-0.2832119167,-0.8080171943,-0.2407558560,0.1220740378,-0.3051851094,-0.7324442267,0.8933377862,0.1097445637,-0.4613177776,-0.3335062861,0.4642475545,-0.3811151385,0.0178570151,-0.0202650577,0.0043974817,0.4573608935,-0.2832119167,-0.8080171943,-0.2407558560,0.0000000000,-0.7324442267,0.2441480756,-0.5820490122,-0.8637958765,-0.0156254768,-0.4023560286,0.1041291580,-0.4951322973,-0.0535795093,-0.0150895119,0.0141908526,0.1125354543,-0.4728429019,-0.5399729013,0.6873337030,
9589.114,0.1220740378,0.0000000000,0.9765923023,0.0789819062,0.0051271096,-1.0086977482,-0.1470992118,-0.0467543565,-0.4259163141,0.0018978938,0.0072986856,-0.0116748214,0.0381896757,0.1141226590,-0.9928398132,0.0054833572,0.1220740378,-0.3051851094,-0.7324442267,0.8927274346,0.1098666340,-0.4611957073,-0.3315531015,0.4641254842,-0.3809930682,0.0172474384,-0.0201392919,0.0045220554,0.4573599100,-0.2832151055,-0.8080168366,-0.2407551259,0.1220740378,-0.3051851094,-0.7324442267,0.8927274346,0.1098666340,-0.4611957073,-0.3315531015,0.4641254842,-0.3809930682,0.0172474384,-0.0201392919,0.0045220554,0.4573599100,-0.2832151055,-0.8080168366,-0.2407551259,0.0000000000,-0.7324442267,0.2441480756,-0.5830256343,-0.8594012260,-0.0175786614,-0.3982055187,0.1250038147,-0.4834131896,-0.0543474555,-0.0108199120,0.0121043921,0.1124025807,-0.4728333056,-0.5399197936,0.6874039173,
9589.127,0.1220740378,-0.0610370189,0.9155552983,0.0783715323,0.0047608875,-1.0083315372,-0.1458784789,-0.0462660603,-0.4215216637,0.0012964606,0.0069316421,-0.0113078952,0.0381854214,0.1140960604,-0.9928429723,0.0054814140,0.1831110567,-0.3051851094,-0.7934812307,0.8932157159,0.1090121195,-0.4602191150,-0.3299661279,0.4611957073,-0.3828241825,0.0177346468,-0.0209903792,0.0054979026,0.4573646188,-0.2832036018,-0.8080207705,-0.2407469749,0.1831110567,-0.3051851094,-0.7934812307,0.8932157159,0.1090121195,-0.4602191150,-0.3299661279,0.4611957073,-0.3828241825,0.0177346468,-0.0209903792,0.0054979026,0.4573646188,-0.2832036018,-0.8080207705,-0.2407469749,0.0000000000,-0.7324442267,0.3051851094,-0.5820490122,-0.8633075953,-0.0175786614,-0.4051637352,0.1016876772,-0.4912259281,-0.0531665087,-0.0148488283,0.0119716525,0.1122978255,-0.4728432000,-0.5398496985,0.6874693036,
9589.140,0.1220740378,0.0000000000,0.9155552983,0.0783715323,0.0046388134,-1.0090639591,-0.1474654377,-0.0444349498,-0.4233527780,0.0012950003,0.0068093678,-0.0120403767,0.0381864682,0.1140399501,-0.9928493500,0.0054792403,0.1220740378,-0.2441480756,-0.7324442267,0.8941923380,0.1093783379,-0.4613177776,-0.3344828784,0.4619281590,-0.3847773671,0.0187056065,-0.0206173956,0.0043901801,0.4573737085,-0.2831920385,-0.8080219626,-0.2407390773,0.1220740378,-0.2441480756,-0.7324442267,0.8941923380,0.1093783379,-0.4613177776,-0.3344828784,0.4619281590,-0.3847773671,0.0187056065,-0.0206173956,0.0043901801,0.4573737085,-0.2831920385,-0.8080219626,-0.2407390773,0.0000000000,-0.7324442267,0.2441480756,-0.5786309242,-0.8595232964,-0.0158696249,-0.3973509967,0.1022980437,-0.4839015007,-0.0495570898,-0.0111789703,0.0135408565,0.1121999994,-0.4728482664,-0.5397804976,0.6875361204,
9589.153,0.1220740378,0.0000000000,0.9155552983,0.0778832361,0.0047608875,-1.0093080997,-0.1473433673,-0.0477309488,-0.4244514406,0.0008077398,0.0069306456,-0.0122844577,0.0381860696,0.1140271053,-0.9928508401,0.0054782913,0.0610370189,-0.3051851094,-0.7324442267,0.8944364786,0.1099887118,-0.4605853558,-0.3344828784,0.4610736370,-0.3842890859,0.0189473629,-0.0200083330,0.0051180124,0.4573781788,-0.2831823826,-0.8080239296,-0.2407353967,0.0610370189,-0.3051851094,-0.7324442267,0.8944364786,0.1099887118,-0.4605853558,-0.3344828784,0.4610736370,-0.3842890859,0.0189473629,-0.0200083330,0.0051180124,0.4573781788,-0.2831823826,-0.8080239296,-0.2407353967,0.0000000000,-0.7324442267,0.2441480756,-0.5822931528,-0.8594012260,-0.0170903653,-0.3984496593,0.1250038147,-0.4961088896,-0.0530164242,-0.0111788511,0.0121867210,0.1120918021,-0.4728544354,-0.5397132635,0.6876022816,
