Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1684.321,0.1220740378,0.0000000000,0.9155552983,0.0455336161,0.0518814661,-1.0112613440,-0.1414838135,-0.0349131748,-0.4533829689,0.0008225478,0.0052759126,-0.0133486390,0.0256658457,0.1528341323,-0.9878467917,-0.0196185876,0.0000000000,-0.1831110567,0.3051851094,0.9598681331,-0.2402417064,-0.1532029212,-0.2282784581,0.3277688026,-0.3121433258,0.0050640702,0.0121873915,0.0050311536,0.6381379962,-0.3239499032,-0.6887790561,-0.1168882772,0.0000000000,-0.1831110567,0.3051851094,0.9598681331,-0.2402417064,-0.1532029212,-0.2282784581,0.3277688026,-0.3121433258,0.0050640702,0.0121873915,0.0050311536,0.6381379962,-0.3239499032,-0.6887790561,-0.1168882772,0.0000000000,-0.7934812307,-0.9155552983,-0.8594012260,-0.0010986663,-0.2719809711,-0.9258095026,0.2656331062,-0.4316537976,0.0980385542,0.0497360788,0.0127518475,0.3360568881,0.6382709742,0.4849945903,-0.4946709573,
1684.334,0.1220740378,0.0000000000,0.9155552983,0.0449232459,0.0523697622,-1.0111392736,-0.1390423328,-0.0356456190,-0.4568010569,0.0002066866,0.0057671815,-0.0132266283,0.0256685112,0.1528430581,-0.9878453612,-0.0196164679,-0.0610370189,-0.1831110567,0.3051851094,0.9590136409,-0.2401196361,-0.1532029212,-0.2263252735,0.3287453949,-0.3100680709,0.0042073131,0.0122966468,0.0050387681,0.6381298900,-0.3239727020,-0.6887711883,-0.1169162244,-0.0610370189,-0.1831110567,0.3051851094,0.9590136409,-0.2401196361,-0.1532029212,-0.2263252735,0.3287453949,-0.3100680709,0.0042073131,0.0122966468,0.0050387681,0.6381298900,-0.3239727020,-0.6887711883,-0.1169162244,0.0000000000,-0.7934812307,-0.9765923023,-0.8611102700,-0.0009765923,-0.2500076294,-0.9292275906,0.2602618635,-0.2500076294,0.0963822603,0.0497727394,0.0345636904,0.3366081715,0.6377718449,0.4855678082,-0.4943776727,
1684.347,0.0610370189,0.0000000000,0.9155552983,0.0454115421,0.0526139103,-1.0108951330,-0.1392864734,-0.0365001373,-0.4589983821,0.0006870553,0.0060023852,-0.0129832625,0.0256735180,0.1528632194,-0.9878421426,-0.0196197610,-0.1220740378,-0.1831110567,0.3051851094,0.9593798518,-0.2396313399,-0.1538132876,-0.2263252735,0.3286233246,-0.3122653961,0.0045712590,0.0127676278,0.0044416040,0.6381196976,-0.3239929676,-0.6887664199,-0.1169435680,-0.1220740378,-0.1831110567,0.3051851094,0.9593798518,-0.2396313399,-0.1538132876,-0.2263252735,0.3286233246,-0.3122653961,0.0045712590,0.0127676278,0.0044416040,0.6381196976,-0.3239929676,-0.6887664199,-0.1169435680,0.0610370189,-0.8545182943,-0.9155552983,-0.8594012260,-0.0300302133,-0.2500076294,-0.9336222410,0.2573320866,-0.2500076294,0.0981383324,0.0207889453,0.0343928337,0.3371094763,0.6372420788,0.4861749113,-0.4941224158,
1684.360,0.0610370189,0.0000000000,0.9155552983,0.0445570238,0.0534684286,-1.0108951330,-0.1397747695,-0.0372325815,-0.4593645930,-0.0001711175,0.0068437979,-0.0129840374,0.0256768875,0.1528910995,-0.9878375530,-0.0196252372,-0.0610370189,-0.1220740378,0.3051851094,0.9588915706,-0.2396313399,-0.1527146250,-0.2257148921,0.3241065741,-0.3112888038,0.0040782094,0.0127529055,0.0055355579,0.6381186843,-0.3239980638,-0.6887623072,-0.1169592217,-0.0610370189,-0.1220740378,0.3051851094,0.9588915706,-0.2396313399,-0.1527146250,-0.2257148921,0.3241065741,-0.3112888038,0.0040782094,0.0127529055,0.0055355579,0.6381186843,-0.3239980638,-0.6887623072,-0.1169592217,0.0610370189,-0.8545182943,-0.9765923023,-0.8594012260,-0.0294198431,-0.2504959404,-0.9294717312,0.2585528195,-0.4375133514,0.0981838107,0.0214753710,0.0337371528,0.3369410336,0.6373676062,0.4859240055,-0.4943219423,
1684.373,0.1220740378,-0.0610370189,0.9155552983,0.0454115421,0.0538346507,-1.0108951330,-0.1424604058,-0.0385753959,-0.4561906755,0.0006861836,0.0072058216,-0.0129840970,0.0256764572,0.1529224515,-0.9878326654,-0.0196267124,-0.0610370189,-0.0610370189,0.3662221134,0.9598681331,-0.2395092696,-0.1525925547,-0.2275460064,0.3276467323,-0.3040864170,0.0050504804,0.0128687769,0.0056414008,0.6381180882,-0.3240305185,-0.6887411475,-0.1169970855,-0.0610370189,-0.0610370189,0.3662221134,0.9598681331,-0.2395092696,-0.1525925547,-0.2275460064,0.3276467323,-0.3040864170,0.0050504804,0.0128687769,0.0056414008,0.6381180882,-0.3240305185,-0.6887411475,-0.1169970855,0.0610370189,-0.8545182943,-0.9765923023,-0.8613544106,0.0000000000,-0.2719809711,-0.9289834499,0.2675862908,-0.4290902317,0.0962527394,0.0508069694,0.0121942759,0.3368397355,0.6375115514,0.4857056439,-0.4944202304,
1684.386,0.1220740378,-0.0610370189,0.9155552983,0.0449232459,0.0529801324,-1.0106509924,-0.1408734471,-0.0361339152,-0.4630268216,0.0002029873,0.0063512512,-0.0127397776,0.0256741121,0.1529313475,-0.9878314734,-0.0196268950,0.0000000000,-0.1220740378,0.3662221134,0.9591357112,-0.2382885218,-0.1533249915,-0.2241279334,0.3272804916,-0.3083590269,0.0043148994,0.0140800476,0.0049046725,0.6381147504,-0.3240521848,-0.6887294054,-0.1170244738,0.0000000000,-0.1220740378,0.3662221134,0.9591357112,-0.2382885218,-0.1533249915,-0.2241279334,0.3272804916,-0.3083590269,0.0043148994,0.0140800476,0.0049046725,0.6381147504,-0.3240521848,-0.6887294054,-0.1170244738,0.0000000000,-0.4882961512,-0.9155552983,-0.8597674370,-0.0012207404,-0.2500076294,-0.9295938015,0.2580645084,-0.4287240207,0.0978757143,0.0494919047,0.0340624452,0.3367405832,0.6376556158,0.4854620397,-0.4945409298,
1684.399,0.1220740378,-0.0610370189,0.9155552983,0.0433362834,0.0532242805,-1.0115054846,-0.1413617432,-0.0352793969,-0.4589983821,-0.0013708696,0.0065943673,-0.0135936737,0.0256675817,0.1529246271,-0.9878324866,-0.0196285807,0.0000000000,-0.1220740378,0.3662221134,0.9601123333,-0.2391430438,-0.1524704695,-0.2269356400,0.3260597587,-0.3118991554,0.0052881241,0.0132192075,0.0057498217,0.6381161213,-0.3240589499,-0.6887229085,-0.1170370951,0.0000000000,-0.1220740378,0.3662221134,0.9601123333,-0.2391430438,-0.1524704695,-0.2269356400,0.3260597587,-0.3118991554,0.0052881241,0.0132192075,0.0057498217,0.6381161213,-0.3240589499,-0.6887229085,-0.1170370951,0.0610370189,-0.4882961512,-0.8545182943,-0.8608661294,-0.0009765923,-0.2719809711,-0.9355754256,0.2656331062,-0.4265266955,0.0967812538,0.0496337712,0.0120939612,0.3366385698,0.6378077865,0.4852649271,-0.4946079254,
1684.412,0.0610370189,-0.0610370189,0.9155552983,0.0451673940,0.0537125766,-1.0110172033,-0.1409955174,-0.0365001373,-0.4598529041,0.0004641302,0.0070684738,-0.0131058693,0.0256669801,0.1529364884,-0.9878306389,-0.0196355861,0.0000000000,-0.0610370189,0.3051851094,0.9597460628,-0.2401196361,-0.1535691470,-0.2277901620,0.3266701400,-0.3106784225,0.0049164891,0.0122308433,0.0046372116,0.6381181479,-0.3240672350,-0.6887139082,-0.1170557886,0.0000000000,-0.0610370189,0.3051851094,0.9597460628,-0.2401196361,-0.1535691470,-0.2277901620,0.3266701400,-0.3106784225,0.0049164891,0.0122308433,0.0046372116,0.6381181479,-0.3240672350,-0.6887139082,-0.1170557886,0.0000000000,-0.6714072227,-0.8545182943,-0.8633075953,-0.0302743614,-0.2500076294,-0.9276406169,0.2618488073,-0.4289681613,0.0943788886,0.0203937292,0.0339244306,0.3365014791,0.6379114389,0.4850547314,-0.4947734177,
1684.425,0.1220740378,-0.0610370189,0.8545182943,0.0438245796,0.0527359843,-1.0105289221,-0.1417279541,-0.0366222113,-0.4575335085,-0.0008677952,0.0060926005,-0.0126171112,0.0256618280,0.1529509425,-0.9878284931,-0.0196356867,0.0000000000,-0.1220740378,0.3662221134,0.9604785442,-0.2393871844,-0.1519821733,-0.2304757833,0.3305765092,-0.3114108741,0.0056455731,0.0129578412,0.0062123239,0.6381187439,-0.3240841627,-0.6887016296,-0.1170778126,0.0000000000,-0.1220740378,0.3662221134,0.9604785442,-0.2393871844,-0.1519821733,-0.2304757833,0.3305765092,-0.3114108741,0.0056455731,0.0129578412,0.0062123239,0.6381187439,-0.3240841627,-0.6887016296,-0.1170778126,0.0000000000,-0.6103702188,-0.9765923023,-0.8596453667,-0.0004882962,-0.2724692523,-0.9277626872,0.2620929480,-0.4373912811,0.0980488062,0.0500923246,0.0114530623,0.3363573253,0.6380969882,0.4848057628,-0.4948763549,
