Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1191.413,0.1220740378,0.0000000000,0.9155552983,0.0457777642,0.0523697622,-1.0115054846,-0.1463667750,-0.0415051728,-0.4674215019,0.0012739711,0.0058272108,-0.0135805011,0.0256464221,0.1572772413,-0.9871522784,-0.0194880534,0.0610370189,-0.1220740378,0.3051851094,0.9624317288,-0.1933652759,-0.1988586038,-0.2404858619,0.3332621157,-0.3237403631,0.0073167682,0.0199140012,0.0076683462,0.6193861365,-0.3042435050,-0.7148025036,-0.1144436076,0.0610370189,-0.1220740378,0.3051851094,0.9624317288,-0.1933652759,-0.1988586038,-0.2404858619,0.3332621157,-0.3237403631,0.0073167682,0.0199140012,0.0076683462,0.6193861365,-0.3042435050,-0.7148025036,-0.1144436076,0.0000000000,-0.6714072227,-0.9155552983,-0.0570085756,-0.0006103702,-0.2826013863,-0.4819483161,0.2607501447,-0.4287240207,0.2473023385,0.0455190055,0.6688661575,0.1317777932,0.3956251740,0.9052390456,-0.0830712020,
1191.426,0.1220740378,0.0000000000,0.9155552983,0.0443128757,0.0518814661,-1.0104068518,-0.1477095932,-0.0426038392,-0.4596087635,-0.0001945831,0.0053437576,-0.0124818683,0.0256486014,0.1573150903,-0.9871461987,-0.0194843896,-0.0610370189,-0.1831110567,0.3662221134,0.9615771770,-0.1915341616,-0.1992248297,-0.2373119295,0.3331400454,-0.3202002048,0.0064502954,0.0216948241,0.0072982311,0.6193705797,-0.3043118715,-0.7147719264,-0.1145362929,-0.0610370189,-0.1831110567,0.3662221134,0.9615771770,-0.1915341616,-0.1992248297,-0.2373119295,0.3331400454,-0.3202002048,0.0064502954,0.0216948241,0.0072982311,0.6193705797,-0.3043118715,-0.7147719264,-0.1145362929,0.0610370189,-0.6714072227,-0.9155552983,-0.0566423535,-0.0017090365,-0.2893154621,-0.4843897820,0.2617267370,-0.4315317273,0.2472236454,0.0442792848,0.6623011231,0.1316246688,0.3953164816,0.9054149389,-0.0828653872,
1191.439,0.1220740378,-0.0610370189,0.9155552983,0.0439466536,0.0532242805,-1.0113834143,-0.1456343234,-0.0396740623,-0.4605853558,-0.0005517937,0.0066850185,-0.0134580731,0.0256444700,0.1573251784,-0.9871446490,-0.0194856040,-0.1220740378,-0.1831110567,0.3662221134,0.9613330364,-0.1914120913,-0.1980040967,-0.2398754805,0.3315531015,-0.3244727850,0.0061926842,0.0217645764,0.0085114986,0.6193584204,-0.3043655455,-0.7147465944,-0.1146182716,-0.1220740378,-0.1831110567,0.3662221134,0.9613330364,-0.1914120913,-0.1980040967,-0.2398754805,0.3315531015,-0.3244727850,0.0061926842,0.0217645764,0.0085114986,0.6193584204,-0.3043655455,-0.7147465944,-0.1146182716,0.1220740378,-0.7324442267,-0.9155552983,-0.0578630939,-0.0031739250,-0.2872402072,-0.4843897820,0.2501296997,-0.4372692108,0.2455957830,0.0427090675,0.6645113230,0.1314857751,0.3949671984,0.9056047201,-0.0826785266,
1191.452,0.1220740378,-0.0610370189,0.9155552983,0.0429700613,0.0529801324,-1.0094301701,-0.1495406926,-0.0405285805,-0.4624164701,-0.0015150383,0.0064399987,-0.0115042925,0.0256380029,0.1573285609,-0.9871443510,-0.0194869954,-0.1220740378,-0.1220740378,0.3662221134,0.9610888958,-0.1884823143,-0.1988586038,-0.2396313399,0.3338724971,-0.3233741224,0.0059312582,0.0246282220,0.0076446384,0.6193455458,-0.3044243157,-0.7147171497,-0.1147147119,-0.1220740378,-0.1220740378,0.3662221134,0.9610888958,-0.1884823143,-0.1988586038,-0.2396313399,0.3338724971,-0.3233741224,0.0059312582,0.0246282220,0.0076446384,0.6193455458,-0.3044243157,-0.7147171497,-0.1147147119,0.1220740378,-0.7934812307,-0.9155552983,-0.0548112430,0.0000000000,-0.2861415446,-0.4804834127,0.2500076294,-0.4336069822,0.2482081950,0.0457242876,0.6657575369,0.1313410997,0.3946304321,0.9057921767,-0.0824618936,
1191.465,0.1220740378,-0.0610370189,0.9155552983,0.0437025055,0.0546891689,-1.0105289221,-0.1469771415,-0.0399182104,-0.4546037316,-0.0007726550,0.0081400536,-0.0126029849,0.0256338920,0.1573330909,-0.9871435761,-0.0194920972,-0.0610370189,-0.0610370189,0.3662221134,0.9603564739,-0.1906796545,-0.1998351961,-0.2370677888,0.3358256817,-0.3242286444,0.0051826239,0.0223784149,0.0066479743,0.6193360686,-0.3044896722,-0.7146824002,-0.1148096025,-0.0610370189,-0.0610370189,0.3662221134,0.9603564739,-0.1906796545,-0.1998351961,-0.2370677888,0.3358256817,-0.3242286444,0.0051826239,0.0223784149,0.0066479743,0.6193360686,-0.3044896722,-0.7146824002,-0.1148096025,0.0000000000,-0.4882961512,-0.9765923023,-0.0546891689,-0.0009765923,-0.2812585831,-0.4832911193,0.2504959404,-0.4364146888,0.2478546202,0.0445895195,0.6707993746,0.1311798990,0.3942849338,0.9059864879,-0.0822366700,
1191.478,0.1220740378,0.0000000000,0.9155552983,0.0437025055,0.0535905026,-1.0116275549,-0.1441694349,-0.0393078402,-0.4575335085,-0.0007731840,0.0070381388,-0.0137017965,0.0256346352,0.1573444307,-0.9871417284,-0.0194933657,-0.0610370189,-0.0610370189,0.3051851094,0.9612109661,-0.1890926808,-0.2003234923,-0.2375560850,0.3337504268,-0.3182470202,0.0060175657,0.0238944143,0.0061418712,0.6193234921,-0.3045552075,-0.7146481276,-0.1149162054,-0.0610370189,-0.0610370189,0.3051851094,0.9612109661,-0.1890926808,-0.2003234923,-0.2375560850,0.3337504268,-0.3182470202,0.0060175657,0.0238944143,0.0061418712,0.6193234921,-0.3045552075,-0.7146481276,-0.1149162054,0.0000000000,-0.4882961512,-0.7934812307,-0.0566423535,0.0000000000,-0.2813806534,-0.4804834127,0.2519608140,-0.4375133514,0.2454610467,0.0453818217,0.6708258986,0.1310375780,0.3939709067,0.9061641097,-0.0820115283,
1191.491,0.1220740378,0.0000000000,0.8545182943,0.0440687276,0.0531022064,-1.0110172033,-0.1441694349,-0.0391857661,-0.4576555789,-0.0004089326,0.0065483898,-0.0130916238,0.0256360192,0.1573593765,-0.9871392846,-0.0194935407,0.0610370189,-0.0610370189,0.2441480756,0.9641407728,-0.1906796545,-0.2000793517,-0.2404858619,0.3349711597,-0.3223975301,0.0089256763,0.0222361088,0.0063592643,0.6193171144,-0.3046020865,-0.7146188021,-0.1150087342,0.0610370189,-0.0610370189,0.2441480756,0.9641407728,-0.1906796545,-0.2000793517,-0.2404858619,0.3349711597,-0.3223975301,0.0089256763,0.0222361088,0.0063592643,0.6193171144,-0.3046020865,-0.7146188021,-0.1150087342,0.0000000000,-0.4882961512,-0.8545182943,-0.0556657612,0.0000000000,-0.2873622775,-0.4824365973,0.2551347315,-0.4371471405,0.2459644377,0.0452018082,0.6650027633,0.1308785826,0.3936589956,0.9063434005,-0.0817818493,
1191.504,0.1220740378,0.0000000000,0.9155552983,0.0457777642,0.0524918362,-1.0113834143,-0.1480758041,-0.0373546556,-0.4578997195,0.0012892894,0.0059401542,-0.0134581923,0.0256405436,0.1573264599,-0.9871445298,-0.0194924902,0.0610370189,-0.1220740378,0.3051851094,0.9625537992,-0.1927549094,-0.1991027594,-0.2368236333,0.3346049488,-0.3206884861,0.0073233843,0.0201116055,0.0073157400,0.6193087101,-0.3046629429,-0.7145858407,-0.1150976494,0.0610370189,-0.1220740378,0.3051851094,0.9625537992,-0.1927549094,-0.1991027594,-0.2368236333,0.3346049488,-0.3206884861,0.0073233843,0.0201116055,0.0073157400,0.6193087101,-0.3046629429,-0.7145858407,-0.1150976494,0.0000000000,-0.4882961512,-0.9765923023,-0.0578630939,0.0000000000,-0.2813806534,-0.4843897820,0.2545243800,-0.4365367591,0.2433494627,0.0450287089,0.6711246967,0.1307460964,0.3933270872,0.9065262079,-0.0815644786,
1191.517,0.1220740378,0.0000000000,0.9155552983,0.0457777642,0.0531022064,-1.0112613440,-0.1505172849,-0.0394299142,-0.4591204524,0.0012785234,0.0065496303,-0.0133366585,0.0256456099,0.1573099196,-0.9871469736,-0.0194925163,0.0610370189,-0.1220740378,0.3051851094,0.9627979398,-0.1917783171,-0.2005676478,-0.2434156388,0.3365581334,-0.3252052367,0.0075526834,0.0210339576,0.0058379769,0.6192990541,-0.3047113419,-0.7145606279,-0.1151774973,0.0610370189,-0.1220740378,0.3051851094,0.9627979398,-0.1917783171,-0.2005676478,-0.2434156388,0.3365581334,-0.3252052367,0.0075526834,0.0210339576,0.0058379769,0.6192990541,-0.3047113419,-0.7145606279,-0.1151774973,0.0610370189,-0.6103702188,-0.9155552983,-0.0576189458,-0.0002441481,-0.2817468941,-0.4804834127,0.2526932657,-0.4297006130,0.2431935370,0.0446234569,0.6708924770,0.1306192130,0.3929968774,0.9067062736,-0.0813568234,
