Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
924.094,0.1220740378,0.0000000000,0.9155552983,0.0448011719,0.0532242805,-1.0108951330,-0.1473433673,-0.0384533219,-0.4605853558,-0.0002408326,0.0064107254,-0.0130069852,0.0258613285,0.1536273807,-0.9877175689,-0.0196754318,0.0000000000,-0.1831110567,0.3662221134,0.9674367309,-0.1677297354,-0.1972716451,-0.2409741580,0.3358256817,-0.3140965104,0.0046825409,0.0122385174,0.0054690838,0.6133484244,-0.3193218410,-0.7068573236,-0.1497776359,0.0000000000,-0.1831110567,0.3662221134,0.9674367309,-0.1677297354,-0.1972716451,-0.2409741580,0.3358256817,-0.3140965104,0.0046825409,0.0122385174,0.0054690838,0.6133484244,-0.3193218410,-0.7068573236,-0.1497776359,0.0000000000,-0.5493331552,-0.9765923023,-0.0079348125,-0.0319833979,-0.2815027237,-0.4951322973,0.2669759095,-0.4370250702,0.0384018980,0.0774351507,0.7114141583,0.0076308493,0.2682186067,0.9616446495,-0.0590197295,
924.107,0.1220740378,0.0000000000,0.9155552983,0.0448011719,0.0526139103,-1.0113834143,-0.1447798163,-0.0367442854,-0.4576555789,-0.0002440400,0.0058032833,-0.0134953260,0.0258625541,0.1536206305,-0.9877185822,-0.0196739156,0.0000000000,-0.1220740378,0.3662221134,0.9675588012,-0.1687063277,-0.1975158006,-0.2424390465,0.3363139629,-0.3169042170,0.0048038960,0.0112654269,0.0052176863,0.6133534908,-0.3193125129,-0.7068588138,-0.1497690380,0.0000000000,-0.1220740378,0.3662221134,0.9675588012,-0.1687063277,-0.1975158006,-0.2424390465,0.3363139629,-0.3169042170,0.0048038960,0.0112654269,0.0052176863,0.6133534908,-0.3193125129,-0.7068588138,-0.1497690380,0.0000000000,-0.6103702188,-0.9765923023,-0.0078127384,-0.0264900662,-0.2858974040,-0.5000152588,0.2711264491,-0.4253059626,0.0385156572,0.0828508139,0.7070283890,0.0076366994,0.2682285011,0.9616441727,-0.0589810908,
924.120,0.1220740378,0.0000000000,0.9155552983,0.0454115421,0.0521256141,-1.0104068518,-0.1484420300,-0.0368663594,-0.4575335085,0.0003599077,0.0053200573,-0.0125187635,0.0258648992,0.1535985619,-0.9877219796,-0.0196714941,0.0000000000,-0.1831110567,0.3662221134,0.9676808715,-0.1688283980,-0.1980040967,-0.2435377091,0.3349711597,-0.3197118938,0.0049277544,0.0111472905,0.0047343820,0.6133564115,-0.3192932606,-0.7068693042,-0.1497486532,0.0000000000,-0.1831110567,0.3662221134,0.9676808715,-0.1688283980,-0.1980040967,-0.2435377091,0.3349711597,-0.3197118938,0.0049277544,0.0111472905,0.0047343820,0.6133564115,-0.3192932606,-0.7068693042,-0.1497486532,0.0000000000,-0.6714072227,-0.9765923023,-0.0080568865,-0.0324716941,-0.2822351754,-0.4961088896,0.2675862908,-0.4238410592,0.0382795334,0.0769020021,0.7106866837,0.0076359333,0.2682320178,0.9616422653,-0.0589980818,
924.133,0.1220740378,0.0000000000,0.9155552983,0.0444349498,0.0535905026,-1.0104068518,-0.1423383355,-0.0349131748,-0.4583880007,-0.0006182455,0.0067827590,-0.0125189424,0.0258654524,0.1535791159,-0.9877249599,-0.0196729638,-0.0610370189,-0.1831110567,0.3662221134,0.9674367309,-0.1685842425,-0.1967833489,-0.2467116266,0.3400982618,-0.3197118938,0.0046839118,0.0113924146,0.0059564114,0.6133573055,-0.3192877471,-0.7068723440,-0.1497429311,-0.0610370189,-0.1831110567,0.3662221134,0.9674367309,-0.1685842425,-0.1967833489,-0.2467116266,0.3400982618,-0.3197118938,0.0046839118,0.0113924146,0.0059564114,0.6133573055,-0.3192877471,-0.7068723440,-0.1497429311,0.1220740378,-0.7324442267,-0.9155552983,-0.0078127384,-0.0314951017,-0.2812585831,-0.4975737929,0.2740562260,-0.4371471405,0.0385396108,0.0779167861,0.7116582990,0.0076363743,0.2682660818,0.9616312981,-0.0590190068,
924.146,0.1220740378,0.0000000000,0.9155552983,0.0454115421,0.0526139103,-1.0121158361,-0.1428266317,-0.0344248787,-0.4547258019,0.0003523529,0.0058092587,-0.0142280459,0.0258675851,0.1535492241,-0.9877295494,-0.0196717605,-0.0610370189,-0.1831110567,0.3051851094,0.9663380980,-0.1691946238,-0.1970275044,-0.2397534102,0.3376567960,-0.3177587092,0.0035852790,0.0107765049,0.0057159513,0.6133558750,-0.3192842901,-0.7068750262,-0.1497426331,-0.0610370189,-0.1831110567,0.3051851094,0.9663380980,-0.1691946238,-0.1970275044,-0.2397534102,0.3376567960,-0.3177587092,0.0035852790,0.0107765049,0.0057159513,0.6133558750,-0.3192842901,-0.7068750262,-0.1497426331,0.0000000000,-0.7324442267,-0.9155552983,-0.0078127384,-0.0312509537,-0.2815027237,-0.4959868193,0.2666096985,-0.4206671417,0.0385553725,0.0781731084,0.7114120722,0.0076421001,0.2682699263,0.9616298079,-0.0590270571,
924.159,0.1220740378,-0.0610370189,0.9155552983,0.0446790978,0.0528580584,-1.0107730627,-0.1481978893,-0.0356456190,-0.4593645930,-0.0003721118,0.0060549192,-0.0128848553,0.0258628055,0.1535132676,-0.9877352715,-0.0196725633,-0.0610370189,-0.1220740378,0.3662221134,0.9660939574,-0.1685842425,-0.1980040967,-0.2453688234,0.3363139629,-0.3145847917,0.0033408999,0.0113888234,0.0047373176,0.6133574843,-0.3192814589,-0.7068757415,-0.1497393847,-0.0610370189,-0.1220740378,0.3662221134,0.9660939574,-0.1685842425,-0.1980040967,-0.2453688234,0.3363139629,-0.3145847917,0.0033408999,0.0113888234,0.0047373176,0.6133574843,-0.3192814589,-0.7068757415,-0.1497393847,0.0000000000,-0.7324442267,-0.9155552983,-0.0090334788,-0.0323496200,-0.2812585831,-0.4969634116,0.2727133930,-0.4199346900,0.0373718813,0.0771060735,0.7116510272,0.0076544173,0.2682924867,0.9616221786,-0.0590475835,
924.172,0.1831110567,0.0000000000,0.9155552983,0.0449232459,0.0526139103,-1.0112613440,-0.1453901827,-0.0351573229,-0.4602191150,-0.0001317561,0.0058242492,-0.0133726597,0.0258630626,0.1534842551,-0.9877399206,-0.0196663700,0.0000000000,-0.1831110567,0.3662221134,0.9671925902,-0.1683401018,-0.1970275044,-0.2436597794,0.3397320509,-0.3127536774,0.0044401884,0.0116350204,0.0057149082,0.6133555770,-0.3192903399,-0.7068719864,-0.1497455686,0.0000000000,-0.1831110567,0.3662221134,0.9671925902,-0.1683401018,-0.1970275044,-0.2436597794,0.3397320509,-0.3127536774,0.0044401884,0.0116350204,0.0057149082,0.6133555770,-0.3192903399,-0.7068719864,-0.1497455686,0.0610370189,-0.6103702188,-0.9765923023,-0.0078127384,-0.0324716941,-0.2857753336,-0.4922025204,0.2700277865,-0.4331187010,0.0385836922,0.0770198181,0.7071307898,0.0076436894,0.2683183551,0.9616139531,-0.0590639301,
924.185,0.1220740378,0.0000000000,0.9155552983,0.0448011719,0.0529801324,-1.0113834143,-0.1468550712,-0.0312509537,-0.4630268216,-0.0002569705,0.0061914660,-0.0134948492,0.0258628149,0.1533976942,-0.9877533317,-0.0196679030,0.0000000000,-0.1220740378,0.3051851094,0.9670705199,-0.1683401018,-0.1972716451,-0.2417065948,0.3404645026,-0.3118991554,0.0043147206,0.0116269439,0.0054624975,0.6133549809,-0.3193008900,-0.7068644166,-0.1497617662,0.0000000000,-0.1220740378,0.3051851094,0.9670705199,-0.1683401018,-0.1972716451,-0.2417065948,0.3404645026,-0.3118991554,0.0043147206,0.0116269439,0.0054624975,0.6133549809,-0.3193008900,-0.7068644166,-0.1497617662,0.1220740378,-0.5493331552,-0.9765923023,-0.0014648885,-0.0322275460,-0.2819910347,-0.4980620742,0.2666096985,-0.4209112823,0.0448022373,0.0773140341,0.7109155655,0.0075750630,0.2683104277,0.9616163969,-0.0590706021,
924.198,0.1220740378,0.0000000000,0.9765923023,0.0444349498,0.0521256141,-1.0104068518,-0.1463667750,-0.0328379162,-0.4560686052,-0.0006252266,0.0053423829,-0.0125181079,0.0258619878,0.1533266157,-0.9877643585,-0.0196669213,0.0000000000,-0.1831110567,0.3662221134,0.9667043090,-0.1685842425,-0.1965392083,-0.2426831871,0.3352153003,-0.3134861290,0.0039492249,0.0113866180,0.0061940700,0.6133568287,-0.3192963600,-0.7068660259,-0.1497556418,0.0000000000,-0.1831110567,0.3662221134,0.9667043090,-0.1685842425,-0.1965392083,-0.2426831871,0.3352153003,-0.3134861290,0.0039492249,0.0113866180,0.0061940700,0.6133568287,-0.3192963600,-0.7068660259,-0.1497556418,0.1220740378,-0.5493331552,-0.9155552983,-0.0081789605,-0.0322275460,-0.2817468941,-0.4985503852,0.2656331062,-0.4218878746,0.0380788483,0.0773631707,0.7111546993,0.0075642001,0.2683062553,0.9616162181,-0.0590930991,
