Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
4388.386,0.0610370189,0.0000000000,0.9155552983,0.0443128757,0.0518814661,-1.0110172033,-0.1441694349,-0.0347911008,-0.4434949756,0.0014972836,0.0049887374,-0.0130348206,0.0248724874,0.1589158028,-0.9869043231,-0.0197524037,0.1220740378,-0.2441480756,0.3662221134,0.9627979398,-0.2056947500,-0.1709036529,-0.2260811180,0.3161717653,-0.2921231687,0.0046380162,0.0214082450,0.0044673532,0.6314567924,-0.3092908263,-0.7016180754,-0.1165196598,0.1220740378,-0.2441480756,0.3662221134,0.9627979398,-0.2056947500,-0.1709036529,-0.2260811180,0.3161717653,-0.2921231687,0.0046380162,0.0214082450,0.0044673532,0.6314567924,-0.3092908263,-0.7016180754,-0.1165196598,0.1220740378,0.1220740378,-0.7324442267,-0.0664082766,-0.0019531846,-0.2512283623,-0.4843897820,0.2287667543,-0.4297006130,0.1754375398,0.0008968189,0.7190896273,0.1168314815,0.2700234950,0.9552431703,-0.0345171243,
4388.399,0.0610370189,-0.0610370189,0.9155552983,0.0450453199,0.0534684286,-1.0108951330,-0.1440473646,-0.0352793969,-0.4419080317,0.0022246987,0.0065637007,-0.0129135251,0.0248749033,0.1588644683,-0.9869123697,-0.0197592285,0.0610370189,-0.1831110567,0.4882961512,0.9629200101,-0.2076479346,-0.1707815826,-0.2200994939,0.3184911609,-0.2911465764,0.0047580600,0.0194415748,0.0045951009,0.6314369440,-0.3093881905,-0.7015770674,-0.1166149676,0.0610370189,-0.1831110567,0.4882961512,0.9629200101,-0.2076479346,-0.1707815826,-0.2200994939,0.3184911609,-0.2911465764,0.0047580600,0.0194415748,0.0045951009,0.6314369440,-0.3093881905,-0.7015770674,-0.1166149676,0.0000000000,0.0000000000,-0.7324442267,-0.0644550920,-0.0019531846,-0.2544023097,-0.4646137953,0.2309640795,-0.4299447536,0.1774092168,0.0009508580,0.7159109116,0.1168320477,0.2700546384,0.9552330971,-0.0345497429,
4388.412,0.0610370189,-0.0610370189,0.9155552983,0.0449232459,0.0534684286,-1.0110172033,-0.1431928426,-0.0369884335,-0.4453260899,0.0020982400,0.0065517761,-0.0130363703,0.0248775724,0.1588421464,-0.9869158864,-0.0197653305,-0.0610370189,-0.0610370189,0.5493331552,0.9636524320,-0.2088686824,-0.1706595123,-0.2208319306,0.3171483576,-0.2916348875,0.0054878592,0.0182190388,0.0047055930,0.6314240098,-0.3094894886,-0.7015283704,-0.1167097911,-0.0610370189,-0.0610370189,0.5493331552,0.9636524320,-0.2088686824,-0.1706595123,-0.2208319306,0.3171483576,-0.2916348875,0.0054878592,0.0182190388,0.0047055930,0.6314240098,-0.3094894886,-0.7015283704,-0.1167097911,0.0610370189,-0.4882961512,-0.7934812307,-0.0637226477,-0.0004882962,-0.2500076294,-0.4648579359,0.2349925190,-0.4334849119,0.1782496870,0.0024546683,0.7202785015,0.1168780848,0.2701023817,0.9552124739,-0.0345897190,
4388.425,0.1220740378,-0.1220740378,0.9155552983,0.0444349498,0.0539567247,-1.0123599768,-0.1463667750,-0.0384533219,-0.4464247525,0.0016189329,0.0070368126,-0.0143788457,0.0248730481,0.1588248909,-0.9869185686,-0.0197680909,-0.1220740378,0.0000000000,0.5493331552,0.9657276869,-0.2077700198,-0.1699270606,-0.2243720889,0.3180028796,-0.2912686467,0.0075560808,0.0193069130,0.0054138452,0.6314146519,-0.3095894754,-0.7014756203,-0.1168121397,-0.1220740378,0.0000000000,0.5493331552,0.9657276869,-0.2077700198,-0.1699270606,-0.2243720889,0.3180028796,-0.2912686467,0.0075560808,0.0193069130,0.0054138452,0.6314146519,-0.3095894754,-0.7014756203,-0.1168121397,0.0610370189,-0.4272591472,-0.8545182943,-0.0626239851,-0.0021973327,-0.2500076294,-0.4627826810,0.2343821526,-0.4257942438,0.1794254184,0.0008201450,0.7202590704,0.1169043407,0.2701411843,0.9551964402,-0.0346414745,
4388.438,0.0610370189,-0.1220740378,0.9155552983,0.0419934690,0.0550553910,-1.0101627111,-0.1440473646,-0.0390636921,-0.4456923008,-0.0008020550,0.0081155449,-0.0121816397,0.0248645470,0.1588269174,-0.9869184494,-0.0197795108,-0.0610370189,-0.0610370189,0.5493331552,0.9645069838,-0.2065492719,-0.1688283980,-0.2227851152,0.3154393137,-0.2909024358,0.0063285232,0.0205143541,0.0064921081,0.6314053535,-0.3096791506,-0.7014287710,-0.1169060320,-0.0610370189,-0.0610370189,0.5493331552,0.9645069838,-0.2065492719,-0.1688283980,-0.2227851152,0.3154393137,-0.2909024358,0.0063285232,0.0205143541,0.0064921081,0.6314053535,-0.3096791506,-0.7014287710,-0.1169060320,0.0610370189,-0.4882961512,-0.8545182943,-0.0637226477,-0.0009765923,-0.2522049546,-0.4668111205,0.2367015630,-0.4266487658,0.1784237027,0.0020911396,0.7180374265,0.1169436797,0.2701802254,0.9551790357,-0.0346843228,
4388.451,0.0610370189,-0.1220740378,0.8545182943,0.0428479873,0.0548112430,-1.0093080997,-0.1413617432,-0.0410168767,-0.4458144009,0.0000689924,0.0078521259,-0.0113272071,0.0248588659,0.1588739008,-0.9869106412,-0.0197891593,0.0610370189,-0.1220740378,0.5493331552,0.9664601684,-0.2069154978,-0.1679738760,-0.2199774235,0.3202002048,-0.2900479138,0.0082757473,0.0201385468,0.0073260069,0.6313944459,-0.3097815216,-0.7013761401,-0.1170089766,0.0610370189,-0.1220740378,0.5493331552,0.9664601684,-0.2069154978,-0.1679738760,-0.2199774235,0.3202002048,-0.2900479138,0.0082757473,0.0201385468,0.0073260069,0.6313944459,-0.3097815216,-0.7013761401,-0.1170089766,0.1220740378,-0.4882961512,-0.7324442267,-0.0656758323,-0.0001220740,-0.2502517700,-0.4687643051,0.2397534102,-0.4331187010,0.1766115427,0.0029844455,0.7199552655,0.1170053780,0.2702435851,0.9551518559,-0.0347308256,
4388.464,0.1220740378,-0.0610370189,0.8545182943,0.0402844325,0.0533463545,-1.0102847815,-0.1406292915,-0.0373546556,-0.4423963130,-0.0024759509,0.0063861236,-0.0123031735,0.0248497557,0.1588739008,-0.9869109392,-0.0197911859,0.1831110567,-0.1831110567,0.5493331552,0.9659718871,-0.2087466121,-0.1663869172,-0.2221747488,0.3180028796,-0.2939542830,0.0077841282,0.0183111578,0.0088901073,0.6313899159,-0.3098601103,-0.7013332844,-0.1170822233,0.1831110567,-0.1831110567,0.5493331552,0.9659718871,-0.2087466121,-0.1663869172,-0.2221747488,0.3180028796,-0.2939542830,0.0077841282,0.0183111578,0.0088901073,0.6313899159,-0.3098601103,-0.7013332844,-0.1170822233,0.0000000000,-0.4882961512,-0.7324442267,-0.0644550920,-0.0023194067,-0.2504959404,-0.4672994316,0.2407300025,-0.4282357395,0.1779493093,0.0008475520,0.7196816206,0.1170522198,0.2703088224,0.9551258087,-0.0347846597,
4388.477,0.1220740378,-0.1220740378,0.8545182943,0.0382091738,0.0537125766,-1.0096743107,-0.1423383355,-0.0380870998,-0.4401989877,-0.0045119151,0.0067492574,-0.0116911530,0.0248305984,0.1588745266,-0.9869111776,-0.0197958127,0.2441480756,-0.1831110567,0.4882961512,0.9645069838,-0.2091128230,-0.1661427617,-0.2255928218,0.3140965104,-0.2951750159,0.0063142776,0.0179436058,0.0091089308,0.6313899159,-0.3099130988,-0.7013008595,-0.1171362996,0.2441480756,-0.1831110567,0.4882961512,0.9645069838,-0.2091128230,-0.1661427617,-0.2255928218,0.3140965104,-0.2951750159,0.0063142776,0.0179436058,0.0091089308,0.6313899159,-0.3099130988,-0.7013008595,-0.1171362996,0.0000000000,0.1220740378,-0.7324442267,-0.0633564293,0.0000000000,-0.2578203678,-0.4682760239,0.2343821526,-0.4199346900,0.1790081114,0.0031822398,0.7123671770,0.1170293987,0.2703404427,0.9551193714,-0.0347903110,
4388.490,0.1220740378,-0.0610370189,0.9155552983,0.0388195440,0.0539567247,-1.0093080997,-0.1442915201,-0.0344248787,-0.4427625239,-0.0038766600,0.0069894865,-0.0113240480,0.0248173662,0.1588121951,-0.9869213700,-0.0198012907,0.1831110567,-0.2441480756,0.4272591472,0.9658498168,-0.2098452747,-0.1649220288,-0.2235175669,0.3211767972,-0.3001800478,0.0076507926,0.0172000825,0.0103099942,0.6313847303,-0.3099779487,-0.7012652159,-0.1172062382,0.1831110567,-0.2441480756,0.4272591472,0.9658498168,-0.2098452747,-0.1649220288,-0.2235175669,0.3211767972,-0.3001800478,0.0076507926,0.0172000825,0.0103099942,0.6313847303,-0.3099779487,-0.7012652159,-0.1172062382,0.0000000000,0.2441480756,-0.9765923023,-0.0626239851,-0.0006103702,-0.2590411007,-0.4648579359,0.2500076294,-0.4218878746,0.1796618402,0.0026088841,0.7111659050,0.1169821918,0.2704351544,0.9550976157,-0.0348087177,
