Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
5179.748,0.1220740378,-0.0610370189,0.9155552983,0.0435804315,0.0550553910,-1.0093080997,-0.1451460272,-0.0405285805,-0.4480117261,-0.0004674643,0.0078111328,-0.0113958716,0.0254721623,0.1570597440,-0.9871836305,-0.0198762193,0.0000000000,-0.0610370189,0.2441480756,0.9471724629,-0.2418286651,-0.2093569785,-0.2070375681,0.3084810972,-0.3095797598,0.0048018098,0.0148358196,0.0061485469,0.6188086271,-0.3184446394,-0.7117506862,-0.0965563580,0.0000000000,-0.0610370189,0.2441480756,0.9471724629,-0.2418286651,-0.2093569785,-0.2070375681,0.3084810972,-0.3095797598,0.0048018098,0.0148358196,0.0061485469,0.6188086271,-0.3184446394,-0.7117506862,-0.0965563580,0.1220740378,-0.4882961512,-0.9765923023,-0.0156254768,-0.0371105075,-0.2988372445,-0.4834131896,0.2504959404,-0.4286019504,0.0690913200,0.0981193185,0.6883518100,0.0195879433,0.3063912690,0.9486632943,-0.0776002333,
5179.761,0.1220740378,-0.0610370189,0.8545182943,0.0446790978,0.0537125766,-1.0100406408,-0.1419721097,-0.0393078402,-0.4509415030,0.0006344132,0.0064670034,-0.0121283531,0.0254713055,0.1570907980,-0.9871786833,-0.0198763181,0.0610370189,-0.0610370189,0.3662221134,0.9493697882,-0.2431714833,-0.2105777115,-0.2049623132,0.3090914786,-0.3166600466,0.0069926977,0.0134851933,0.0049082786,0.6188135147,-0.3184560835,-0.7117385864,-0.0965756029,0.0610370189,-0.0610370189,0.3662221134,0.9493697882,-0.2431714833,-0.2105777115,-0.2049623132,0.3090914786,-0.3166600466,0.0069926977,0.0134851933,0.0049082786,0.6188135147,-0.3184560835,-0.7117385864,-0.0965756029,0.0000000000,-0.4882961512,-0.9155552983,-0.0175786614,-0.0312509537,-0.3007904291,-0.4922025204,0.2507400811,-0.4372692108,0.0670678914,0.1038330346,0.6864245534,0.0195882823,0.3062524498,0.9487149715,-0.0775163844,
5179.774,0.0610370189,-0.0610370189,0.8545182943,0.0445570238,0.0538346507,-1.0108951330,-0.1412396580,-0.0377208777,-0.4517960250,0.0005163029,0.0065767542,-0.0129832029,0.0254705865,0.1571042538,-0.9871765375,-0.0198823716,0.1220740378,-0.0610370189,0.3051851094,0.9499801397,-0.2431714833,-0.2111880928,-0.2078920901,0.3131199181,-0.3166600466,0.0075939894,0.0134688914,0.0042778552,0.6188175082,-0.3184690475,-0.7117257714,-0.0966018513,0.1220740378,-0.0610370189,0.3051851094,0.9499801397,-0.2431714833,-0.2111880928,-0.2078920901,0.3131199181,-0.3166600466,0.0075939894,0.0134688914,0.0042778552,0.6188175082,-0.3184690475,-0.7117257714,-0.0966018513,0.0000000000,-0.4272591472,-0.7324442267,-0.0161137730,-0.0313730277,-0.3010345697,-0.4843897820,0.2519608140,-0.4265266955,0.0684324503,0.1035649329,0.6862090230,0.0195717234,0.3061447442,0.9487572908,-0.0774284005,
5179.787,0.0610370189,-0.0610370189,0.7934812307,0.0469985045,0.0532242805,-1.0108951330,-0.1445356607,-0.0368663594,-0.4547258019,0.0029502101,0.0059566982,-0.0129840374,0.0254749414,0.1570965648,-0.9871774912,-0.0198867638,0.1220740378,-0.0610370189,0.2441480756,0.9492477179,-0.2432935536,-0.2093569785,-0.2127750516,0.3128757477,-0.3106784225,0.0068486929,0.0133224428,0.0060810894,0.6188234091,-0.3184832931,-0.7117094994,-0.0966362208,0.1220740378,-0.0610370189,0.2441480756,0.9492477179,-0.2432935536,-0.2093569785,-0.2127750516,0.3128757477,-0.3106784225,0.0068486929,0.0133224428,0.0060810894,0.6188234091,-0.3184832931,-0.7117094994,-0.0966362208,0.0000000000,-0.4882961512,-0.9765923023,-0.0163579211,-0.0317392498,-0.3017670214,-0.4837794006,0.2509842217,-0.4276253581,0.0680965632,0.1030616313,0.6855031252,0.0195596330,0.3060153127,0.9488059878,-0.0773456246,
5179.800,0.1220740378,-0.0610370189,0.7934812307,0.0457777642,0.0511490218,-1.0105289221,-0.1446577311,-0.0385753959,-0.4539933503,0.0017278381,0.0038925447,-0.0126173496,0.0254751593,0.1571109146,-0.9871753454,-0.0198807772,0.0000000000,-0.1220740378,0.3051851094,0.9480269551,-0.2435377091,-0.2092349082,-0.2076479346,0.3129978478,-0.3073824346,0.0056205392,0.0130621046,0.0061911941,0.6188206673,-0.3185239434,-0.7116872668,-0.0966847241,0.0000000000,-0.1220740378,0.3051851094,0.9480269551,-0.2435377091,-0.2092349082,-0.2076479346,0.3129978478,-0.3073824346,0.0056205392,0.0130621046,0.0061911941,0.6188206673,-0.3185239434,-0.7116872668,-0.0966847241,0.0610370189,-0.8545182943,-0.9765923023,-0.0158696249,-0.0356456190,-0.3012787402,-0.4843897820,0.2561113238,-0.4297006130,0.0685486570,0.0990936607,0.6860029697,0.0195612740,0.3058997393,0.9488463998,-0.0773080066,
5179.813,0.1220740378,-0.0610370189,0.8545182943,0.0465102084,0.0527359843,-1.0107730627,-0.1427045465,-0.0378429517,-0.4533829689,0.0024546236,0.0054832771,-0.0128616095,0.0254778303,0.1571193784,-0.9871739745,-0.0198782515,0.0610370189,-0.1220740378,0.2441480756,0.9480269551,-0.2414624542,-0.2094790488,-0.2096011192,0.3139744401,-0.3111667335,0.0056085587,0.0151036829,0.0059343576,0.6188188195,-0.3185465932,-0.7116726637,-0.0967292562,0.0610370189,-0.1220740378,0.2441480756,0.9480269551,-0.2414624542,-0.2094790488,-0.2096011192,0.3139744401,-0.3111667335,0.0056085587,0.0151036829,0.0059343576,0.6188188195,-0.3185465932,-0.7116726637,-0.0967292562,0.0610370189,-0.7934812307,-0.7934812307,-0.0166020691,-0.0371105075,-0.2973723710,-0.4843897820,0.2524491251,-0.4355601668,0.0677892566,0.0975961238,0.6899160147,0.0195623171,0.3057907224,0.9488832355,-0.0772858933,
5179.826,0.1220740378,-0.1831110567,0.9155552983,0.0427259132,0.0551774651,-1.0090639591,-0.1429487020,-0.0356456190,-0.4514297843,-0.0012962222,0.0079164542,-0.0111514330,0.0254613813,0.1570910364,-0.9871787429,-0.0198857114,0.0610370189,-0.0610370189,0.3051851094,0.9472945333,-0.2403637767,-0.2092349082,-0.2099673450,0.3121433258,-0.3050630093,0.0048633814,0.0161746144,0.0061557591,0.6188200712,-0.3185786009,-0.7116503119,-0.0967801735,0.0610370189,-0.0610370189,0.3051851094,0.9472945333,-0.2403637767,-0.2092349082,-0.2099673450,0.3121433258,-0.3050630093,0.0048633814,0.0161746144,0.0061557591,0.6188200712,-0.3185786009,-0.7116503119,-0.0967801735,0.0000000000,-0.6103702188,-0.8545182943,-0.0157475509,-0.0371105075,-0.2972502708,-0.4914700687,0.2544023097,-0.4360484779,0.0685699433,0.0975544751,0.6900501251,0.0195434988,0.3056678772,0.9489260912,-0.0772518590,
5179.839,0.1220740378,-0.1220740378,0.9155552983,0.0422376171,0.0565202795,-1.0090639591,-0.1442915201,-0.0374767296,-0.4539933503,-0.0017594472,0.0092443675,-0.0111510158,0.0254499912,0.1570824534,-0.9871802330,-0.0198952612,0.0610370189,-0.0610370189,0.3662221134,0.9458296299,-0.2417065948,-0.2080141604,-0.2115543038,0.3094576895,-0.3024994731,0.0033895969,0.0148225576,0.0073489249,0.6188248992,-0.3186112046,-0.7116260529,-0.0968204737,0.0610370189,-0.0610370189,0.3662221134,0.9458296299,-0.2417065948,-0.2080141604,-0.2115543038,0.3094576895,-0.3024994731,0.0033895969,0.0148225576,0.0073489249,0.6188248992,-0.3186112046,-0.7116260529,-0.0968204737,0.1220740378,-0.5493331552,-0.9765923023,-0.0015869625,-0.0312509537,-0.2976165116,-0.4986724555,0.2559892535,-0.4355601668,0.0824090391,0.1033009142,0.6897267103,0.0194194298,0.3055207729,0.9489845634,-0.0771445334,
5179.852,0.1220740378,-0.1220740378,0.9155552983,0.0397961363,0.0578630939,-1.0099185705,-0.1427045465,-0.0347911008,-0.4537492096,-0.0041637495,0.0105659440,-0.0120049715,0.0254325476,0.1570455581,-0.9871862531,-0.0199096240,0.0610370189,-0.0610370189,0.3662221134,0.9459517002,-0.2445143014,-0.2081362307,-0.2080141604,0.3088473082,-0.3021332324,0.0035064220,0.0120186657,0.0071992278,0.6188300848,-0.3186512589,-0.7115983963,-0.0968587101,0.0610370189,-0.0610370189,0.3662221134,0.9459517002,-0.2445143014,-0.2081362307,-0.2080141604,0.3088473082,-0.3021332324,0.0035064220,0.0120186657,0.0071992278,0.6188300848,-0.3186512589,-0.7115983963,-0.0968587101,0.0000000000,0.0000000000,-0.9765923023,-0.0009765923,-0.0312509537,-0.3017670214,-0.4912259281,0.2539139986,-0.4375133514,0.0825945511,0.1031603515,0.6856313944,0.0192489605,0.3053892553,0.9490414858,-0.0770083070,
