Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
9253.025,0.1831110567,-0.0610370189,0.8545182943,0.0419934690,0.0522476882,-1.0133365393,-0.1396526992,-0.0399182104,-0.4349497855,-0.0024823807,0.0048927739,-0.0154485106,0.0258394238,0.1643829346,-0.9859844446,-0.0197060890,-0.0610370189,-0.2441480756,0.0610370189,0.5514084101,0.3690298200,-0.7707754970,-0.3783074319,0.4246955812,-0.4284798801,0.0088266134,0.0066886246,-0.0128628016,-0.2396005243,0.2067629397,0.9145757556,0.2522602379,-0.0610370189,-0.2441480756,0.0610370189,0.5514084101,0.3690298200,-0.7707754970,-0.3783074319,0.4246955812,-0.4284798801,0.0088266134,0.0066886246,-0.0128628016,-0.2396005243,0.2067629397,0.9145757556,0.2522602379,0.1220740378,-0.8545182943,-0.6714072227,-0.5156407356,-0.9377727509,-0.2502517700,-0.4333628416,0.1280556619,-0.4841456413,-0.0699641109,-0.0718657970,-0.0223193765,-0.1016813293,0.4678597152,0.6287422180,-0.6129394174,
9253.038,0.1220740378,0.0000000000,0.8545182943,0.0516373180,0.0542008728,-1.0093080997,-0.1379436702,-0.0382091738,-0.4410535097,0.0071216710,0.0068427324,-0.0114220381,0.0258592404,0.1643781811,-0.9859848619,-0.0197045356,-0.1220740378,-0.2441480756,0.1220740378,0.5528733134,0.3713492155,-0.7678456903,-0.3824579716,0.4260383844,-0.4310434163,0.0103089809,0.0089874566,-0.0099303126,-0.2395889461,0.2067627907,0.9145764112,0.2522686422,-0.1220740378,-0.2441480756,0.1220740378,0.5528733134,0.3713492155,-0.7678456903,-0.3824579716,0.4260383844,-0.4310434163,0.0103089809,0.0089874566,-0.0099303126,-0.2395889461,0.2067627907,0.9145764112,0.2522686422,0.1220740378,-0.9765923023,-0.7324442267,-0.5158848763,-0.9403362870,-0.2507400811,-0.4360484779,0.1274452955,-0.4903714061,-0.0701641440,-0.0744267702,-0.0229041278,-0.1016131938,0.4677894711,0.6287560463,-0.6129900217,
9253.051,0.1220740378,-0.0610370189,0.9155552983,0.0434583575,0.0533463545,-1.0093080997,-0.1361125559,-0.0391857661,-0.4403210580,-0.0010463968,0.0059896260,-0.0114215016,0.0258540083,0.1643912196,-0.9859827757,-0.0197043922,-0.1831110567,-0.1220740378,0.0610370189,0.5467696190,0.3702505529,-0.7680898309,-0.3785516024,0.4249397218,-0.4275032878,0.0042309761,0.0078535378,-0.0101730227,-0.2395714670,0.2067624032,0.9145768881,0.2522837520,-0.1831110567,-0.1220740378,0.0610370189,0.5467696190,0.3702505529,-0.7680898309,-0.3785516024,0.4249397218,-0.4275032878,0.0042309761,0.0078535378,-0.0101730227,-0.2395714670,0.2067624032,0.9145768881,0.2522837520,0.0000000000,-0.8545182943,-0.8545182943,-0.5083162785,-0.9382610321,-0.2509842217,-0.4365367591,0.1254921108,-0.4922025204,-0.0625985265,-0.0723336935,-0.0232100189,-0.1015662476,0.4677184522,0.6287843585,-0.6130229831,
9253.064,0.1220740378,0.0000000000,0.9155552983,0.0430921353,0.0560319833,-1.0094301701,-0.1347697377,-0.0404065065,-0.4464247525,-0.0014105551,0.0086634420,-0.0115440488,0.0258547626,0.1644310504,-0.9859759808,-0.0197093487,-0.1220740378,-0.2441480756,0.1831110567,0.5525071025,0.3746452332,-0.7634510398,-0.3801385462,0.4264046252,-0.4354380965,0.0099772811,0.0122131705,-0.0055446625,-0.2395643890,0.2067584246,0.9145749211,0.2523007989,-0.1220740378,-0.2441480756,0.1831110567,0.5525071025,0.3746452332,-0.7634510398,-0.3801385462,0.4264046252,-0.4354380965,0.0099772811,0.0122131705,-0.0055446625,-0.2395643890,0.2067584246,0.9145749211,0.2523007989,0.0000000000,0.0000000000,-0.8545182943,-0.5078279972,-0.9573045969,-0.2638019919,-0.4336069822,0.1250038147,-0.4911038578,-0.0621892810,-0.0913478732,-0.0359849334,-0.1015839428,0.4676935673,0.6288198829,-0.6130025983,
9253.077,0.1831110567,0.0000000000,0.8545182943,0.0401623584,0.0522476882,-1.0096743107,-0.1375774443,-0.0408948027,-0.4459364712,-0.0043233223,0.0048962273,-0.0117865801,0.0258456767,0.1644674987,-0.9859704375,-0.0197013579,-0.0610370189,-0.1831110567,0.1831110567,0.5505539179,0.3709830046,-0.7672353387,-0.3808709979,0.4220099449,-0.4345835745,0.0080356002,0.0085429847,-0.0093244314,-0.2395613492,0.2067434490,0.9145796895,0.2522992194,-0.0610370189,-0.1831110567,0.1831110567,0.5505539179,0.3709830046,-0.7672353387,-0.3808709979,0.4220099449,-0.4345835745,0.0080356002,0.0085429847,-0.0093244314,-0.2395613492,0.2067434490,0.9145796895,0.2522992194,0.0610370189,0.0000000000,-0.7934812307,-0.5019684434,-0.9552293420,-0.2629474699,-0.4372692108,0.1357463300,-0.4911038578,-0.0564161241,-0.0892371535,-0.0350959599,-0.1015969664,0.4676557481,0.6288617253,-0.6129863858,
9253.090,0.1220740378,0.0610370189,0.8545182943,0.0423596911,0.0543229468,-1.0105289221,-0.1391644031,-0.0383312479,-0.4455702305,-0.0021303147,0.0069678873,-0.0126415491,0.0258479696,0.1644602865,-0.9859713912,-0.0197029710,-0.1831110567,-0.0610370189,0.3051851094,0.5515304804,0.3737907112,-0.7646718025,-0.3809930682,0.4228644669,-0.4299447536,0.0089942217,0.0113238990,-0.0067867041,-0.2395679057,0.2067471296,0.9145715833,0.2523185611,-0.1831110567,-0.0610370189,0.3051851094,0.5515304804,0.3737907112,-0.7646718025,-0.3809930682,0.4228644669,-0.4299447536,0.0089942217,0.0113238990,-0.0067867041,-0.2395679057,0.2067471296,0.9145715833,0.2523185611,0.0000000000,-0.4882961512,-0.7324442267,-0.5041657686,-0.9552293420,-0.2650227249,-0.4306772053,0.1269569993,-0.4841456413,-0.0586639047,-0.0892148614,-0.0371578038,-0.1015771925,0.4676033258,0.6289059520,-0.6129841805,
9253.103,0.1220740378,0.0610370189,0.9155552983,0.0429700613,0.0523697622,-1.0095522404,-0.1390423328,-0.0363780633,-0.4481337965,-0.0015279986,0.0050209574,-0.0116649270,0.0258506797,0.1644227654,-0.9859776497,-0.0197002050,-0.0610370189,-0.0610370189,0.3662221134,0.5526291728,0.3750114441,-0.7657704353,-0.3790398836,0.4240851998,-0.4255501032,0.0100703835,0.0125370026,-0.0079050064,-0.2395744026,0.2067663074,0.9145620465,0.2523318529,-0.0610370189,-0.0610370189,0.3662221134,0.5526291728,0.3750114441,-0.7657704353,-0.3790398836,0.4240851998,-0.4255501032,0.0100703835,0.0125370026,-0.0079050064,-0.2395744026,0.2067663074,0.9145620465,0.2523318529,0.1220740378,-0.7324442267,-0.7324442267,-0.5024567246,-0.9377727509,-0.2656331062,-0.4353160262,0.1250038147,-0.4936674237,-0.0569704771,-0.0717490911,-0.0377724767,-0.1015445814,0.4675570726,0.6289386749,-0.6129913330,
9253.116,0.1220740378,0.0000000000,0.9155552983,0.0445570238,0.0521256141,-1.0105289221,-0.1402630657,-0.0363780633,-0.4474013448,0.0000539571,0.0047845058,-0.0126414895,0.0258516353,0.1643788069,-0.9859850407,-0.0196971484,-0.0610370189,-0.0610370189,0.3662221134,0.5515304804,0.3731803298,-0.7678456903,-0.3809930682,0.4243293703,-0.4276253581,0.0089558363,0.0107080340,-0.0099905729,-0.2395792902,0.2067815363,0.9145556688,0.2523375154,-0.0610370189,-0.0610370189,0.3662221134,0.5515304804,0.3731803298,-0.7678456903,-0.3809930682,0.4243293703,-0.4276253581,0.0089558363,0.0107080340,-0.0099905729,-0.2395792902,0.2067815363,0.9145556688,0.2523375154,0.0000000000,-0.4882961512,-0.8545182943,-0.5052644610,-0.9376506805,-0.2520828843,-0.4375133514,0.1328165531,-0.4882961512,-0.0598050654,-0.0716061592,-0.0242488980,-0.1015104949,0.4674936831,0.6289752126,-0.6130078435,
9253.129,0.1220740378,0.0000000000,0.9155552983,0.0451673940,0.0532242805,-1.0107730627,-0.1408734471,-0.0375988036,-0.4439832866,0.0006563999,0.0058854781,-0.0128858685,0.0258547254,0.1643471867,-0.9859903455,-0.0196961854,-0.0610370189,-0.1220740378,0.3662221134,0.5516525507,0.3737907112,-0.7668691278,-0.3801385462,0.4232306778,-0.4278694987,0.0090681314,0.0113166571,-0.0090218186,-0.2395808846,0.2067947835,0.9145506620,0.2523437142,-0.0610370189,-0.1220740378,0.3662221134,0.5516525507,0.3737907112,-0.7668691278,-0.3801385462,0.4232306778,-0.4278694987,0.0090681314,0.0113166571,-0.0090218186,-0.2395808846,0.2067947835,0.9145506620,0.2523437142,0.0000000000,-0.7324442267,-0.9155552983,-0.5008697510,-0.9389935136,-0.2659993172,-0.4375133514,0.1259804070,-0.4919583797,-0.0554615557,-0.0729267001,-0.0381497741,-0.1014794782,0.4674298465,0.6290288568,-0.6130066514,
