Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
9428.954,0.1220740378,0.0000000000,0.9155552983,0.0434583575,0.0528580584,-1.0106509924,-0.1431928426,-0.0408948027,-0.4480117261,-0.0013124831,0.0057719685,-0.0127635002,0.0260326900,0.1679122448,-0.9853894711,-0.0194561016,0.0000000000,-0.1220740378,-0.0610370189,0.4943998456,0.4354380965,-0.7778557539,-0.4049195945,0.4262825549,-0.4288460910,0.0049235821,0.0177059770,-0.0123316646,-0.2119603604,0.1837320775,0.9215465784,0.2689066231,0.0000000000,-0.1220740378,-0.0610370189,0.4943998456,0.4354380965,-0.7778557539,-0.4049195945,0.4262825549,-0.4288460910,0.0049235821,0.0177059770,-0.0123316646,-0.2119603604,0.1837320775,0.9215465784,0.2689066231,0.0000000000,4.0284433365,0.4882961512,-0.5625171661,-0.0673848689,-0.5489669442,-0.4638813436,0.0166020691,-0.9902645946,0.1109283566,0.3540330529,0.0585436821,0.0314747728,0.7243893147,0.5284495354,-0.4418755770,
9428.967,0.1220740378,0.0000000000,0.8545182943,0.0430921353,0.0534684286,-1.0100406408,-0.1414838135,-0.0406506546,-0.4466688931,-0.0016746670,0.0063815303,-0.0121529698,0.0260306299,0.1679053456,-0.9853906631,-0.0194570217,0.0000000000,-0.1831110567,-0.0610370189,0.4940336347,0.4353160262,-0.7770012617,-0.4049195945,0.4265266955,-0.4229865372,0.0046080053,0.0175292194,-0.0114747882,-0.2119284272,0.1837312728,0.9215471745,0.2689295709,0.0000000000,-0.1831110567,-0.0610370189,0.4940336347,0.4353160262,-0.7770012617,-0.4049195945,0.4265266955,-0.4229865372,0.0046080053,0.0175292194,-0.0114747882,-0.2119284272,0.1837312728,0.9215471745,0.2689295709,0.0000000000,4.0284433365,0.1220740378,-0.5549485683,-0.0664082766,-0.5490890145,-0.4643696547,0.0175786614,-0.9883114100,0.1184592247,0.3534397781,0.0595489144,0.0316646099,0.7252342701,0.5278235674,-0.4412237406,
9428.980,0.1220740378,0.0000000000,0.9155552983,0.0426038392,0.0531022064,-1.0108951330,-0.1418500394,-0.0395519882,-0.4461806118,-0.0021568798,0.0060169883,-0.0130071044,0.0260269139,0.1678765565,-0.9853957891,-0.0194574613,0.1220740378,-0.1220740378,-0.0610370189,0.4945219159,0.4353160262,-0.7751701474,-0.4060182571,0.4273812175,-0.4243293703,0.0051329732,0.0174883604,-0.0096424222,-0.2119066119,0.1837255806,0.9215487838,0.2689456046,0.1220740378,-0.1220740378,-0.0610370189,0.4945219159,0.4353160262,-0.7751701474,-0.4060182571,0.4273812175,-0.4243293703,0.0051329732,0.0174883604,-0.0096424222,-0.2119066119,0.1837255806,0.9215487838,0.2689456046,2.2583696842,3.9063692093,0.1220740378,-0.5556810498,-0.0664082766,-0.5489669442,-0.4647358656,0.0175786614,-0.9956358671,0.1177022457,0.3521158993,0.0606088042,0.0317134000,0.7260805964,0.5271037221,-0.4406885505,
9428.993,0.1220740378,0.0610370189,0.9155552983,0.0441908017,0.0543229468,-1.0101627111,-0.1422162503,-0.0424817652,-0.4467909932,-0.0005824342,0.0072332360,-0.0122755170,0.0260336455,0.1678852141,-0.9853939414,-0.0194584001,0.1831110567,-0.1220740378,-0.1831110567,0.4940336347,0.4336069822,-0.7773674726,-0.4058961868,0.4254280329,-0.4243293703,0.0046945810,0.0157466829,-0.0118257999,-0.2118826360,0.1837048680,0.9215564728,0.2689515352,0.1831110567,-0.1220740378,-0.1831110567,0.4940336347,0.4336069822,-0.7773674726,-0.4058961868,0.4254280329,-0.4243293703,0.0046945810,0.0157466829,-0.0118257999,-0.2118826360,0.1837048680,0.9215564728,0.2689515352,2.1973326206,3.9063692093,0.0000000000,-0.5547044277,-0.0664082766,-0.5488448739,-0.4670552611,0.0172124393,-0.9958800077,0.1186404824,0.3508058190,0.0616702437,0.0317626260,0.7269142866,0.5263997316,-0.4401517510,
9429.006,0.1220740378,0.0610370189,0.8545182943,0.0449232459,0.0537125766,-1.0102847815,-0.1430707723,-0.0419934690,-0.4485000074,0.0001344383,0.0066209510,-0.0123983026,0.0260415599,0.1678889096,-0.9853932261,-0.0194579419,0.1831110567,-0.1220740378,-0.2441480756,0.4922025204,0.4331187010,-0.7778557539,-0.4018677473,0.4255501032,-0.4233527780,0.0029244423,0.0152212083,-0.0122953653,-0.2118520141,0.1836845130,0.9215658903,0.2689581811,0.1831110567,-0.1220740378,-0.2441480756,0.4922025204,0.4331187010,-0.7778557539,-0.4018677473,0.4255501032,-0.4233527780,0.0029244423,0.0152212083,-0.0122953653,-0.2118520141,0.1836845130,0.9215658903,0.2689581811,2.0142216682,2.0752587318,-0.4272591472,-0.5567796826,-0.0628681332,-0.5468916893,-0.4682760239,0.0242927335,-0.9978331923,0.1167075634,0.3530521393,0.0643482804,0.0319113508,0.7276452184,0.5257334113,-0.4397290945,
9429.019,0.1220740378,0.0610370189,0.8545182943,0.0458998382,0.0544450209,-1.0110172033,-0.1396526992,-0.0397961363,-0.4504531920,0.0010909066,0.0073480904,-0.0131319165,0.0260517914,0.1678815335,-0.9853941798,-0.0194590650,0.2441480756,-0.1220740378,-0.3051851094,0.4924466610,0.4325083196,-0.7773674726,-0.4034546912,0.4237189889,-0.4218878746,0.0032317042,0.0145790577,-0.0117841959,-0.2118233293,0.1836552471,0.9215776920,0.2689595222,0.2441480756,-0.1220740378,-0.3051851094,0.4924466610,0.4325083196,-0.7773674726,-0.4034546912,0.4237189889,-0.4218878746,0.0032317042,0.0145790577,-0.0117841959,-0.2118233293,0.1836552471,0.9215776920,0.2689595222,1.9531846046,1.9531846046,-0.3662221134,-0.5017243028,-0.0629902035,-0.5468916893,-0.4685201645,0.0224616230,-1.0000305176,0.1717380881,0.3516528010,0.0652424693,0.0320079848,0.7284008861,0.5251117945,-0.4392133951,
9429.032,0.1220740378,0.0610370189,0.8545182943,0.0440687276,0.0538346507,-1.0102847815,-0.1391644031,-0.0404065065,-0.4450819492,-0.0007513650,0.0067352466,-0.0124000907,0.0260575339,0.1678828448,-0.9853937626,-0.0194593146,0.1831110567,-0.1831110567,-0.3662221134,0.4915921390,0.4310434163,-0.7788323760,-0.4060182571,0.4217658043,-0.4264046252,0.0024565756,0.0130762160,-0.0132188797,-0.2117902935,0.1836081594,0.9215955138,0.2689574957,0.1831110567,-0.1831110567,-0.3662221134,0.4915921390,0.4310434163,-0.7788323760,-0.4060182571,0.4217658043,-0.4264046252,0.0024565756,0.0130762160,-0.0132188797,-0.2117902935,0.1836081594,0.9215955138,0.2689574957,1.9531846046,2.2583696842,-0.8545182943,-0.5022125840,-0.0636005774,-0.5509201288,-0.4675435722,0.0200201422,-1.0000305176,0.1711438298,0.3498302996,0.0621495247,0.0320635997,0.7291481495,0.5245198011,-0.4386765659,
9429.045,0.1220740378,0.0000000000,0.8545182943,0.0456556901,0.0535905026,-1.0106509924,-0.1397747695,-0.0418713950,-0.4487441778,0.0008273758,0.0064899512,-0.0127667189,0.0260620639,0.1679018587,-0.9853904247,-0.0194586888,0.1220740378,-0.2441480756,-0.2441480756,0.4909817874,0.4316537976,-0.7789544463,-0.4061403275,0.4267708361,-0.4209112823,0.0019280612,0.0136485994,-0.0133096576,-0.2117453367,0.1835976988,0.9216058850,0.2689637244,0.1220740378,-0.2441480756,-0.2441480756,0.4909817874,0.4316537976,-0.7789544463,-0.4061403275,0.4267708361,-0.4209112823,0.0019280612,0.0136485994,-0.0133096576,-0.2117453367,0.1835976988,0.9216058850,0.2689637244,2.2583696842,3.0518510342,-0.9765923023,-0.5011139512,-0.0039063692,-0.5500656366,-0.4682760239,0.0158696249,-0.9999084473,0.1721518040,0.4080264866,0.0641105175,0.0322056822,0.7299896479,0.5238764286,-0.4380350709,
9429.058,0.1220740378,0.0000000000,0.9155552983,0.0477309488,0.0537125766,-1.0113834143,-0.1390423328,-0.0401623584,-0.4508194327,0.0028838925,0.0066109784,-0.0135000348,0.0260713063,0.1678971052,-0.9853910208,-0.0194577612,0.0610370189,-0.1831110567,-0.1220740378,0.4904934764,0.4318979383,-0.7789544463,-0.4087038934,0.4276253581,-0.4172490537,0.0015058219,0.0138554275,-0.0132876635,-0.2117040902,0.1836041212,0.9216107130,0.2689758241,0.0610370189,-0.1831110567,-0.1220740378,0.4904934764,0.4318979383,-0.7789544463,-0.4087038934,0.4276253581,-0.4172490537,0.0015058219,0.0138554275,-0.0132876635,-0.2117040902,0.1836041212,0.9216107130,0.2689758241,0.0000000000,3.9674062729,-0.9155552983,-0.5002593994,-0.0039063692,-0.5478683114,-0.4647358656,0.0244148076,-0.9974669814,0.1728228331,0.4062845707,0.0676727891,0.0324594602,0.7308495641,0.5233287215,-0.4372365475,
