Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
8628.388,0.1220740378,-0.1831110567,0.9155552983,0.0412610248,0.0552995391,-1.0102847815,-0.1379436702,-0.0352793969,-0.4364146888,-0.0007249303,0.0066711158,-0.0123501420,0.0247591157,0.1664860845,-0.9856433868,-0.0204862766,-0.0610370189,0.0610370189,0.4272591472,0.5609301925,0.2757652402,-0.7976317406,-0.3714712858,0.4068727791,-0.4517960250,0.0088402629,0.0060268044,-0.0086193085,-0.2497805208,0.2239281833,0.9190244079,0.2076137513,-0.0610370189,0.0610370189,0.4272591472,0.5609301925,0.2757652402,-0.7976317406,-0.3714712858,0.4068727791,-0.4517960250,0.0088402629,0.0060268044,-0.0086193085,-0.2497805208,0.2239281833,0.9190244079,0.2076137513,0.1220740378,-0.3051851094,-0.9765923023,-0.6411328316,-0.9532761574,-0.0203863643,-0.4248176515,0.1335490048,-0.4790185392,-0.1084239483,-0.1074582934,0.0154208876,0.0512178876,-0.4274974465,-0.5791309476,0.6924399734,
8628.401,0.1220740378,-0.1831110567,0.9155552983,0.0406506546,0.0563982055,-1.0095522404,-0.1398968548,-0.0352793969,-0.4376354218,-0.0013020672,0.0077621154,-0.0116165876,0.0247421302,0.1664272249,-0.9856535792,-0.0204943009,-0.1831110567,0.0000000000,0.3051851094,0.5639820695,0.2762535512,-0.7966551781,-0.3748893738,0.4065065384,-0.4509415030,0.0118581057,0.0065056086,-0.0076698661,-0.2497978657,0.2239303291,0.9190163016,0.2076255828,-0.1831110567,0.0000000000,0.3051851094,0.5639820695,0.2762535512,-0.7966551781,-0.3748893738,0.4065065384,-0.4509415030,0.0118581057,0.0065056086,-0.0076698661,-0.2497978657,0.2239303291,0.9190163016,0.2076255828,0.1831110567,0.0000000000,-0.9765923023,-0.6250190735,-0.9531540871,-0.0195318460,-0.4375133514,0.1340373009,-0.4939115644,-0.0923737288,-0.1072909236,0.0161536932,0.0514720790,-0.4276370704,-0.5789753795,0.6924650669,
8628.414,0.1220740378,-0.1831110567,0.9155552983,0.0411389507,0.0543229468,-1.0093080997,-0.1391644031,-0.0389416181,-0.4372692108,-0.0007831715,0.0056894012,-0.0113710761,0.0247267224,0.1664225757,-0.9856547117,-0.0204957053,-0.1220740378,0.1220740378,0.2441480756,0.5648365617,0.2768639326,-0.7964110374,-0.3739127815,0.4047975242,-0.4538712800,0.0126614571,0.0071064830,-0.0074647069,-0.2498285472,0.2239149660,0.9190095663,0.2076355815,-0.1220740378,0.1220740378,0.2441480756,0.5648365617,0.2768639326,-0.7964110374,-0.3739127815,0.4047975242,-0.4538712800,0.0126614571,0.0071064830,-0.0074647069,-0.2498285472,0.2239149660,0.9190095663,0.2076355815,0.1220740378,0.0000000000,-0.9155552983,-0.6377148032,-0.9570604563,-0.0214850307,-0.4297006130,0.1328165531,-0.4870754182,-0.1050927639,-0.1111782789,0.0140963197,0.0517079532,-0.4277931154,-0.5788150430,0.6924850941,
8628.427,0.1831110567,-0.1831110567,0.9155552983,0.0402844325,0.0546891689,-1.0102847815,-0.1386761069,-0.0397961363,-0.4371471405,-0.0016028397,0.0060672276,-0.0123457313,0.0247087553,0.1664323956,-0.9856535792,-0.0204926301,-0.1220740378,0.0610370189,0.1831110567,0.5658131838,0.2753990293,-0.7958006263,-0.3697622716,0.4049195945,-0.4543595612,0.0135931373,0.0056331158,-0.0068888068,-0.2498557568,0.2239008248,0.9190034270,0.2076443434,-0.1220740378,0.0610370189,0.1831110567,0.5658131838,0.2753990293,-0.7958006263,-0.3697622716,0.4049195945,-0.4543595612,0.0135931373,0.0056331158,-0.0068888068,-0.2498557568,0.2239008248,0.9190034270,0.2076443434,0.0610370189,-0.3051851094,-0.7324442267,-0.6367381811,-0.9570604563,-0.0195318460,-0.4253059626,0.1347697377,-0.4863429666,-0.1041131616,-0.1111745834,0.0159179568,0.0519196577,-0.4279402494,-0.5786494613,0.6925167441,
8628.440,0.1831110567,-0.1831110567,0.9155552983,0.0385753959,0.0552995391,-1.0099185705,-0.1380657405,-0.0405285805,-0.4378795624,-0.0032688268,0.0066860132,-0.0119773149,0.0246872958,0.1664558947,-0.9856501818,-0.0204914659,-0.1831110567,0.0000000000,0.0610370189,0.5672780275,0.2757652402,-0.7959227562,-0.3723258078,0.4057741165,-0.4503311217,0.0150223970,0.0059701204,-0.0070456266,-0.2498755604,0.2238861173,0.9189978242,0.2076623291,-0.1831110567,0.0000000000,0.0610370189,0.5672780275,0.2757652402,-0.7959227562,-0.3723258078,0.4057741165,-0.4503311217,0.0150223970,0.0059701204,-0.0070456266,-0.2498755604,0.2238861173,0.9189978242,0.2076623291,0.1220740378,-0.4272591472,-0.7324442267,-0.6384472251,-0.9575487375,-0.0195318460,-0.4289681613,0.1373332888,-0.4984282851,-0.1058142185,-0.1116613746,0.0157665610,0.0521370955,-0.4280907214,-0.5784727931,0.6925550699,
8628.453,0.1831110567,-0.1831110567,0.8545182943,0.0379650258,0.0549333170,-1.0095522404,-0.1376995146,-0.0396740623,-0.4383678734,-0.0038329065,0.0063294098,-0.0116086006,0.0246640444,0.1664750874,-0.9856475592,-0.0204900857,-0.1831110567,0.0610370189,0.0000000000,0.5674001575,0.2760094106,-0.7951902747,-0.3708609343,0.4091921747,-0.4539933503,0.0151022673,0.0061777532,-0.0063553452,-0.2498987019,0.2238700837,0.9189900756,0.2076852471,-0.1831110567,0.0610370189,0.0000000000,0.5674001575,0.2760094106,-0.7951902747,-0.3708609343,0.4091921747,-0.4539933503,0.0151022673,0.0061777532,-0.0063553452,-0.2498987019,0.2238700837,0.9189900756,0.2076852471,0.1220740378,-0.4882961512,-0.7324442267,-0.6333200932,-0.9543748498,-0.0200201422,-0.4257942438,0.1328165531,-0.4956206083,-0.1006883383,-0.1084806323,0.0151248425,0.0523592718,-0.4282382429,-0.5782970190,0.6925936937,
8628.466,0.1220740378,-0.1220740378,0.9155552983,0.0373546556,0.0532242805,-1.0085756779,-0.1374553740,-0.0407727286,-0.4412976503,-0.0044055432,0.0046279244,-0.0106300712,0.0246454459,0.1665065736,-0.9856427312,-0.0204887111,-0.1831110567,-0.0610370189,0.0610370189,0.5684987903,0.2777184248,-0.7955564857,-0.3712271452,0.4057741165,-0.4550920129,0.0161707997,0.0078495145,-0.0067552924,-0.2499162853,0.2238482833,0.9189863205,0.2077047080,-0.1831110567,-0.0610370189,0.0610370189,0.5684987903,0.2777184248,-0.7955564857,-0.3712271452,0.4057741165,-0.4550920129,0.0161707997,0.0078495145,-0.0067552924,-0.2499162853,0.2238482833,0.9189863205,0.2077047080,0.1220740378,-0.3662221134,-0.7934812307,-0.6333200932,-0.9532761574,-0.0202642903,-0.4248176515,0.1330607086,-0.4961088896,-0.1006967425,-0.1073703766,0.0147399679,0.0525915697,-0.4283923209,-0.5781223178,0.6926268935,
8628.479,0.1220740378,-0.0610370189,0.9155552983,0.0379650258,0.0537125766,-1.0089418888,-0.1355021894,-0.0382091738,-0.4391003251,-0.0037712045,0.0051214173,-0.0109950304,0.0246333014,0.1665122658,-0.9856420755,-0.0204879977,-0.1831110567,-0.2441480756,0.2441480756,0.5688650012,0.2772301435,-0.7939695716,-0.3706167936,0.4019898176,-0.4527726173,0.0165187716,0.0073427558,-0.0051874518,-0.2499266267,0.2238385528,0.9189834595,0.2077152878,-0.1831110567,-0.2441480756,0.2441480756,0.5688650012,0.2772301435,-0.7939695716,-0.3706167936,0.4019898176,-0.4527726173,0.0165187716,0.0073427558,-0.0051874518,-0.2499266267,0.2238385528,0.9189834595,0.2077152878,0.1220740378,-0.4882961512,-0.7934812307,-0.6330759525,-0.9531540871,-0.0209967345,-0.4295785427,0.1564989239,-0.4980620742,-0.1004610658,-0.1072370410,0.0138596445,0.0527891144,-0.4285155535,-0.5779669285,0.6926652193,
8628.492,0.1220740378,-0.0610370189,0.9155552983,0.0373546556,0.0551774651,-1.0083315372,-0.1362346262,-0.0386974700,-0.4358043075,-0.0043548085,0.0065840706,-0.0103836656,0.0246204287,0.1665194184,-0.9856411219,-0.0204911474,-0.1831110567,-0.2441480756,0.3662221134,0.5680105090,0.2772301435,-0.7939695716,-0.3679311574,0.4043092132,-0.4500869811,0.0156432986,0.0073354840,-0.0052046776,-0.2499343306,0.2238524407,0.9189753532,0.2077267170,-0.1831110567,-0.2441480756,0.3662221134,0.5680105090,0.2772301435,-0.7939695716,-0.3679311574,0.4043092132,-0.4500869811,0.0156432986,0.0073354840,-0.0052046776,-0.2499343306,0.2238524407,0.9189753532,0.2077267170,0.1220740378,-0.6714072227,-0.8545182943,-0.6369823217,-0.9552293420,-0.0195318460,-0.4257942438,0.1563768387,-0.4929349720,-0.1043757200,-0.1092998385,0.0151535273,0.0529745445,-0.4286230803,-0.5778132677,0.6927127838,
