Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
14272.936,0.1220740378,-0.0610370189,0.9155552983,0.0422376171,0.0524918362,-1.0093080997,-0.1379436702,-0.0394299142,-0.4575335085,-0.0012111031,0.0051786304,-0.0113728642,0.0253414791,0.1650118083,-0.9858914018,-0.0197536554,0.1220740378,-0.0610370189,0.3051851094,0.5389568806,0.3429059684,-0.7871333957,-0.3949095011,0.4198126197,-0.4382458031,0.0118635893,0.0056929290,-0.0070263743,-0.2312123775,0.2151353508,0.9187020063,0.2376706153,0.1220740378,-0.0610370189,0.3051851094,0.5389568806,0.3429059684,-0.7871333957,-0.3949095011,0.4198126197,-0.4382458031,0.0118635893,0.0056929290,-0.0070263743,-0.2312123775,0.2151353508,0.9187020063,0.2376706153,0.1220740378,-0.5493331552,-0.9765923023,-0.5385906696,-0.8755149841,-0.0813013092,-0.2459791899,0.1875057220,-0.4680318534,-0.0861186385,0.0017192364,0.0803681239,-0.1700803488,0.5151371360,0.5618822575,-0.6246902943,
14272.949,0.0610370189,0.0000000000,0.8545182943,0.0439466536,0.0542008728,-1.0106509924,-0.1355021894,-0.0402844325,-0.4527726173,0.0004912503,0.0068737268,-0.0127167106,0.0253467541,0.1650527120,-0.9858843088,-0.0197589342,0.1220740378,-0.1220740378,0.2441480756,0.5396893024,0.3425397575,-0.7896969318,-0.3892941177,0.4171269834,-0.4312875867,0.0125771761,0.0053651035,-0.0095860362,-0.2312309444,0.2151183486,0.9187071919,0.2376484722,0.1220740378,-0.1220740378,0.2441480756,0.5396893024,0.3425397575,-0.7896969318,-0.3892941177,0.4171269834,-0.4312875867,0.0125771761,0.0053651035,-0.0095860362,-0.2312309444,0.2151183486,0.9187071919,0.2376484722,0.0000000000,-0.7324442267,-0.9765923023,-0.5390789509,-0.8789330721,-0.0815454572,-0.2489089668,0.1899472028,-0.4629047513,-0.0863760114,-0.0017318726,0.0796558410,-0.1699692309,0.5150160789,0.5617848039,-0.6249078512,
14272.962,0.0610370189,0.0000000000,0.8545182943,0.0441908017,0.0544450209,-1.0105289221,-0.1376995146,-0.0386974700,-0.4509415030,0.0007275194,0.0071027726,-0.0125957131,0.0253520273,0.1650592238,-0.9858829379,-0.0197655708,0.0610370189,-0.1831110567,0.3051851094,0.5383465290,0.3427838981,-0.7912839055,-0.3917355835,0.4194464087,-0.4331187010,0.0112286806,0.0056446195,-0.0111615658,-0.2312399745,0.2151091695,0.9187123775,0.2376276553,0.0610370189,-0.1831110567,0.3051851094,0.5383465290,0.3427838981,-0.7912839055,-0.3917355835,0.4194464087,-0.4331187010,0.0112286806,0.0056446195,-0.0111615658,-0.2312399745,0.2151091695,0.9187123775,0.2376276553,0.0000000000,-0.8545182943,-0.7324442267,-0.5390789509,-0.8755149841,-0.0800805688,-0.2495193332,0.1886043847,-0.4687643051,-0.0860974193,0.0016310215,0.0806393027,-0.1698454618,0.5149096251,0.5616682172,-0.6251340508,
14272.975,0.0610370189,0.0000000000,0.9155552983,0.0450453199,0.0538346507,-1.0110172033,-0.1367229223,-0.0383312479,-0.4530167580,0.0015695654,0.0064809695,-0.0130850673,0.0253591724,0.1650614291,-0.9858824015,-0.0197701249,0.0610370189,-0.1220740378,0.3051851094,0.5374919772,0.3435163498,-0.7920163870,-0.3971068561,0.4220099449,-0.4303109944,0.0103653073,0.0064093173,-0.0118861198,-0.2312490493,0.2151052207,0.9187154174,0.2376104593,0.0610370189,-0.1220740378,0.3051851094,0.5374919772,0.3435163498,-0.7920163870,-0.3971068561,0.4220099449,-0.4303109944,0.0103653073,0.0064093173,-0.0118861198,-0.2312490493,0.2151052207,0.9187154174,0.2376104593,0.0610370189,-0.9155552983,-0.9155552983,-0.5395672321,-0.8761253953,-0.0793481246,-0.2479323745,0.1489303261,-0.4936674237,-0.0863344073,0.0009817481,0.0808748826,-0.1698060036,0.5148559809,0.5614961386,-0.6253434420,
14272.988,0.1220740378,-0.0610370189,0.9155552983,0.0444349498,0.0544450209,-1.0106509924,-0.1367229223,-0.0400402844,-0.4504531920,0.0009603724,0.0070875138,-0.0127190351,0.0253594071,0.1650861055,-0.9858781695,-0.0197714772,0.0000000000,-0.0610370189,0.2441480756,0.5370036960,0.3432722092,-0.7911618352,-0.3961302638,0.4201788306,-0.4350718856,0.0098633170,0.0061827898,-0.0110331774,-0.2312639654,0.2150835395,0.9187200665,0.2375977039,0.0000000000,-0.0610370189,0.2441480756,0.5370036960,0.3432722092,-0.7911618352,-0.3961302638,0.4201788306,-0.4350718856,0.0098633170,0.0061827898,-0.0110331774,-0.2312639654,0.2150835395,0.9187200665,0.2375977039,0.1220740378,-0.7324442267,-0.9765923023,-0.5390789509,-0.8778343797,-0.0782494619,-0.2469557822,0.1879940182,-0.4682760239,-0.0856158733,-0.0007557869,0.0814783499,-0.1697163880,0.5147445798,0.5613778234,-0.6255657077,
14273.001,0.0610370189,-0.1220740378,0.9155552983,0.0418713950,0.0544450209,-1.0104068518,-0.1374553740,-0.0391857661,-0.4548478723,-0.0015788004,0.0070729703,-0.0124745369,0.0253487937,0.1650968939,-0.9858764410,-0.0197803881,-0.0610370189,-0.0610370189,0.2441480756,0.5383465290,0.3425397575,-0.7883541584,-0.4002807736,0.4187139571,-0.4358043075,0.0111812949,0.0054602623,-0.0082379580,-0.2312860489,0.2150546610,0.9187234640,0.2375893146,-0.0610370189,-0.0610370189,0.2441480756,0.5383465290,0.3425397575,-0.7883541584,-0.4002807736,0.4187139571,-0.4358043075,0.0111812949,0.0054602623,-0.0082379580,-0.2312860489,0.2150546610,0.9187234640,0.2375893146,0.2441480756,-0.4882961512,-0.9155552983,-0.5390789509,-0.8750267029,-0.0784936100,-0.2450025976,0.1919003874,-0.4668111205,-0.0853782892,0.0020181537,0.0807441324,-0.1696372479,0.5146492124,0.5612469316,-0.6257829666,
14273.014,0.1220740378,-0.0610370189,0.8545182943,0.0410168767,0.0557878353,-1.0096743107,-0.1383098811,-0.0384533219,-0.4504531920,-0.0024151132,0.0084046535,-0.0117416978,0.0253407322,0.1650970578,-0.9858765006,-0.0197873786,-0.1220740378,-0.0610370189,0.1831110567,0.5385906696,0.3410748541,-0.7879878879,-0.3934446275,0.4194464087,-0.4300668240,0.0114014745,0.0039975345,-0.0078870058,-0.2313026637,0.2150422037,0.9187222123,0.2375892252,-0.1220740378,-0.0610370189,0.1831110567,0.5385906696,0.3410748541,-0.7879878879,-0.3934446275,0.4194464087,-0.4300668240,0.0114014745,0.0039975345,-0.0078870058,-0.2313026637,0.2150422037,0.9187222123,0.2375892252,0.1220740378,-0.4882961512,-0.9765923023,-0.5333414674,-0.8771019578,-0.0788598284,-0.2461012602,0.1875057220,-0.4687643051,-0.0794396996,-0.0000762343,0.0799107924,-0.1695711464,0.5145505667,0.5611293316,-0.6259874701,
14273.027,0.1220740378,-0.0610370189,0.9155552983,0.0399182104,0.0550553910,-1.0100406408,-0.1361125559,-0.0349131748,-0.4533829689,-0.0034906827,0.0076652877,-0.0121073127,0.0253290739,0.1650556475,-0.9858835936,-0.0197937619,-0.1831110567,-0.1220740378,0.1831110567,0.5409100652,0.3422956169,-0.7865230441,-0.3974730670,0.4157841802,-0.4342173636,0.0136951804,0.0052069426,-0.0064444542,-0.2313238531,0.2150104493,0.9187235236,0.2375920266,-0.1831110567,-0.1220740378,0.1831110567,0.5409100652,0.3422956169,-0.7865230441,-0.3974730670,0.4157841802,-0.4342173636,0.0136951804,0.0052069426,-0.0064444542,-0.2313238531,0.2150104493,0.9187235236,0.2375920266,0.1220740378,-0.4882961512,-0.9155552983,-0.5315103531,-0.8755149841,-0.0783715323,-0.2479323745,0.1894589067,-0.4686422348,-0.0774024427,0.0014885664,0.0799325630,-0.1694976836,0.5144489408,0.5610147715,-0.6261936426,
14273.040,0.1220740378,0.0000000000,0.9155552983,0.0397961363,0.0552995391,-1.0107730627,-0.1387981772,-0.0383312479,-0.4503311217,-0.0035996586,0.0079015419,-0.0128395557,0.0253230892,0.1650468856,-0.9858850837,-0.0197989624,-0.1220740378,-0.1831110567,0.3051851094,0.5399334431,0.3430280387,-0.7876216769,-0.3940550089,0.4192022383,-0.4303109944,0.0127003193,0.0059448779,-0.0075529218,-0.2313350886,0.2150077373,0.9187216163,0.2375914752,-0.1220740378,-0.1831110567,0.3051851094,0.5399334431,0.3430280387,-0.7876216769,-0.3940550089,0.4192022383,-0.4303109944,0.0127003193,0.0059448779,-0.0075529218,-0.2313350886,0.2150077373,0.9187216163,0.2375914752,0.0000000000,-0.4882961512,-0.9765923023,-0.5312662125,-0.8755149841,-0.0781273842,-0.2458571196,0.1878719479,-0.4672994316,-0.0769636035,0.0014681816,0.0797302127,-0.1694268286,0.5143495798,0.5609067678,-0.6263910532,
