Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
77.560,0.1220740378,-0.0610370189,0.8545182943,0.0421155430,0.0529801324,-1.0099185705,-0.1337931454,-0.0350352488,-0.4404431283,-0.0004853420,0.0059223771,-0.0119347572,0.0250002351,0.1699534804,-0.9850638509,-0.0195723362,0.0610370189,-0.1831110567,0.3662221134,0.4973296225,0.3979613781,-0.7929929495,-0.3945432901,0.4167607725,-0.4266487658,0.0101186931,0.0106838346,-0.0102112293,0.2096562237,-0.1965218484,-0.9235871434,-0.2542703152,0.0610370189,-0.1831110567,0.3662221134,0.4973296225,0.3979613781,-0.7929929495,-0.3945432901,0.4167607725,-0.4266487658,0.0101186931,0.0106838346,-0.0102112293,0.2096562237,-0.1965218484,-0.9235871434,-0.2542703152,0.0610370189,-0.9765923023,-1.9531846046,-0.5796075463,-0.0488296151,-0.2656331062,-0.6777550578,0.0162358470,-0.9687795639,0.3831653595,0.0191497430,-0.0033245087,0.0025347255,-0.7928585410,-0.0526574589,0.6073213816,
77.573,0.1220740378,-0.0610370189,0.8545182943,0.0411389507,0.0534684286,-1.0097965002,-0.1303750724,-0.0368663594,-0.4449598789,-0.0014485344,0.0064093024,-0.0118121505,0.0249936171,0.1699472368,-0.9850651622,-0.0195743050,0.0610370189,-0.2441480756,0.3662221134,0.4959868193,0.3972289264,-0.7932370901,-0.3921018243,0.4165166318,-0.4272591472,0.0087801218,0.0099720657,-0.0104424953,0.2096528560,-0.1965323538,-0.9235883951,-0.2542604506,0.0610370189,-0.2441480756,0.3662221134,0.4959868193,0.3972289264,-0.7932370901,-0.3921018243,0.4165166318,-0.4272591472,0.0087801218,0.0099720657,-0.0104424953,0.2096528560,-0.1965323538,-0.9235883951,-0.2542604506,0.1220740378,-0.9765923023,-1.9531846046,-0.5813165903,-0.0489516892,-0.2661214173,-0.6738486886,0.0156254768,-0.9678030014,0.3812613487,0.0194075890,-0.0031971037,0.0026335679,-0.7930390239,-0.0528625250,0.6070674658,
77.586,0.0610370189,-0.0610370189,0.8545182943,0.0428479873,0.0523697622,-1.0096743107,-0.1356242597,-0.0378429517,-0.4400769174,0.0002653785,0.0053040646,-0.0116900802,0.0249913130,0.1699239761,-0.9850690961,-0.0195785519,0.0000000000,-0.1831110567,0.3051851094,0.4968413413,0.3964964747,-0.7939695716,-0.3958860934,0.4204230011,-0.4290902317,0.0096321404,0.0092516243,-0.0111705661,0.2096524239,-0.1965427399,-0.9235873818,-0.2542564869,0.0000000000,-0.1831110567,0.3051851094,0.4968413413,0.3964964747,-0.7939695716,-0.3958860934,0.4204230011,-0.4290902317,0.0096321404,0.0092516243,-0.0111705661,0.2096524239,-0.1965427399,-0.9235873818,-0.2542564869,0.1220740378,-0.9765923023,-1.8311105967,-0.5803399682,-0.0494399853,-0.2619708776,-0.6748253107,0.0172124393,-0.9668263793,0.3820514083,0.0192818083,0.0015407205,0.0027229802,-0.7932106256,-0.0530647077,0.6068251729,
77.599,0.1220740378,-0.0610370189,0.9155552983,0.0434583575,0.0529801324,-1.0102847815,-0.1328165531,-0.0356456190,-0.4442274272,0.0008772165,0.0059161223,-0.0123004317,0.0249895994,0.1698814780,-0.9850764871,-0.0195789207,0.0610370189,-0.2441480756,0.3051851094,0.4975737929,0.3964964747,-0.7944578528,-0.3953978121,0.4148075879,-0.4284798801,0.0103686452,0.0092733204,-0.0116456151,0.2096530795,-0.1965393424,-0.9235916734,-0.2542429268,0.0610370189,-0.2441480756,0.3051851094,0.4975737929,0.3964964747,-0.7944578528,-0.3953978121,0.4148075879,-0.4284798801,0.0103686452,0.0092733204,-0.0116456151,0.2096530795,-0.1965393424,-0.9235916734,-0.2542429268,0.0000000000,-0.9765923023,-1.8311105967,-0.5793634057,-0.0493179113,-0.2617267370,-0.6562700272,0.0167241432,-0.9659718871,0.3828414083,0.0197585672,0.0023719668,0.0028068412,-0.7933819890,-0.0532678105,0.6065828800,
77.612,0.1220740378,0.0000000000,0.9155552983,0.0424817652,0.0529801324,-1.0101627111,-0.1342814416,-0.0350352488,-0.4438612163,-0.0001037605,0.0059177652,-0.0121784806,0.0249904543,0.1698227972,-0.9850865602,-0.0195792280,0.0610370189,-0.1831110567,0.3662221134,0.4973296225,0.3983275890,-0.7940916419,-0.3952757418,0.4171269834,-0.4282357395,0.0101179183,0.0111228526,-0.0112743378,0.2096566260,-0.1965453178,-0.9235917330,-0.2542350590,0.0610370189,-0.1831110567,0.3662221134,0.4973296225,0.3983275890,-0.7940916419,-0.3952757418,0.4171269834,-0.4282357395,0.0101179183,0.0111228526,-0.0112743378,0.2096566260,-0.1965453178,-0.9235917330,-0.2542350590,0.3051851094,-0.9765923023,-1.7700735331,-0.5937681198,-0.0509048738,-0.2641682327,-0.6760460138,0.0170903653,-0.9676808715,0.3682587147,0.0185317509,0.0004836619,0.0029044764,-0.7935436964,-0.0534563363,0.6063543558,
77.625,0.1220740378,0.0000000000,0.9155552983,0.0424817652,0.0532242805,-1.0101627111,-0.1344035119,-0.0363780633,-0.4441053569,-0.0001081154,0.0061623454,-0.0121786594,0.0249917731,0.1697828919,-0.9850934148,-0.0195796583,0.0610370189,-0.1831110567,0.3051851094,0.4965972006,0.3978392780,-0.7942137122,-0.3960081935,0.4161503911,-0.4312875867,0.0093856454,0.0106491446,-0.0113890767,0.2096601129,-0.1965370625,-0.9235954881,-0.2542249858,0.0610370189,-0.1831110567,0.3051851094,0.4965972006,0.3978392780,-0.7942137122,-0.3960081935,0.4161503911,-0.4312875867,0.0093856454,0.0106491446,-0.0113890767,0.2096601129,-0.1965370625,-0.9235954881,-0.2542249858,0.0000000000,-0.4882961512,-1.8921475410,-0.5937681198,-0.0489516892,-0.2658772469,-0.6718955040,0.0158696249,-0.9599902630,0.3680546284,0.0208344050,-0.0005771518,0.0029843866,-0.7937338948,-0.0536626875,0.6060866714,
77.638,0.0610370189,0.0000000000,0.9155552983,0.0429700613,0.0534684286,-1.0108951330,-0.1322061867,-0.0367442854,-0.4430066943,0.0003735945,0.0063952841,-0.0129118562,0.0249955133,0.1697594821,-0.9850972295,-0.0195852220,-0.0610370189,-0.1831110567,0.2441480756,0.4963530302,0.3972289264,-0.7942137122,-0.3958860934,0.4140751362,-0.4275032878,0.0091460943,0.0100338161,-0.0113887191,0.2096596211,-0.1965280920,-0.9235975146,-0.2542249858,-0.0610370189,-0.1831110567,0.2441480756,0.4963530302,0.3972289264,-0.7942137122,-0.3958860934,0.4140751362,-0.4275032878,0.0091460943,0.0100338161,-0.0113887191,0.2096596211,-0.1965280920,-0.9235975146,-0.2542249858,0.3662221134,-0.5493331552,-1.7090365887,-0.5937681198,-0.0485854670,-0.2656331062,-0.6756798029,0.0162358470,-0.9647511244,0.3678568006,0.0215317756,0.0002954602,0.0030767303,-0.7939199805,-0.0538370684,0.6058269143,
77.651,0.1220740378,0.0000000000,0.9155552983,0.0434583575,0.0532242805,-1.0099185705,-0.1290322542,-0.0363780633,-0.4465468228,0.0008527040,0.0061515570,-0.0119356513,0.0249998197,0.1697501540,-0.9850988388,-0.0195844695,-0.1220740378,-0.1220740378,0.3051851094,0.4969634116,0.3966185451,-0.7939695716,-0.3922238946,0.4150517285,-0.4307992756,0.0097452998,0.0094180405,-0.0111541748,0.2096663564,-0.1965240389,-0.9235957861,-0.2542288899,-0.1220740378,-0.1220740378,0.3051851094,0.4969634116,0.3966185451,-0.7939695716,-0.3922238946,0.4150517285,-0.4307992756,0.0097452998,0.0094180405,-0.0111541748,0.2096663564,-0.1965240389,-0.9235957861,-0.2542288899,0.0000000000,-0.4882961512,-1.7090365887,-0.5800958276,-0.0507827997,-0.2661214173,-0.6552934647,0.0175786614,-0.9621875882,0.3813149929,0.0196715519,0.0004909337,0.0031536687,-0.7941216826,-0.0540386252,0.6055442691,
77.664,0.1220740378,0.0000000000,0.9155552983,0.0438245796,0.0543229468,-1.0108951330,-0.1342814416,-0.0361339152,-0.4470351338,0.0012082234,0.0072455220,-0.0129128695,0.0250046868,0.1697090417,-0.9851055741,-0.0195869282,-0.0610370189,-0.1220740378,0.3051851094,0.4968413413,0.3978392780,-0.7938474417,-0.3967406154,0.4162724614,-0.4327524602,0.0096134841,0.0106363893,-0.0110393167,0.2096743137,-0.1965136975,-0.9235960245,-0.2542294562,-0.0610370189,-0.1220740378,0.3051851094,0.4968413413,0.3978392780,-0.7938474417,-0.3967406154,0.4162724614,-0.4327524602,0.0096134841,0.0106363893,-0.0110393167,0.2096743137,-0.1965136975,-0.9235960245,-0.2542294562,0.0000000000,-0.4882961512,-1.7090365887,-0.5938901901,-0.0507827997,-0.2636799216,-0.6753135920,0.0156254768,-0.9673146605,0.3673232794,0.0199992061,0.0035552382,0.0032269584,-0.7943041921,-0.0542351492,0.6052867174,
