Time,Gyr0_X,Gyr0_Y,Gyr0_Z,Acc0_X,Acc0_Y,Acc0_Z,Mag0_X,Mag0_Y,Mag0_Z,LiA0_X,LiA0_Y,LiA0_Z,Quat0_W,Quat0_X,Quat0_Y,Quat0_Z,Gyr1_X,Gyr1_Y,Gyr1_Z,Acc1_X,Acc1_Y,Acc1_Z,Mag1_X,Mag1_Y,Mag1_Z,LiA1_X,LiA1_Y,LiA1_Z,Quat1_W,Quat1_X,Quat1_Y,Quat1_Z,Gyr2_X,Gyr2_Y,Gyr2_Z,Acc2_X,Acc2_Y,Acc2_Z,Mag2_X,Mag2_Y,Mag2_Z,LiA2_X,LiA2_Y,LiA2_Z,Quat2_W,Quat2_X,Quat2_Y,Quat2_Z,Gyr3_X,Gyr3_Y,Gyr3_Z,Acc3_X,Acc3_Y,Acc3_Z,Mag3_X,Mag3_Y,Mag3_Z,LiA3_X,LiA3_Y,LiA3_Z,Quat3_W,Quat3_X,Quat3_Y,Quat3_Z,
(sec),(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,(dps),(dps),(dps),(G),(G),(G),(Guass),(Guass),(Guass),(G),(G),(G),,,,,
1160.109,0.1220740378,0.0000000000,0.9155552983,0.0413830988,0.0543229468,-1.0110172033,-0.1297647059,-0.0319833979,-0.4535050392,-0.0005897805,0.0066352859,-0.0130366683,0.0246616229,0.1658784747,-0.9857574701,-0.0200383961,-0.0610370189,-0.2441480756,0.4272591472,0.5088046193,0.3200781345,-0.8200933933,-0.3817255199,0.4091921747,-0.4355601668,0.0107382238,0.0081442595,-0.0109457374,0.2173750550,-0.2175091654,-0.9260165691,-0.2194863558,-0.0610370189,-0.2441480756,0.4272591472,0.5088046193,0.3200781345,-0.8200933933,-0.3817255199,0.4091921747,-0.4355601668,0.0107382238,0.0081442595,-0.0109457374,0.2173750550,-0.2175091654,-0.9260165691,-0.2194863558,0.0000000000,0.3662221134,-0.7324442267,-0.5020905137,0.0000000000,-0.5118564367,-0.4207892120,0.0312509537,-1.0000305176,0.2266232967,0.0731820613,0.1691543460,-0.0280493926,-0.9036462903,-0.1554734856,0.3983815014,
1160.122,0.1220740378,-0.0610370189,0.9155552983,0.0418713950,0.0534684286,-1.0110172033,-0.1282998174,-0.0350352488,-0.4433729053,-0.0000951812,0.0057832450,-0.0130362511,0.0246582776,0.1658770740,-0.9857577682,-0.0200377312,-0.0610370189,-0.1831110567,0.2441480756,0.5107578039,0.3216650784,-0.8192388415,-0.3791619539,0.4054078758,-0.4395886064,0.0126840472,0.0097219646,-0.0100992322,0.2173802406,-0.2174999416,-0.9260166883,-0.2194903791,-0.0610370189,-0.1831110567,0.2441480756,0.5107578039,0.3216650784,-0.8192388415,-0.3791619539,0.4054078758,-0.4395886064,0.0126840472,0.0097219646,-0.0100992322,0.2173802406,-0.2174999416,-0.9260166883,-0.2194903791,0.0610370189,0.3662221134,-0.7324442267,-0.6740928292,0.0000000000,-0.5117343664,-0.4217658043,0.0312509537,-0.9989318252,0.0549359918,0.0729190782,0.1689674854,-0.0281335488,-0.9035978913,-0.1552576572,0.3985694051,
1160.135,0.1220740378,0.0000000000,0.8545182943,0.0411389507,0.0543229468,-1.0094301701,-0.1295205504,-0.0368663594,-0.4460585415,-0.0008281842,0.0066351406,-0.0114493966,0.0246592797,0.1659020931,-0.9857535362,-0.0200383533,-0.0610370189,-0.1220740378,0.1220740378,0.5085604191,0.3221533895,-0.8187505603,-0.3785516024,0.4083376527,-0.4375133514,0.0104851127,0.0101860762,-0.0096212626,0.2173805982,-0.2174916118,-0.9260157943,-0.2195017785,-0.0610370189,-0.1220740378,0.1220740378,0.5085604191,0.3221533895,-0.8187505603,-0.3785516024,0.4083376527,-0.4375133514,0.0104851127,0.0101860762,-0.0096212626,0.2173805982,-0.2174916118,-0.9260157943,-0.2195017785,0.1831110567,-0.7324442267,-0.9765923023,-0.6718955040,-0.0021973327,-0.5039216280,-0.4198126197,0.0312509537,-1.0000305176,0.0575933456,0.0705188140,0.1763092279,-0.0282078832,-0.9035029411,-0.1550520360,0.3988595009,
1160.148,0.0610370189,-0.0610370189,0.9155552983,0.0412610248,0.0540787987,-1.0099185705,-0.1259804070,-0.0352793969,-0.4482558668,-0.0006970465,0.0063795261,-0.0119379759,0.0246561170,0.1659195721,-0.9857505560,-0.0200443231,0.0000000000,-0.1220740378,0.0610370189,0.5083162785,0.3222754598,-0.8182622790,-0.3791619539,0.4073610604,-0.4375133514,0.0102426708,0.0102860332,-0.0091404915,0.2173817009,-0.2174735069,-0.9260179996,-0.2195092142,0.0000000000,-0.1220740378,0.0610370189,0.5083162785,0.3222754598,-0.8182622790,-0.3791619539,0.4073610604,-0.4375133514,0.0102426708,0.0102860332,-0.0091404915,0.2173817009,-0.2174735069,-0.9260179996,-0.2195092142,0.1220740378,-0.6103702188,-0.7324442267,-0.6685994864,-0.0026856288,-0.5008697510,-0.4168828428,0.0327158421,-0.9491256475,0.0613368154,0.0697932467,0.1789062619,-0.0283073876,-0.9034089446,-0.1548654139,0.3991374373,
1160.161,0.1220740378,-0.0610370189,0.9155552983,0.0416272469,0.0538346507,-1.0100406408,-0.1261024773,-0.0345469527,-0.4487441778,-0.0003235899,0.0061358437,-0.0120597482,0.0246526357,0.1659258604,-0.9857496023,-0.0200445354,0.0610370189,-0.1220740378,0.0000000000,0.5080721378,0.3220313191,-0.8175298572,-0.3806268573,0.4063844681,-0.4369029701,0.0100026727,0.0100230575,-0.0084127188,0.2173840106,-0.2174461037,-0.9260233045,-0.2195122242,0.0610370189,-0.1220740378,0.0000000000,0.5080721378,0.3220313191,-0.8175298572,-0.3806268573,0.4063844681,-0.4369029701,0.0100026727,0.0100230575,-0.0084127188,0.2173840106,-0.2174461037,-0.9260233045,-0.2195122242,0.0000000000,-0.7324442267,-0.7324442267,-0.5017243028,-0.0019531846,-0.5020905137,-0.4170049131,0.0333262123,-0.9975890517,0.2281860113,0.0702710375,0.1777407527,-0.0283614658,-0.9034550786,-0.1546869874,0.3990989923,
1160.174,0.1220740378,-0.0610370189,0.9155552983,0.0410168767,0.0538346507,-1.0091860294,-0.1280556619,-0.0332041383,-0.4474013448,-0.0009239241,0.0061360784,-0.0112046599,0.0246471521,0.1659007519,-0.9857539535,-0.0200458802,0.1220740378,-0.1831110567,0.0000000000,0.5099032521,0.3216650784,-0.8185064197,-0.3808709979,0.4088259637,-0.4366588295,0.0118416250,0.0096511245,-0.0093866587,0.2173837423,-0.2174269408,-0.9260284305,-0.2195095271,0.1220740378,-0.1831110567,0.0000000000,0.5099032521,0.3216650784,-0.8185064197,-0.3808709979,0.4088259637,-0.4366588295,0.0118416250,0.0096511245,-0.0093866587,0.2173837423,-0.2174269408,-0.9260284305,-0.2195095271,0.0000000000,0.2441480756,-0.7324442267,-0.5029450655,-0.0023194067,-0.5097811818,-0.4207892120,0.0332041383,-0.9531540871,0.2268009782,0.0696538836,0.1702528596,-0.0284124427,-0.9035354257,-0.1545443237,0.3989683390,
1160.187,0.1220740378,0.0000000000,0.9155552983,0.0410168767,0.0539567247,-1.0106509924,-0.1263466328,-0.0330820642,-0.4492324591,-0.0009242781,0.0062581599,-0.0126696229,0.0246469937,0.1658844352,-0.9857566953,-0.0200462546,0.0610370189,-0.1831110567,0.0000000000,0.5106356740,0.3199560642,-0.8197271824,-0.3830683231,0.4040650725,-0.4362926185,0.0125802159,0.0079374313,-0.0106054544,0.2173875123,-0.2173949778,-0.9260364771,-0.2195035219,0.0610370189,-0.1831110567,0.0000000000,0.5106356740,0.3199560642,-0.8197271824,-0.3830683231,0.4040650725,-0.4362926185,0.0125802159,0.0079374313,-0.0106054544,0.2173875123,-0.2173949778,-0.9260364771,-0.2195035219,0.0610370189,0.0610370189,-0.7934812307,-0.6729941964,0.0000000000,-0.5110019445,-0.4209112823,0.0334482864,-0.9549852014,0.0570962429,0.0717241019,0.1686886549,-0.0285099335,-0.9034705758,-0.1543676406,0.3991765082,
1160.200,0.1220740378,0.0000000000,0.9155552983,0.0413830988,0.0539567247,-1.0099185705,-0.1268349290,-0.0314951017,-0.4492324591,-0.0005603582,0.0062579811,-0.0119373202,0.0246472787,0.1658418030,-0.9857638478,-0.0200472176,0.0610370189,-0.1831110567,0.0000000000,0.5096591115,0.3206884861,-0.8193609715,-0.3818475902,0.4035767615,-0.4305551350,0.0116132200,0.0086607933,-0.0102368593,0.2173867524,-0.2173724920,-0.9260423779,-0.2195015699,0.0610370189,-0.1831110567,0.0000000000,0.5096591115,0.3206884861,-0.8193609715,-0.3818475902,0.4035767615,-0.4305551350,0.0116132200,0.0086607933,-0.0102368593,0.2173867524,-0.2173724920,-0.9260423779,-0.2195015699,0.0610370189,0.2441480756,-0.8545182943,-0.6729941964,-0.0156254768,-0.5092929006,-0.4218878746,0.0312509537,-0.9569383860,0.0574169159,0.0559507012,0.1700688004,-0.0285549313,-0.9034079313,-0.1542014033,0.3993792236,
1160.213,0.1220740378,0.0000000000,0.8545182943,0.0419934690,0.0540787987,-1.0099185705,-0.1269569993,-0.0322275460,-0.4443494976,0.0000452213,0.0063788444,-0.0119375587,0.0246491488,0.1658124924,-0.9857686758,-0.0200481527,0.0000000000,-0.1831110567,0.1220740378,0.5090487599,0.3209326565,-0.8196051121,-0.3812372088,0.4063844681,-0.4370250702,0.0110086501,0.0088966787,-0.0104806423,0.2173861861,-0.2173581123,-0.9260458350,-0.2195017189,0.0000000000,-0.1831110567,0.1220740378,0.5090487599,0.3209326565,-0.8196051121,-0.3812372088,0.4063844681,-0.4370250702,0.0110086501,0.0088966787,-0.0104806423,0.2173861861,-0.2173581123,-0.9260458350,-0.2195017189,0.0000000000,0.1220740378,-0.8545182943,-0.6650593877,-0.0119632557,-0.5077059269,-0.4218878746,0.0314951017,-0.9546189904,0.0656721592,0.0594373196,0.1713297963,-0.0286150798,-0.9033459425,-0.1540361643,0.3995789289,
