Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2569.083,-3.2355024815,1.3371151686,-93.0565948486,0.0628857315,0.0417763889,-0.0000858903,-110.8759765625,75.3448638916,155.4923706055,0.0377786756,0.0601229370,0.0114289522,-2.8848502636,82.4543838501,178.2237091064,0.0299148560,0.0252439938,0.0303444266,27.0545997620,55.3761978149,-178.4185485840,0.0768066645,0.0051425695,0.0025917888,
2569.093,-3.2348608971,1.3390970230,-93.0561447144,0.0575492159,0.0403003208,0.0135861039,-110.8752441406,75.3422088623,155.5002899170,0.0441145897,0.0601660907,0.0114418864,-2.8771598339,82.4557647705,178.2390594482,0.0235703588,0.0242484137,0.0176721811,27.0592937469,55.3788032532,-178.4115600586,0.0699965358,0.0070711970,0.0041110516,
2569.103,-3.2346177101,1.3411349058,-93.0551147461,0.0590496138,0.0412725955,-0.0030148029,-110.8764266968,75.3413467407,155.5076599121,0.0431342125,0.0635964274,0.0109634995,-2.8789751530,82.4556350708,178.2469024658,0.0304059982,0.0183933526,0.0215764642,27.0590248108,55.3811759949,-178.4089050293,0.0709966421,0.0031828284,-0.0012308955,
2569.113,-3.2346665859,1.3392305374,-93.0544891357,0.0624343529,0.0422500558,0.0087033510,-110.8766250610,75.3404541016,155.5117187500,0.0402005911,0.0601908863,0.0060871243,-2.8934442997,82.4527740479,178.2420196533,0.0299111605,0.0184294116,0.0288515687,27.0549507141,55.3819389343,-178.4102935791,0.0685628057,0.0037120879,0.0055963993,
2569.123,-3.2352924347,1.3387879133,-93.0533599854,0.0614500716,0.0403078459,0.0013797879,-110.8761291504,75.3423385620,155.5169219971,0.0358144045,0.0630933642,0.0138859749,-2.8985614777,82.4498596191,178.2450561523,0.0225802660,0.0243030451,0.0317350626,27.0457496643,55.3819389343,-178.4135894775,0.0666096807,-0.0030425489,0.0065315962,
2569.133,-3.2355873585,1.3382874727,-93.0528335571,0.0594882108,0.0393364318,0.0038203001,-110.8752136230,75.3420410156,155.5212097168,0.0392310619,0.0577266812,0.0090013146,-2.9016921520,82.4527969360,178.2520599365,0.0201455951,0.0228430200,0.0195759535,27.0406513214,55.3814620972,-178.4159851074,0.0729525685,-0.0000709593,0.0006429553,
2569.143,-3.2341020107,1.3381593227,-93.0516204834,0.0604625382,0.0476113409,0.0043079853,-110.8874053955,75.3464736938,155.5132751465,0.0329029560,0.0664278865,0.0060954094,-2.9028904438,82.4524078369,178.2590484619,0.0274689198,0.0243108813,0.0225015879,27.0327796936,55.3808860779,-178.4188537598,0.0734351277,-0.0034231544,0.0010883808,
2569.153,-3.2337896824,1.3350481987,-93.0497741699,0.0648027882,0.0412583165,0.0096771717,-110.9015884399,75.3470611572,155.5044555664,0.0412063599,0.0605366230,0.0037092566,-2.9096112251,82.4551696777,178.2610321045,0.0245455503,0.0267655905,0.0215699077,27.0234260559,55.3770713806,-178.4232788086,0.0685145259,-0.0014122128,0.0078334808,
2569.163,-3.2337396145,1.3360878229,-93.0474472046,0.0589615479,0.0402808525,0.0101661086,-110.9066009521,75.3470306396,155.5054016113,0.0392530560,0.0634585917,0.0086132288,-2.9069385529,82.4530792236,178.2748718262,0.0240525007,0.0272493567,0.0288614631,27.0175056458,55.3754234314,-178.4231262207,0.0753341317,-0.0033237040,0.0004615188,
2569.173,-3.2356135845,1.3377377987,-93.0451202393,0.0545958094,0.0378720537,0.0077271461,-110.9136581421,75.3451385498,155.5060882568,0.0372915864,0.0634772778,0.0101186037,-2.9002158642,82.4506912231,178.2938537598,0.0225821733,0.0316305459,0.0273509026,27.0147991180,55.3706893921,-178.4222869873,0.0757754445,0.0035052299,0.0033184290,
