Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2762.873,-3.2028632164,1.3023148775,-73.0884780884,0.0632550716,0.0460913703,-0.0006198883,-85.2697372437,-16.8247680664,146.5571441650,-0.0682542324,0.0191088319,0.0016140342,-49.5704727173,83.1410446167,-93.1432113647,0.0138392448,0.0288500488,0.0356008708,29.8122844696,53.6496276855,-89.4219207764,0.0715207458,-0.0027843118,-0.0017560124,
2762.883,-3.2001953125,1.3024663925,-73.0873031616,0.0593514666,0.0475097299,0.0003537536,-85.2528762817,-16.8227977753,146.4738464355,-0.0662681758,0.0166540146,0.0071918964,-49.5768432617,83.1429901123,-93.1410827637,0.0187261105,0.0288311839,0.0239166319,29.7986831665,53.6546669006,-89.4296035767,0.0710846186,-0.0075097084,0.0006778836,
2762.893,-3.2003390789,1.3036818504,-73.0861511230,0.0559547022,0.0396997072,0.0101205707,-85.2311630249,-16.8206272125,146.3957824707,-0.0676967502,0.0229824185,0.0053644180,-49.5932579041,83.1432189941,-93.1501388550,0.0201914310,0.0273856223,0.0180864483,29.7843799591,53.6578521729,-89.4379501343,0.0740472674,0.0014299750,-0.0013105273,
2762.903,-3.1997013092,1.3002918959,-73.0830764771,0.0656611770,0.0445714854,0.0008405447,-85.2088623047,-16.8158435822,146.3232574463,-0.0700581670,0.0332292318,0.0162217617,-49.6102828979,83.1433334351,-93.1605072021,0.0182385445,0.0244777501,0.0244629979,29.7701187134,53.6597671509,-89.4469070435,0.0755318999,-0.0028231144,0.0054754019,
2762.913,-3.1980593204,1.3012585640,-73.0813751221,0.0612835139,0.0416131690,0.0110937953,-85.1928710938,-16.8122634888,146.2578887939,-0.0699984133,0.0249239206,0.0066766739,-49.6273155212,83.1427612305,-93.1737518311,0.0172607899,0.0215801597,0.0191114992,29.7583160400,53.6635551453,-89.4540405273,0.0745944977,-0.0100148618,0.0020432472,
2762.923,-3.1979341507,1.2991422415,-73.0801467896,0.0612465888,0.0406344682,0.0110923052,-85.1758651733,-16.8111228943,146.1983795166,-0.0690028071,0.0312532783,0.0176236033,-49.6474418640,83.1425018311,-93.1914749146,0.0172602534,0.0216102302,0.0250015706,29.7484569550,53.6622962952,-89.4590301514,0.0794643164,-0.0045639873,0.0093013644,
2762.933,-3.2009603977,1.2989766598,-73.0808486938,0.0602671355,0.0362926722,0.0052362084,-85.1648330688,-16.8079910278,146.1497955322,-0.0743215680,0.0302770734,0.0101140738,-49.6517448425,83.1399002075,-93.1946105957,0.0182313919,0.0236032009,0.0264444202,29.7451381683,53.6660919189,-89.4594650269,0.0775504708,0.0003751218,-0.0004345775,
2762.943,-3.2021083832,1.2993735075,-73.0809249878,0.0583209321,0.0407071933,0.0023078918,-85.1546173096,-16.8062820435,146.1082000732,-0.0728282034,0.0273414850,0.0167791843,-49.6459274292,83.1359863281,-93.1895065308,0.0177349448,0.0246222913,0.0298101455,29.7452602386,53.6648025513,-89.4575805664,0.0785136819,0.0028064251,0.0068745017,
2762.953,-3.2027454376,1.2992290258,-73.0785293579,0.0588066950,0.0421831384,0.0096326470,-85.1519699097,-16.8014965057,146.0764923096,-0.0820255578,0.0371274948,0.0206391215,-49.6370697021,83.1333312988,-93.1826248169,0.0196825266,0.0261105001,0.0297653824,29.7484474182,53.6676940918,-89.4526290894,0.0707311034,-0.0011084378,0.0010654926,
2762.963,-3.2024252415,1.2982351780,-73.0773315430,0.0592776351,0.0392478965,0.0062139630,-85.1593856812,-16.7971324921,146.0521697998,-0.0751166940,0.0405778289,0.0183197260,-49.6371955872,83.1316680908,-93.1803359985,0.0182142258,0.0256427824,0.0258423537,29.7569408417,53.6682624817,-89.4418869019,0.0736666322,0.0017490983,-0.0023009777,
