Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2372.903,-3.2308223248,1.3576687574,-113.4815444946,0.0598263852,0.0441357866,0.0091959238,-113.2832946777,75.5632629395,110.1047439575,0.0338531733,0.0639748573,0.0105929375,-1.2612084150,82.2913589478,25.1000041962,0.0251426697,0.0274007618,0.0279142112,26.4045944214,55.0017433167,105.4187927246,0.0677046776,0.0031468272,-0.0002268553,
2372.913,-3.2303125858,1.3562320471,-113.4796905518,0.0588247553,0.0441269390,0.0067525506,-113.2814025879,75.5618743896,110.1131668091,0.0397065282,0.0586278737,0.0130359530,-1.2602674961,82.2931137085,25.1116237640,0.0300295949,0.0244681537,0.0211102217,26.4089355469,55.0027847290,105.4255218506,0.0725979209,0.0016495585,0.0027348399,
2372.923,-3.2285592556,1.3547806740,-113.4772109985,0.0612408370,0.0440964289,0.0096807480,-113.2873153687,75.5659179688,110.1139221191,0.0338647366,0.0644145161,0.0115678906,-1.2595075369,82.2945861816,25.1213893890,0.0256385207,0.0215361267,0.0211345255,26.4094123840,55.0054893494,105.4317169189,0.0706718564,-0.0017554462,0.0008189082,
2372.933,-3.2281470299,1.3559368849,-113.4755172729,0.0583313257,0.0416478142,0.0072386265,-113.2859954834,75.5659408569,110.1223983765,0.0367945433,0.0561157018,0.0125389695,-1.2703295946,82.2980804443,25.1182270050,0.0212521553,0.0220486969,0.0168002695,26.4099349976,55.0054855347,105.4360275269,0.0779960155,0.0016578138,0.0027742386,
2372.943,-3.2273504734,1.3560565710,-113.4730758667,0.0578451306,0.0450519025,0.0087031126,-113.2923965454,75.5675659180,110.1223373413,0.0460789800,0.0594973862,0.0047413111,-1.2730996609,82.2968368530,25.1224937439,0.0246672034,0.0230322778,0.0260568708,26.4088115692,55.0057983398,105.4378585815,0.0755577683,-0.0007715225,0.0008202195,
2372.953,-3.2269415855,1.3557641506,-113.4718627930,0.0588165894,0.0460213497,0.0018666387,-113.2942504883,75.5712814331,110.1223831177,0.0373060703,0.0579723567,0.0066772699,-1.2743216753,82.2976760864,25.1290073395,0.0266222954,0.0220583230,0.0211865604,26.4093761444,55.0064048767,105.4414138794,0.0770286918,0.0016686916,-0.0055172443,
2372.963,-3.2268223763,1.3569345474,-113.4714126587,0.0622549802,0.0450426862,0.0052846074,-113.2840118408,75.5767593384,110.1353988647,0.0339118838,0.0564403832,0.0168536305,-1.2690536976,82.2962188721,25.1392993927,0.0256423354,0.0279057473,0.0221401900,26.4110946655,55.0077590942,105.4464035034,0.0716711283,0.0026383996,-0.0035392642,
2372.973,-3.2280783653,1.3577014208,-113.4710388184,0.0681277364,0.0401817262,0.0096814036,-113.2925567627,75.5809631348,110.1259307861,0.0407661200,0.0573362708,0.0066059828,-1.2671328783,82.2969131470,25.1451396942,0.0251556635,0.0259478390,0.0197092146,26.4140129089,55.0052223206,105.4500427246,0.0789699554,0.0069906712,0.0071834922,
2372.983,-3.2276711464,1.3574532270,-113.4699401855,0.0632405952,0.0416394919,0.0101684332,-113.2923278809,75.5820236206,110.1255340576,0.0393058658,0.0543913543,0.0070862174,-1.2460513115,82.2955398560,25.1707286835,0.0227110386,0.0288281292,0.0289635658,26.4129886627,55.0062713623,105.4524154663,0.0750741959,-0.0032474101,0.0003564358,
2372.993,-3.2271285057,1.3572989702,-113.4694061279,0.0603082143,0.0401651934,0.0008908510,-113.2939910889,75.5822296143,110.1224365234,0.0378419161,0.0607330799,0.0100212693,-1.2403681278,82.2965011597,25.1830539703,0.0280843973,0.0205135643,0.0162830055,26.4100036621,55.0044097900,105.4524536133,0.0765203834,0.0040917099,0.0076434612,
2373.003,-3.2254354954,1.3569624424,-113.4688415527,0.0612789057,0.0440419577,0.0101664066,-113.2963256836,75.5838165283,110.1196975708,0.0398019552,0.0631459951,0.0144145489,-1.2359372377,82.2956619263,25.1939105988,0.0290589929,0.0239213407,0.0196875334,26.4076995850,55.0065650940,105.4529800415,0.0677529573,-0.0041746795,0.0032662153,
2373.013,-3.2237708569,1.3567112684,-113.4682922363,0.0607862435,0.0440129638,0.0047934651,-113.3042984009,75.5856704712,110.1147384644,0.0417631269,0.0650569052,0.0090631247,-1.2203296423,82.2957382202,25.2168083191,0.0202701092,0.0233961642,0.0211486816,26.4085330963,55.0050315857,105.4564514160,0.0794563293,0.0070385337,0.0008089542,
2373.023,-3.2232470512,1.3548331261,-113.4677124023,0.0646597221,0.0420507565,0.0130928755,-113.3023529053,75.5828018188,110.1196289063,0.0363795757,0.0587563068,0.0100510120,-1.2344300747,82.2941055298,25.2120094299,0.0295436382,0.0229417831,0.0216140747,26.4085102081,55.0065574646,105.4604568481,0.0794715881,-0.0022288561,-0.0011245012,
2373.033,-3.2244536877,1.3544740677,-113.4671020508,0.0568409562,0.0425600633,0.0033285618,-113.3045730591,75.5789794922,110.1233596802,0.0378277898,0.0583239645,0.0120384097,-1.2454590797,82.2954254150,25.2079391479,0.0280818939,0.0234556794,0.0231018960,26.4106349945,55.0053634644,105.4654541016,0.0814127922,0.0089749396,0.0042404532,
2373.043,-3.2233734131,1.3538390398,-113.4658966064,0.0602478459,0.0440061018,0.0086982846,-113.2991714478,75.5762481689,110.1352310181,0.0339096785,0.0583752692,0.0154528618,-1.2280578613,82.2944412231,25.2335109711,0.0285678506,0.0307390988,0.0250360370,26.4091625214,55.0065994263,105.4686355591,0.0701947212,-0.0002812743,0.0047381520,
