Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2042.043,-3.2136993408,1.3218587637,-147.5737304688,0.0626195222,0.0443265885,0.0135586262,-120.4473571777,75.7616195679,14.4279832840,0.0376402140,0.0557686388,0.0036200881,-9.9307289124,82.7590637207,121.4291610718,0.0252280235,0.0269087553,0.0167753696,24.0101909637,55.7608222961,-14.2662925720,0.0727897882,0.0087661743,0.0053765178,
2042.053,-3.2117097378,1.3221219778,-147.5749969482,0.0587178692,0.0452684835,0.0072086453,-120.4594345093,75.7580871582,14.4241552353,0.0322539210,0.0509108007,0.0036951303,-9.9394121170,82.7626647949,121.4310836792,0.0242593884,0.0244757831,0.0207456350,24.0133399963,55.7614135742,-14.2593822479,0.0801198483,0.0028820783,-0.0004622340,
2042.063,-3.2128303051,1.3200294971,-147.5719451904,0.0611227602,0.0384521112,0.0003737211,-120.4513473511,75.7588195801,14.4400997162,0.0317687988,0.0548237860,0.0212370157,-9.9210987091,82.7618179321,121.4590759277,0.0262106657,0.0332269967,0.0265848637,24.0148181915,55.7613525391,-14.2537469864,0.0781661272,0.0067747682,-0.0004565716,
2042.073,-3.2139208317,1.3202840090,-147.5696258545,0.0591740757,0.0365179889,-0.0010909438,-120.4616928101,75.7579345703,14.4377079010,0.0327415466,0.0601851940,0.0051696897,-9.9252138138,82.7623138428,121.4636764526,0.0252351761,0.0259104073,0.0207349658,24.0200424194,55.7624855042,-14.2460994720,0.0713412762,0.0086875260,0.0005549192,
2042.083,-3.2141287327,1.3208830357,-147.5672607422,0.0582079701,0.0394512825,0.0057463050,-120.4650115967,75.7545852661,14.4411706924,0.0332154632,0.0568087995,0.0052106977,-9.9266681671,82.7623977661,121.4729156494,0.0227939487,0.0234720111,0.0207364559,24.0132846832,55.7588348389,-14.2482337952,0.0742350817,0.0028674453,0.0078045130,
2042.093,-3.2137000561,1.3188061714,-147.5654144287,0.0611014180,0.0438383929,0.0076976418,-120.4781646729,75.7530288696,14.4345149994,0.0346736312,0.0563137829,0.0033198595,-9.9241800308,82.7610702515,121.4847412109,0.0208379030,0.0259118974,0.0216895342,24.0032405853,55.7583122253,-14.2526035309,0.0727651119,0.0010013878,0.0067808032,
2042.103,-3.2133526802,1.3190530539,-147.5642242432,0.0591525994,0.0457854569,0.0042801499,-120.4817962646,75.7533798218,14.4361743927,0.0327219963,0.0577663183,0.0101662278,-9.9325227737,82.7608261108,121.4865493774,0.0198608041,0.0200715959,0.0216883421,23.9995250702,55.7596359253,-14.2506685257,0.0727781653,0.0034839213,-0.0034704804,
2042.113,-3.2133033276,1.3178290129,-147.5642547607,0.0620609298,0.0448080637,0.0081850290,-120.4767150879,75.7512512207,14.4472532272,0.0341777205,0.0490190834,0.0067475438,-9.9444341660,82.7613906860,121.4826965332,0.0213268995,0.0244903564,0.0221923590,23.9975910187,55.7594337463,-14.2479896545,0.0781472325,0.0059415102,0.0028667450,
2042.123,-3.2128002644,1.3167712688,-147.5630798340,0.0620424710,0.0418696329,0.0169738531,-120.4851837158,75.7498703003,14.4463186264,0.0390545726,0.0529269874,0.0082557797,-9.9612989426,82.7635116577,121.4733352661,0.0208432674,0.0250094831,0.0212573409,23.9974613190,55.7592239380,-14.2443351746,0.0781452060,0.0030117184,-0.0005544424,
2042.133,-3.2109048367,1.3169806004,-147.5607147217,0.0620461255,0.0467194244,0.0145301819,-120.4838027954,75.7492980957,14.4533262253,0.0322161913,0.0548914820,0.0146031380,-9.9773149490,82.7621459961,121.4666137695,0.0252348185,0.0221189260,0.0280768871,24.0033264160,55.7620811462,-14.2359428406,0.0762201548,0.0059055835,0.0024366379,
2042.143,-3.2077500820,1.3150600195,-147.5582427979,0.0625008941,0.0491059087,-0.0006102324,-120.4844360352,75.7469177246,14.4585275650,0.0375770330,0.0534594804,0.0087665319,-9.9789152145,82.7633743286,121.4724349976,0.0227960944,0.0289548635,0.0188201070,24.0100784302,55.7655029297,-14.2265424728,0.0738123059,0.0004938245,-0.0013985038,
2042.153,-3.2055180073,1.3153214455,-147.5570526123,0.0590874888,0.0480904542,0.0037823319,-120.4888916016,75.7453079224,14.4611673355,0.0287810564,0.0593329668,0.0112382770,-9.9924163818,82.7646408081,121.4670791626,0.0262168646,0.0221445858,0.0232425332,24.0196685791,55.7676429749,-14.2158021927,0.0752981901,0.0072564185,0.0059933066,
2042.163,-3.2054076195,1.3169666529,-147.5577545166,0.0561865084,0.0407642834,0.0086658001,-120.4943008423,75.7456817627,14.4624156952,0.0356186032,0.0607800633,0.0083253384,-9.9937028885,82.7639923096,121.4739761353,0.0267037153,0.0241026878,0.0310428739,24.0285835266,55.7682609558,-14.2063961029,0.0796988010,0.0081565380,0.0026180744,
2042.173,-3.2053279877,1.3162834644,-147.5565490723,0.0581277087,0.0427160338,0.0042704940,-120.4981460571,75.7458877563,14.4641132355,0.0370843410,0.0602802634,0.0063848495,-9.9818563461,82.7624206543,121.4919967651,0.0213291645,0.0284758806,0.0271056294,24.0327568054,55.7740974426,-14.2007036209,0.0695021749,-0.0001472831,-0.0016816854,
2042.183,-3.2053012848,1.3171825409,-147.5553436279,0.0547254272,0.0446686670,0.0037828684,-120.5030288696,75.7446594238,14.4652519226,0.0307314396,0.0573577285,0.0069017410,-9.9719657898,82.7636947632,121.5095367432,0.0306093097,0.0235675573,0.0202875733,24.0348014832,55.7742538452,-14.1965951920,0.0753630400,0.0066710711,-0.0002077818,
