Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
2142.893,-3.2064800262,1.3402700424,-137.1887664795,0.0595228076,0.0422472768,0.0106292963,-104.3353195190,-11.5291204453,66.2459335327,-0.0397097170,-0.0459916592,0.0029324889,-43.7457542419,83.7344589233,156.3896942139,0.0199056864,0.0236449987,0.0212554336,25.9521293640,54.9228858948,25.9535446167,0.0805863738,-0.0010919869,0.0035978556,
2142.903,-3.2067549229,1.3392208815,-137.1863708496,0.0638990253,0.0456700511,0.0037931204,-104.3381042480,-11.5301923752,66.2476425171,-0.0397280455,-0.0508903265,0.0010251254,-43.7691535950,83.7327117920,156.3730316162,0.0194140673,0.0222337842,0.0256596208,25.9524631500,54.9221954346,25.9579658508,0.0737435222,-0.0025641024,-0.0022684932,
2142.913,-3.2061159611,1.3380712271,-137.1845550537,0.0599727221,0.0402878672,0.0072101355,-104.3386230469,-11.5256948471,66.2478561401,-0.0420925617,-0.0562481284,0.0049434602,-43.8054237366,83.7298660278,156.3428955078,0.0194086432,0.0223180503,0.0246968865,25.9578647614,54.9219551086,25.9661769867,0.0776473284,0.0056863725,-0.0027367473,
2142.923,-3.2038884163,1.3392410278,-137.1834716797,0.0624345392,0.0480615273,0.0067200065,-104.3398742676,-11.5226688385,66.2492752075,-0.0366697013,-0.0635676384,0.0059438199,-43.8364601135,83.7324600220,156.3192291260,0.0164839029,0.0281902254,0.0218409300,25.9664649963,54.9196434021,25.9753360748,0.0742061734,0.0075474679,0.0011780858,
2142.933,-3.2035272121,1.3377177715,-137.1815948486,0.0589899905,0.0436607301,0.0028127432,-104.3374023438,-11.5168218613,66.2488708496,-0.0424290597,-0.0601193905,-0.0014165044,-43.8549957275,83.7300491333,156.3103637695,0.0218504071,0.0253140479,0.0267201066,25.9716358185,54.9172134399,25.9826869965,0.0712521076,0.0050442219,0.0055639744,
2142.943,-3.2042536736,1.3358250856,-137.1810302734,0.0667694658,0.0441617221,0.0106251836,-104.3266525269,-11.5119924545,66.2473602295,-0.0359988213,-0.0532217026,0.0145228654,-43.8604621887,83.7289581299,156.3158874512,0.0242897272,0.0277774334,0.0296418071,25.9799308777,54.9136848450,25.9927558899,0.0721933246,0.0098302364,0.0036024451,
2142.953,-3.2053232193,1.3331733942,-137.1785888672,0.0633052289,0.0363679081,0.0096485615,-104.3211669922,-11.5057945251,66.2473754883,-0.0402873456,-0.0502476692,-0.0011881739,-43.8698806763,83.7288589478,156.3193206787,0.0267309546,0.0238845199,0.0237953067,25.9818477631,54.9113960266,25.9988174438,0.0702171922,0.0049156547,0.0021159053,
2142.963,-3.2052359581,1.3336324692,-137.1781311035,0.0623366758,0.0407609083,-0.0015817881,-104.3175430298,-11.4972925186,66.2484207153,-0.0411185026,-0.0477627516,0.0046191365,-43.8449897766,83.7288360596,156.3546295166,0.0257543325,0.0262912661,0.0281562209,25.9826622009,54.9119796753,26.0029373169,0.0707113147,-0.0019239187,0.0055453181,
2142.973,-3.2068622112,1.3333486319,-137.1770172119,0.0633082837,0.0388361253,0.0086737871,-104.3161926270,-11.4856901169,66.2482681274,-0.0414083600,-0.0521119833,0.0011878908,-43.7934684753,83.7298278809,156.4185485840,0.0228265524,0.0257198662,0.0295630097,25.9839229584,54.9112586975,26.0073184967,0.0780283213,0.0058727264,0.0026120543,
2142.983,-3.2062718868,1.3332396746,-137.1770782471,0.0598884150,0.0446852148,-0.0030456781,-104.3198089600,-11.4784021378,66.2513275146,-0.0388422906,-0.0516149402,0.0056494623,-43.7401504517,83.7304000854,156.4813079834,0.0184330940,0.0202666372,0.0304755569,25.9797687531,54.9107933044,26.0060157776,0.0750939846,0.0020010471,0.0045409799,
2142.993,-3.2058320045,1.3314238787,-137.1758575439,0.0622981414,0.0417479090,0.0101368427,-104.3250808716,-11.4717855453,66.2566909790,-0.0401939750,-0.0584505796,0.0042772442,-43.7047920227,83.7365264893,156.5230865479,0.0247924328,0.0274695754,0.0192728043,25.9730300903,54.9111289978,26.0028114319,0.0809566975,0.0020638406,0.0020735264,
2143.003,-3.2071449757,1.3327351809,-137.1741485596,0.0598796159,0.0442121588,0.0057440996,-104.3292617798,-11.4647798538,66.2616119385,-0.0347030163,-0.0603981018,0.0028880388,-43.6650352478,83.7390289307,156.5674133301,0.0233323574,0.0239664465,0.0246213078,25.9688243866,54.9119834900,25.9995079041,0.0760824680,0.0050370097,0.0059734583,
2143.013,-3.2066752911,1.3348187208,-137.1736907959,0.0569862798,0.0398093909,0.0072093010,-104.3350372314,-11.4532403946,66.2679138184,-0.0345056653,-0.0564773083,0.0034816563,-43.6221923828,83.7402496338,156.6133117676,0.0213815570,0.0297513008,0.0304384828,25.9657993317,54.9165611267,25.9994201660,0.0731987357,0.0011865497,0.0011353493,
2143.023,-3.2053718567,1.3331487179,-137.1730346680,0.0593985468,0.0427164100,0.0067191124,-104.3411636353,-11.4378728867,66.2756729126,-0.0401021242,-0.0574283600,0.0006669164,-43.5946655273,83.7393798828,156.6457672119,0.0204033256,0.0253284276,0.0279494524,25.9644298553,54.9186248779,25.9991893768,0.0727311373,0.0056063533,0.0109215975,
2143.033,-3.2061419487,1.3332561255,-137.1731109619,0.0613535494,0.0441946723,-0.0006043911,-104.3458328247,-11.4193334579,66.2822952271,-0.0417381227,-0.0534797907,0.0085727274,-43.5790214539,83.7369689941,156.6649932861,0.0155159235,0.0263111591,0.0308286548,25.9600410461,54.9227027893,25.9986362457,0.0771665573,-0.0001879036,0.0031422377,
2143.043,-3.2073440552,1.3345825672,-137.1719818115,0.0555173196,0.0403093360,0.0086745024,-104.3533630371,-11.4007225037,66.2876205444,-0.0409314334,-0.0544258356,-0.0034937859,-43.5502815247,83.7342453003,156.6972198486,0.0189287066,0.0272791535,0.0346630216,25.9565067291,54.9233703613,25.9976749420,0.0791264176,0.0018012524,-0.0002827048,
2143.053,-3.2064843178,1.3323136568,-137.1732025146,0.0652433485,0.0456655025,0.0023251772,-104.3506393433,-11.3832921982,66.2883529663,-0.0377035141,-0.0582625270,0.0101480931,-43.5017166138,83.7342071533,156.7523956299,0.0282059908,0.0340466052,0.0287389755,25.9509639740,54.9267234802,25.9947261810,0.0698826909,-0.0039871931,0.0007124543,
2143.063,-3.2061228752,1.3339492083,-137.1733093262,0.0559945479,0.0417529233,-0.0020690560,-104.3444671631,-11.3613815308,66.2875442505,-0.0480707884,-0.0625577569,0.0071345121,-43.4460144043,83.7342071533,156.8178100586,0.0179520845,0.0281084329,0.0325714350,25.9517631531,54.9290542603,25.9988956451,0.0699060559,0.0077389777,0.0022110939,
2143.073,-3.2078881264,1.3334108591,-137.1715240479,0.0598914027,0.0383657105,0.0047683716,-104.3350524902,-11.3434848785,66.2837524414,-0.0409286022,-0.0614817739,0.0011341870,-43.4093894958,83.7346801758,156.8650512695,0.0184412599,0.0280523300,0.0247144699,25.9493293762,54.9283866882,25.9989833832,0.0718525052,0.0014089942,0.0036559105,
2143.083,-3.2077100277,1.3344689608,-137.1698303223,0.0608864278,0.0408039913,0.0091632605,-104.3214416504,-11.3261518478,66.2825393677,-0.0377023220,-0.0677143335,0.0106889158,-43.3734626770,83.7355880737,156.9130554199,0.0199078321,0.0318963677,0.0295619369,25.9517898560,54.9232406616,26.0056362152,0.0849844813,0.0062375963,0.0040900111,
2143.093,-3.2095189095,1.3351526260,-137.1711883545,0.0594335124,0.0383940823,0.0086770058,-104.3101959229,-11.3110389709,66.2818527222,-0.0350022614,-0.0598040819,0.0085620135,-43.3662300110,83.7343673706,156.9301300049,0.0228351951,0.0245765597,0.0266070366,25.9539661407,54.9215507507,26.0107498169,0.0776432753,0.0018128157,-0.0017822981,
2143.103,-3.2088286877,1.3360992670,-137.1700134277,0.0570086241,0.0447296910,0.0135596395,-104.3043365479,-11.2950353622,66.2869415283,-0.0405877531,-0.0563083887,0.0001777261,-43.3544311523,83.7348327637,156.9532318115,0.0169767141,0.0216240436,0.0202503800,25.9542427063,54.9185218811,26.0159606934,0.0741949081,0.0056976080,0.0079458952,
2143.113,-3.2096021175,1.3342534304,-137.1687927246,0.0623475164,0.0418135226,0.0086767673,-104.3045578003,-11.2801475525,66.2943420410,-0.0413095057,-0.0567481518,-0.0002947003,-43.3379592896,83.7346801758,156.9794921875,0.0203943849,0.0274618119,0.0265743732,25.9586925507,54.9157485962,26.0234241486,0.0780733824,0.0110113025,0.0045121312,
2143.123,-3.2108688354,1.3336248398,-137.1670684814,0.0642896742,0.0423238799,-0.0001112819,-104.3109207153,-11.2644577026,66.3041381836,-0.0395760834,-0.0577001572,-0.0035932958,-43.3073730469,83.7325820923,157.0175323486,0.0194138288,0.0259791911,0.0284595490,25.9546394348,54.9154472351,26.0221405029,0.0751406550,-0.0031141937,0.0088848472,
2143.133,-3.2076449394,1.3361833096,-137.1659545898,0.0574983731,0.0515450090,0.0042810440,-104.3172607422,-11.2495288849,66.3137512207,-0.0398088098,-0.0542591810,0.0043362081,-43.2772865295,83.7319869995,157.0573425293,0.0252720714,0.0264310986,0.0284132957,25.9529552460,54.9144363403,26.0242614746,0.0809898973,0.0008009374,0.0064230561,
2143.143,-3.2053086758,1.3365346193,-137.1648254395,0.0609224737,0.0441800766,0.0042787790,-104.3281936646,-11.2352991104,66.3240203857,-0.0390769541,-0.0537706614,-0.0057236999,-43.2472038269,83.7314910889,157.0985717773,0.0174586177,0.0263946801,0.0254369974,25.9495906830,54.9129333496,26.0242519379,0.0741388798,-0.0030843914,-0.0024006367,
2143.153,-3.2062172890,1.3364326954,-137.1637115479,0.0628738180,0.0412662216,0.0140454769,-104.3312835693,-11.2222414017,66.3320236206,-0.0383651257,-0.0586233139,0.0050802678,-43.2438850403,83.7320480347,157.1143493652,0.0213659406,0.0219890624,0.0220214128,25.9488906860,54.9115676880,26.0264034271,0.0741251707,0.0061908364,0.0049038529,
2143.163,-3.2084159851,1.3373229504,-137.1638336182,0.0589831024,0.0369099751,0.0096534491,-104.3315963745,-11.2130975723,66.3399200439,-0.0382086039,-0.0576182008,0.0016755611,-43.2010993958,83.7326431274,157.1682128906,0.0218553543,0.0307101607,0.0253904462,25.9450054169,54.9132194519,26.0259704590,0.0741417408,0.0003767312,-0.0009521842,
2143.173,-3.2063839436,1.3386639357,-137.1625976563,0.0511939973,0.0451753251,0.0091637373,-104.3303833008,-11.2063398361,66.3464431763,-0.0351632237,-0.0590555668,-0.0007806122,-43.1580581665,83.7321166992,157.2211456299,0.0174598098,0.0233313888,0.0306975842,25.9440460205,54.9150199890,26.0283679962,0.0746480823,0.0008850098,0.0000441670,
2143.183,-3.2060623169,1.3390325308,-137.1608428955,0.0609660558,0.0456579961,0.0037924051,-104.3283386230,-11.2027082443,66.3544692993,-0.0331479311,-0.0639177561,-0.0047176927,-43.1356124878,83.7334899902,157.2523193359,0.0282046199,0.0223068595,0.0253140926,25.9391956329,54.9188423157,26.0261421204,0.0702919364,-0.0034419894,0.0005592108,
