Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
1781.453,-3.2020411491,1.3361907005,-174.2813873291,0.0565219373,0.0392403491,0.0052522421,-115.4777450562,75.0391006470,-20.1839942932,0.0388561487,0.0533341169,0.0055443347,-7.0816073418,82.8324279785,-77.0451202393,0.0214823484,0.0253565609,0.0156153440,22.9855766296,55.8628997803,-107.7580337524,0.0845330954,0.0073422492,0.0032092333,
1781.463,-3.2024123669,1.3356435299,-174.2813873291,0.0574889556,0.0411999524,0.0067170858,-115.4814071655,75.0300292969,-20.1898918152,0.0358855724,0.0607875288,0.0134375393,-7.0527091026,82.8337936401,-77.0085830688,0.0224618912,0.0272434950,0.0239316225,22.9810714722,55.8640213013,-107.7600784302,0.0777081251,0.0025063902,0.0022302866,
1781.473,-3.2029528618,1.3353464603,-174.2795867920,0.0589486137,0.0426742174,0.0018346906,-115.4848709106,75.0195388794,-20.1917018890,0.0329085588,0.0580117106,0.0120626092,-7.0434904099,82.8338699341,-76.9911270142,0.0214855075,0.0247817636,0.0253949463,22.9825763702,55.8676757813,-107.7559432983,0.0723728538,0.0054430962,-0.0040628910,
1781.483,-3.2024204731,1.3352309465,-174.2784271240,0.0584583171,0.0377821364,0.0096466541,-115.4991607666,75.0106658936,-20.2042522430,0.0304270983,0.0649535060,0.0077907443,-7.0400257111,82.8339004517,-76.9781112671,0.0273449421,0.0228208601,0.0283255577,22.9852180481,55.8693656921,-107.7514648438,0.0767838955,0.0054288059,-0.0074484348,
1781.493,-3.2025530338,1.3344933987,-174.2772216797,0.0603985712,0.0441321246,0.0028105378,-115.5085983276,75.0047225952,-20.2103557587,0.0362596512,0.0660022497,0.0156849623,-7.0157604218,82.8339004517,-76.9475402832,0.0244152546,0.0261859596,0.0263628662,22.9835014343,55.8685531616,-107.7500152588,0.0782408118,0.0054396093,0.0110883117,
1781.503,-3.2022449970,1.3357474804,-174.2748565674,0.0560259223,0.0411970429,0.0091584921,-115.5316772461,74.9973602295,-20.2302875519,0.0342732668,0.0563032031,0.0065553784,-7.0236167908,82.8330535889,-76.9457702637,0.0263665318,0.0218100548,0.0283074379,22.9878330231,55.8689193726,-107.7440032959,0.0762912631,0.0083324313,0.0013452768,
1781.513,-3.2017240524,1.3375180960,-174.2737731934,0.0584982261,0.0441176072,0.0159946084,-115.5348052979,74.9923171997,-20.2284564972,0.0332739353,0.0549085736,0.0168585479,-7.0389490128,82.8348388672,-76.9524078369,0.0273469687,0.0213519931,0.0180841386,22.9873390198,55.8691215515,-107.7426681519,0.0718986988,0.0029667914,0.0042744875,
1781.523,-3.2017378807,1.3351742029,-174.2725067139,0.0618752986,0.0402116477,0.0067163706,-115.5511550903,74.9921340942,-20.2383995056,0.0298551321,0.0631801784,0.0120441020,-7.0291576385,82.8323669434,-76.9324264526,0.0288064480,0.0247534811,0.0282955766,22.9892997742,55.8688354492,-107.7387161255,0.0738490224,0.0083186775,0.0023258328,
1781.533,-3.2017526627,1.3333514929,-174.2712860107,0.0618434921,0.0446064807,-0.0025621057,-115.5497741699,74.9943237305,-20.2326259613,0.0284001827,0.0621725321,0.0217882097,-7.0276393890,82.8305892944,-76.9209747314,0.0258728862,0.0276836157,0.0243582129,22.9897117615,55.8684272766,-107.7372131348,0.0792161226,0.0068477988,0.0013453364,
1781.543,-3.2003648281,1.3316613436,-174.2694244385,0.0618140027,0.0450706258,0.0057369471,-115.5487060547,74.9981231689,-20.2253265381,0.0352532864,0.0591881573,0.0217562318,-7.0036411285,82.8291397095,-76.8893356323,0.0248931646,0.0281223059,0.0243273973,22.9853134155,55.8685302734,-107.7367095947,0.0762874484,0.0024935007,0.0047478676,
1781.553,-3.2010605335,1.3317043781,-174.2682800293,0.0598616302,0.0421530604,0.0042726994,-115.5465469360,75.0011520386,-20.2165184021,0.0313607454,0.0620754957,0.0173309743,-7.0076255798,82.8303985596,-76.8837738037,0.0200130939,0.0222688615,0.0248398781,22.9905052185,55.8688507080,-107.7298965454,0.0792202950,0.0092844814,0.0013540983,
1781.563,-3.2018470764,1.3305660486,-174.2671051025,0.0617948920,0.0397253782,0.0028082132,-115.5428771973,75.0056991577,-20.2044525146,0.0279632807,0.0605489314,0.0197243392,-6.9844293594,82.8329696655,-76.8512573242,0.0239249468,0.0280723572,0.0199915469,22.9890022278,55.8685417175,-107.7261962891,0.0743344426,0.0029485822,0.0023206472,
1781.573,-3.2011883259,1.3295593262,-174.2665100098,0.0612890422,0.0426436141,0.0047603846,-115.5383148193,75.0105819702,-20.1917419434,0.0274970531,0.0590198338,0.0142992437,-6.9982399940,82.8352432251,-76.8544692993,0.0239298940,0.0251680315,0.0224768519,22.9897937775,55.8691215515,-107.7206802368,0.0772697926,0.0044095516,0.0028197765,
1781.583,-3.2012205124,1.3293845654,-174.2660217285,0.0627508387,0.0402027704,0.0072016716,-115.5179748535,75.0156631470,-20.1651496887,0.0324028134,0.0555636883,0.0200386345,-6.9819951057,82.8370513916,-76.8290100098,0.0258869529,0.0309882462,0.0195716321,22.9907131195,55.8684272766,-107.7161865234,0.0753098726,0.0024442822,0.0023257732,
1781.593,-3.2007787228,1.3281292915,-174.2642211914,0.0627289340,0.0416599438,0.0135483742,-115.5049438477,75.0156631470,-20.1464576721,0.0338676572,0.0536360443,0.0063135028,-6.9850831032,82.8391571045,-76.8238601685,0.0229618549,0.0265957713,0.0191233158,22.9945240021,55.8679199219,-107.7090148926,0.0782345533,0.0068015158,0.0023334026,
1781.603,-3.2000007629,1.3277914524,-174.2642517090,0.0588167906,0.0431112461,0.0042701364,-115.4965515137,75.0101852417,-20.1339836121,0.0343312025,0.0498290956,-0.0024703443,-6.9881181717,82.8405303955,-76.8164138794,0.0268710852,0.0251350701,0.0181671977,22.9922237396,55.8672523499,-107.7074737549,0.0762749314,0.0034005493,0.0067104101,
1781.613,-3.1999964714,1.3256783485,-174.2630157471,0.0631744564,0.0445760638,0.0057340860,-115.4926223755,75.0069885254,-20.1277942657,0.0391995907,0.0557455420,0.0068140328,-7.0123343468,82.8397064209,-76.8330764771,0.0263810158,0.0222600996,0.0215777755,22.9894657135,55.8660125732,-107.7053604126,0.0801690221,0.0019535869,0.0081480742,
1781.623,-3.1993942261,1.3277598619,-174.2619781494,0.0612576455,0.0445655286,0.0032929182,-115.4807510376,75.0005264282,-20.1148796082,0.0421000719,0.0504940748,0.0058356822,-7.0249471664,82.8430557251,-76.8368377686,0.0273648500,0.0232570469,0.0182221830,22.9861202240,55.8672294617,-107.7058639526,0.0816457868,0.0019905716,0.0027802587,
1781.633,-3.2015557289,1.3265177011,-174.2595977783,0.0602594092,0.0348375849,0.0028064251,-115.4834899902,74.9967346191,-20.1182289124,0.0347587466,0.0608015358,0.0019678473,-7.0183897018,82.8423385620,-76.8253250122,0.0258984566,0.0281272829,0.0274829865,22.9871444702,55.8666534424,-107.7025146484,0.0762690902,0.0093023926,0.0022888184,
1781.643,-3.2004153728,1.3270045519,-174.2572174072,0.0583147779,0.0421419218,-0.0025659800,-115.4890518188,74.9889678955,-20.1240310669,0.0332587957,0.0560241640,0.0088828504,-7.0074558258,82.8404235840,-76.8072662354,0.0244294405,0.0242008567,0.0269616842,22.9892120361,55.8675689697,-107.6980590820,0.0811608434,0.0078240335,-0.0025742650,
1781.653,-3.2011284828,1.3283357620,-174.2566986084,0.0554083213,0.0377597846,0.0096429586,-115.4988632202,74.9820022583,-20.1326751709,0.0283445120,0.0580653548,0.0070202649,-6.9897484779,82.8376541138,-76.7812500000,0.0258882642,0.0251444280,0.0283747613,22.9889945984,55.8683090210,-107.6968078613,0.0748204589,0.0058770478,0.0052472949,
1781.663,-3.1979968548,1.3281240463,-174.2542877197,0.0612640008,0.0489356965,0.0115923882,-115.5149154663,74.9700698853,-20.1458225250,0.0297553539,0.0538186729,0.0027777553,-6.9836325645,82.8383941650,-76.7681503296,0.0205187798,0.0231765509,0.0254542530,22.9847030640,55.8712844849,-107.6988067627,0.0694784522,0.0020262599,-0.0015655756,
1781.673,-3.2006270885,1.3264107704,-174.2524566650,0.0597692579,0.0353096873,0.0062233806,-115.5263061523,74.9594116211,-20.1554908752,0.0365430117,0.0549366176,0.0058314502,-6.9570398331,82.8357086182,-76.7344970703,0.0263723135,0.0284947753,0.0322395563,22.9862556458,55.8704338074,-107.6950836182,0.0836303234,0.0059137642,0.0003824234,
1781.683,-3.1993479729,1.3270474672,-174.2507019043,0.0578272454,0.0426116027,0.0018278360,-115.5342407227,74.9504928589,-20.1609210968,0.0277135372,0.0555426478,0.0132527053,-6.9490799904,82.8381729126,-76.7190017700,0.0200300217,0.0270074606,0.0195834935,22.9846267700,55.8732910156,-107.6947097778,0.0773106217,0.0025264770,-0.0010514259,
1781.693,-3.2000539303,1.3240330219,-174.2512817383,0.0636340231,0.0401825681,0.0008507967,-115.5365066528,74.9401931763,-20.1605453491,0.0345028043,0.0581373870,0.0079654753,-6.9460334778,82.8402557373,-76.7090911865,0.0219876766,0.0265084207,0.0142447352,22.9853172302,55.8737106323,-107.6914291382,0.0699905157,0.0069172382,0.0004224181,
1781.703,-3.2000417709,1.3240206242,-174.2507171631,0.0602158383,0.0445768908,0.0120812058,-115.5154037476,74.9321746826,-20.1376647949,0.0281187892,0.0558571815,0.0206321478,-6.9492273331,82.8385620117,-76.7045745850,0.0302847624,0.0226124823,0.0288671851,22.9831962585,55.8731422424,-107.6900482178,0.0743795037,0.0035151243,0.0028474331,
1781.713,-3.2011749744,1.3232192993,-174.2496490479,0.0650846660,0.0362958722,0.0076875687,-115.4963226318,74.9213180542,-20.1145000458,0.0314874649,0.0555719137,0.0147727728,-6.9439187050,82.8375396729,-76.6916885376,0.0253997445,0.0265092254,0.0239655375,22.9778041840,55.8731422424,-107.6915969849,0.0748677850,-0.0013189167,0.0028278232,
1781.723,-3.2004296780,1.3228703737,-174.2485198975,0.0636137426,0.0406774208,0.0106162429,-115.4644775391,74.9088363647,-20.0740032196,0.0358253121,0.0597291589,0.0122904181,-6.9470472336,82.8380661011,-76.6885299683,0.0293071270,0.0250500739,0.0259290338,22.9803810120,55.8725662231,-107.6865844727,0.0748621225,0.0059787482,0.0018526316,
1781.733,-3.1989047527,1.3246657848,-174.2480468750,0.0577856898,0.0435805060,0.0008499622,-115.4025268555,74.8925933838,-19.9971885681,0.0372163057,0.0532608628,0.0258238316,-6.9482507706,82.8365325928,-76.6834716797,0.0249092579,0.0250560045,0.0298082232,22.9838695526,55.8729515076,-107.6807403564,0.0748658776,0.0059494525,-0.0025230646,
1781.743,-3.1976370811,1.3236416578,-174.2468872070,0.0636271909,0.0425818786,0.0052427649,-115.3013839722,74.8678131104,-19.8803291321,0.0336855054,0.0489505827,0.0226544738,-6.9462442398,82.8332138062,-76.6732711792,0.0288082957,0.0265231729,0.0370771289,22.9890537262,55.8700408936,-107.6737289429,0.0816733241,0.0141869932,0.0067348480,
1781.753,-3.1978919506,1.3232158422,-174.2457122803,0.0592252314,0.0416097678,0.0003600121,-115.1700439453,74.8360595703,-19.7365379333,0.0335406661,0.0418780744,0.0198961198,-6.9489641190,82.8351669312,-76.6691894531,0.0273476839,0.0260370076,0.0219722390,22.9877738953,55.8697433472,-107.6702880859,0.0753227472,0.0068727285,0.0042854548,
1781.763,-3.1977989674,1.3241193295,-174.2421112061,0.0572878718,0.0425846949,0.0028017759,-114.9785232544,74.8021545410,-19.5346698761,0.0226435661,0.0408114791,0.0261768997,-6.9815001488,82.8402023315,-76.6942062378,0.0263820887,0.0231678784,0.0157213211,22.9899253845,55.8700180054,-107.6638259888,0.0806965828,0.0107610971,0.0008786321,
1781.773,-3.1973276138,1.3236886263,-174.2421875000,0.0611866117,0.0420882031,0.0018246174,-114.7291564941,74.7596435547,-19.2738895416,0.0312378407,0.0399871469,0.0239706635,-7.0228409767,82.8432693481,-76.7296524048,0.0254122019,0.0242288113,0.0250585377,22.9869194031,55.8720436096,-107.6625137329,0.0694859028,-0.0018956512,0.0013831854,
1781.783,-3.1973521709,1.3226073980,-174.2403564453,0.0597028956,0.0401355326,0.0062183738,-114.3915023804,74.7054061890,-18.9200592041,0.0275706053,0.0312080085,0.0351385176,-7.0759596825,82.8455734253,-76.7754592896,0.0224875212,0.0258046985,0.0285331309,22.9866352081,55.8716392517,-107.6570358276,0.0724116564,0.0000576973,-0.0000889897,
