Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
1057.463,-3.2139530182,1.3568390608,111.2146911621,0.0627415925,0.0418887995,0.0160145760,-132.5250396729,76.2361450195,40.9447174072,0.0210892558,0.0565868914,0.0082955956,-0.9585922360,81.0709533691,87.6907882690,0.0259672403,0.0260561705,0.0217193365,26.0966854095,55.5716743469,17.2456302643,0.0748340487,0.0046235472,-0.0010895729,
1057.473,-3.2141063213,1.3568251133,111.2158279419,0.0622530729,0.0418914706,0.0057603717,-132.5216064453,76.2343063354,40.9510612488,0.0240113139,0.0532025099,0.0097711682,-0.9459814429,81.0685272217,87.7100830078,0.0284020901,0.0313934982,0.0270485282,26.0946331024,55.5699005127,17.2462406158,0.0748165846,0.0060955882,0.0057159066,
1057.483,-3.2148292065,1.3552776575,111.2169876099,0.0632026345,0.0399509780,0.0023428798,-132.5192413330,76.2322311401,40.9574813843,0.0230261087,0.0527456850,0.0073457956,-0.9338317513,81.0707244873,87.7298202515,0.0298728943,0.0255003273,0.0217136741,26.0936546326,55.5720558167,17.2491474152,0.0709316134,0.0026998371,0.0018323064,
1057.493,-3.2146735191,1.3566383123,111.2187118530,0.0598084070,0.0428779200,0.0086904168,-132.5059204102,76.2342910767,40.9736938477,0.0201050043,0.0571521819,0.0180234909,-0.9246563315,81.0720062256,87.7475280762,0.0225521326,0.0308459997,0.0153877139,26.0929660797,55.5712852478,17.2524566650,0.0772716403,0.0041659474,0.0052377582,
1057.503,-3.2136850357,1.3575233221,111.2210617065,0.0573824421,0.0413958356,0.0111318231,-132.4999542236,76.2317352295,40.9838638306,0.0235123634,0.0513422787,0.0082690120,-0.9073715806,81.0686569214,87.7733688354,0.0249844790,0.0307996869,0.0265610814,26.0928134918,55.5718078613,17.2584495544,0.0748354197,-0.0016887933,-0.0006155372,
1057.513,-3.2127861977,1.3606733084,111.2233963013,0.0535311550,0.0433332287,0.0042957664,-132.4899749756,76.2314605713,40.9983100891,0.0274174809,0.0533261150,0.0170301199,-0.8896890879,81.0691680908,87.7991638184,0.0288920999,0.0307512581,0.0236375332,26.0938892365,55.5714950562,17.2641773224,0.0792268515,0.0051356852,0.0023149252,
1057.523,-3.2129774094,1.3617365360,111.2257766724,0.0564793907,0.0438248143,0.0023435950,-132.4887084961,76.2317810059,41.0059356689,0.0230242610,0.0557673275,0.0155578256,-0.8985044956,81.0696792603,87.7978515625,0.0254755020,0.0205212831,0.0192536116,26.0942134857,55.5715370178,17.2679767609,0.0699499249,0.0036681592,0.0042697787,
1057.533,-3.2120771408,1.3622616529,111.2269973755,0.0560002699,0.0477153733,0.0028312802,-132.4931488037,76.2303543091,41.0095748901,0.0235066414,0.0557732433,0.0048456788,-0.9084304571,81.0693664551,87.7953338623,0.0284043550,0.0239664614,0.0260840654,26.0926513672,55.5722961426,17.2718391418,0.0753285289,-0.0016842484,0.0028080344,
1057.543,-3.2123517990,1.3618562222,111.2275924683,0.0569697618,0.0394193828,0.0023431778,-132.5039215088,76.2265167236,41.0056991577,0.0273969173,0.0504182726,0.0019926429,-0.9021371007,81.0713882446,87.8102493286,0.0235270262,0.0293198228,0.0148874521,26.0913066864,55.5734634399,17.2759819031,0.0782697201,-0.0026416332,0.0091642141,
1057.553,-3.2112593651,1.3617147207,111.2281341553,0.0603852570,0.0398886316,0.0042951703,-132.5073089600,76.2244796753,41.0091934204,0.0269001722,0.0567827970,0.0059328675,-0.9029089212,81.0704193115,87.8175659180,0.0279189348,0.0229745209,0.0261026025,26.0932083130,55.5718765259,17.2821998596,0.0787423253,0.0061207116,0.0067116618,
