Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
1262.313,-3.1935708523,1.3102971315,132.3008880615,0.0614412241,0.0420230553,0.0023038983,-105.3301239014,-9.7631778717,127.4547271729,-0.0479941368,-0.0609678626,-0.0162200928,-31.3412322998,82.9338607788,-155.6948547363,0.0256079435,0.0321820974,0.0262503624,26.8147068024,54.5963859558,98.1924819946,0.0733920932,0.0017513037,0.0042677522,
1262.323,-3.1919636726,1.3107212782,132.3026885986,0.0585189387,0.0459012948,0.0003492832,-105.3336181641,-9.7911319733,127.4246749878,-0.0470101237,-0.0664346218,-0.0088598728,-31.3916988373,82.9304275513,-155.7414398193,0.0241357088,0.0269345045,0.0301655531,26.8216171265,54.5957450867,98.2013015747,0.0655730367,0.0036380589,0.0033154488,
1262.333,-3.1920638084,1.3086903095,132.3039398193,0.0609249100,0.0419968367,0.0106024742,-105.3271942139,-9.8214511871,127.3874893188,-0.0470432639,-0.0718636513,-0.0075252056,-31.4471893311,82.9299468994,-155.7923431396,0.0246229768,0.0260660052,0.0253373384,26.8283882141,54.5957717896,98.2118377686,0.0680147409,0.0026004314,-0.0025132895,
1262.343,-3.1906392574,1.3099863529,132.3056793213,0.0599709600,0.0473430827,0.0066955090,-105.3111190796,-9.8564252853,127.3455657959,-0.0422736108,-0.0660318732,-0.0097725391,-31.4947624207,82.9303359985,-155.8335266113,0.0236472487,0.0271272063,0.0268628001,26.8314762115,54.5944404602,98.2192230225,0.0763020515,0.0006110072,-0.0000739098,
1262.353,-3.1912555695,1.3103911877,132.3079833984,0.0609545857,0.0380764678,0.0037665367,-105.2944259644,-9.8935995102,127.3030242920,-0.0448659360,-0.0597155094,-0.0061730146,-31.5527610779,82.9272613525,-155.8861541748,0.0246171951,0.0209152699,0.0239532590,26.8331298828,54.5934486389,98.2248535156,0.0826396942,0.0040075779,-0.0010561347,
1262.363,-3.1914706230,1.3103936911,132.3104095459,0.0580249429,0.0458927080,0.0018135905,-105.2807464600,-9.9363002777,127.2602157593,-0.0460883379,-0.0568478107,-0.0078984499,-31.5827274323,82.9301452637,-155.9105682373,0.0255999565,0.0209448934,0.0211001635,26.8261528015,54.5922241211,98.2215270996,0.0811624527,-0.0037496984,0.0076860189,
1262.373,-3.1918694973,1.3091177940,132.3110504150,0.0599558055,0.0454114079,0.0008364916,-105.2759628296,-9.9833526611,127.2217483521,-0.0420143902,-0.0564749241,0.0007739067,-31.5977268219,82.9313430786,-155.9236755371,0.0231611133,0.0219385922,0.0225995183,26.8228130341,54.5932579041,98.2208633423,0.0723838806,0.0031229854,0.0028010607,
1262.383,-3.1910254955,1.3087061644,132.3122100830,0.0614134632,0.0453967154,0.0032776594,-105.2778244019,-10.0273561478,127.1833038330,-0.0481418073,-0.0585650802,0.0051642656,-31.6132392883,82.9317321777,-155.9387207031,0.0221853852,0.0239173472,0.0289699435,26.8203525543,54.5959358215,98.2197647095,0.0738757849,0.0036506951,0.0038002133,
1262.393,-3.1925585270,1.3089830875,132.3127288818,0.0589768887,0.0371226370,0.0057200193,-105.2881240845,-10.0708398819,127.1470108032,-0.0474242866,-0.0631340742,-0.0034888983,-31.6514129639,82.9347457886,-155.9745941162,0.0241450071,0.0254253447,0.0202696919,26.8206138611,54.5975914001,98.2223052979,0.0694980025,0.0021940470,-0.0035018325,
1262.403,-3.1940598488,1.3091607094,132.3156890869,0.0599565543,0.0391019136,0.0101162195,-105.3012237549,-10.1086511612,127.1075286865,-0.0495388210,-0.0706288815,-0.0067204237,-31.6925067902,82.9330825806,-156.0087585449,0.0197468996,0.0279580355,0.0329874158,26.8258266449,54.5960998535,98.2289733887,0.0699712038,0.0040906072,0.0033389926,
