Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
444.103,-3.2078390121,1.4160883427,46.3030128479,0.0608457029,0.0525230765,0.0028498173,-119.4876403809,73.6874542236,-141.4717559814,0.0266383886,0.0495490134,0.0117908120,4.8741044998,80.5051574707,-8.7669105530,0.0307340622,0.0166416243,0.0116651058,24.9416084290,56.0541877747,148.9314270020,0.0815191865,0.0017363131,0.0115433335,
444.113,-3.2048213482,1.4102077484,46.3044013977,0.0705087185,0.0485643931,0.0189574957,-119.4752044678,73.6769180298,-141.4680786133,0.0363523364,0.0604738742,0.0137772262,4.8494739532,80.5055770874,-8.7912158966,0.0326883793,0.0255024508,0.0194782764,24.9433517456,56.0514564514,148.9295959473,0.0766097307,0.0056104660,0.0007724762,
444.123,-3.1981928349,1.4074356556,46.3076019287,0.0660658255,0.0611443035,0.0111375451,-119.4507293701,73.6677856445,-141.4589080811,0.0392372012,0.0562712550,0.0210714638,4.8069577217,80.5049591064,-8.8299598694,0.0331748724,0.0134174153,0.0214105397,24.9407634735,56.0463790894,148.9281005859,0.0829079151,0.0060906112,0.0148548484,
444.133,-3.1977758408,1.4053578377,46.3093910217,0.0704241022,0.0479534976,0.0248082280,-119.4451293945,73.6613616943,-141.4569854736,0.0348111391,0.0646788627,0.0211000890,4.7804627419,80.5018081665,-8.8518896103,0.0282830000,0.0154426023,0.0281860232,24.9405708313,56.0434074402,148.9300537109,0.0794609785,0.0080274045,0.0084680319,
444.143,-3.1958820820,1.4020249844,46.3106384277,0.0693893880,0.0469440222,0.0013669729,-119.4471054077,73.6595077515,-141.4566955566,0.0289426446,0.0651892722,0.0308895558,4.7813239098,80.5013275146,-8.8427143097,0.0297464728,0.0217871219,0.0213424712,24.9435386658,56.0411186218,148.9354858398,0.0818800926,0.0133581758,0.0162619352,
444.153,-3.1934034824,1.4006217718,46.3124275208,0.0674117804,0.0488539971,0.0101533532,-119.4576263428,73.6602706909,-141.4603881836,0.0323643684,0.0671060383,0.0260456204,4.8024678230,80.4998016357,-8.8124561310,0.0268123746,0.0236769244,0.0203451365,24.9405956268,56.0430030823,148.9385070801,0.0755507946,0.0080246925,-0.0003263950,
444.163,-3.1947326660,1.3998529911,46.3122787476,0.0693514869,0.0420412384,0.0155253410,-119.4772033691,73.6623382568,-141.4692840576,0.0206557512,0.0670288205,0.0202533305,4.8270144463,80.5002365112,-8.7775030136,0.0287667513,0.0236065611,0.0193818957,24.9440631866,56.0447273254,148.9478149414,0.0736144781,0.0094693601,0.0031284094,
444.173,-3.1960523129,1.4009253979,46.3120155334,0.0669287890,0.0357165411,0.0096676350,-119.4979782104,73.6689376831,-141.4729003906,0.0216647387,0.0634646416,0.0241944790,4.8470211029,80.4996185303,-8.7442255020,0.0229055882,0.0274540484,0.0242587477,24.9419326782,56.0432853699,148.9537200928,0.0736004114,0.0055731833,0.0079835653,
444.183,-3.1969013214,1.4047795534,46.3124275208,0.0547890142,0.0396374911,-0.0020484924,-119.5171966553,73.6738967896,-141.4753265381,0.0202242136,0.0599279702,0.0115407556,4.8876953125,80.5027770996,-8.6899547577,0.0273092389,0.0380832404,0.0135807097,24.9434356689,56.0447578430,148.9624328613,0.0755679011,0.0055688620,-0.0017563105,
444.193,-3.1985738277,1.4119684696,46.3140144348,0.0436839759,0.0342953578,0.0096747875,-119.5305557251,73.6805343628,-141.4676208496,0.0217216015,0.0602875948,0.0169145316,4.9156136513,80.5038757324,-8.6506738663,0.0263358355,0.0301916525,0.0194657147,24.9400615692,56.0457839966,148.9686279297,0.0711833835,0.0002338886,0.0001962185,
