Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
335.193,-3.2892563343,1.3925769329,39.0130767822,0.0599471927,0.0446645953,-0.0009858608,-112.5278015137,73.5151596069,79.6000137329,0.0282307863,0.0637665093,0.0036147833,10.1875171661,83.6116485596,-82.1681137085,0.0245522857,0.0229482353,0.0243353248,49.0885009766,35.3942298889,-96.0214767456,0.0650389194,-0.0131318569,-0.0056281686,
335.203,-3.2857146263,1.3951331377,39.0135993958,0.0555972606,0.0504622124,0.0161014795,-112.5313873291,73.5244750977,79.6001434326,0.0321831703,0.0699640214,0.0138256550,10.1801738739,83.6135864258,-82.1649322510,0.0260208845,0.0224804282,0.0214380026,49.0909652710,35.3975677490,-96.0146484375,0.0616685152,-0.0209417939,-0.0133920312,
335.213,-3.2854173183,1.3949686289,39.0148086548,0.0565709546,0.0411796942,0.0126830339,-112.5455932617,73.5299911499,79.5909118652,0.0253745317,0.0664339364,0.0060430169,10.1840381622,83.6141967773,-82.1513519287,0.0274869204,0.0190564096,0.0194937587,49.0896911621,35.3956756592,-96.0080032349,0.0704305768,-0.0189912319,-0.0119533539,
335.223,-3.2844951153,1.3944846392,39.0165786743,0.0619336069,0.0455581732,0.0073108673,-112.5670318604,73.5327377319,79.5770568848,0.0336889029,0.0653743744,0.0012409687,10.1752815247,83.6143493652,-82.1514816284,0.0216278434,0.0224920511,0.0199829340,49.0905838013,35.3993606567,-95.9975509644,0.0597408414,-0.0233660340,-0.0187553167,
335.233,-3.2868242264,1.3932731152,39.0177879333,0.0580062121,0.0363214314,0.0097540617,-112.5826797485,73.5346832275,79.5692672729,0.0293039680,0.0575022995,0.0052065253,10.1679658890,83.6135559082,-82.1501846313,0.0265091062,0.0234804153,0.0268028975,49.0908966064,35.3988075256,-95.9903717041,0.0631509423,-0.0150724053,-0.0153377056,
335.243,-3.2879290581,1.3911077976,39.0177574158,0.0628512502,0.0387821421,-0.0009880066,-112.5886077881,73.5345764160,79.5725021362,0.0258855224,0.0545628071,0.0164647102,10.1549835205,83.6135177612,-82.1551895142,0.0279738903,0.0205758512,0.0224031210,49.0876693726,35.4013595581,-95.9851379395,0.0563513041,-0.0199055672,-0.0065665245,
335.253,-3.2883603573,1.3911911249,39.0188446045,0.0618761368,0.0387896411,0.0048718452,-112.5990600586,73.5349349976,79.5696945190,0.0288169384,0.0589320958,0.0033267736,10.1730928421,83.6137008667,-82.1265716553,0.0240679979,0.0229825079,0.0263181925,49.0884513855,35.4042434692,-95.9779663086,0.0583454967,-0.0213556290,-0.0167926550,
335.263,-3.2872977257,1.3935091496,39.0211334229,0.0565454885,0.0417007692,0.0078014135,-112.6036758423,73.5317764282,79.5699615479,0.0322192907,0.0579952002,0.0082510114,10.1604948044,83.6124191284,-82.1293716431,0.0191826820,0.0225148797,0.0233626366,49.0877761841,35.4080886841,-95.9705657959,0.0569353104,-0.0266911983,-0.0128685236,
335.273,-3.2885124683,1.3931505680,39.0222625732,0.0614220425,0.0402570888,0.0087791085,-112.6102371216,73.5279312134,79.5671920776,0.0307354331,0.0565772653,0.0043995976,10.1805419922,83.6143798828,-82.1007843018,0.0250458717,0.0239465535,0.0160777569,49.0882148743,35.4101371765,-95.9621200562,0.0574527383,-0.0125193596,-0.0099202394,
335.283,-3.2889084816,1.3931603432,39.0228004456,0.0599573702,0.0431936756,0.0073146820,-112.6129150391,73.5253448486,79.5668411255,0.0312108994,0.0556350946,0.0083347559,10.1976432800,83.6145629883,-82.0761642456,0.0235813856,0.0234259367,0.0219484568,49.0893478394,35.4094123840,-95.9543914795,0.0711143017,-0.0179066658,-0.0138195753,
