Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
494.033,-3.2525539398,1.3906942606,57.5911254883,0.0628440306,0.0430487283,0.0097188950,-106.4044265747,-8.9910917282,98.1537780762,-0.0434879363,-0.0619584918,-0.0012372732,-27.2827854156,85.7323532104,4.0775823593,0.0255476236,0.0281542987,0.0274041668,50.0002937317,32.8051071167,32.4411735535,0.0652206540,-0.0170259476,-0.0208238959,
494.043,-3.2530736923,1.3892256021,57.5923423767,0.0608652793,0.0406164117,0.0043476224,-106.4064178467,-8.9846868515,98.1556549072,-0.0394712985,-0.0634164214,0.0149141252,-27.2136211395,85.7319869995,4.1559567451,0.0216408968,0.0270970166,0.0297981873,49.9964408875,32.8077545166,32.4471282959,0.0569586754,-0.0228298306,-0.0047377348,
494.053,-3.2527251244,1.3897819519,57.5946235657,0.0647812337,0.0435400158,0.0058124065,-106.4154510498,-8.9851112366,98.1608123779,-0.0448496938,-0.0771334171,-0.0044681430,-27.1449527740,85.7307891846,4.2374410629,0.0279870033,0.0265356004,0.0321790278,49.9955787659,32.8069419861,32.4566917419,0.0676890016,-0.0155032873,-0.0164710879,
494.063,-3.2529823780,1.3897826672,57.5964546204,0.0559921898,0.0435445011,0.0087425709,-106.4246673584,-8.9898977280,98.1687088013,-0.0332134366,-0.0737727880,-0.0145732164,-27.1423358917,85.7323074341,4.2547836304,0.0216413140,0.0177311152,0.0209711492,49.9942893982,32.8119239807,32.4673194885,0.0501838923,-0.0213145018,-0.0066897273,
494.073,-3.2520592213,1.3899453878,57.5976219177,0.0594129935,0.0435284153,0.0033700466,-106.4263458252,-8.9979906082,98.1751556396,-0.0313998461,-0.0777083635,-0.0062509179,-27.1286125183,85.7345504761,4.2790346146,0.0187145472,0.0220931470,0.0248996466,49.9912834167,32.8155136108,32.4750480652,0.0502365828,-0.0207716823,-0.0086546540,
494.083,-3.2534034252,1.3884878159,57.5988197327,0.0632938147,0.0440401435,0.0131368637,-106.4263305664,-9.0090475082,98.1833114624,-0.0340318382,-0.0674833059,-0.0052831769,-27.1789817810,85.7359771729,4.2389321327,0.0196929574,0.0187239945,0.0186062604,49.9919586182,32.8123245239,32.4849205017,0.0623968244,-0.0154301524,-0.0140376687,
494.093,-3.2514975071,1.3884594440,57.6006469727,0.0579222217,0.0469366349,-0.0010253191,-106.4242935181,-9.0209712982,98.1889724731,-0.0288662910,-0.0670163631,-0.0106972456,-27.2269973755,85.7362976074,4.1975011826,0.0177402496,0.0226862282,0.0225450620,49.9931564331,32.8130073547,32.4930267334,0.0458053350,-0.0193427205,-0.0091372132,
494.103,-3.2532052994,1.3908387423,57.6017417908,0.0560106114,0.0450132005,0.0053250194,-106.4177169800,-9.0343837738,98.1908340454,-0.0271443427,-0.0689727068,-0.0054453909,-27.2551345825,85.7354278564,4.1744246483,0.0235984921,0.0256555080,0.0332936570,49.9893264771,32.8107337952,32.4969062805,0.0540727377,-0.0256707072,-0.0004048944,
494.113,-3.2546975613,1.3917741776,57.6034088135,0.0633511543,0.0435743295,0.0063036680,-106.4058227539,-9.0425701141,98.1884078979,-0.0394924879,-0.0679596663,-0.0085780621,-27.3032970428,85.7349166870,4.1309456825,0.0260392427,0.0232760459,0.0215965360,49.9895629883,32.8096885681,32.5037727356,0.0545457006,-0.0222625136,-0.0101742744,
494.123,-3.2541229725,1.3934394121,57.6051826477,0.0545911491,0.0420994349,0.0136275291,-106.3973770142,-9.0524358749,98.1858825684,-0.0396625400,-0.0547611713,-0.0087251961,-27.3422718048,85.7351913452,4.0992674828,0.0279927254,0.0208800733,0.0186931863,49.9917907715,32.8079681396,32.5132255554,0.0584266782,-0.0149719119,-0.0101602674,
494.133,-3.2551660538,1.3942985535,57.6080741882,0.0619303547,0.0406527445,0.0121643543,-106.3886566162,-9.0611667633,98.1795043945,-0.0451841056,-0.0566948652,0.0082135499,-27.3497772217,85.7353744507,4.0988459587,0.0235984325,0.0262578726,0.0245620608,49.9932785034,32.8075332642,32.5205612183,0.0618383288,-0.0213366151,-0.0145403147,
494.143,-3.2560405731,1.3927727938,57.6092834473,0.0633685738,0.0435976982,0.0087465048,-106.3875198364,-9.0738506317,98.1739959717,-0.0414964855,-0.0576993227,-0.0064636171,-27.3571624756,85.7339096069,4.1005458832,0.0284793377,0.0218845159,0.0299134851,49.9943542480,32.8110733032,32.5303077698,0.0584722161,-0.0203446746,-0.0174363256,
494.153,-3.2573115826,1.3893285990,57.6087303162,0.0633084849,0.0402019545,0.0092346668,-106.3869247437,-9.0891399384,98.1712188721,-0.0354123116,-0.0626196265,-0.0035556853,-27.3226184845,85.7353286743,4.1467208862,0.0231100917,0.0223195404,0.0245441720,49.9966049194,32.8117370605,32.5406227112,0.0706889629,-0.0164548159,-0.0247312188,
494.163,-3.2572546005,1.3891545534,57.6080856323,0.0584226325,0.0426423736,0.0136290789,-106.3845443726,-9.1074609756,98.1697692871,-0.0342632234,-0.0646096468,-0.0011678338,-27.2969741821,85.7362976074,4.1851649284,0.0196933746,0.0237464309,0.0299133807,49.9954566956,32.8144073486,32.5486450195,0.0570563078,-0.0164245963,-0.0169153214,
494.173,-3.2541723251,1.3882595301,57.6111602783,0.0613367073,0.0508894883,0.0033717155,-106.3811492920,-9.1269779205,98.1659774780,-0.0365526676,-0.0680630207,0.0051085651,-27.2482261658,85.7389602661,4.2467904091,0.0201851130,0.0275737941,0.0255282447,49.9928398132,32.8141250610,32.5576400757,0.0643764138,-0.0193316936,-0.0091339946,
494.183,-3.2528371811,1.3876427412,57.6123695374,0.0598610975,0.0450068675,-0.0005360842,-106.3771133423,-9.1456737518,98.1644821167,-0.0398045182,-0.0661399961,-0.0022970736,-27.2724170685,85.7424621582,4.2365951538,0.0197013617,0.0265994668,0.0207123458,49.9902000427,32.8151206970,32.5654487610,0.0546253324,-0.0173465014,-0.0106224418,
494.193,-3.2522974014,1.3874216080,57.6123275757,0.0608338043,0.0464623123,0.0126470923,-106.3719100952,-9.1666135788,98.1611633301,-0.0333293974,-0.0681234598,-0.0160715878,-27.3411006927,85.7437438965,4.1818776131,0.0162850618,0.0188605487,0.0246774554,49.9885635376,32.8110427856,32.5744628906,0.0662842989,-0.0149191022,-0.0072476864,
494.203,-3.2501435280,1.3848578930,57.6140975952,0.0690898523,0.0434951633,0.0043431520,-106.3635101318,-9.1872425079,98.1550903320,-0.0312434137,-0.0598370433,-0.0030431747,-27.3679618835,85.7421798706,4.1655850410,0.0133533478,0.0242737085,0.0324881300,49.9896888733,32.8091964722,32.5850906372,0.0628392696,-0.0198259354,-0.0116407275,
494.213,-3.2498540878,1.3839192390,57.6140480042,0.0632141009,0.0434901491,0.0087363720,-106.3572387695,-9.2063617706,98.1495666504,-0.0335259736,-0.0627874136,-0.0070680380,-27.4192752838,85.7414398193,4.1246237755,0.0211648941,0.0228791684,0.0242009461,49.9888000488,32.8056449890,32.5935211182,0.0691348314,-0.0193549395,-0.0102073550,
494.223,-3.2511296272,1.3838574886,57.6146240234,0.0578419268,0.0444889329,0.0004376173,-106.3512420654,-9.2255344391,98.1450729370,-0.0372742116,-0.0584153533,0.0055131912,-27.4491577148,85.7412567139,4.1024146080,0.0211646557,0.0229143351,0.0227564350,49.9873809814,32.8010482788,32.6005439758,0.0719971061,-0.0227928162,-0.0112277865,
494.233,-3.2501225471,1.3822587729,57.6152038574,0.0651382506,0.0439831354,-0.0039596558,-106.3469924927,-9.2415876389,98.1406707764,-0.0390156209,-0.0608792305,0.0005474091,-27.4466228485,85.7409820557,4.1126713753,0.0236057043,0.0258429646,0.0295870826,49.9860534668,32.7969551086,32.6062278748,0.0685189962,-0.0213450789,-0.0078496337,
494.243,-3.2475609779,1.3802231550,57.6152381897,0.0626613274,0.0493096597,0.0058034658,-106.3476333618,-9.2617883682,98.1383895874,-0.0305745602,-0.0633780956,-0.0058057606,-27.4673480988,85.7415390015,4.0961570740,0.0167704821,0.0185395181,0.0247248933,49.9853210449,32.7965965271,32.6137466431,0.0636309385,-0.0232938528,-0.0137193799,
494.253,-3.2485117912,1.3815435171,57.6156959534,0.0597546771,0.0390722901,0.0101988912,-106.3412475586,-9.2835264206,98.1370620728,-0.0368083417,-0.0717067719,0.0077435672,-27.4339046478,85.7416305542,4.1350231171,0.0255596638,0.0267994702,0.0276353061,49.9852523804,32.7980346680,32.6201820374,0.0533981323,-0.0188883543,-0.0132237077,
494.263,-3.2500941753,1.3813904524,57.6162490845,0.0582871623,0.0390998572,0.0043413043,-106.3401336670,-9.3078832626,98.1399307251,-0.0357630551,-0.0615130067,0.0023342669,-27.4505138397,85.7417221069,4.1237306595,0.0206769705,0.0234005004,0.0261825621,49.9865722656,32.7952346802,32.6263809204,0.0704469085,-0.0169678330,-0.0132253766,
494.273,-3.2474498749,1.3806394339,57.6180458069,0.0626685917,0.0473545939,0.0018970370,-106.3402557373,-9.3273715973,98.1420898438,-0.0443994701,-0.0664496422,0.0003682375,-27.4670906067,85.7438430786,4.1150469780,0.0265390873,0.0209620148,0.0198779479,49.9873771667,32.7920951843,32.6347312927,0.0704008341,-0.0155333877,-0.0127470493,
494.283,-3.2470970154,1.3796459436,57.6211051941,0.0597215705,0.0434422195,0.0087321997,-106.3396224976,-9.3469209671,98.1442642212,-0.0447361767,-0.0621045232,0.0022944212,-27.4972000122,85.7426376343,4.0926365852,0.0192133188,0.0249143839,0.0291543379,49.9905509949,32.7899360657,32.6448249817,0.0679277778,-0.0111845136,-0.0132133961,
494.293,-3.2462964058,1.3812469244,57.6233711243,0.0612143464,0.0429399461,0.0082437992,-106.3344573975,-9.3678712845,98.1452789307,-0.0421672463,-0.0694611669,0.0026812255,-27.5415935516,85.7411727905,4.0565137863,0.0221410990,0.0215606391,0.0296488926,49.9898300171,32.7873611450,32.6526107788,0.0664251447,-0.0229150057,-0.0127484798,
494.303,-3.2470123768,1.3812620640,57.6232986450,0.0597497672,0.0400227346,0.0053148270,-106.3289489746,-9.3865146637,98.1452865601,-0.0429765880,-0.0646025538,-0.0023076236,-27.6087322235,85.7407150269,3.9988634586,0.0250701904,0.0182257146,0.0277326405,49.9903831482,32.7879829407,32.6628799438,0.0512975454,-0.0185211897,-0.0117619038,
494.313,-3.2473275661,1.3803662062,57.6239128113,0.0607106984,0.0478407443,-0.0005445480,-106.3193435669,-9.4043569565,98.1447067261,-0.0403541327,-0.0572807789,0.0009375513,-27.6416721344,85.7399749756,3.9742302895,0.0260457993,0.0251079202,0.0311575532,49.9915924072,32.7866973877,32.6724357605,0.0586029291,-0.0170770288,-0.0127327442,
494.323,-3.2472660542,1.3818032742,57.6238288879,0.0568295270,0.0449099541,0.0023856163,-106.3091583252,-9.4211015701,98.1423645020,-0.0396658778,-0.0533711314,0.0031970143,-27.6854953766,85.7402954102,3.9387764931,0.0231165290,0.0202746838,0.0243544579,49.9934158325,32.7852973938,32.6829872131,0.0571175218,-0.0151512027,-0.0146736503,
494.333,-3.2462277412,1.3796129227,57.6244163513,0.0655803680,0.0439153537,0.0087313652,-106.3087768555,-9.4350957870,98.1412200928,-0.0374653935,-0.0485246181,-0.0017036796,-27.7514877319,85.7406616211,3.8817746639,0.0182341933,0.0193739831,0.0200069323,49.9957809448,32.7806091309,32.6931152344,0.0721854568,-0.0200904012,-0.0195589066,
