Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
122.663,-3.2576067448,1.3822066784,14.2138824463,0.0607428104,0.0397189893,0.0097203851,-107.5743484497,73.2960662842,48.8806877136,0.0369043350,0.0532068610,0.0074757338,15.6664514542,83.4897003174,105.0588302612,0.0306608677,0.0216064155,0.0247534513,48.4901123047,36.3010711670,93.8491134644,0.0759149790,-0.0162070394,-0.0093100667,
122.673,-3.2586970329,1.3807885647,14.2144775391,0.0626711920,0.0451091044,0.0033731461,-107.2100906372,73.1946563721,49.2373924255,0.0393238068,0.0582976043,0.0169680715,15.6099967957,83.4906387329,105.0084152222,0.0257799029,0.0231849551,0.0266913772,48.4934310913,36.2970275879,93.8591918945,0.0656042099,-0.0167576075,-0.0136972666,
122.683,-3.2572751045,1.3795547485,14.2139024734,0.0597199760,0.0475257747,0.0053244233,-106.8476333618,73.0918960571,49.5891342163,0.0397802591,0.0565652251,0.0093616843,15.5884923935,83.4956970215,104.9929656982,0.0248133540,0.0222733021,0.0096732974,48.4931526184,36.2940063477,93.8669052124,0.0670265555,-0.0158017874,-0.0107913613,
122.693,-3.2553784847,1.3789055347,14.2156991959,0.0601969287,0.0426099412,0.0023926497,-106.4684524536,72.9936752319,49.9509315491,0.0353740454,0.0621034801,0.0109046698,15.5572013855,83.4988327026,104.9648666382,0.0311672091,0.0189302266,0.0248444676,48.4898872375,36.2956275940,93.8718795776,0.0572836995,-0.0230829716,-0.0132559538,
122.703,-3.2548663616,1.3765671253,14.2175083160,0.0665037856,0.0440659188,0.0126445293,-106.0903472900,72.8964004517,50.3103561401,0.0378057957,0.0676180720,0.0143769383,15.5543756485,83.5020294189,104.9653167725,0.0267789960,0.0194387138,0.0200130343,48.4863700867,36.2902412415,93.8779754639,0.0669735670,-0.0172324777,0.0003420115,
122.713,-3.2533802986,1.3773899078,14.2186393738,0.0591939278,0.0455048569,0.0019018650,-105.7194976807,72.7991027832,50.6629829407,0.0387698412,0.0667675436,0.0124906301,15.5374231339,83.5064086914,104.9526138306,0.0272759199,0.0238857865,0.0156804323,48.4882354736,36.2855148315,93.8858795166,0.0708132982,-0.0119153261,-0.0084597468,
122.723,-3.2557635307,1.3781169653,14.2203063965,0.0621362999,0.0382221267,0.0116696954,-105.3484954834,72.6977005005,51.0171508789,0.0367801189,0.0640233457,0.0062029362,15.5011205673,83.5098495483,104.9194183350,0.0282592773,0.0210421383,0.0225539207,48.4870681763,36.2852020264,93.8909912109,0.0639729500,-0.0216724873,-0.0162866712,
122.733,-3.2562937737,1.3808648586,14.2220029831,0.0529069006,0.0382313021,0.0126480460,-104.9843521118,72.5961227417,51.3633842468,0.0367396474,0.0646834075,0.0092034340,15.4749984741,83.5128173828,104.8969268799,0.0282651186,0.0235472918,0.0211230516,48.4843254089,36.2814216614,93.8929901123,0.0668494701,-0.0192347169,-0.0055992603,
122.743,-3.2552659512,1.3821635246,14.2224988937,0.0597654954,0.0460258685,0.0082532167,-104.6114959717,72.4905624390,51.7182426453,0.0405814648,0.0600398779,0.0067815781,15.4527454376,83.5167388916,104.8788299561,0.0248548985,0.0265379548,0.0177580714,48.4883270264,36.2808532715,93.9003829956,0.0585407019,-0.0148819089,-0.0177679658,
122.753,-3.2559504509,1.3835495710,14.2235479355,0.0617428049,0.0421315059,0.0087422729,-104.2237167358,72.3805770874,52.0858345032,0.0434201360,0.0608510971,0.0062285662,15.4393939972,83.5183715820,104.8708953857,0.0268112421,0.0260830820,0.0216850638,48.4888076782,36.2792587280,93.9071807861,0.0648659468,-0.0153869987,-0.0109378695,
