Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
252.963,-3.3080246449,1.3988519907,28.8669662476,0.0590801165,0.0405968428,-0.0009644628,-114.6531372070,73.2408752441,78.4363784790,0.0234434009,0.0544273257,0.0137391090,-11.8247690201,84.3215255737,-165.1667022705,0.0204834342,0.0260960162,0.0308938026,42.5760192871,43.4759979248,161.3708801270,0.0674452186,-0.0062022507,-0.0081093907,
252.973,-3.3074476719,1.3997412920,28.8692817688,0.0615370423,0.0464461409,0.0073360801,-114.6760940552,73.2458114624,78.4256820679,0.0298159122,0.0538158417,-0.0052328706,-11.8279781342,84.3193511963,-165.1615142822,0.0234093666,0.0217146128,0.0240228176,42.5767974854,43.4760284424,161.3767547607,0.0654924512,-0.0081623495,-0.0032195449,
252.983,-3.3079891205,1.3997226954,28.8710651398,0.0600718707,0.0469438583,0.0005006194,-114.6729812622,73.2477035522,78.4375228882,0.0268957615,0.0425635278,0.0084115863,-11.8423671722,84.3184814453,-165.1638793945,0.0253610015,0.0222304165,0.0269452333,42.5773086548,43.4735832214,161.3831329346,0.0688794851,-0.0101402700,-0.0012842417,
252.993,-3.3060719967,1.3977218866,28.8716926575,0.0629666522,0.0469105169,0.0141696930,-114.6765365601,73.2528152466,78.4454345703,0.0288745761,0.0527324080,-0.0008850694,-11.8582677841,84.3196945190,-165.1695251465,0.0224334002,0.0203008652,0.0230631232,42.5757637024,43.4728164673,161.3886260986,0.0674049258,-0.0140382051,-0.0042333007,
253.003,-3.3031811714,1.3987084627,28.8716926575,0.0541948006,0.0483249724,0.0044017434,-114.6650314331,73.2546768188,78.4642333984,0.0293722153,0.0507752597,0.0107679367,-11.8721237183,84.3208007813,-165.1737365723,0.0195056200,0.0208090842,0.0255287290,42.5745086670,43.4717826843,161.3948974609,0.0644621253,-0.0086637735,0.0035592914,
253.013,-3.3047089577,1.3982993364,28.8721446991,0.0654181316,0.0415156595,0.0000086427,-114.6466827393,73.2538909912,78.4875793457,0.0313214064,0.0474077463,0.0092244148,-11.8794040680,84.3206634521,-165.1714782715,0.0248764753,0.0242399871,0.0230883956,42.5739402771,43.4690933228,161.4014587402,0.0712640285,-0.0077038407,-0.0028176308,
253.023,-3.3050196171,1.3973495960,28.8733730316,0.0614953116,0.0498218723,0.0127035975,-114.6323852539,73.2527923584,78.5061416626,0.0274096131,0.0518485010,0.0018424392,-11.9077310562,84.3231735229,-165.1900787354,0.0214628577,0.0189091563,0.0177687407,42.5794830322,43.4696693420,161.4128417969,0.0673651099,-0.0092156529,-0.0110653639,
253.033,-3.3047432899,1.3963383436,28.8720684052,0.0629425049,0.0415163040,0.0014725327,-114.6220169067,73.2517089844,78.5174179077,0.0322870016,0.0538399220,0.0042436123,-11.9463882446,84.3230361938,-165.2202911377,0.0229274631,0.0194647163,0.0211980939,42.5806770325,43.4678344727,161.4194183350,0.0717362761,-0.0048472583,-0.0032590628,
253.043,-3.3030638695,1.3959225416,28.8727149963,0.0570758767,0.0483229980,0.0044004321,-114.6248855591,73.2488632202,78.5150146484,0.0347141027,0.0587599576,-0.0040241480,-11.9490852356,84.3234558105,-165.2159118652,0.0209750533,0.0253272653,0.0241358876,42.5830116272,43.4683952332,161.4260253906,0.0678371191,-0.0097473264,0.0001839399,
253.053,-3.3034424782,1.3961114883,28.8732299805,0.0614737086,0.0453999043,0.0073305964,-114.6342544556,73.2446899414,78.5083694458,0.0283454657,0.0529439151,-0.0063937306,-11.9575843811,84.3241119385,-165.2167510986,0.0258589983,0.0258277357,0.0221976042,42.5823822021,43.4690284729,161.4304046631,0.0688217282,-0.0165721774,-0.0017690063,
253.063,-3.3042674065,1.3979284763,28.8743286133,0.0561343171,0.0415079780,0.0151445866,-114.6345520020,73.2406311035,78.5109024048,0.0307664275,0.0603296459,0.0087726116,-11.9520320892,84.3232879639,-165.2035522461,0.0282989740,0.0253328979,0.0280405283,42.5821914673,43.4683952332,161.4357452393,0.0697902441,-0.0107161999,-0.0061708093,
253.073,-3.3062911034,1.3994755745,28.8772087097,0.0590909980,0.0395900682,-0.0004780293,-114.6401443481,73.2334823608,78.5080490112,0.0321952701,0.0555431545,0.0039651394,-11.9424648285,84.3210678101,-165.1849212646,0.0239006281,0.0199531317,0.0250704288,42.5859146118,43.4711418152,161.4436492920,0.0649423003,-0.0087754428,-0.0144153833,
253.083,-3.3056349754,1.4003914595,28.8789157867,0.0591069795,0.0425083041,0.0053817630,-114.6563034058,73.2204132080,78.4953536987,0.0321294665,0.0454525650,-0.0007525682,-11.9370880127,84.3186950684,-165.1712036133,0.0238965154,0.0223935843,0.0294235349,42.5844154358,43.4717330933,161.4483489990,0.0664146543,-0.0107097924,-0.0002628565,
253.093,-3.3058681488,1.4020785093,28.8800563812,0.0542536005,0.0415357649,0.0088001490,-114.6679153442,73.2108764648,78.4853820801,0.0242688656,0.0533854961,0.0057147145,-11.9347982407,84.3155899048,-165.1612396240,0.0229145885,0.0248417407,0.0293720365,42.5843162537,43.4725151062,161.4534149170,0.0698424578,-0.0102142692,-0.0075809956,
253.103,-3.3047645092,1.4020547867,28.8824920654,0.0562063120,0.0439579412,0.0087993145,-114.6810989380,73.1995697021,78.4749374390,0.0266532898,0.0549937487,0.0073187947,-11.9620695114,84.3143081665,-165.1824951172,0.0307248831,0.0175691396,0.0244781375,42.5892295837,43.4727287292,161.4627685547,0.0693569183,-0.0058638155,-0.0124198198,
253.113,-3.3056042194,1.4030618668,28.8842372894,0.0567121655,0.0415311381,0.0073356032,-114.6938171387,73.1887283325,78.4645614624,0.0309931040,0.0595254302,0.0064762235,-11.9754562378,84.3109359741,-165.1886444092,0.0224182606,0.0190692544,0.0254020691,42.5881958008,43.4738845825,161.4666442871,0.0669301748,-0.0121924281,-0.0006995797,
253.123,-3.3069648743,1.4020045996,28.8847694397,0.0635296553,0.0420431457,0.0029416680,-114.7043838501,73.1792678833,78.4565658569,0.0280156732,0.0601339340,0.0124500990,-11.9418458939,84.3099365234,-165.1492309570,0.0238813758,0.0258503556,0.0307455659,42.5916862488,43.4739456177,161.4753265381,0.0679075122,-0.0058767796,-0.0060400367,
253.133,-3.3094773293,1.4019144773,28.8859024048,0.0605983958,0.0420869179,0.0122217536,-114.7245941162,73.1667785645,78.4404296875,0.0274642706,0.0622340143,0.0067707896,-11.9160871506,84.3107299805,-165.1189880371,0.0209530592,0.0301976353,0.0248893499,42.5911598206,43.4748878479,161.4792480469,0.0698725581,-0.0136767626,-0.0055480003,
253.143,-3.3095557690,1.4018747807,28.8876857758,0.0581562966,0.0420882776,0.0048977733,-114.7406692505,73.1552429199,78.4302978516,0.0234996676,0.0555387437,0.0132730007,-11.8799533844,84.3083572388,-165.0769958496,0.0219255090,0.0257488042,0.0253254175,42.5920104980,43.4777221680,161.4845428467,0.0635607839,-0.0117084980,-0.0103983879,
