Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
379.103,-3.2699177265,1.3983830214,43.4164581299,0.0585836545,0.0428627394,0.0019266009,-104.0597534180,-9.0269804001,82.2095413208,-0.0470362902,-0.0524175167,-0.0002335310,-56.8249855042,84.7714538574,-121.6014022827,0.0143938065,0.0275843740,0.0298243463,43.2280044556,41.0439414978,-113.7300338745,0.0721649528,-0.0166578293,-0.0047223568,
379.113,-3.2680618763,1.3982677460,43.4176406860,0.0585816428,0.0423421301,0.0136436224,-104.0541152954,-9.0109586716,82.1982803345,-0.0443187058,-0.0518631935,0.0016359687,-56.7966041565,84.7723464966,-121.5653915405,0.0187897682,0.0251044035,0.0258879364,43.2232704163,41.0455131531,-113.7266082764,0.0673028827,-0.0151352286,-0.0067049861,
379.123,-3.2667436600,1.3980733156,43.4194183350,0.0610196590,0.0447605811,0.0102243423,-104.0473709106,-8.9947366714,82.1879196167,-0.0435507596,-0.0571632981,0.0073937178,-56.7790298462,84.7734375000,-121.5396881104,0.0226977468,0.0260497928,0.0288037658,43.2218856812,41.0439758301,-113.7219085693,0.0682592392,-0.0107394457,-0.0023356676,
379.133,-3.2655572891,1.3993613720,43.4199218750,0.0576241612,0.0422984771,0.0072940588,-104.0488739014,-8.9792356491,82.1802978516,-0.0413304269,-0.0527337790,0.0044990182,-56.7805366516,84.7776031494,-121.5334320068,0.0139153004,0.0284344852,0.0166366100,43.2198524475,41.0442733765,-113.7177429199,0.0726577044,-0.0160886645,-0.0023514032,
379.143,-3.2658045292,1.3984768391,43.4198722839,0.0610266924,0.0393731222,0.0131533742,-104.0505218506,-8.9654083252,82.1718139648,-0.0445100367,-0.0585637689,0.0089305341,-56.7707557678,84.7788772583,-121.5147018433,0.0251477957,0.0215703249,0.0220074356,43.2166900635,41.0456237793,-113.7124786377,0.0653511882,-0.0136063695,0.0005609989,
379.153,-3.2669553757,1.4007784128,43.4197120667,0.0561840422,0.0384165421,0.0102254152,-104.0543518066,-8.9554691315,82.1620254517,-0.0409207046,-0.0580651164,-0.0022296011,-56.7360877991,84.7780838013,-121.4689254761,0.0139160752,0.0235055685,0.0365994871,43.2152824402,41.0446624756,-113.7071304321,0.0653386116,-0.0116472244,-0.0004361868,
379.163,-3.2673628330,1.3995171785,43.4214782715,0.0644628182,0.0452596061,0.0024134517,-104.0554504395,-8.9423666000,82.1530075073,-0.0446010232,-0.0604768991,-0.0036671460,-56.7435379028,84.7779388428,-121.4667282104,0.0207517743,0.0186301470,0.0204963088,43.2129669189,41.0463104248,-113.7009201050,0.0682899356,-0.0145417452,-0.0058145523,
379.173,-3.2670304775,1.3999122381,43.4220542908,0.0586103350,0.0457420871,0.0072955489,-104.0562515259,-8.9319896698,82.1423492432,-0.0390510261,-0.0550816059,-0.0021822453,-56.7150077820,84.7788009644,-121.4287796021,0.0192883015,0.0229879916,0.0287650526,43.2117919922,41.0464324951,-113.6943054199,0.0643853545,-0.0111115575,-0.0038708448,
379.183,-3.2655627728,1.3996157646,43.4238281250,0.0615348518,0.0452282578,0.0146184564,-104.0538253784,-8.9221420288,82.1308364868,-0.0452288985,-0.0511393547,0.0012015700,-56.7064857483,84.7790298462,-121.4116592407,0.0144058466,0.0239529014,0.0370571911,43.2134742737,41.0436477661,-113.6862106323,0.0731377602,-0.0072432756,-0.0077853799,
379.193,-3.2645139694,1.4018481970,43.4261131287,0.0591323972,0.0437450930,0.0121765137,-104.0532989502,-8.9121341705,82.1185913086,-0.0435914993,-0.0564821959,-0.0007536113,-56.7029075623,84.7771530151,-121.4005813599,0.0144028664,0.0210465789,0.0331285596,43.2105941772,41.0432891846,-113.6818618774,0.0697150230,-0.0169841051,-0.0009784102,
379.203,-3.2648756504,1.4018340111,43.4278106689,0.0625501126,0.0388685763,0.0107123852,-104.0502929688,-8.9047307968,82.1074905396,-0.0449286997,-0.0530316830,0.0055479407,-56.6830711365,84.7779769897,-121.3738479614,0.0207518339,0.0254115760,0.0296912491,43.2106246948,41.0412406921,-113.6784362793,0.0760357380,-0.0096762180,-0.0039249659,
379.213,-3.2644746304,1.4034541845,43.4270935059,0.0562307313,0.0417912379,0.0077830553,-104.0476226807,-8.8994207382,82.0944976807,-0.0414191484,-0.0525188446,-0.0037698448,-56.6731758118,84.7802276611,-121.3573760986,0.0192905664,0.0209773779,0.0204203129,43.2102890015,41.0408973694,-113.6741790771,0.0648007393,-0.0101640224,-0.0024659634,
379.223,-3.2661170959,1.4013088942,43.4264526367,0.0649823621,0.0432847403,0.0038775206,-104.0462036133,-8.8929491043,82.0813598633,-0.0457020998,-0.0534720421,0.0006044209,-56.6661300659,84.7803802490,-121.3439178467,0.0178259611,0.0214549005,0.0272503197,43.2109260559,41.0416412354,-113.6689758301,0.0682284832,-0.0111408234,-0.0058716536,
379.233,-3.2662158012,1.3998162746,43.4270439148,0.0630031973,0.0442630611,0.0053418875,-104.0442352295,-8.8884172440,82.0661621094,-0.0451356769,-0.0529641509,-0.0008896589,-56.6307907104,84.7810897827,-121.3029937744,0.0163622499,0.0267870724,0.0345303416,43.2106857300,41.0416412354,-113.6636962891,0.0677402020,-0.0140681863,-0.0029442906,
379.243,-3.2666425705,1.4005029202,43.4274444580,0.0664331466,0.0408525132,0.0141314864,-104.0432434082,-8.8857126236,82.0497589111,-0.0441124737,-0.0544174314,-0.0077410638,-56.6165771484,84.7813491821,-121.2823104858,0.0192923546,0.0209094882,0.0247493386,43.2112426758,41.0400581360,-113.6586227417,0.0745552778,-0.0116445422,-0.0024641752,
