Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
109.713,-3.2960515022,1.4016023874,12.3782520294,0.0605929494,0.0442944542,0.0063488483,-114.5423583984,72.4409103394,53.3143005371,0.0193243027,0.0696906745,0.0021544695,-10.9071092606,84.3267364502,80.2790451050,0.0243986845,0.0283967257,0.0252948403,42.4756813049,43.4269676208,68.4321136475,0.0653591156,-0.0095688403,-0.0054960251,
109.723,-3.2978343964,1.4022130966,12.3781213760,0.0620684512,0.0448137783,0.0087922812,-114.5452423096,72.4437789917,53.3159370422,0.0291050673,0.0657343864,0.0202149153,-10.8946962357,84.3300552368,80.3008880615,0.0214747190,0.0264122784,0.0165516734,42.4747772217,43.4280624390,68.4374313354,0.0629315376,-0.0110164285,0.0023183227,
109.733,-3.2980496883,1.4023522139,12.3804721832,0.0620708764,0.0457940958,0.0087926984,-114.5422515869,72.4459991455,53.3227119446,0.0252104402,0.0647311211,0.0172556639,-10.8968048096,84.3289489746,80.3079986572,0.0209845304,0.0254423916,0.0287444592,42.4711303711,43.4255294800,68.4418869019,0.0697354674,-0.0124675632,0.0027530193,
109.743,-3.2987723351,1.3998309374,12.3816661835,0.0644682944,0.0399473682,0.0024445057,-114.5492706299,72.4478607178,53.3206672668,0.0276616812,0.0681055486,0.0065342784,-10.8765735626,84.3272552490,80.3366165161,0.0263527036,0.0278546214,0.0282185674,42.4711189270,43.4255599976,68.4486770630,0.0672944188,-0.0100258589,-0.0040827990,
109.753,-3.2991487980,1.3997836113,12.3827943802,0.0625143424,0.0453250222,0.0097692609,-114.5599060059,72.4482879639,53.3153457642,0.0188748837,0.0651461780,0.0065823197,-10.8801155090,84.3278427124,80.3432540894,0.0283068419,0.0219992399,0.0204186440,42.4670257568,43.4246940613,68.4524307251,0.0750959516,-0.0148773789,-0.0002192259,
109.763,-3.2998909950,1.3985669613,12.3827800751,0.0620048344,0.0463145413,0.0078163147,-114.5651702881,72.4503021240,53.3160514832,0.0237683058,0.0685225129,0.0109883547,-10.8745985031,84.3293991089,80.3572158813,0.0214735866,0.0229611397,0.0228849053,42.4701881409,43.4257278442,68.4623870850,0.0712028146,-0.0109923482,-0.0036010742,
109.773,-3.3004543781,1.3984044790,12.3826904297,0.0605371520,0.0404649861,0.0102582574,-114.5561294556,72.4523162842,53.3313102722,0.0267085433,0.0670472682,0.0231382251,-10.8782100677,84.3285293579,80.3638153076,0.0258666277,0.0210170746,0.0258011818,42.4727439880,43.4265670776,68.4690704346,0.0658422709,-0.0090563297,-0.0084545612,
109.783,-3.3012599945,1.4000242949,12.3831710815,0.0566591658,0.0395024121,0.0136773586,-114.5558471680,72.4522552490,53.3362884521,0.0188957453,0.0592356026,0.0094652176,-10.8594579697,84.3283920288,80.3909378052,0.0214718580,0.0263561904,0.0253040791,42.4710998535,43.4240913391,68.4749679565,0.0706937313,-0.0124789476,0.0042050481,
109.793,-3.3032157421,1.4015222788,12.3836250305,0.0591267124,0.0419778489,0.0102626681,-114.5506896973,72.4559402466,53.3457641602,0.0198916793,0.0626100004,0.0191806555,-10.8549795151,84.3307113647,80.4044876099,0.0180578828,0.0253644884,0.0209464431,42.4701347351,43.4241065979,68.4799499512,0.0702056885,-0.0139346123,-0.0021508336,
109.803,-3.3048381805,1.3996591568,12.3854074478,0.0625121742,0.0366350673,0.0083098412,-114.5536727905,72.4565582275,53.3468666077,0.0277074575,0.0650349855,0.0099133849,-10.8292455673,84.3302612305,80.4379043579,0.0253813267,0.0282511711,0.0263009071,42.4663619995,43.4221954346,68.4828414917,0.0662751794,-0.0129382610,0.0041475296,
