Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
270.783,-3.3242638111,1.3958333731,29.9468975067,0.0570743233,0.0418563448,0.0127224326,-106.3524551392,73.6623611450,35.1584510803,0.0318863392,0.0754995346,-0.0181941986,13.2697734833,83.3275833130,-150.1877136230,0.0264298320,0.0168529749,0.0228177905,43.2686576843,40.7885627747,-179.5028228760,0.0697734356,-0.0083056688,-0.0011093616,
270.793,-3.3260025978,1.3930917978,29.9493026733,0.0658155531,0.0404218584,0.0107699633,-106.3940505981,73.6635284424,35.1229095459,0.0304272175,0.0729818940,-0.0189794898,13.2443027496,83.3272552490,-150.2026672363,0.0254526138,0.0188558102,0.0247530937,43.2697257996,40.7888259888,-179.4944305420,0.0678237677,-0.0097786784,-0.0093982816,
270.803,-3.3227326870,1.3951624632,29.9503135681,0.0614571460,0.0452476591,0.0078378320,-106.4364242554,73.6682739258,35.0880775452,0.0299622416,0.0718705058,-0.0212432146,13.2449254990,83.3261718750,-150.1938629150,0.0244738460,0.0183620602,0.0271768570,43.2703437805,40.7913246155,-179.4863891602,0.0629739761,-0.0146479607,-0.0093719959,
270.813,-3.3244311810,1.3931053877,29.9503326416,0.0609329790,0.0428358875,0.0156512260,-106.4724197388,73.6699829102,35.0579566956,0.0329003334,0.0717930198,-0.0215695500,13.2511262894,83.3239669800,-150.1796722412,0.0210514069,0.0256654322,0.0222613811,43.2721214294,40.7924537659,-179.4801788330,0.0639654398,-0.0097733736,-0.0191118121,
270.823,-3.3233489990,1.3917934895,29.9515380859,0.0623749271,0.0462350361,0.0019773245,-106.5215072632,73.6704101563,35.0147972107,0.0285078883,0.0702530146,-0.0291522145,13.2526531219,83.3212966919,-150.1694946289,0.0254405141,0.0222338140,0.0280764103,43.2719917297,40.7918128967,-179.4739532471,0.0712811947,-0.0092888474,-0.0064229369,
270.833,-3.3223114014,1.3936222792,29.9507980347,0.0555709004,0.0418223925,0.0102782249,-106.5583267212,73.6721267700,34.9821434021,0.0309576988,0.0721272230,-0.0241037011,13.2627201080,83.3186264038,-150.1521148682,0.0293413401,0.0290390253,0.0309662819,43.2730598450,40.7922286987,-179.4680480957,0.0707983971,-0.0136905313,-0.0122698545,
270.843,-3.3207495213,1.3951034546,29.9525299072,0.0570615865,0.0457014032,0.0029530525,-106.5986099243,73.6727294922,34.9468345642,0.0294958353,0.0710844398,-0.0278229117,13.2838640213,83.3180618286,-150.1235961914,0.0244573951,0.0236233175,0.0172951818,43.2765808105,40.7920837402,-179.4598846436,0.0683550835,-0.0064012408,-0.0107738376,
270.853,-3.3204216957,1.3913677931,29.9544067383,0.0648089051,0.0413012542,0.0088105202,-106.6354064941,73.6756973267,34.9126510620,0.0280455351,0.0739150047,-0.0203391910,13.3011445999,83.3181533813,-150.0989685059,0.0190864801,0.0260306597,0.0202359557,43.2757186890,40.7942848206,-179.4554290771,0.0630130768,-0.0112585425,-0.0112516880,
270.863,-3.3220567703,1.3936773539,29.9536151886,0.0560601428,0.0388882682,0.0112545490,-106.6769332886,73.6776504517,34.8750038147,0.0309848189,0.0743136704,-0.0221057534,13.2965927124,83.3137512207,-150.0949707031,0.0244486332,0.0274872631,0.0323672295,43.2747077942,40.7944946289,-179.4507141113,0.0659455657,-0.0122237802,-0.0102826357,
270.873,-3.3209288120,1.3921811581,29.9548339844,0.0609168485,0.0442397520,0.0029520988,-106.7135086060,73.6793441772,34.8436584473,0.0285516977,0.0732586980,-0.0209648013,13.3081016541,83.3129348755,-150.0748138428,0.0264000893,0.0225780606,0.0250344872,43.2759475708,40.7918815613,-179.4443664551,0.0761649013,-0.0093263984,-0.0068751574,
270.883,-3.3196952343,1.3899979591,29.9560394287,0.0638084412,0.0422651917,0.0161334872,-106.7426376343,73.6814804077,34.8198432922,0.0305153131,0.0731825829,-0.0110720992,13.3259181976,83.3096237183,-150.0489959717,0.0224871039,0.0269239247,0.0288949013,43.2739524841,40.7915878296,-179.4386596680,0.0644422770,-0.0156571865,-0.0034777522,
270.893,-3.3194823265,1.3887612820,29.9560337067,0.0598806180,0.0432380736,0.0063670874,-106.7770309448,73.6818923950,34.7907409668,0.0305173397,0.0814283192,-0.0177479982,13.3212585449,83.3089981079,-150.0449829102,0.0283452272,0.0200948864,0.0171636343,43.2734985352,40.7906455994,-179.4309844971,0.0698009729,-0.0122421384,-0.0015363693,
