Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
312.923,-3.2898271084,1.3765048981,34.8126602173,0.0591784827,0.0402803943,0.0102381706,-101.0101318359,-8.9056186676,64.4732131958,-0.0234596133,-0.0411832333,0.0095388293,-21.0936355591,85.6359634399,-157.1215667725,0.0185850859,0.0240360498,0.0259075761,44.5562515259,39.0223388672,-150.3592529297,0.0607756972,-0.0109988451,-0.0068123341,
312.933,-3.2863028049,1.3760848045,34.8127021790,0.0572180301,0.0504729263,0.0121876001,-101.0143432617,-8.9129714966,64.4975662231,-0.0221215487,-0.0421931744,0.0061883032,-21.0421695709,85.6342544556,-157.0581207275,0.0200476646,0.0230037272,0.0268312693,44.5557785034,39.0257606506,-150.3519287109,0.0637517571,-0.0143859982,-0.0097198486,
312.943,-3.2840631008,1.3758143187,34.8152046204,0.0547719039,0.0479925089,0.0033962727,-101.0221023560,-8.9219264984,64.5229187012,-0.0159282982,-0.0398011208,0.0121743977,-20.9907722473,85.6339416504,-156.9937133789,0.0190706849,0.0312401950,0.0268010497,44.5586471558,39.0283126831,-150.3419952393,0.0593919158,-0.0124408603,-0.0067427158,
312.953,-3.2848830223,1.3766777515,34.8168487549,0.0616229065,0.0372645818,0.0107216239,-101.0325088501,-8.9295263290,64.5468521118,-0.0150827765,-0.0393674374,0.0084406883,-20.9749908447,85.6313858032,-156.9665069580,0.0210204124,0.0234223008,0.0296838880,44.5589408875,39.0274581909,-150.3343963623,0.0637748241,-0.0236807466,-0.0043051243,
312.963,-3.2843968868,1.3784358501,34.8173255920,0.0582356155,0.0440920070,0.0107219815,-101.0445480347,-8.9373121262,64.5701446533,-0.0117990673,-0.0291738510,0.0061989278,-20.9799442291,85.6303558350,-156.9599304199,0.0219956040,0.0219702423,0.0252751708,44.5576248169,39.0254898071,-150.3262023926,0.0637481213,-0.0109878778,-0.0014035106,
312.973,-3.2831406593,1.3769253492,34.8173637390,0.0611389428,0.0489529669,0.0146263838,-101.0568618774,-8.9449472427,64.5929946899,-0.0148603916,-0.0292347670,0.0049385279,-21.0636901855,85.6334533691,-157.0341491699,0.0200465918,0.0147352815,0.0131580830,44.5586776733,39.0226593018,-150.3170318604,0.0681042671,-0.0188323259,-0.0053219199,
312.983,-3.2821071148,1.3773915768,34.8160476685,0.0601705164,0.0440521501,0.0082774162,-101.0633697510,-8.9498567581,64.6141738892,-0.0188512504,-0.0307344198,0.0069994330,-21.0770854950,85.6319656372,-157.0421905518,0.0224860311,0.0259926319,0.0233932137,44.5608978271,39.0189590454,-150.3124084473,0.0690307021,-0.0169292092,-0.0092359781,
312.993,-3.2802603245,1.3752760887,34.8178405762,0.0655046999,0.0445083082,0.0072988272,-101.0637512207,-8.9561548233,64.6353759766,-0.0150536001,-0.0380765796,0.0079790801,-21.1161289215,85.6312942505,-157.0774536133,0.0278562307,0.0201877654,0.0194954872,44.5606079102,39.0171737671,-150.3081665039,0.0675415993,-0.0105925202,-0.0038818121,
313.003,-3.2800045013,1.3744750023,34.8202133179,0.0654907227,0.0474335626,0.0116918087,-101.0626525879,-8.9624948502,64.6562957764,-0.0219988525,-0.0371130705,0.0089333355,-21.0926094055,85.6282501221,-157.0492248535,0.0249224901,0.0211514235,0.0326227546,44.5614585876,39.0177268982,-150.3007049561,0.0655960441,-0.0115729570,-0.0107049346,
313.013,-3.2799406052,1.3740973473,34.8213424683,0.0615778826,0.0425496399,0.0112040639,-101.0615158081,-8.9672765732,64.6784286499,-0.0196398795,-0.0395637751,0.0137949288,-21.0552864075,85.6287002563,-157.0066833496,0.0239465237,0.0264723599,0.0243083835,44.5627136230,39.0220375061,-150.2930755615,0.0627247095,-0.0159464478,-0.0131007433,
