Time(sec),Gyr1_X(deg/sec),Gyr1_Y(deg/sec),Gyr1_Z(deg/sec),Acc1_X(m/s^2),Acc1_Y(m/s^2),Acc1_Z(m/s^2),Gyr2_X(deg/sec),Gyr2_Y(deg/sec),Gyr2_Z(deg/sec),Acc2_X(m/s^2),Acc2_Y(m/s^2),Acc2_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),Gyr_X(deg/sec),Gyr_Y(deg/sec),Gyr_Z(deg/sec),Acc_X(m/s^2),Acc_Y(m/s^2),Acc_Z(m/s^2),
8.893,-3.2422101498,1.2323496342,0.5774533749,0.0566631518,0.0448252484,0.0174581409,-119.6158905029,74.6635665894,6.3555126190,0.0303074121,0.0579841435,0.0120790005,21.6438045502,82.8239974976,1.6577147245,0.0268350840,0.0236092806,0.0121888220,42.2345237732,41.5546150208,3.9759795666,0.0681188703,-0.0094434619,-0.0058241487,
8.903,-3.2423245907,1.2310814857,0.5774126649,0.0600589886,0.0399444513,0.0076920390,-119.6070175171,74.6633605957,6.3702640533,0.0259119272,0.0541010201,0.0149745941,21.6416130066,82.8234252930,1.6647593975,0.0312283635,0.0250748843,0.0199901387,42.2363090515,41.5568847656,3.9842767715,0.0632656813,-0.0113961697,-0.0121368766,
8.913,-3.2418720722,1.2325141430,0.5784980059,0.0571543053,0.0418896675,0.0042741299,-119.5933837891,74.6639251709,6.3881564140,0.0278676748,0.0594951212,0.0168679953,21.6541805267,82.8273925781,1.6860644817,0.0283073187,0.0211677104,0.0122505128,42.2387619019,41.5555076599,3.9924352169,0.0730133057,-0.0104541183,-0.0160334110,
8.923,-3.2416198254,1.2352291346,0.5807887912,0.0552485511,0.0453031771,0.0101342201,-119.5896530151,74.6622009277,6.3959016800,0.0259065628,0.0526930094,0.0110079646,21.6596698761,82.8308639526,1.6997143030,0.0258734822,0.0187373608,0.0108465627,42.2378654480,41.5550689697,3.9971969128,0.0700778961,-0.0143549442,-0.0053025484,
8.933,-3.2415795326,1.2352267504,0.5807520747,0.0557367951,0.0404196680,0.0111107826,-119.5968627930,74.6596679688,6.3946232796,0.0302894115,0.0532013774,0.0051984191,21.6612300873,82.8295516968,1.7107206583,0.0273354650,0.0216551572,0.0244975537,42.2330322266,41.5543899536,3.9994452000,0.0661627650,-0.0172432661,0.0024616718,
8.943,-3.2426574230,1.2371118069,0.5824617743,0.0538165607,0.0384852812,0.0125774741,-119.6009216309,74.6572875977,6.3958749771,0.0283253193,0.0542032421,0.0071876049,21.6678276062,82.8306121826,1.7248697281,0.0253846645,0.0240902752,0.0225684270,42.2326087952,41.5552253723,4.0062127113,0.0627557635,-0.0133263469,-0.0024176240,
8.953,-3.2426872253,1.2373144627,0.5829765797,0.0591911897,0.0423920415,0.0042768121,-119.6029815674,74.6573104858,6.3990345001,0.0283253789,0.0561517477,0.0106139779,21.6593284607,82.8311080933,1.7238821983,0.0209912062,0.0192274153,0.0196378008,42.2348747253,41.5581474304,4.0143890381,0.0627939105,-0.0103960037,-0.0106740594,
8.963,-3.2439494133,1.2381108999,0.5834649801,0.0572519600,0.0380194895,0.0081841946,-119.6076049805,74.6563415527,6.4003562927,0.0322271585,0.0590847135,0.0101522207,21.6678714752,82.8326416016,1.7417833805,0.0224593878,0.0231262445,0.0167407542,42.2311019897,41.5559425354,4.0190973282,0.0681361556,-0.0191656947,0.0000163317,
8.973,-3.2438352108,1.2393807173,0.5845436454,0.0582506806,0.0404588692,0.0194156170,-119.6155776978,74.6570358276,6.3981676102,0.0322303772,0.0634509325,0.0038310885,21.6669120789,82.8314437866,1.7477943897,0.0253864527,0.0216557831,0.0250216201,42.2305946350,41.5567359924,4.0249261856,0.0588691831,-0.0064593554,-0.0024226308,
8.983,-3.2443871498,1.2396957874,0.5856827497,0.0587444603,0.0448630080,-0.0006036758,-119.6146087646,74.6572875977,6.4040102959,0.0293018818,0.0600319207,0.0111492276,21.6747360229,82.8332748413,1.7649182081,0.0244138837,0.0245805830,0.0182200894,42.2310523987,41.5546073914,4.0316009521,0.0681187510,-0.0108747482,-0.0019483566,
